Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,16.625,11.3125,16.0,13.5625,172600,13.5625
2000-01-04,13.0,11.375,12.875,11.625,79800,11.625
2000-01-05,15.25,11.5,11.8125,15.0,147000,15.0
2000-01-06,15.25,13.625,15.0,13.875,62600,13.875
2000-01-07,15.875,14.375,14.375,15.75,109900,15.75
2000-01-10,16.875,15.0625,15.5625,16.125,79000,16.125
2000-01-11,16.5,13.875,16.1875,15.375,51800,15.375
2000-01-12,16.0,14.75,15.625,15.375,16100,15.375
2000-01-13,15.25,13.875,15.25,14.5,13100,14.5
2000-01-14,14.75,14.0,14.75,14.125,20600,14.125
2000-01-18,20.5,14.125,14.125,19.25,350200,19.25
2000-01-19,23.75,19.0,19.5,22.3125,339800,22.3125
2000-01-20,23.875,19.0,22.875,21.0,282800,21.0
2000-01-21,23.125,21.0,21.5,22.8125,169300,22.8125
2000-01-24,27.75,22.25,24.0,23.0625,280900,23.0625
2000-01-25,25.5,22.875,23.5,24.75,125000,24.75
2000-01-26,25.625,24.25,25.0,24.75,64400,24.75
2000-01-27,26.875,23.75,25.25,24.125,112200,24.125
2000-01-28,23.75,19.0625,23.6875,21.5,134400,21.5
2000-01-31,21.5,18.875,21.0,19.875,85600,19.875
2000-02-01,21.125,19.75,19.75,20.75,39900,20.75
2000-02-02,29.0,21.0,21.5,28.625,348300,28.625
2000-02-03,32.0,27.75,29.5,30.25,344700,30.25
2000-02-04,39.5,30.75,31.4375,35.25,431300,35.25
2000-02-07,64.0,40.0,40.5,54.25,981200,54.25
2000-02-08,54.8125,45.625,54.75,48.0625,416900,48.0625
2000-02-09,52.375,47.0,49.5,51.0,216700,51.0
2000-02-10,51.0,43.0,51.0,45.0,176000,45.0
2000-02-11,45.0,39.125,44.75,41.5,256100,41.5
2000-02-14,52.875,43.0625,43.25,49.25,334000,49.25
2000-02-15,49.5,41.625,49.0,43.875,239900,43.875
2000-02-16,48.5,43.0,43.0,46.125,95300,46.125
2000-02-17,49.5,43.0,49.5,44.9375,97900,44.9375
2000-02-18,44.0,40.25,44.0,43.125,119100,43.125
2000-02-22,45.5,37.625,43.5,40.0,155900,40.0
2000-02-23,42.0,37.5,39.625,41.5,135000,41.5
2000-02-24,42.125,39.25,41.0,40.5,72700,40.5
