Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,2.875,2.5,2.875,2.5,13700,2.5
2000-01-04,2.8125,2.375,2.53125,2.75,30100,2.75
2000-01-05,2.75,2.375,2.625,2.5,51100,2.5
2000-01-06,2.875,2.5,2.5,2.5,39700,2.5
2000-01-07,2.75,2.5,2.59375,2.75,3300,2.75
2000-01-10,2.875,2.625,2.65625,2.6875,21600,2.6875
2000-01-11,2.875,2.6875,2.78125,2.6875,5600,2.6875
2000-01-12,3.0,2.6875,2.75,2.75,27800,2.75
2000-01-13,3.125,2.6875,2.6875,2.90625,41000,2.90625
2000-01-14,3.0625,2.625,3.03125,3.0,37300,3.0
2000-01-18,3.0,2.75,2.96875,2.875,25100,2.875
2000-01-19,2.8125,2.5,2.78125,2.8125,10600,2.8125
2000-01-20,3.0625,2.8125,2.8125,3.0,73700,3.0
2000-01-21,3.0,2.375,2.96875,2.875,111900,2.875
2000-01-24,2.96875,2.5,2.5,2.75,9600,2.75
2000-01-25,3.0,2.625,2.9375,2.9375,46300,2.9375
2000-01-26,2.9375,2.75,2.9375,2.9375,4800,2.9375
2000-01-27,3.0,2.8125,2.8125,2.875,45000,2.875
2000-01-28,2.9375,2.5,2.6875,2.5,24500,2.5
2000-01-31,2.8125,2.46875,2.46875,2.71875,32000,2.71875
2000-02-01,2.875,2.6875,2.875,2.75,115600,2.75
2000-02-02,2.90625,2.625,2.875,2.625,78500,2.625
2000-02-03,2.875,2.625,2.875,2.875,24700,2.875
2000-02-04,2.875,2.75,2.8125,2.875,17600,2.875
2000-02-07,2.875,2.75,2.84375,2.84375,93000,2.84375
2000-02-08,3.375,2.875,2.90625,2.9375,80800,2.9375
2000-02-09,3.375,3.03125,3.25,3.3125,410500,3.3125
2000-02-10,7.0,3.75,4.0,5.0,1303100,5.0
2000-02-11,7.125,5.125,5.15625,6.25,1166500,6.25
2000-02-14,6.875,5.5,6.625,5.75,482200,5.75
2000-02-15,6.125,5.375,6.0,5.625,171900,5.625
2000-02-16,5.875,5.375,5.75,5.5625,106000,5.5625
2000-02-17,6.25,5.75,6.0,5.875,259000,5.875
2000-02-18,6.125,5.375,5.84375,5.625,187600,5.625
2000-02-22,5.8125,5.09375,5.5625,5.125,67700,5.125
2000-02-23,5.125,4.0625,5.0,5.0,207800,5.0
2000-02-24,5.5625,4.5,4.875,5.4375,180600,5.4375
2000-02-25,5.4375,4.6875,5.25,5.3125,86100,5.3125
2000-02-28,5.4375,4.875,5.40625,5.0,61500,5.0
2000-02-29,5.125,4.6875,4.75,4.75,54600,4.75
2000-03-01,5.0,4.5,5.0,4.6875,59700,4.6875
2000-03-02,4.875,4.5,4.59375,4.875,31800,4.875
2000-03-03,5.0,4.5,4.5625,4.9375,42300,4.9375
2000-03-06,5.0,4.5,4.8125,4.9375,47600,4.9375
2000-03-07,6.25,4.5,5.0,5.4375,265300,5.4375
2000-03-08,6.09375,5.0,5.8125,5.625,115400,5.625
2000-03-09,6.625,5.25,5.375,6.0,313300,6.0
2000-03-10,6.4375,6.0,6.25,6.25,156800,6.25
2000-03-13,6.5,6.125,6.25,6.4375,99300,6.4375
2000-03-14,7.125,5.8125,7.0,5.8125,314200,5.8125
2000-03-15,6.1875,4.75,5.875,5.25,79800,5.25
2000-03-16,5.375,4.8125,5.125,5.0,66000,5.0
2000-03-17,5.375,4.875,4.9375,4.875,46000,4.875
2000-03-20,5.625,5.0,5.125,5.0,105000,5.0
2000-03-21,5.3125,4.6875,5.125,4.875,67700,4.875
2000-03-22,5.1875,4.75,5.1875,5.0,17900,5.0
2000-03-23,5.125,4.4375,4.875,4.9375,91200,4.9375
2000-03-24,5.03125,4.125,5.0,4.375,33200,4.375
2000-03-27,5.0,4.375,4.625,4.625,25600,4.625
2000-03-28,4.875,4.5,4.875,4.5,23600,4.5
2000-03-29,4.6875,4.375,4.5,4.5,65500,4.5
2000-03-30,4.4375,3.875,4.375,4.25,99100,4.25
2000-03-31,4.375,4.0625,4.125,4.125,15900,4.125
2000-04-03,4.375,3.875,4.125,4.0,59400,4.0
2000-04-04,4.0,2.0,3.9375,3.875,105300,3.875
2000-04-05,3.875,2.5,2.5,3.6875,75000,3.6875
2000-04-06,4.0,3.5625,3.5625,3.75,35400,3.75
2000-04-07,4.0,3.75,3.875,3.8125,47400,3.8125
2000-04-10,4.0,3.875,3.9375,4.0,30100,4.0
2000-04-11,4.0,3.6875,3.9375,3.75,72900,3.75
2000-04-12,3.796875,3.5,3.625,3.5,52600,3.5
2000-04-13,3.875,3.4375,3.5,3.625,44100,3.625
2000-04-14,3.90625,3.375,3.875,3.4375,96200,3.4375
2000-04-17,3.8125,3.375,3.4375,3.65625,54300,3.65625
2000-04-18,3.875,3.625,3.875,3.75,41200,3.75
2000-04-19,3.9375,3.75,3.9375,3.8125,4600,3.8125
2000-04-20,3.96875,3.75,3.96875,3.8125,7100,3.8125
2000-04-24,3.9375,3.75,3.875,3.875,7300,3.875
2000-04-25,3.875,3.75,3.75,3.8125,17100,3.8125
2000-04-26,4.875,4.0625,4.5625,4.75,87000,4.75
2000-04-27,5.0625,4.5,4.875,4.6875,40200,4.6875
2000-04-28,4.9375,4.5,4.71875,4.59375,22500,4.59375
2000-05-01,5.25,4.5,4.5,5.0,40000,5.0
2000-05-02,5.125,4.75,5.125,4.75,2400,4.75
