Date,High,Low,Open,Close,Volume,Adj Close
2000-06-05,100.5,96.3125,97.5,98.6875,148400.0,70.4259033203125
2000-06-06,100.25,94.625,98.5,94.625,222800.0,67.52674865722656
2000-06-07,97.0,93.1875,95.75,96.1875,215500.0,68.64181518554688
2000-06-08,98.875,95.8125,98.8125,96.625,195200.0,68.95403289794922
2000-06-09,99.0,97.0625,98.25,98.625,97500.0,70.3812484741211
2000-06-12,99.25,94.625,99.25,94.8125,56200.0,67.6605453491211
2000-06-13,98.8125,93.3125,95.0,98.8125,194500.0,70.51509857177734
2000-06-14,98.875,94.5625,98.8125,94.5625,97500.0,67.48213958740234
2000-06-15,96.6875,93.25,94.75,95.375,108900.0,68.06199645996094
2000-06-16,96.9375,94.5625,95.5,96.0,86900.0,68.50802612304688
2000-06-19,102.5,95.625,96.375,102.5,218200.0,73.14654541015625
2000-06-20,105.75,103.0,103.5,104.0,248500.0,74.2169418334961
2000-06-21,105.1875,102.5,102.625,104.4375,185800.0,74.52920532226562
2000-06-22,103.5,99.0,103.5,99.25,391400.0,70.82726287841797
2000-06-23,100.1875,97.25,99.375,97.5,342900.0,69.57845306396484
2000-06-26,99.375,96.375,98.375,97.5,154000.0,69.57845306396484
2000-06-27,98.4375,94.375,98.25,94.375,236100.0,67.34835815429688
2000-06-28,97.125,94.625,94.625,94.875,228500.0,67.70516967773438
2000-06-29,94.375,91.25,93.75,92.6875,281800.0,66.14412689208984
2000-06-30,94.8125,92.3125,93.0,94.0,458000.0,67.08079528808594
2000-07-03,96.25,93.75,93.875,96.125,52600.0,68.59717559814453
2000-07-05,91.5625,88.125,90.5,88.625,1362200.0,63.245059967041016
2000-07-06,92.75,88.125,89.9375,92.25,1393400.0,65.83195495605469
2000-07-07,96.75,93.8125,94.25,95.25,179900.0,67.9727783203125
2000-07-10,96.6875,94.5,95.5,95.125,93600.0,67.8836441040039
2000-07-11,97.125,92.5625,95.0,93.625,223200.0,66.81317138671875
2000-07-12,97.1875,94.4375,95.875,95.9375,114600.0,68.46343231201172
2000-07-13,99.9375,97.4375,98.0,98.375,144100.0,70.20287322998047
2000-07-14,101.375,98.75,100.25,101.375,136400.0,72.34371185302734
2000-07-17,103.125,100.0,101.375,102.9375,165500.0,73.45877838134766
2000-07-18,101.3125,98.0,101.0,98.4375,217400.0,70.24744415283203
2000-07-19,98.3125,93.75,98.3125,94.9375,372500.0,67.74978637695312
2000-07-20,97.3125,92.6875,95.4375,93.4375,272200.0,66.67931365966797
2000-07-21,92.5,88.75,92.0625,89.625,625700.0,63.958595275878906
2000-07-24,92.75,88.5,89.0,89.25,1236400.0,63.691043853759766
