Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,66.0625,64.125,66.0,64.3125,127900,64.3125
2000-01-04,63.9375,56.0,63.875,57.5625,152800,57.5625
2000-01-05,57.3125,52.5625,57.3125,53.125,322800,53.125
2000-01-06,56.375,53.375,53.375,56.0,298800,56.0
2000-01-07,57.1875,55.0,56.0,55.5,158400,55.5
2000-01-10,58.0,56.25,56.25,57.1875,246500,57.1875
2000-01-11,58.0,57.125,57.4375,57.6875,188300,57.6875
2000-01-12,57.5625,57.0,57.4375,57.3125,36500,57.3125
2000-01-13,59.1875,57.375,57.375,59.0,102000,59.0
2000-01-14,60.0625,59.0,59.0,59.4375,31700,59.4375
2000-01-18,59.5625,59.1875,59.4375,59.4375,40800,59.4375
2000-01-19,64.125,59.1875,59.3125,63.5625,229400,63.5625
2000-01-20,65.8125,63.1875,63.8125,63.5625,124700,63.5625
2000-01-21,67.75,64.5625,64.5625,66.5625,160700,66.5625
2000-01-24,68.6875,64.0,68.0,64.0,424200,64.0
2000-01-25,64.5,60.75,64.0625,62.375,117900,62.375
2000-01-26,63.4375,61.9375,62.625,62.0,93500,62.0
2000-01-27,63.125,58.25,62.0625,59.375,210700,59.375
2000-01-28,59.5,53.25,59.5,54.0625,108600,54.0625
2000-01-31,55.6875,52.4375,54.3125,53.125,122500,53.125
2000-02-01,53.5,51.25,53.375,51.5,383000,51.5
2000-02-02,59.0,52.0,52.0,58.875,272400,58.875
2000-02-03,62.6875,58.25,58.625,62.6875,258100,62.6875
2000-02-04,66.5625,63.8125,64.125,65.875,179500,65.875
2000-02-07,66.75,64.5,66.125,66.0,116700,66.0
2000-02-08,67.5,64.4375,67.5,64.5,124500,64.5
2000-02-09,63.0,58.125,63.0,61.5,361400,61.5
2000-02-10,61.9375,60.25,61.375,60.375,96100,60.375
2000-02-11,60.9375,59.75,60.875,60.375,48500,60.375
2000-02-14,60.875,55.375,60.75,56.125,102100,56.125
2000-02-15,57.5,54.3125,57.5,54.9375,112600,54.9375
2000-02-16,54.125,53.3125,54.0,53.6875,160700,53.6875
2000-02-17,56.75,53.125,53.6875,55.375,377100,55.375
2000-02-18,55.9375,52.5625,55.625,52.5625,104600,52.5625
2000-02-22,52.5625,48.75,52.5625,49.0,187000,49.0
2000-02-23,49.4375,47.0,49.0625,48.125,180800,48.125
2000-02-24,48.8125,45.6875,48.5,45.875,253000,45.875
2000-02-25,45.875,41.5,45.875,42.875,596300,42.875
2000-02-28,44.3125,42.0,42.9375,42.9375,321900,42.9375
2000-02-29,43.0,42.0,42.9375,42.0625,310000,42.0625
2000-03-01,42.375,41.5,42.0625,41.5,627000,41.5
2000-03-02,43.625,41.75,41.75,42.25,183000,42.25
2000-03-03,45.0,42.25,42.25,44.5625,272300,44.5625
2000-03-06,44.25,38.125,44.25,39.375,496200,39.375
