Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,145.625,137.5,145.625,139.375,3050.0,139.375
2000-01-04,137.5,137.5,137.5,137.5,960.0,137.5
2000-01-05,137.5,136.25,136.875,136.875,290.0,136.875
2000-01-06,138.75,136.875,136.875,138.75,2130.0,138.75
2000-01-07,142.5,138.125,138.75,138.125,2180.0,138.125
2000-01-10,136.875,135.0,136.875,135.0,970.0,135.0
2000-01-11,136.25,133.75,135.625,134.375,1990.0,134.375
2000-01-12,136.25,133.75,135.0,135.0,1910.0,135.0
2000-01-13,135.0,133.75,135.0,134.375,10770.0,134.375
2000-01-14,134.375,130.0,134.375,130.0,880.0,130.0
2000-01-18,132.5,126.25,130.625,127.5,4170.0,127.5
2000-01-19,132.5,128.75,128.75,132.5,5590.0,132.5
2000-01-20,131.25,127.5,131.25,129.375,1420.0,129.375
2000-01-21,132.5,129.375,129.375,131.25,1130.0,131.25
2000-01-24,133.125,131.25,132.5,131.875,2250.0,131.875
2000-01-25,130.625,126.25,130.625,126.25,1240.0,126.25
2000-01-26,126.25,122.5,125.0,125.0,3760.0,125.0
2000-01-27,127.5,122.5,125.0,122.5,12530.0,122.5
2000-01-28,123.75,121.25,123.75,123.75,1950.0,123.75
2000-01-31,123.75,120.0,122.5,120.0,1160.0,120.0
2000-02-01,122.5,120.0,120.625,122.5,1600.0,122.5
2000-02-02,126.25,122.5,122.5,126.25,3930.0,126.25
2000-02-03,135.0,128.125,128.125,133.75,6410.0,133.75
2000-02-04,135.625,132.5,135.0,133.75,4480.0,133.75
2000-02-07,132.5,130.0,132.5,131.25,1200.0,131.25
2000-02-08,131.25,128.75,130.0,131.25,3970.0,131.25
2000-02-09,130.0,123.75,130.0,128.125,11230.0,128.125
2000-02-10,131.25,128.75,128.75,128.75,1190.0,128.75
2000-02-11,130.0,127.5,128.75,130.0,1070.0,130.0
2000-02-14,131.875,128.75,130.0,131.875,1110.0,131.875
2000-02-15,140.0,131.875,131.875,139.375,5220.0,139.375
2000-02-16,142.5,138.125,138.125,140.625,3190.0,140.625
2000-02-17,141.25,139.375,139.375,140.625,18440.0,140.625
