Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,8.4375,5.875,5.9375,8.4375,95800.0,7.322721481323242
2000-01-04,8.75,8.0,8.375,8.4375,121200.0,7.322721481323242
2000-01-05,8.4375,8.0625,8.4375,8.125,38500.0,7.051511287689209
2000-01-06,8.1875,7.75,8.1875,7.875,52000.0,6.8345417976379395
2000-01-07,7.9375,6.75,7.875,7.0,91500.0,6.075148105621338
2000-01-10,7.375,7.125,7.125,7.25,73500.0,6.292116641998291
2000-01-11,7.3125,7.0,7.25,7.125,60200.0,6.1836323738098145
2000-01-12,7.375,7.0,7.125,7.0,58600.0,6.075148105621338
2000-01-13,7.125,6.75,7.125,6.8125,47600.0,5.912420272827148
2000-01-14,6.875,6.5625,6.75,6.6875,84100.0,5.803936958312988
2000-01-18,6.6875,6.25,6.5,6.625,78400.0,5.749693393707275
2000-01-19,6.75,6.375,6.375,6.5625,33400.0,5.695451736450195
2000-01-20,6.5,6.0,6.4375,6.0,56000.0,5.207269191741943
2000-01-21,6.0625,5.75,5.875,6.0,35500.0,5.207269191741943
2000-01-24,6.0,5.75,5.875,5.8125,28500.0,5.044541835784912
2000-01-25,6.0625,5.75,5.75,6.0,25500.0,5.207269191741943
2000-01-26,6.125,5.9375,6.0,6.0625,29000.0,5.261512756347656
2000-01-27,6.125,6.0625,6.0625,6.125,38000.0,5.3157548904418945
2000-01-28,6.125,5.8125,6.125,5.875,55700.0,5.098785877227783
2000-01-31,6.0,5.375,5.9375,5.375,55600.0,4.664845943450928
2000-02-01,5.4375,5.0,5.4375,5.0625,81200.0,4.393633842468262
2000-02-02,5.0625,4.875,5.0625,4.875,71600.0,4.2309064865112305
2000-02-03,4.8125,4.5625,4.75,4.625,273500.0,4.013937473297119
2000-02-04,4.75,4.5,4.625,4.5625,86400.0,3.959693670272827
2000-02-07,4.625,4.5,4.5,4.5625,61500.0,3.959693670272827
2000-02-08,4.8125,4.5,4.5625,4.625,119800.0,4.013937473297119
2000-02-09,4.75,4.5,4.75,4.5,68000.0,3.90545392036438
2000-02-10,4.625,4.25,4.5,4.25,132100.0,3.6884822845458984
2000-02-11,4.375,4.25,4.3125,4.25,195600.0,3.6884822845458984
2000-02-14,4.625,4.3125,4.3125,4.625,27400.0,4.013937473297119
2000-02-15,5.0,4.8125,5.0,4.875,204300.0,4.2309064865112305
2000-02-16,5.0,4.8125,4.875,4.8125,91300.0,4.17666482925415
2000-02-17,4.8125,4.0,4.8125,4.0,383200.0,3.4715137481689453
2000-02-18,4.1875,3.875,4.125,4.0,155300.0,3.4715137481689453
2000-02-22,4.0,3.75,4.0,3.8125,157400.0,3.308786392211914
2000-02-23,3.875,3.5,3.75,3.5625,195300.0,3.0918161869049072
2000-02-24,4.0,3.625,3.6875,3.9375,101900.0,3.4172708988189697
2000-02-25,3.9375,3.125,3.9375,3.4375,221400.0,2.9833316802978516
2000-02-28,3.625,3.4375,3.5,3.5,118600.0,3.037574052810669
2000-02-29,3.5,3.1875,3.5,3.1875,228400.0,2.766361951828003
2000-03-01,3.375,3.25,3.25,3.3125,117100.0,2.8748466968536377
2000-03-02,3.4375,3.0625,3.3125,3.0625,225900.0,2.6578774452209473
2000-03-03,3.0625,2.8125,3.0625,2.875,170600.0,2.495149850845337
2000-03-06,2.875,2.375,2.875,2.5625,286200.0,2.2239372730255127
2000-03-07,2.625,2.5,2.5625,2.625,154800.0,2.2781803607940674
2000-03-08,2.75,2.5625,2.75,2.625,239800.0,2.2781803607940674
2000-03-09,3.25,2.625,2.625,3.25,425700.0,2.820604085922241
2000-03-10,4.5,3.625,3.75,4.3125,483100.0,3.7427244186401367
2000-03-13,5.25,4.5,4.75,5.0,297800.0,4.339390754699707
2000-03-14,5.5,4.375,5.1875,4.4375,288200.0,3.8512091636657715
2000-03-15,4.625,4.5,4.5625,4.5625,47900.0,3.959693670272827
2000-03-16,4.75,4.5,4.5625,4.625,202700.0,4.013937473297119
2000-03-17,4.875,4.625,4.6875,4.625,38900.0,4.013937473297119
2000-03-20,5.0,4.5625,4.6875,4.6875,209800.0,4.068178653717041
2000-03-21,4.875,4.5,4.75,4.875,70200.0,4.2309064865112305
2000-03-22,4.875,4.125,4.875,4.3125,88500.0,3.7427244186401367
2000-03-23,4.5,4.0,4.5,4.5,104600.0,3.90545392036438
2000-03-24,4.5,3.875,4.5,4.0625,77100.0,3.5257556438446045
2000-03-27,4.1875,4.0625,4.125,4.125,30100.0,3.5799977779388428
2000-03-28,4.125,3.875,4.0625,3.875,23100.0,3.363028049468994
2000-03-29,4.1875,3.875,3.9375,4.1875,56900.0,3.6342406272888184
2000-03-30,4.125,3.875,4.0625,4.0,37200.0,3.4715137481689453
2000-03-31,4.125,3.9375,3.9375,4.125,66000.0,3.5799977779388428
2000-04-03,4.1875,4.0,4.1875,4.125,35000.0,3.5799977779388428
2000-04-04,4.125,3.5,4.125,4.0625,71800.0,3.5257556438446045
2000-04-05,4.25,4.0,4.125,4.125,33400.0,3.5799977779388428
2000-04-06,4.5,3.875,4.1875,4.4375,39700.0,3.8512091636657715
2000-04-07,4.5,4.25,4.375,4.4375,42300.0,3.8512091636657715
2000-04-10,4.5,4.375,4.4375,4.375,31200.0,3.796967029571533
2000-04-11,4.4375,4.25,4.375,4.3125,18300.0,3.7427244186401367
2000-04-12,4.3125,4.0,4.3125,4.125,93300.0,3.5799977779388428
2000-04-13,4.25,4.0625,4.125,4.1875,43100.0,3.6342406272888184
2000-04-14,4.1875,4.0,4.0625,4.0625,53800.0,3.5257556438446045
2000-04-17,4.125,3.75,3.9375,4.125,99200.0,3.5799977779388428
2000-04-18,4.3125,4.0,4.0,4.25,16700.0,3.6884822845458984
2000-04-19,4.375,4.125,4.375,4.3125,23400.0,3.7427244186401367
2000-04-20,4.375,4.25,4.25,4.375,22600.0,3.796967029571533
