Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,10.3125,9.875,10.25,9.9375,208100,9.9375
2000-01-04,9.875,9.75,9.875,9.8125,17600,9.8125
2000-01-05,10.0,9.5,9.9375,9.625,74100,9.625
2000-01-06,9.75,9.3125,9.5,9.375,38700,9.375
2000-01-07,4.9375,3.75,3.75,4.8125,4520600,4.8125
2000-01-10,5.4375,4.9375,5.0,5.1875,1479900,5.1875
2000-01-11,5.6875,5.0625,5.6875,5.125,566300,5.125
2000-01-12,5.25,5.0,5.125,5.125,240000,5.125
2000-01-13,5.3125,5.0625,5.25,5.1875,306000,5.1875
2000-01-14,5.125,4.9375,5.0625,5.0625,467700,5.0625
2000-01-18,5.25,5.0,5.1875,5.1875,295700,5.1875
2000-01-19,5.25,4.9375,5.1875,5.0,572500,5.0
2000-01-20,5.125,4.9375,5.125,5.0625,139300,5.0625
2000-01-21,5.125,4.8125,5.125,4.9375,281500,4.9375
2000-01-24,5.0,4.8125,5.0,4.875,204200,4.875
2000-01-25,4.875,4.5,4.875,4.5625,160100,4.5625
2000-01-26,4.75,4.5625,4.5625,4.625,242100,4.625
2000-01-27,4.6875,4.5625,4.625,4.5625,65600,4.5625
2000-01-28,4.6875,4.5,4.625,4.5,136100,4.5
2000-01-31,4.6875,4.5,4.5,4.5,102200,4.5
2000-02-01,4.5625,4.125,4.5625,4.125,347800,4.125
2000-02-02,4.125,3.875,4.125,4.0625,389800,4.0625
2000-02-03,4.1875,4.0,4.125,4.1875,281600,4.1875
2000-02-04,4.75,4.1875,4.25,4.625,158300,4.625
2000-02-07,5.125,4.6875,4.75,4.9375,256900,4.9375
2000-02-08,5.0,4.875,5.0,4.875,207700,4.875
2000-02-09,5.0,4.5,4.9375,4.875,253800,4.875
2000-02-10,5.0,4.625,5.0,4.875,274100,4.875
2000-02-11,5.0,4.875,4.9375,4.875,219200,4.875
2000-02-14,5.0625,4.875,5.0,5.0,179500,5.0
2000-02-15,5.25,5.0625,5.0625,5.25,258200,5.25
2000-02-16,5.5625,5.3125,5.3125,5.375,262400,5.375
2000-02-17,5.5625,5.375,5.5,5.5,118200,5.5
