Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,2.71875,2.5,2.6875,2.5625,61200.0,2.5625
2000-01-04,2.46875,2.4375,2.46875,2.4375,14800.0,2.4375
2000-01-05,2.5,2.34375,2.4375,2.484375,35200.0,2.484375
2000-01-06,2.5,2.421875,2.421875,2.46875,16000.0,2.46875
2000-01-07,2.46875,2.4375,2.46875,2.453125,8000.0,2.453125
2000-01-10,2.484375,2.453125,2.484375,2.46875,12800.0,2.46875
2000-01-11,2.46875,2.34375,2.46875,2.34375,14800.0,2.34375
2000-01-12,2.53125,2.375,2.40625,2.5,26000.0,2.5
2000-01-13,2.5,2.46875,2.5,2.46875,5600.0,2.46875
2000-01-14,2.484375,2.4375,2.453125,2.46875,32800.0,2.46875
2000-01-18,2.453125,2.4375,2.4375,2.4375,1600.0,2.4375
2000-01-19,2.40625,2.359375,2.40625,2.359375,24400.0,2.359375
2000-01-20,2.375,2.21875,2.34375,2.25,49600.0,2.25
2000-01-21,2.25,2.21875,2.25,2.21875,34400.0,2.21875
2000-01-24,2.34375,2.1875,2.1875,2.34375,113600.0,2.34375
2000-01-25,2.5,2.375,2.375,2.5,22400.0,2.5
2000-01-26,2.5,2.375,2.5,2.46875,36400.0,2.46875
2000-01-27,2.5,2.453125,2.5,2.453125,16800.0,2.453125
2000-01-28,2.5,2.421875,2.421875,2.5,4000.0,2.5
2000-01-31,2.578125,2.375,2.5,2.546875,32800.0,2.546875
2000-02-01,2.625,2.5625,2.5625,2.625,10000.0,2.625
2000-02-02,2.65625,2.59375,2.59375,2.625,42800.0,2.625
2000-02-03,2.6875,2.625,2.6875,2.625,36400.0,2.625
2000-02-04,2.6875,2.625,2.65625,2.6875,4400.0,2.6875
2000-02-07,2.75,2.65625,2.65625,2.75,11200.0,2.75
2000-02-08,2.875,2.75,2.78125,2.78125,30000.0,2.78125
2000-02-09,2.859375,2.734375,2.859375,2.78125,25200.0,2.78125
2000-02-10,2.765625,2.734375,2.75,2.734375,51600.0,2.734375
2000-02-11,2.734375,2.71875,2.734375,2.71875,8800.0,2.71875
2000-02-14,2.765625,2.75,2.765625,2.75,23200.0,2.75
2000-02-15,2.78125,2.75,2.78125,2.75,28800.0,2.75
2000-02-16,2.75,2.71875,2.75,2.75,12000.0,2.75
2000-02-17,2.859375,2.75,2.75,2.78125,58000.0,2.78125
2000-02-18,2.8125,2.75,2.78125,2.75,17600.0,2.75
2000-02-22,2.796875,2.71875,2.75,2.796875,54400.0,2.796875
2000-02-23,2.78125,2.734375,2.765625,2.75,43600.0,2.75
2000-02-24,2.796875,2.78125,2.78125,2.78125,12800.0,2.78125
2000-02-25,2.8125,2.75,2.8125,2.75,41200.0,2.75
2000-02-28,2.84375,2.75,2.75,2.828125,10800.0,2.828125
2000-02-29,2.84375,2.796875,2.796875,2.828125,29600.0,2.828125
2000-03-01,2.859375,2.734375,2.796875,2.734375,150000.0,2.734375
2000-03-02,2.84375,2.6875,2.734375,2.75,56000.0,2.75
