Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,15.125,14.1875,15.125,14.1875,109700.0,11.884034156799316
2000-01-04,14.4375,14.0625,14.3125,14.3125,23400.0,11.988740921020508
2000-01-05,14.5625,14.0,14.1875,14.4375,22400.0,12.093445777893066
2000-01-06,14.6875,14.4375,14.4375,14.6875,46900.0,12.302855491638184
2000-01-07,14.75,14.375,14.6875,14.625,33100.0,12.250503540039062
2000-01-10,14.6875,14.375,14.6875,14.5625,38600.0,12.198148727416992
2000-01-11,14.625,14.0625,14.625,14.0625,46900.0,11.811775207519531
2000-01-12,14.375,14.0625,14.1875,14.25,20800.0,11.969264030456543
2000-01-13,14.625,14.0,14.25,14.125,62200.0,11.864272117614746
2000-01-14,14.1875,13.0,14.125,13.0,248000.0,10.919328689575195
2000-01-18,14.1875,12.9375,13.4375,14.1875,209600.0,11.916767120361328
2000-01-19,14.875,14.125,14.1875,14.75,77200.0,12.389239311218262
2000-01-20,15.1875,14.625,14.625,15.0,69900.0,12.599223136901855
2000-01-21,15.25,14.9375,14.9375,14.9375,34400.0,12.54672908782959
2000-01-24,15.0625,14.8125,15.0,14.8125,52300.0,12.441737174987793
2000-01-25,14.8125,14.6875,14.8125,14.6875,50100.0,12.33674144744873
2000-01-26,14.875,14.625,14.6875,14.75,37800.0,12.389239311218262
2000-01-27,15.0625,14.4375,15.0,14.4375,74800.0,12.126754760742188
2000-01-28,14.5,13.75,14.375,14.0,53400.0,11.759278297424316
2000-01-31,14.0,13.25,14.0,13.3125,113400.0,11.181814193725586
2000-02-01,13.625,13.3125,13.5,13.5,45900.0,11.339303016662598
2000-02-02,13.875,13.5,13.5625,13.75,34100.0,11.54928970336914
2000-02-03,15.4375,13.75,13.75,14.375,397900.0,12.074258804321289
2000-02-04,14.875,14.25,14.875,14.25,480900.0,11.969264030456543
2000-02-07,14.3125,14.0,14.25,14.0625,56500.0,11.811775207519531
2000-02-08,14.1875,13.75,14.1875,13.75,96000.0,11.54928970336914
2000-02-09,13.875,13.375,13.75,13.5625,50800.0,11.391800880432129
2000-02-10,14.5,13.5625,13.75,14.25,79600.0,11.969264030456543
2000-02-11,14.3125,13.8125,14.25,13.875,52400.0,11.654285430908203
2000-02-14,14.0,13.5,14.0,13.875,71200.0,11.654285430908203
2000-02-15,14.0,13.375,14.0,13.4375,55800.0,11.2868070602417
2000-02-16,13.625,13.125,13.5625,13.25,91200.0,11.129315376281738
2000-02-17,13.5,13.125,13.25,13.3125,95100.0,11.181814193725586
2000-02-18,13.3125,13.125,13.3125,13.1875,61200.0,11.07681655883789
2000-02-22,13.4375,13.0,13.0625,13.4375,76500.0,11.2868070602417
2000-02-23,13.9375,13.4375,13.4375,13.9375,74100.0,11.706783294677734
2000-02-24,13.8125,13.5625,13.8125,13.625,29300.0,11.444297790527344
2000-02-25,13.75,13.5,13.5,13.5625,343800.0,11.391800880432129
2000-02-28,13.75,13.5625,13.5625,13.6875,354400.0,11.496793746948242
2000-02-29,14.0,13.625,13.6875,13.875,81000.0,11.654285430908203
2000-03-01,14.4375,13.9375,14.125,14.3125,156500.0,12.021760940551758
2000-03-02,14.8125,14.5,14.5,14.625,83900.0,12.284245491027832
2000-03-03,15.0,14.625,14.75,14.875,52300.0,12.494234085083008
2000-03-06,14.8125,14.4375,14.75,14.5625,45900.0,12.231746673583984
2000-03-07,14.6875,14.375,14.6875,14.5,33800.0,12.179253578186035
2000-03-08,14.625,14.25,14.375,14.3125,39200.0,12.021760940551758
2000-03-09,15.0,14.1875,14.1875,14.75,44900.0,12.389239311218262
2000-03-10,14.625,14.0,14.625,14.0625,58400.0,11.811775207519531
2000-03-13,14.3125,13.875,14.0625,14.0625,28500.0,11.811775207519531
2000-03-14,14.125,13.8125,14.125,14.0625,58300.0,11.811775207519531
2000-03-15,14.4375,13.78125,13.9375,14.25,41800.0,11.969264030456543
2000-03-16,14.625,14.125,14.3125,14.4375,40100.0,12.126754760742188
2000-03-17,15.0625,14.375,14.375,15.0,105900.0,12.599223136901855
2000-03-20,16.75,15.75,15.75,16.25,185600.0,13.649161338806152
2000-03-21,16.625,15.875,16.125,16.375,54600.0,13.754156112670898
2000-03-22,17.0,16.25,16.4375,16.9375,79100.0,14.2266206741333
2000-03-23,17.75,17.0,17.0,17.625,79400.0,14.804092407226562
2000-03-24,18.0,17.5,17.6875,17.5625,30900.0,14.751595497131348
2000-03-27,17.875,16.0,17.75,16.4375,92700.0,13.806654930114746
2000-03-28,16.4375,15.6875,16.375,15.8125,45800.0,13.281686782836914
2000-03-29,15.3125,14.625,15.3125,15.125,65000.0,12.70422077178955
2000-03-30,15.125,13.875,15.125,14.625,152800.0,12.284245491027832
2000-03-31,14.875,13.9375,14.625,14.25,113600.0,11.969264030456543
2000-04-03,15.0,14.125,14.125,14.8125,52400.0,12.441737174987793
2000-04-04,14.8125,14.125,14.8125,14.25,40700.0,11.969264030456543
2000-04-05,14.875,14.25,14.25,14.75,85000.0,12.389239311218262
2000-04-06,15.0,14.25,14.75,14.5,18700.0,12.179253578186035
2000-04-07,14.625,14.25,14.5625,14.5625,23900.0,12.231746673583984
2000-04-10,14.5625,13.875,14.5625,13.875,54000.0,11.654285430908203
2000-04-11,14.1875,13.6875,13.8125,13.875,68800.0,11.687980651855469
2000-04-12,14.75,13.5,13.875,14.4375,224500.0,12.16181468963623
2000-04-13,14.625,14.25,14.5625,14.5,67900.0,12.21446704864502
2000-04-14,14.625,13.875,14.375,14.1875,68200.0,11.95121955871582
2000-04-17,14.5625,14.0,14.0625,14.3125,50300.0,12.056520462036133
2000-04-18,14.5625,14.25,14.4375,14.5,101500.0,12.21446704864502
2000-04-19,14.625,14.3125,14.375,14.5,44900.0,12.21446704864502
2000-04-20,14.75,14.25,14.5625,14.75,110700.0,12.42505931854248
2000-04-24,14.875,14.5,14.75,14.6875,51100.0,12.37241268157959
2000-04-25,14.75,14.0,14.625,14.75,100800.0,12.42505931854248
2000-04-26,15.0,14.625,14.625,14.8125,41400.0,12.477706909179688
2000-04-27,14.6875,14.25,14.6875,14.6875,49100.0,12.37241268157959
2000-04-28,14.75,14.4375,14.75,14.5625,24300.0,12.267109870910645
2000-05-01,15.25,14.375,14.5,15.25,111000.0,12.8462495803833
2000-05-02,15.25,14.6875,15.25,15.0,275800.0,12.635651588439941
2000-05-03,15.09375,14.375,15.0,14.5625,32200.0,12.267109870910645
2000-05-04,14.5625,14.5,14.5,14.5625,46400.0,12.267109870910645
2000-05-05,15.125,14.4375,14.5625,15.0625,77400.0,12.688302040100098
2000-05-08,15.25,14.5,15.25,14.5,40100.0,12.21446704864502
2000-05-09,15.25,14.5,14.5,15.0625,30000.0,12.688302040100098
2000-05-10,14.9375,14.125,14.9375,14.4375,154300.0,12.16181468963623
2000-05-11,14.625,14.0,14.3125,14.25,21100.0,12.003870964050293
2000-05-12,14.25,14.0,14.25,14.1875,22100.0,11.95121955871582
2000-05-15,14.6875,13.625,14.1875,14.6875,67500.0,12.37241268157959
2000-05-16,14.75,14.625,14.75,14.6875,155700.0,12.37241268157959
2000-05-17,14.875,14.3125,14.875,14.625,53400.0,12.319762229919434
2000-05-18,14.5,13.875,14.5,13.9375,81500.0,11.740631103515625
2000-05-19,13.8125,13.125,13.75,13.5,74200.0,11.372086524963379
2000-05-22,14.0,13.3125,13.625,14.0,84600.0,11.793275833129883
2000-05-23,13.9375,13.625,13.875,13.875,17100.0,11.687980651855469
2000-05-24,13.75,12.875,13.75,12.9375,211400.0,10.898250579833984
2000-05-25,13.25,12.875,12.9375,13.0,104500.0,10.95090103149414
2000-05-26,12.75,12.0,12.75,12.25,399600.0,10.31911563873291
2000-05-30,12.9375,12.0,12.125,12.875,583500.0,10.845603942871094
2000-05-31,13.0,12.5625,12.875,12.8125,233500.0,10.792953491210938
2000-06-01,13.125,12.5,12.75,12.5625,107000.0,10.582359313964844
2000-06-02,12.875,12.5625,12.6875,12.875,84100.0,10.845603942871094
2000-06-05,12.875,12.625,12.8125,12.6875,69600.0,10.687658309936523
2000-06-06,12.625,12.0625,12.5625,12.4375,97800.0,10.47706127166748
2000-06-07,12.3125,12.125,12.3125,12.25,32100.0,10.31911563873291
2000-06-08,12.25,11.875,12.125,11.875,43000.0,10.003226280212402
2000-06-09,11.9375,11.4375,11.9375,11.5,68400.0,9.687334060668945
2000-06-12,12.0,11.25,11.4375,11.9375,360600.0,10.055872917175293
2000-06-13,11.75,11.4375,11.75,11.5625,483100.0,9.739981651306152
2000-06-14,11.5,11.1875,11.5,11.25,94300.0,9.476739883422852
2000-06-15,11.4375,11.0625,11.25,11.4375,125400.0,9.634686470031738
