Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2013",3.17,3.34,3.15,3.22,"830,203"
"Mar 04, 2013",3.20,3.32,3.20,3.25,"85,086"
"Mar 05, 2013",3.30,3.54,3.25,3.49,"119,018"
"Mar 06, 2013",3.59,3.70,3.46,3.70,"663,289"
"Mar 07, 2013",3.61,3.67,3.49,3.49,"285,346"
"Mar 08, 2013",3.29,3.53,3.26,3.37,"226,224"
"Mar 11, 2013",3.38,3.47,3.32,3.42,"152,277"
"Mar 12, 2013",3.47,3.60,3.45,3.60,"136,690"
"Mar 13, 2013",3.56,3.65,3.44,3.46,"186,421"
"Mar 14, 2013",3.50,3.69,3.45,3.66,"109,921"
"Mar 15, 2013",3.69,3.71,3.63,3.67,"642,397"
"Mar 18, 2013",3.59,3.61,3.50,3.60,"59,114"
"Mar 19, 2013",3.55,3.70,3.55,3.66,"94,051"
"Mar 20, 2013",3.63,3.65,3.56,3.56,"93,130"
"Mar 21, 2013",3.61,3.65,3.56,3.58,"94,635"
"Mar 22, 2013",3.58,3.60,3.52,3.52,"59,000"
"Mar 25, 2013",3.47,3.55,3.41,3.41,"179,845"
"Mar 26, 2013",3.41,3.47,3.33,3.33,"365,352"
"Mar 27, 2013",3.35,3.36,3.26,3.35,"214,503"
"Mar 28, 2013",3.30,3.34,3.25,3.25,"67,767"
"Apr 01, 2013",3.26,3.30,3.26,3.26,"51,050"
"Apr 02, 2013",3.25,3.25,3.08,3.10,"76,512"
"Apr 03, 2013",3.05,3.13,2.78,2.82,"523,602"
"Apr 04, 2013",2.87,2.91,2.76,2.85,"314,071"
"Apr 05, 2013",2.83,3.00,2.83,2.98,"292,567"
"Apr 08, 2013",2.88,3.05,2.88,2.96,"100,648"
"Apr 09, 2013",3.07,3.15,3.02,3.15,"64,335"
"Apr 10, 2013",2.99,3.01,2.77,2.80,"162,809"
"Apr 11, 2013",2.80,2.89,2.74,2.80,"470,441"
"Apr 12, 2013",2.75,2.79,2.56,2.60,"159,899"
"Apr 15, 2013",2.40,2.57,2.40,2.43,"128,274"
"Apr 16, 2013",2.50,2.65,2.39,2.40,"168,282"
"Apr 17, 2013",2.41,2.50,2.26,2.45,"260,205"
