Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",10.10,10.10,9.80,10.00,"11,700"
"Jan 03, 2001",10.00,10.15,9.80,10.00,"22,000"
"Jan 04, 2001",10.00,10.15,9.95,10.10,"16,400"
"Jan 05, 2001",10.00,10.15,9.85,10.05,"24,200"
"Jan 08, 2001",10.15,10.15,10.00,10.15,"16,900"
"Jan 09, 2001",10.10,10.30,10.10,10.15,"24,200"
"Jan 10, 2001",9.90,9.90,9.75,9.75,"105,800"
"Jan 11, 2001",9.80,9.80,9.75,9.80,"26,100"
"Jan 12, 2001",9.80,9.85,9.75,9.80,"42,200"
"Jan 15, 2001",9.80,9.85,9.80,9.80,"50,400"
"Jan 16, 2001",9.80,9.85,9.80,9.80,"46,700"
"Jan 17, 2001",9.80,9.85,9.75,9.80,"58,200"
"Jan 18, 2001",9.80,9.85,9.75,9.80,"24,100"
"Jan 19, 2001",9.85,9.85,9.75,9.75,"24,600"
"Jan 22, 2001",9.85,9.85,9.70,9.80,"70,500"
"Jan 23, 2001",9.70,9.80,9.65,9.75,"54,900"
"Jan 24, 2001",9.75,9.80,9.70,9.70,"34,200"
"Jan 25, 2001",9.70,9.80,9.65,9.80,"50,200"
"Jan 26, 2001",9.80,9.80,9.70,9.80,"62,400"
"Jan 29, 2001",9.80,9.84,9.67,9.84,"43,400"
"Jan 30, 2001",9.85,9.94,9.75,9.88,"106,700"
"Jan 31, 2001",9.83,9.88,9.77,9.80,"71,800"
"Feb 01, 2001",9.82,9.95,9.77,9.95,"60,300"
"Feb 02, 2001",9.90,9.93,9.85,9.89,"46,900"
"Feb 05, 2001",9.85,9.92,9.83,9.85,"65,400"
"Feb 06, 2001",9.89,9.90,9.85,9.85,"203,600"
"Feb 07, 2001",9.85,9.97,9.84,9.97,"85,100"
"Feb 08, 2001",9.99,10.05,9.90,9.97,"182,000"
"Feb 09, 2001",10.00,10.05,9.95,9.95,"65,400"
"Feb 12, 2001",9.95,10.10,9.95,10.00,"60,700"
"Feb 13, 2001",10.02,10.05,9.98,9.98,"40,600"
"Feb 14, 2001",10.00,10.04,9.95,10.00,"51,600"
"Feb 15, 2001",10.00,10.00,9.90,9.95,"21,900"
"Feb 16, 2001",9.99,10.00,9.85,9.94,"47,800"
"Feb 19, 2001",9.90,9.97,9.88,9.94,"60,900"
"Feb 20, 2001",9.94,9.95,9.90,9.94,"50,800"
"Feb 21, 2001",9.90,9.94,9.86,9.93,"47,000"
"Feb 22, 2001",9.93,9.93,9.80,9.80,"20,200"
"Feb 23, 2001",9.90,10.00,9.80,9.85,"43,000"
"Feb 26, 2001",9.85,9.99,9.80,9.94,"57,700"
"Feb 27, 2001",9.86,9.94,9.83,9.90,"58,000"
"Feb 28, 2001",9.86,9.95,9.83,9.92,"44,100"
"Mar 01, 2001",9.92,9.92,9.84,9.92,"32,200"
"Mar 02, 2001",9.92,9.95,9.84,9.94,"25,200"
"Mar 05, 2001",9.95,9.95,9.90,9.90,"32,000"
"Mar 06, 2001",9.94,9.97,9.90,9.95,"80,700"
"Mar 07, 2001",9.93,10.00,9.91,9.96,"85,400"
"Mar 08, 2001",10.09,10.25,10.00,10.10,"72,800"
"Mar 09, 2001",10.25,10.30,10.05,10.25,"54,800"
"Mar 12, 2001",10.35,10.35,10.11,10.15,"75,300"
"Mar 13, 2001",10.15,10.24,10.06,10.13,"64,500"
"Mar 14, 2001",10.20,10.24,10.01,10.10,"64,400"
"Mar 15, 2001",10.15,10.20,10.10,10.18,"86,400"
"Mar 16, 2001",10.20,10.30,10.16,10.25,"71,800"
"Mar 19, 2001",10.20,10.24,10.15,10.15,"65,700"
"Mar 20, 2001",10.15,10.29,10.04,10.29,"69,900"
"Mar 21, 2001",10.16,10.25,10.15,10.25,"60,200"
"Mar 22, 2001",10.29,10.29,10.19,10.28,"60,700"
"Mar 23, 2001",10.22,10.25,10.20,10.25,"47,800"
"Mar 26, 2001",10.25,10.25,10.20,10.25,"44,600"
"Mar 27, 2001",10.25,10.34,10.20,10.30,"60,600"
"Mar 28, 2001",10.28,10.29,10.06,10.19,"54,500"
"Mar 29, 2001",10.18,10.27,10.14,10.20,"29,000"
"Mar 30, 2001",10.24,10.40,10.17,10.25,"56,100"
"Apr 02, 2001",10.35,10.35,10.25,10.30,"79,300"
"Apr 03, 2001",10.25,10.40,10.25,10.37,"36,600"
"Apr 04, 2001",10.35,10.40,10.35,10.40,"48,600"
"Apr 05, 2001",10.40,10.45,10.30,10.43,"48,900"
"Apr 06, 2001",10.34,10.49,10.34,10.48,"41,100"
"Apr 09, 2001",10.45,10.50,10.41,10.50,"70,700"
"Apr 10, 2001",10.41,10.49,10.41,10.49,"50,800"
"Apr 11, 2001",10.50,10.57,10.48,10.55,"68,400"
"Apr 12, 2001",10.60,10.63,10.52,10.56,"59,800"
"Apr 16, 2001",10.52,10.58,10.31,10.44,"48,200"
"Apr 17, 2001",10.44,10.45,10.32,10.35,"76,800"
"Apr 18, 2001",10.42,10.45,10.36,10.39,"80,600"
"Apr 19, 2001",10.40,10.40,10.30,10.37,"41,900"
"Apr 20, 2001",10.39,10.40,10.30,10.34,"43,500"
"Apr 23, 2001",10.30,10.35,10.12,10.27,"50,500"
"Apr 24, 2001",10.30,10.38,10.22,10.25,"66,200"
"Apr 25, 2001",10.28,10.30,10.10,10.15,"70,500"
"Apr 26, 2001",10.22,10.25,10.15,10.23,"49,500"
"Apr 27, 2001",10.16,10.25,10.13,10.19,"67,900"
"Apr 30, 2001",10.21,10.30,10.15,10.25,"48,800"
"May 01, 2001",10.25,10.27,10.17,10.24,"47,600"
"May 02, 2001",10.21,10.28,10.20,10.23,"58,000"
"May 03, 2001",10.20,10.20,10.10,10.12,"56,100"
"May 04, 2001",10.17,10.19,10.10,10.19,"47,500"
"May 07, 2001",10.17,10.20,10.10,10.10,"42,800"
"May 08, 2001",10.15,10.20,9.80,10.10,"66,900"
"May 09, 2001",10.01,10.20,10.01,10.06,"61,000"
"May 10, 2001",10.20,10.25,10.05,10.10,"68,600"
"May 11, 2001",10.08,10.24,10.05,10.24,"95,800"
"May 14, 2001",10.23,10.41,10.15,10.25,"26,900"
"May 15, 2001",10.35,10.35,10.15,10.30,"37,200"
"May 16, 2001",10.26,10.29,10.20,10.26,"43,600"
"May 17, 2001",10.29,10.40,10.25,10.34,"96,300"
"May 18, 2001",10.30,10.47,10.30,10.40,"30,200"
"May 22, 2001",10.40,10.55,10.30,10.40,"106,400"
"May 23, 2001",10.44,10.45,10.30,10.34,"36,200"
"May 24, 2001",10.30,10.38,10.29,10.38,"69,100"
"May 25, 2001",10.38,10.48,10.30,10.48,"93,300"
"May 28, 2001",10.45,10.48,10.40,10.40,"135,900"
"May 29, 2001",10.44,10.46,10.33,10.39,"59,100"
"May 30, 2001",10.33,10.35,10.30,10.32,"50,000"
"May 31, 2001",10.34,10.38,10.30,10.37,"49,000"
"Jun 01, 2001",10.37,10.37,10.31,10.36,"27,900"
"Jun 04, 2001",10.37,10.50,10.35,10.50,"45,000"
"Jun 05, 2001",10.45,10.54,10.42,10.52,"47,000"
"Jun 06, 2001",10.50,10.52,10.42,10.43,"44,300"
"Jun 07, 2001",10.20,10.35,10.20,10.22,"77,400"
"Jun 08, 2001",10.25,10.25,10.22,10.24,"53,400"
"Jun 11, 2001",10.22,10.25,10.20,10.25,"35,700"
"Jun 12, 2001",10.20,10.30,10.20,10.25,"43,400"
"Jun 13, 2001",10.25,10.25,10.20,10.25,"35,000"
"Jun 14, 2001",10.24,10.30,10.21,10.24,"59,900"
"Jun 15, 2001",10.20,10.25,10.20,10.23,"45,300"
"Jun 18, 2001",10.23,10.26,10.20,10.23,"29,600"
"Jun 19, 2001",10.25,10.30,10.22,10.30,"54,600"
"Jun 20, 2001",10.24,10.34,10.23,10.29,"52,400"
"Jun 21, 2001",10.26,10.30,10.25,10.29,"69,800"
"Jun 22, 2001",10.28,10.28,10.23,10.24,"53,200"
"Jun 25, 2001",10.28,10.33,10.22,10.28,"60,200"
"Jun 26, 2001",10.30,10.32,10.21,10.30,"67,600"
"Jun 27, 2001",10.00,10.05,10.00,10.04,"142,700"
"Jun 28, 2001",10.02,10.10,10.00,10.10,"88,200"
"Jun 29, 2001",10.08,10.08,10.02,10.05,"53,900"
"Jul 03, 2001",10.07,10.07,10.00,10.00,"120,700"
"Jul 04, 2001",10.05,10.05,10.00,10.03,"55,800"
"Jul 05, 2001",10.03,10.05,10.01,10.05,"91,300"
"Jul 06, 2001",10.05,10.05,10.02,10.02,"66,800"
"Jul 09, 2001",10.02,10.10,10.00,10.04,"40,300"
"Jul 10, 2001",10.05,10.10,10.02,10.07,"95,500"
"Jul 11, 2001",10.05,10.10,10.02,10.04,"67,900"
"Jul 12, 2001",10.08,10.09,10.03,10.09,"43,500"
"Jul 13, 2001",10.04,10.09,10.02,10.02,"77,300"
"Jul 16, 2001",10.07,10.07,10.02,10.04,"52,200"
"Jul 17, 2001",10.06,10.09,10.04,10.06,"135,200"
"Jul 18, 2001",10.04,10.08,10.02,10.07,"53,200"
"Jul 19, 2001",10.05,10.08,10.02,10.08,"84,900"
"Jul 20, 2001",10.09,10.09,10.04,10.08,"47,100"
"Jul 23, 2001",10.05,10.23,10.05,10.19,"54,200"
"Jul 24, 2001",10.19,10.25,10.05,10.22,"69,500"
"Jul 25, 2001",10.24,10.28,10.19,10.28,"63,500"
"Jul 26, 2001",10.22,10.38,10.22,10.35,"93,100"
"Jul 27, 2001",10.48,10.49,10.35,10.48,"42,000"
"Jul 30, 2001",10.38,10.50,10.38,10.50,"60,700"
"Jul 31, 2001",10.45,10.54,10.40,10.53,"58,600"
"Aug 01, 2001",10.46,10.60,10.46,10.60,"175,400"
"Aug 02, 2001",10.55,10.68,10.50,10.60,"61,600"
"Aug 03, 2001",10.60,10.62,10.50,10.62,"34,800"
"Aug 07, 2001",10.62,10.65,10.58,10.60,"38,800"
"Aug 08, 2001",10.60,10.60,10.38,10.60,"57,900"
"Aug 09, 2001",10.50,10.63,10.50,10.50,"38,000"
"Aug 10, 2001",10.62,10.74,10.52,10.74,"99,300"
"Aug 13, 2001",10.65,10.73,10.55,10.55,"58,800"
"Aug 14, 2001",10.60,10.60,10.40,10.49,"50,200"
"Aug 15, 2001",10.48,10.60,10.41,10.60,"48,800"
"Aug 16, 2001",10.57,10.60,10.40,10.58,"95,600"
"Aug 17, 2001",10.55,10.58,10.41,10.58,"37,400"
"Aug 20, 2001",10.60,10.60,10.30,10.33,"51,300"
"Aug 21, 2001",10.38,10.40,10.20,10.21,"95,600"
"Aug 22, 2001",10.35,10.35,10.15,10.22,"83,500"
"Aug 23, 2001",10.24,10.64,10.20,10.49,"155,100"
"Aug 24, 2001",10.49,10.59,10.42,10.53,"76,200"
"Aug 27, 2001",10.50,10.57,10.36,10.55,"62,800"
"Aug 28, 2001",10.47,10.55,10.40,10.44,"65,900"
"Aug 29, 2001",10.40,10.50,10.36,10.41,"130,000"
"Aug 30, 2001",10.40,10.44,10.30,10.30,"57,500"
"Aug 31, 2001",10.34,10.50,10.34,10.45,"156,800"
"Sep 04, 2001",10.45,10.45,10.32,10.43,"52,900"
"Sep 05, 2001",10.35,10.39,10.25,10.33,"51,700"
"Sep 06, 2001",10.33,10.33,10.10,10.20,"110,000"
"Sep 07, 2001",10.10,10.15,10.00,10.15,"70,200"
"Sep 10, 2001",10.18,10.18,10.06,10.14,"68,300"
"Sep 11, 2001",10.10,10.10,10.00,10.00,"31,900"
"Sep 13, 2001",10.09,10.18,10.00,10.06,"93,900"
"Sep 14, 2001",10.06,10.06,9.81,10.00,"97,800"
"Sep 17, 2001",10.00,10.14,9.96,10.04,"42,200"
"Sep 18, 2001",10.10,10.13,10.03,10.09,"63,200"
"Sep 19, 2001",10.10,10.14,9.95,10.04,"98,200"
"Sep 20, 2001",10.08,10.09,9.95,10.05,"66,100"
"Sep 21, 2001",10.00,10.10,9.86,10.00,"93,400"
"Sep 24, 2001",10.00,10.08,9.96,10.05,"69,700"
"Sep 25, 2001",10.01,10.15,10.01,10.10,"123,600"
"Sep 26, 2001",10.00,10.10,9.80,10.00,"50,900"
"Sep 27, 2001",9.90,10.14,9.85,9.97,"42,400"
"Sep 28, 2001",9.78,9.78,9.62,9.70,"226,300"
"Oct 01, 2001",9.70,9.70,9.66,9.69,"41,400"
"Oct 02, 2001",9.70,9.70,9.64,9.70,"109,500"
"Oct 03, 2001",9.67,9.72,9.67,9.69,"181,900"
"Oct 04, 2001",9.71,9.72,9.70,9.70,"124,800"
"Oct 05, 2001",9.72,9.73,9.70,9.73,"90,200"
"Oct 09, 2001",9.73,9.73,9.68,9.72,"67,900"
"Oct 10, 2001",9.72,9.72,9.68,9.72,"73,200"
"Oct 11, 2001",9.72,9.74,9.70,9.73,"115,000"
"Oct 12, 2001",9.74,9.82,9.73,9.75,"248,700"
"Oct 15, 2001",9.75,9.78,9.73,9.77,"186,800"
"Oct 16, 2001",9.78,9.90,9.78,9.86,"139,800"
