Date,Open,High,Low,Adj. Close,Volume
"Jun 13, 2013",16.38,16.40,15.92,16.29,"454,120"
"Jun 14, 2013",16.40,16.76,16.39,16.72,"68,150"
"Jun 17, 2013",16.80,16.99,16.73,16.84,"69,952"
"Jun 18, 2013",16.96,17.01,16.88,16.91,"48,845"
"Jun 19, 2013",17.09,17.12,16.79,16.80,"96,817"
"Jun 20, 2013",16.62,16.84,16.47,16.47,"85,275"
"Jun 21, 2013",16.51,16.84,16.47,16.48,"49,625"
"Jun 24, 2013",16.43,16.55,16.22,16.49,"65,000"
"Jun 25, 2013",16.55,16.66,16.40,16.55,"51,560"
"Jun 26, 2013",16.60,16.66,16.30,16.30,"37,550"
"Jun 27, 2013",16.40,16.55,16.39,16.40,"17,609"
"Jun 28, 2013",16.48,16.52,16.42,16.47,"19,532"
"Jul 02, 2013",16.55,16.77,16.50,16.63,"16,445"
"Jul 03, 2013",16.67,16.83,16.63,16.83,"19,250"
"Jul 04, 2013",16.84,16.97,16.73,16.97,"12,995"
"Jul 05, 2013",16.77,16.77,16.55,16.69,"36,375"
"Jul 08, 2013",16.64,16.78,16.60,16.69,"10,500"
"Jul 09, 2013",16.77,16.81,16.69,16.81,"13,609"
"Jul 10, 2013",16.80,16.96,16.73,16.78,"14,570"
"Jul 11, 2013",16.77,16.99,16.66,16.66,"27,275"
"Jul 12, 2013",16.79,16.84,16.68,16.73,"20,290"
"Jul 15, 2013",16.77,16.95,16.74,16.84,"10,886"
"Jul 16, 2013",16.84,16.94,16.84,16.90,"30,150"
"Jul 17, 2013",16.84,17.10,16.82,16.91,"22,460"
"Jul 18, 2013",16.95,17.01,16.91,17.01,"98,950"
"Jul 19, 2013",16.96,17.03,16.91,16.99,"62,165"
"Jul 22, 2013",16.94,16.99,16.91,16.91,"18,648"
"Jul 23, 2013",16.96,17.12,16.92,16.96,"25,775"
"Jul 24, 2013",16.96,17.08,16.91,16.94,"45,480"
"Jul 25, 2013",16.91,17.04,16.85,16.99,"25,457"
"Jul 26, 2013",16.91,16.96,16.91,16.91,"14,998"
"Jul 29, 2013",16.88,16.88,16.48,16.51,"12,050"
"Jul 30, 2013",16.47,16.91,16.47,16.74,"16,315"
