Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",2.01,2.13,2.01,2.13,"21,600"
"Jan 03, 2001",0.00,0.00,0.00,2.13,0
"Jan 04, 2001",0.00,0.00,0.00,2.13,0
"Jan 05, 2001",2.16,2.16,2.16,2.16,"12,000"
"Jan 08, 2001",2.16,2.24,2.15,2.24,"92,000"
"Jan 09, 2001",0.00,0.00,0.00,2.24,0
"Jan 10, 2001",2.10,2.23,2.10,2.23,"16,800"
"Jan 11, 2001",2.21,2.25,2.21,2.25,"80,000"
"Jan 12, 2001",2.25,2.25,2.21,2.21,"13,600"
"Jan 15, 2001",2.25,2.25,2.25,2.25,"4,000"
"Jan 16, 2001",2.14,2.14,2.14,2.14,"4,000"
"Jan 17, 2001",0.00,0.00,0.00,2.14,0
"Jan 18, 2001",2.15,2.25,2.15,2.25,"68,000"
"Jan 19, 2001",2.20,2.20,2.16,2.16,"36,800"
"Jan 22, 2001",2.24,2.24,2.16,2.16,"10,400"
"Jan 23, 2001",2.10,2.16,2.10,2.11,"43,200"
"Jan 24, 2001",2.09,2.09,2.09,2.09,"16,000"
"Jan 25, 2001",2.16,2.16,2.16,2.16,"131,200"
"Jan 26, 2001",0.00,0.00,0.00,2.16,0
"Jan 29, 2001",2.06,2.06,2.06,2.06,"5,600"
"Jan 30, 2001",2.05,2.05,2.05,2.05,"8,000"
"Jan 31, 2001",0.00,0.00,0.00,2.05,0
"Feb 01, 2001",0.00,0.00,0.00,2.05,0
"Feb 02, 2001",2.08,2.08,2.08,2.08,"29,600"
"Feb 05, 2001",2.05,2.11,2.03,2.11,"22,400"
"Feb 06, 2001",2.11,2.11,2.11,2.11,800
"Feb 07, 2001",0.00,0.00,0.00,2.11,0
"Feb 08, 2001",2.06,2.06,2.06,2.06,"7,200"
"Feb 09, 2001",2.05,2.05,2.05,2.05,"2,400"
"Feb 12, 2001",2.05,2.05,2.05,2.05,"2,400"
"Feb 13, 2001",0.00,0.00,0.00,2.05,0
"Feb 14, 2001",2.10,2.11,2.10,2.11,"51,200"
"Feb 15, 2001",2.09,2.09,2.09,2.09,"56,000"
"Feb 16, 2001",2.03,2.03,2.01,2.01,"20,000"
"Feb 19, 2001",1.95,2.00,1.95,2.00,"17,600"
"Feb 20, 2001",1.96,1.96,1.96,1.96,"2,400"
"Feb 21, 2001",0.00,0.00,0.00,1.96,0
"Feb 22, 2001",1.95,2.00,1.88,2.00,"19,200"
"Feb 23, 2001",1.93,1.93,1.93,1.93,"4,000"
"Feb 26, 2001",1.94,1.94,1.94,1.94,"8,000"
"Feb 27, 2001",1.90,1.90,1.85,1.85,"12,000"
"Feb 28, 2001",1.86,1.86,1.83,1.83,"60,000"
"Mar 01, 2001",1.90,1.90,1.86,1.86,"15,200"
"Mar 02, 2001",1.84,1.84,1.83,1.83,"21,600"
"Mar 05, 2001",1.80,1.80,1.80,1.80,"17,600"
"Mar 06, 2001",1.88,1.88,1.81,1.81,"51,200"
"Mar 07, 2001",1.80,1.80,1.80,1.80,"12,000"
"Mar 08, 2001",1.79,1.79,1.78,1.78,"24,000"
"Mar 09, 2001",1.78,1.78,1.76,1.76,"68,000"
"Mar 12, 2001",1.78,1.78,1.76,1.76,"16,000"
"Mar 13, 2001",0.00,0.00,0.00,1.76,0
"Mar 14, 2001",1.73,1.73,1.65,1.65,"48,000"
"Mar 15, 2001",1.71,1.75,1.71,1.75,"28,800"
"Mar 16, 2001",1.71,1.75,1.71,1.75,"72,000"
"Mar 19, 2001",1.73,1.75,1.69,1.75,"47,200"
"Mar 20, 2001",1.70,1.70,1.70,1.70,800
"Mar 21, 2001",1.78,1.78,1.78,1.78,"4,000"
"Mar 22, 2001",1.69,1.69,1.69,1.69,"16,000"
"Mar 23, 2001",1.75,1.75,1.75,1.75,"12,000"
"Mar 26, 2001",1.73,1.75,1.73,1.75,"57,600"
"Mar 27, 2001",0.00,0.00,0.00,1.75,0
"Mar 28, 2001",1.73,1.73,1.73,1.73,"8,000"
"Mar 29, 2001",1.75,1.78,1.75,1.78,"92,800"
"Mar 30, 2001",1.75,1.75,1.75,1.75,"2,400"
"Apr 02, 2001",0.00,0.00,0.00,1.75,0
"Apr 03, 2001",1.76,1.76,1.75,1.75,"56,000"
"Apr 04, 2001",1.78,1.78,1.78,1.78,"4,000"
"Apr 05, 2001",1.81,1.81,1.79,1.79,"246,400"
"Apr 06, 2001",0.00,0.00,0.00,1.79,0
"Apr 09, 2001",1.73,1.75,1.73,1.75,"49,600"
"Apr 10, 2001",1.76,1.78,1.75,1.75,"114,400"
"Apr 11, 2001",1.78,1.78,1.78,1.78,"25,600"
"Apr 12, 2001",1.83,1.83,1.80,1.83,"96,000"
"Apr 16, 2001",1.76,1.76,1.75,1.75,"32,000"
"Apr 17, 2001",1.71,1.80,1.69,1.80,"36,000"
"Apr 18, 2001",1.78,1.80,1.78,1.80,"12,000"
"Apr 19, 2001",1.80,1.80,1.76,1.76,"48,000"
"Apr 20, 2001",0.00,0.00,0.00,1.76,0
"Apr 23, 2001",0.00,0.00,0.00,1.76,0
"Apr 24, 2001",1.75,1.75,1.75,1.75,"36,000"
"Apr 25, 2001",1.72,1.72,1.71,1.71,"16,000"
"Apr 26, 2001",1.71,1.74,1.69,1.74,"51,200"
"Apr 27, 2001",1.69,1.69,1.69,1.69,"64,000"
"Apr 30, 2001",1.69,1.69,1.69,1.69,"13,600"
"May 01, 2001",1.69,1.69,1.69,1.69,"9,600"
"May 02, 2001",0.00,0.00,0.00,1.69,0
