Date,Open,High,Low,Adj. Close,Volume
"Jan 29, 2019",24.69,24.89,24.61,24.83,"301,959"
"Jan 30, 2019",24.89,25.15,24.89,25.05,"84,154"
"Jan 31, 2019",25.03,25.09,25.00,25.00,"40,480"
"Feb 01, 2019",25.25,25.25,25.02,25.07,"20,710"
"Feb 04, 2019",25.09,25.12,25.06,25.12,"19,940"
"Feb 05, 2019",25.12,25.20,25.10,25.19,"12,740"
"Feb 06, 2019",25.20,25.20,25.17,25.20,"7,630"
"Feb 07, 2019",25.22,25.22,25.10,25.18,"10,453"
"Feb 08, 2019",25.12,25.20,24.70,25.10,"32,375"
"Feb 11, 2019",25.19,25.19,25.06,25.18,"8,716"
"Feb 12, 2019",25.14,25.21,25.11,25.20,"9,500"
"Feb 13, 2019",25.20,25.20,25.11,25.11,"17,825"
"Feb 14, 2019",25.18,25.19,25.02,25.02,"35,884"
"Feb 15, 2019",25.08,25.14,25.05,25.13,"16,400"
"Feb 19, 2019",25.10,25.12,25.10,25.10,"4,500"
"Feb 20, 2019",25.15,25.15,25.12,25.13,"27,400"
"Feb 21, 2019",25.15,25.19,25.07,25.09,"16,937"
"Feb 22, 2019",25.15,25.19,25.10,25.18,"56,700"
