Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",93.00,93.00,93.00,93.00,400
"Jan 03, 2001",94.50,94.50,94.50,94.50,200
"Jan 04, 2001",93.50,94.00,93.50,94.00,500
"Jan 05, 2001",0.00,0.00,0.00,94.00,0
"Jan 08, 2001",95.00,95.00,95.00,95.00,100
"Jan 09, 2001",0.00,0.00,0.00,95.00,0
"Jan 10, 2001",95.00,95.50,94.50,95.50,700
"Jan 11, 2001",95.50,95.50,94.25,95.50,200
"Jan 12, 2001",96.25,96.25,96.25,96.25,100
"Jan 15, 2001",98.00,99.90,97.50,99.90,400
"Jan 16, 2001",0.00,0.00,0.00,99.90,0
"Jan 17, 2001",97.00,97.00,97.00,97.00,100
"Jan 18, 2001",98.00,98.00,98.00,98.00,300
"Jan 19, 2001",0.00,0.00,0.00,98.00,0
"Jan 22, 2001",102.00,102.00,102.00,102.00,100
"Jan 23, 2001",0.00,0.00,0.00,102.00,0
"Jan 24, 2001",100.00,100.00,98.10,98.10,500
"Jan 25, 2001",101.00,101.00,101.00,101.00,0
"Jan 26, 2001",0.00,0.00,0.00,101.00,0
"Jan 29, 2001",99.00,99.00,99.00,99.00,100
"Jan 30, 2001",97.50,98.00,97.50,98.00,"1,600"
"Jan 31, 2001",99.10,99.10,99.10,99.10,100
"Feb 01, 2001",98.85,98.85,97.10,97.10,500
"Feb 02, 2001",99.00,99.00,97.00,97.00,"1,700"
"Feb 05, 2001",99.90,100.00,99.90,99.90,100
"Feb 06, 2001",100.00,100.00,100.00,100.00,200
"Feb 07, 2001",100.00,100.00,100.00,100.00,0
"Feb 08, 2001",103.00,109.50,103.00,109.50,"5,200"
"Feb 09, 2001",109.00,109.00,109.00,109.00,600
"Feb 12, 2001",109.00,109.00,104.50,104.50,700
"Feb 13, 2001",0.00,0.00,0.00,104.50,0
"Feb 14, 2001",106.00,107.50,103.50,107.50,"1,800"
"Feb 15, 2001",81.00,84.70,81.00,82.75,"1,300"
