Date,Open,High,Low,Adj. Close,Volume
"Oct 30, 2014",19.51,19.51,19.51,19.51,0
"Oct 31, 2014",19.51,19.51,19.51,19.51,0
"Nov 03, 2014",20.07,20.07,20.07,20.07,0
"Nov 04, 2014",0.00,0.00,0.00,0.00,0
"Nov 05, 2014",20.10,20.10,20.10,20.10,0
"Nov 06, 2014",20.18,20.18,20.18,20.18,0
"Nov 07, 2014",0.00,0.00,0.00,0.00,0
"Nov 10, 2014",0.00,0.00,0.00,0.00,0
"Nov 11, 2014",20.19,20.19,20.19,20.19,0
"Nov 12, 2014",20.25,20.25,20.25,20.25,0
"Nov 13, 2014",20.15,20.15,20.15,20.15,150
"Nov 14, 2014",20.34,20.34,20.34,20.34,0
"Nov 17, 2014",20.27,20.27,20.27,20.27,0
"Nov 18, 2014",20.49,20.49,20.49,20.49,0
"Nov 19, 2014",20.53,20.53,20.53,20.53,397
"Nov 20, 2014",20.53,20.53,20.53,20.53,0
"Nov 21, 2014",20.61,20.61,20.61,20.61,0
"Nov 24, 2014",20.78,20.78,20.78,20.78,156
"Nov 25, 2014",20.78,20.78,20.78,20.78,60
"Nov 26, 2014",21.02,21.02,21.02,21.02,0
"Nov 27, 2014",20.96,20.96,20.96,20.96,0
"Nov 28, 2014",21.01,21.01,21.01,21.01,0
"Dec 01, 2014",21.01,21.01,20.86,20.86,800
"Dec 02, 2014",20.84,20.84,20.84,20.84,260
"Dec 03, 2014",20.82,20.82,20.82,20.82,0
"Dec 04, 2014",20.85,20.85,20.85,20.85,97
"Dec 05, 2014",20.87,20.87,20.87,20.87,92
"Dec 08, 2014",20.92,20.92,20.92,20.92,200
"Dec 09, 2014",20.92,20.92,20.92,20.92,0
"Dec 10, 2014",20.92,20.92,20.92,20.92,0
"Dec 11, 2014",20.90,20.90,20.90,20.90,"1,000"
"Dec 12, 2014",20.35,20.35,20.35,20.35,0
"Dec 15, 2014",20.22,20.22,20.22,20.22,0
"Dec 16, 2014",20.03,20.03,20.03,20.03,0
"Dec 17, 2014",20.46,20.46,20.46,20.46,0
"Dec 18, 2014",20.90,20.90,20.90,20.90,0
"Dec 19, 2014",21.17,21.17,21.17,21.17,350
"Dec 22, 2014",21.36,21.36,21.36,21.36,227
"Dec 23, 2014",21.50,21.50,21.50,21.50,800
"Dec 24, 2014",21.46,21.46,21.46,21.46,0
"Dec 29, 2014",21.44,21.44,21.44,21.44,202
"Dec 30, 2014",21.34,21.34,21.34,21.34,785
"Dec 31, 2014",21.46,21.46,21.27,21.27,"1,350"
"Jan 02, 2015",21.15,21.15,21.15,21.15,0
"Jan 05, 2015",20.78,20.78,20.78,20.78,19
"Jan 06, 2015",20.58,20.58,20.58,20.58,600
"Jan 07, 2015",20.62,20.62,20.62,20.62,0
"Jan 08, 2015",21.14,21.14,21.14,21.14,0
"Jan 09, 2015",21.08,21.08,21.08,21.08,0
"Jan 12, 2015",20.58,20.58,20.58,20.58,0
"Jan 13, 2015",20.64,20.64,20.64,20.64,235
"Jan 14, 2015",20.54,20.54,20.54,20.54,35
"Jan 15, 2015",20.59,20.59,20.59,20.59,530
"Jan 16, 2015",20.59,20.59,20.59,20.59,0
"Jan 19, 2015",20.47,20.47,20.47,20.47,0
"Jan 20, 2015",20.57,20.57,20.57,20.57,0
"Jan 21, 2015",20.67,20.67,20.67,20.67,0
"Jan 22, 2015",20.92,20.92,20.92,20.92,50
"Jan 23, 2015",21.07,21.08,21.07,21.08,"3,484"
"Jan 26, 2015",21.06,21.06,21.06,21.06,300
"Jan 27, 2015",21.06,21.06,21.06,21.06,0
"Jan 28, 2015",21.06,21.06,21.06,21.06,0
"Jan 29, 2015",20.75,20.75,20.75,20.75,0
"Jan 30, 2015",20.62,20.62,20.62,20.62,0
"Feb 02, 2015",20.50,20.50,20.50,20.50,60
"Feb 03, 2015",20.90,20.90,20.90,20.90,135
"Feb 04, 2015",20.94,20.94,20.94,20.94,"1,200"
"Feb 05, 2015",20.85,20.85,20.85,20.85,615
"Feb 06, 2015",21.03,21.03,21.03,21.03,0
"Feb 09, 2015",20.39,20.39,20.39,20.39,0
"Feb 10, 2015",21.34,21.34,21.34,21.34,309
"Feb 11, 2015",21.49,21.49,21.49,21.49,545
"Feb 12, 2015",21.55,21.55,21.55,21.55,400
"Feb 13, 2015",21.85,21.85,21.85,21.85,85
"Feb 17, 2015",21.68,21.68,21.68,21.68,0
"Feb 18, 2015",21.88,21.88,21.88,21.88,207
"Feb 19, 2015",22.02,22.02,22.02,22.02,85
"Feb 20, 2015",22.29,22.29,22.29,22.29,0
"Feb 23, 2015",22.29,22.29,22.28,22.28,700
"Feb 24, 2015",22.37,22.37,22.25,22.25,"1,125"
"Feb 25, 2015",22.05,22.05,22.05,22.05,300
"Feb 26, 2015",19.36,19.36,19.36,19.36,0
"Feb 27, 2015",22.26,22.26,22.26,22.26,300
"Mar 02, 2015",22.45,22.50,22.28,22.50,"1,280"
"Mar 03, 2015",22.44,22.44,22.19,22.19,430
"Mar 04, 2015",21.97,21.97,21.97,21.97,0
"Mar 05, 2015",23.54,23.54,22.15,22.15,200
"Mar 06, 2015",22.07,22.07,22.07,22.07,0
"Mar 09, 2015",22.08,22.08,22.08,22.08,125
"Mar 10, 2015",22.08,22.08,21.90,21.90,720
"Mar 11, 2015",22.01,22.01,22.01,22.01,92
"Mar 12, 2015",21.90,21.90,21.83,21.83,709
"Mar 13, 2015",22.13,22.13,22.13,22.13,135
"Mar 16, 2015",22.38,22.38,22.38,22.38,895
"Mar 17, 2015",22.44,22.44,22.44,22.44,390
"Mar 18, 2015",22.43,22.43,22.43,22.43,400
"Mar 19, 2015",22.62,22.65,22.62,22.65,"1,580"
"Mar 20, 2015",22.54,22.57,22.54,22.57,605
"Mar 23, 2015",22.40,22.40,22.40,22.40,100
"Mar 24, 2015",22.12,22.12,22.12,22.12,212
"Mar 25, 2015",21.51,21.51,21.51,21.51,0
"Mar 26, 2015",21.41,21.41,21.41,21.41,350
"Mar 27, 2015",21.84,21.84,21.84,21.84,0
"Mar 30, 2015",21.41,21.41,21.41,21.41,0
"Mar 31, 2015",22.04,22.04,22.04,22.04,"4,250"
"Apr 01, 2015",21.71,21.71,21.70,21.70,945
"Apr 02, 2015",21.75,21.75,21.75,21.75,572
"Apr 06, 2015",21.56,21.56,21.56,21.56,125
"Apr 07, 2015",21.88,21.88,21.88,21.88,100
"Apr 08, 2015",22.00,22.00,22.00,22.00,200
"Apr 09, 2015",22.21,22.21,22.21,22.21,0
"Apr 10, 2015",22.32,22.32,22.32,22.32,0
"Apr 13, 2015",22.24,22.24,22.24,22.24,"2,222"
"Apr 14, 2015",21.90,21.90,21.90,21.90,545
"Apr 15, 2015",21.90,21.90,21.90,21.90,0
"Apr 16, 2015",21.65,21.65,21.65,21.65,100
"Apr 17, 2015",21.28,21.28,21.28,21.28,50
"Apr 20, 2015",21.56,21.56,21.56,21.56,358
"Apr 21, 2015",21.79,21.79,21.79,21.79,0
"Apr 22, 2015",21.91,21.91,21.91,21.91,100
"Apr 23, 2015",21.70,21.70,21.70,21.70,0
"Apr 24, 2015",21.58,21.58,21.58,21.58,0
"Apr 27, 2015",21.39,21.39,21.39,21.39,0
"Apr 28, 2015",21.24,21.24,21.24,21.24,0
"Apr 29, 2015",21.21,21.21,21.20,21.20,"1,400"
"Apr 30, 2015",20.94,21.17,20.94,20.97,"1,700"
"May 01, 2015",21.42,21.42,21.42,21.42,695
"May 04, 2015",21.36,21.36,21.36,21.36,40
"May 05, 2015",20.94,20.94,20.94,20.94,0
"May 06, 2015",20.87,20.87,20.87,20.87,0
"May 07, 2015",21.42,21.42,21.42,21.42,0
"May 08, 2015",21.39,21.39,21.39,21.39,0
"May 11, 2015",21.41,21.41,21.41,21.41,25
"May 12, 2015",21.42,21.42,21.42,21.42,0
"May 13, 2015",21.42,21.42,21.42,21.42,24
"May 14, 2015",21.47,21.47,21.47,21.47,0
"May 15, 2015",21.45,21.45,21.45,21.45,59
"May 19, 2015",21.94,21.94,21.94,21.94,55
"May 20, 2015",21.32,21.32,21.32,21.32,0
"May 21, 2015",21.96,21.96,21.96,21.96,124
"May 22, 2015",22.16,22.16,22.16,22.16,0
