Date,Open,High,Low,Adj. Close,Volume
"Nov 10, 2006",6.25,6.50,6.00,6.05,"149,600"
"Nov 13, 2006",6.05,6.25,6.00,6.00,"15,300"
"Nov 14, 2006",6.20,6.20,6.00,6.10,"52,500"
"Nov 15, 2006",6.00,6.10,6.00,6.00,"3,200"
"Nov 16, 2006",6.00,6.19,6.00,6.19,"50,800"
"Nov 17, 2006",6.01,6.05,6.00,6.00,"31,000"
"Nov 20, 2006",6.80,6.80,6.05,6.24,"34,400"
"Nov 21, 2006",6.24,6.25,6.20,6.25,"53,300"
"Nov 22, 2006",6.25,6.25,6.25,6.25,"5,700"
"Nov 23, 2006",6.10,6.20,6.10,6.20,"1,400"
"Nov 24, 2006",6.38,6.38,6.15,6.15,"2,000"
"Nov 27, 2006",6.15,6.30,6.15,6.30,"51,000"
"Nov 28, 2006",6.70,6.70,6.50,6.50,"1,300"
"Nov 29, 2006",6.35,6.50,6.30,6.40,"21,600"
"Nov 30, 2006",6.50,6.50,6.40,6.40,"45,100"
"Dec 01, 2006",6.20,6.30,6.20,6.30,"1,100"
"Dec 04, 2006",6.20,6.35,6.20,6.35,"4,700"
"Dec 05, 2006",0.00,0.00,0.00,6.35,0
"Dec 06, 2006",6.35,6.50,6.20,6.20,"28,000"
"Dec 07, 2006",6.30,6.30,6.25,6.25,"2,300"
"Dec 08, 2006",6.50,6.50,6.20,6.20,"3,900"
"Dec 11, 2006",6.40,6.47,6.21,6.21,"5,100"
"Dec 12, 2006",0.00,0.00,0.00,6.21,0
"Dec 13, 2006",6.45,6.45,6.25,6.25,700
"Dec 14, 2006",6.49,6.80,6.35,6.45,"122,200"
"Dec 15, 2006",6.45,6.45,6.40,6.40,"4,900"
"Dec 18, 2006",6.25,6.45,6.25,6.45,"1,900"
"Dec 19, 2006",6.40,6.40,6.40,6.40,"5,000"
"Dec 20, 2006",6.30,6.50,6.30,6.45,"11,500"
"Dec 21, 2006",0.00,0.00,0.00,6.45,0
"Dec 22, 2006",6.25,6.80,6.25,6.50,"31,100"
"Dec 27, 2006",0.00,0.00,0.00,6.50,0
"Dec 28, 2006",6.50,6.50,6.50,6.50,300
"Dec 29, 2006",6.50,6.50,6.50,6.50,400
"Jan 02, 2007",6.50,6.50,6.00,6.00,"2,800"
"Jan 03, 2007",6.40,6.40,6.20,6.40,"6,300"
"Jan 04, 2007",0.00,0.00,0.00,6.40,0
"Jan 05, 2007",6.30,6.30,6.30,6.30,200
"Jan 08, 2007",0.00,0.00,0.00,6.30,0
"Jan 09, 2007",0.00,0.00,0.00,6.30,0
"Jan 10, 2007",0.00,0.00,0.00,6.30,0
"Jan 11, 2007",0.00,0.00,0.00,6.30,0
"Jan 12, 2007",6.35,6.35,6.30,6.30,"7,400"
"Jan 15, 2007",6.31,6.31,6.31,6.31,800
"Jan 16, 2007",0.00,0.00,0.00,6.31,0
"Jan 17, 2007",0.00,0.00,0.00,6.31,0
"Jan 18, 2007",6.31,6.31,6.30,6.30,"3,000"
"Jan 19, 2007",6.30,6.30,6.30,6.30,"2,500"
"Jan 22, 2007",6.25,6.25,6.25,6.25,"1,000"
"Jan 23, 2007",0.00,0.00,0.00,6.25,0
"Jan 24, 2007",6.25,6.25,6.25,6.25,"5,000"
"Jan 25, 2007",6.25,6.25,6.25,6.25,100
"Jan 26, 2007",6.25,6.50,6.25,6.50,"146,500"
"Jan 29, 2007",6.25,6.25,6.25,6.25,300
"Jan 30, 2007",0.00,0.00,0.00,6.25,0
"Jan 31, 2007",6.45,6.45,6.45,6.45,200
"Feb 01, 2007",0.00,0.00,0.00,6.45,0
"Feb 02, 2007",6.45,6.49,6.45,6.49,"9,500"
"Feb 05, 2007",6.40,6.40,6.30,6.30,300
"Feb 06, 2007",6.48,6.49,6.35,6.35,"5,000"
"Feb 07, 2007",6.45,6.47,6.40,6.40,"8,800"
"Feb 08, 2007",6.49,6.49,6.40,6.40,"2,300"
"Feb 09, 2007",0.00,0.00,0.00,6.40,0
"Feb 12, 2007",6.32,6.35,6.30,6.35,"7,500"
"Feb 13, 2007",6.30,6.30,6.30,6.30,500
"Feb 14, 2007",0.00,0.00,0.00,6.30,0
"Feb 15, 2007",6.30,6.30,6.30,6.30,"1,000"
"Feb 16, 2007",6.30,6.42,6.30,6.42,"3,000"
"Feb 19, 2007",6.30,6.42,6.30,6.42,"3,000"
"Feb 20, 2007",6.45,6.45,6.25,6.25,"5,000"
"Feb 21, 2007",6.30,6.30,6.25,6.25,"5,000"
"Feb 22, 2007",6.05,6.25,6.05,6.25,800
"Feb 23, 2007",6.25,6.25,6.25,6.25,"6,600"
"Feb 26, 2007",6.05,6.05,6.00,6.00,"3,000"
"Feb 27, 2007",6.00,6.00,5.85,5.85,"8,600"
"Feb 28, 2007",5.95,6.00,5.85,6.00,"3,000"
"Mar 01, 2007",5.85,5.85,5.85,5.85,"3,400"
"Mar 02, 2007",5.95,6.25,5.90,5.90,"8,900"
"Mar 05, 2007",5.90,5.90,5.90,5.90,"1,000"
"Mar 06, 2007",5.90,5.90,5.90,5.90,"3,500"
"Mar 07, 2007",5.90,5.94,5.70,5.90,"10,600"
"Mar 08, 2007",5.90,6.10,5.90,6.10,"7,100"
"Mar 09, 2007",5.75,5.95,5.70,5.95,"9,900"
"Mar 12, 2007",5.70,5.71,5.70,5.71,"2,000"
"Mar 13, 2007",5.70,5.70,5.70,5.70,"1,300"
"Mar 14, 2007",5.60,5.60,5.60,5.60,"3,500"
"Mar 15, 2007",5.60,5.60,5.50,5.50,"6,000"
"Mar 16, 2007",5.80,5.80,5.80,5.80,"78,900"
"Mar 19, 2007",5.98,5.98,5.98,5.98,100
"Mar 20, 2007",5.98,5.98,5.98,5.98,100
"Mar 21, 2007",5.75,5.75,5.60,5.60,"4,000"
"Mar 22, 2007",5.60,5.70,5.59,5.70,"25,000"
"Mar 23, 2007",5.51,6.25,5.50,6.25,"64,200"
"Mar 26, 2007",6.24,6.24,6.24,6.24,"1,000"
"Mar 27, 2007",6.00,6.00,6.00,6.00,"1,300"
"Mar 28, 2007",6.00,6.00,6.00,6.00,700
"Mar 29, 2007",6.00,6.10,6.00,6.10,"2,500"
"Mar 30, 2007",6.00,6.00,6.00,6.00,"2,400"
"Apr 02, 2007",6.10,6.10,6.10,6.10,"4,500"
"Apr 03, 2007",6.00,6.00,6.00,6.00,600
"Apr 04, 2007",6.25,6.25,6.25,6.25,"2,000"
"Apr 05, 2007",6.00,6.10,6.00,6.10,"15,500"
"Apr 09, 2007",6.00,6.00,5.94,6.00,"17,600"
"Apr 10, 2007",6.00,6.00,6.00,6.00,"2,400"
"Apr 11, 2007",6.05,6.08,6.00,6.00,"8,800"
"Apr 12, 2007",6.00,6.00,6.00,6.00,"3,900"
"Apr 13, 2007",6.00,6.00,6.00,6.00,"2,200"
"Apr 16, 2007",6.00,6.00,6.00,6.00,"5,500"
"Apr 17, 2007",6.00,6.00,6.00,6.00,"3,000"
"Apr 18, 2007",6.00,6.00,6.00,6.00,"2,700"
"Apr 19, 2007",6.00,6.00,6.00,6.00,"3,700"
"Apr 20, 2007",6.00,6.00,6.00,6.00,"7,300"
"Apr 23, 2007",6.00,6.00,6.00,6.00,"1,000"
"Apr 24, 2007",6.00,6.00,6.00,6.00,"1,000"
"Apr 25, 2007",5.90,6.00,5.90,6.00,"4,200"
"Apr 26, 2007",6.00,6.00,6.00,6.00,"1,000"
"Apr 27, 2007",6.00,6.00,6.00,6.00,"1,000"
"Apr 30, 2007",6.00,6.22,5.80,6.19,"11,100"
"May 01, 2007",5.90,5.90,5.90,5.90,"2,400"
"May 02, 2007",5.80,5.90,5.80,5.90,"1,200"
"May 03, 2007",6.23,6.23,5.80,6.00,"5,200"
"May 04, 2007",5.80,5.80,5.80,5.80,200
"May 07, 2007",6.00,6.00,5.80,5.85,"3,100"
"May 08, 2007",5.80,5.90,5.80,5.85,"2,500"
"May 09, 2007",5.75,5.80,5.70,5.80,"51,200"
