Date,Open,High,Low,Adj. Close,Volume
"Jun 22, 2018",5.50,5.65,5.17,5.39,"2,163,378"
"Jun 25, 2018",5.44,5.50,5.15,5.25,"1,620,893"
"Jun 26, 2018",5.30,5.34,5.04,5.10,"1,547,736"
"Jun 27, 2018",5.10,5.10,4.80,4.91,"1,618,832"
"Jun 28, 2018",4.85,5.10,4.81,5.09,"1,257,653"
"Jun 29, 2018",5.14,5.30,4.92,5.30,"2,539,938"
"Jul 03, 2018",5.24,5.24,5.06,5.11,"860,612"
"Jul 04, 2018",5.06,5.13,5.00,5.11,"416,346"
"Jul 05, 2018",5.15,5.16,5.05,5.06,"746,600"
"Jul 06, 2018",5.05,5.08,5.00,5.02,"519,347"
"Jul 09, 2018",5.02,5.04,4.92,4.96,"791,994"
"Jul 10, 2018",5.00,5.03,4.89,4.92,"1,667,243"
"Jul 11, 2018",4.88,4.93,4.82,4.89,"1,160,701"
"Jul 12, 2018",4.90,4.90,4.82,4.83,"654,936"
"Jul 13, 2018",4.82,4.84,4.64,4.66,"1,863,856"
"Jul 16, 2018",4.62,4.65,4.17,4.26,"3,713,840"
"Jul 17, 2018",4.25,4.37,4.12,4.33,"2,198,176"
"Jul 18, 2018",4.39,4.61,4.24,4.48,"2,261,123"
"Jul 19, 2018",4.48,4.53,4.27,4.32,"1,037,726"
"Jul 20, 2018",4.27,4.36,4.22,4.33,"1,197,104"
"Jul 23, 2018",4.35,4.50,4.30,4.46,"1,428,636"
"Jul 24, 2018",4.50,4.50,4.24,4.29,"1,082,793"
"Jul 25, 2018",4.27,4.29,4.17,4.18,"1,078,192"
"Jul 26, 2018",4.15,4.18,4.04,4.10,"1,932,095"
"Jul 27, 2018",4.16,4.20,4.08,4.12,"940,252"
"Jul 30, 2018",4.17,4.28,4.05,4.17,"1,050,050"
"Jul 31, 2018",4.14,4.35,4.05,4.35,"3,505,469"
"Aug 01, 2018",5.25,5.25,4.76,4.83,"10,928,528"
"Aug 02, 2018",4.85,4.93,4.66,4.68,"3,053,947"
"Aug 03, 2018",4.69,4.75,4.61,4.67,"867,750"
"Aug 07, 2018",4.75,4.84,4.67,4.69,"2,027,288"
"Aug 08, 2018",4.70,4.78,4.62,4.62,"1,847,209"
"Aug 09, 2018",4.70,4.70,4.40,4.60,"1,895,211"
"Aug 10, 2018",4.60,4.65,4.38,4.43,"1,559,570"
"Aug 13, 2018",4.46,4.47,4.17,4.25,"2,150,734"
"Aug 14, 2018",4.21,4.24,3.98,4.12,"3,010,547"
"Aug 15, 2018",4.55,4.68,4.26,4.65,"5,672,404"
"Aug 16, 2018",4.60,4.73,4.42,4.50,"3,999,229"
"Aug 17, 2018",4.45,4.60,4.38,4.59,"1,282,263"
"Aug 20, 2018",4.62,4.91,4.60,4.82,"2,423,219"
"Aug 21, 2018",4.95,5.08,4.75,4.91,"3,786,606"
"Aug 22, 2018",4.91,5.08,4.69,5.01,"3,815,512"
"Aug 23, 2018",5.01,5.05,4.89,5.00,"2,236,881"
"Aug 24, 2018",5.03,5.30,5.01,5.29,"4,973,231"
"Aug 27, 2018",5.40,5.88,5.39,5.65,"8,568,687"
"Aug 28, 2018",5.55,5.58,5.12,5.30,"4,841,489"
"Aug 29, 2018",5.47,5.65,5.40,5.57,"3,287,351"
"Aug 30, 2018",5.49,5.58,5.27,5.36,"3,890,237"
"Aug 31, 2018",5.42,5.54,5.29,5.54,"3,687,042"
"Sep 04, 2018",5.67,5.75,5.59,5.75,"3,863,538"
"Sep 05, 2018",5.91,6.00,5.57,5.89,"5,371,140"
"Sep 06, 2018",6.09,7.10,6.07,7.10,"11,920,872"
"Sep 07, 2018",7.59,7.94,6.92,7.03,"15,011,571"
"Sep 10, 2018",7.25,7.78,7.25,7.74,"7,862,041"
"Sep 11, 2018",7.80,8.49,7.47,8.45,"10,559,800"
"Sep 12, 2018",8.68,8.95,7.66,8.25,"15,324,660"
"Sep 13, 2018",8.21,8.33,7.26,7.49,"10,550,557"
"Sep 14, 2018",6.82,7.90,6.76,7.70,"8,058,503"
