Date,Open,High,Low,Adj. Close,Volume
"Jul 19, 2016",10.03,10.03,10.03,10.03,"1,000"
"Jul 20, 2016",10.09,10.09,10.07,10.08,"4,580"
"Jul 21, 2016",10.08,10.09,10.07,10.09,"13,950"
"Jul 22, 2016",10.10,10.12,10.10,10.12,506
"Jul 25, 2016",10.09,10.13,10.09,10.13,"1,700"
"Jul 26, 2016",10.12,10.12,10.10,10.10,"2,900"
"Jul 27, 2016",10.09,10.09,10.08,10.09,"2,403"
"Jul 28, 2016",10.09,10.09,10.08,10.08,"3,500"
"Jul 29, 2016",10.08,10.08,10.08,10.08,20
"Aug 02, 2016",10.08,10.08,10.08,10.08,0
"Aug 03, 2016",10.08,10.08,10.08,10.08,0
"Aug 04, 2016",10.13,10.13,10.12,10.12,"4,183"
"Aug 05, 2016",10.21,10.21,10.21,10.21,195
"Aug 08, 2016",10.22,10.24,10.22,10.24,"2,410"
"Aug 09, 2016",10.24,10.24,10.24,10.24,0
"Aug 10, 2016",10.24,10.24,10.23,10.23,"11,900"
"Aug 11, 2016",10.22,10.22,10.19,10.19,"1,900"
"Aug 12, 2016",10.19,10.19,10.19,10.19,"2,300"
"Aug 15, 2016",10.19,10.19,10.19,10.19,25
"Aug 16, 2016",10.17,10.17,10.15,10.15,"1,000"
"Aug 17, 2016",10.15,10.15,10.15,10.15,0
"Aug 18, 2016",10.12,10.12,10.12,10.12,"7,400"
"Aug 19, 2016",10.15,10.15,10.11,10.11,"1,300"
"Aug 22, 2016",10.11,10.11,10.11,10.11,84
"Aug 23, 2016",10.11,10.11,10.11,10.11,0
"Aug 24, 2016",10.13,10.13,10.10,10.10,"44,560"
"Aug 25, 2016",10.10,10.10,10.10,10.10,0
"Aug 26, 2016",10.10,10.10,10.10,10.10,10
"Aug 29, 2016",10.10,10.10,10.10,10.10,0
"Aug 30, 2016",10.10,10.10,10.08,10.08,"2,040"
"Aug 31, 2016",10.08,10.08,10.08,10.08,10
"Sep 01, 2016",10.08,10.08,10.08,10.08,0
"Sep 02, 2016",10.08,10.08,10.08,10.08,0
"Sep 06, 2016",10.08,10.08,10.08,10.08,0
"Sep 07, 2016",10.08,10.08,10.08,10.08,0
"Sep 08, 2016",10.08,10.08,10.08,10.08,0
"Sep 09, 2016",10.08,10.08,10.08,10.08,"1,526"
"Sep 12, 2016",10.08,10.08,10.08,10.08,0
"Sep 13, 2016",10.16,10.16,10.15,10.15,"4,300"
"Sep 14, 2016",10.15,10.15,10.15,10.15,0
"Sep 15, 2016",10.15,10.15,10.15,10.15,0
"Sep 16, 2016",10.18,10.18,10.18,10.18,800
"Sep 19, 2016",10.19,10.19,10.19,10.19,125
"Sep 20, 2016",10.19,10.19,10.19,10.19,0
"Sep 21, 2016",10.18,10.18,10.18,10.18,"1,000"
"Sep 22, 2016",10.19,10.20,10.19,10.20,"5,700"
"Sep 23, 2016",10.20,10.20,10.20,10.20,0
"Sep 26, 2016",10.20,10.20,10.20,10.20,5
"Sep 27, 2016",10.20,10.20,10.20,10.20,0
"Sep 28, 2016",10.20,10.20,10.20,10.20,10
"Sep 29, 2016",10.20,10.20,10.20,10.20,10
"Sep 30, 2016",10.22,10.23,10.22,10.23,405
"Oct 03, 2016",10.19,10.19,10.19,10.19,200
"Oct 04, 2016",10.19,10.19,10.19,10.19,0
"Oct 05, 2016",10.25,10.25,10.25,10.25,500
"Oct 06, 2016",10.25,10.25,10.25,10.25,0
"Oct 07, 2016",10.25,10.25,10.25,10.25,0
"Oct 11, 2016",10.24,10.24,10.23,10.23,"1,000"
"Oct 12, 2016",10.23,10.23,10.23,10.23,29
"Oct 13, 2016",10.22,10.22,10.22,10.22,500
"Oct 14, 2016",10.22,10.22,10.22,10.22,0
"Oct 17, 2016",10.16,10.16,10.16,10.16,300
