Date,Open,High,Low,Adj. Close,Volume
"Dec 31, 2012",0.84,0.84,0.84,0.84,25
"Jan 02, 2013",0.00,0.00,0.00,0.00,0
"Jan 03, 2013",3.36,3.36,3.33,3.33,"1,200"
"Jan 04, 2013",3.16,3.16,3.16,3.16,0
"Jan 07, 2013",3.19,3.19,3.19,3.19,0
"Jan 08, 2013",3.28,3.37,3.21,3.37,"14,962"
"Jan 09, 2013",3.22,3.22,3.22,3.22,0
"Jan 10, 2013",3.34,3.46,3.34,3.37,"15,285"
"Jan 11, 2013",3.27,3.27,3.26,3.26,"3,942"
"Jan 14, 2013",3.27,3.27,3.20,3.20,"7,592"
"Jan 15, 2013",3.17,3.17,3.17,3.17,0
"Jan 16, 2013",3.17,3.17,3.17,3.17,75
"Jan 17, 2013",3.20,3.20,3.20,3.20,190
"Jan 18, 2013",3.17,3.27,3.17,3.20,"8,776"
"Jan 21, 2013",3.19,3.19,3.19,3.19,0
"Jan 22, 2013",3.20,3.20,3.15,3.15,"7,600"
"Jan 23, 2013",3.20,3.20,3.20,3.20,300
"Jan 24, 2013",3.17,3.29,3.17,3.29,"4,985"
"Jan 25, 2013",3.20,3.29,3.19,3.29,"8,313"
"Jan 28, 2013",3.23,3.23,3.23,3.23,37
"Jan 29, 2013",3.21,3.21,3.21,3.21,0
"Jan 30, 2013",3.21,3.21,3.21,3.21,"1,531"
"Jan 31, 2013",3.19,3.19,3.19,3.19,0
"Feb 01, 2013",3.19,3.21,3.18,3.18,"2,957"
"Feb 04, 2013",3.25,3.25,3.24,3.24,"1,260"
"Feb 05, 2013",3.22,3.22,3.22,3.22,0
"Feb 06, 2013",3.24,3.25,3.24,3.25,"6,900"
"Feb 07, 2013",3.22,3.22,3.22,3.22,45
"Feb 08, 2013",3.22,3.22,3.22,3.22,"1,042"
"Feb 11, 2013",3.23,3.23,3.23,3.23,650
"Feb 12, 2013",3.23,3.27,3.20,3.20,"8,876"
"Feb 13, 2013",3.17,3.17,3.17,3.17,50
"Feb 14, 2013",3.17,3.17,3.17,3.17,"4,128"
"Feb 15, 2013",3.17,3.25,3.16,3.25,"62,976"
"Feb 19, 2013",3.15,3.17,3.15,3.17,"6,887"
"Feb 20, 2013",3.16,3.18,3.16,3.17,"2,130"
"Feb 21, 2013",3.23,3.23,3.17,3.20,"5,917"
"Feb 22, 2013",3.18,3.21,3.18,3.21,"7,715"
"Feb 25, 2013",3.18,3.18,3.18,3.18,75
"Feb 26, 2013",3.25,3.25,3.25,3.25,"44,726"
"Feb 27, 2013",3.19,3.20,3.19,3.20,"2,785"
