Date,Open,High,Low,Adj. Close,Volume
"Apr 20, 2011",7.09,7.12,7.06,7.06,"140,524"
"Apr 21, 2011",7.07,7.12,7.03,7.04,"97,040"
"Apr 25, 2011",7.08,7.09,7.04,7.09,"34,822"
"Apr 26, 2011",7.09,7.15,7.06,7.15,"23,575"
"Apr 27, 2011",7.15,7.18,7.13,7.15,"16,933"
"Apr 28, 2011",7.15,7.18,7.15,7.18,"13,921"
"Apr 29, 2011",7.15,7.21,7.13,7.21,"22,776"
"May 02, 2011",7.15,7.21,7.15,7.21,"7,360"
"May 03, 2011",7.20,7.20,7.17,7.18,"7,734"
"May 04, 2011",7.18,7.18,7.09,7.09,"16,205"
"May 05, 2011",7.15,7.15,7.07,7.07,"8,139"
"May 06, 2011",7.08,7.11,7.06,7.11,"7,170"
"May 09, 2011",7.10,7.11,7.06,7.06,"21,700"
"May 10, 2011",7.06,7.09,6.94,7.06,"54,430"
"May 11, 2011",7.06,7.09,7.06,7.09,"9,432"
"May 12, 2011",7.09,7.10,7.09,7.09,"6,550"
"May 13, 2011",7.08,7.09,7.07,7.09,773
"May 16, 2011",7.09,7.09,7.03,7.04,"10,078"
"May 17, 2011",7.06,7.06,7.03,7.06,"11,731"
"May 18, 2011",7.05,7.05,7.03,7.03,"36,980"
"May 19, 2011",6.99,7.17,6.99,7.09,"12,400"
"May 20, 2011",7.07,7.13,7.06,7.09,"6,000"
"May 24, 2011",7.13,7.16,7.07,7.15,"14,933"
"May 25, 2011",7.15,7.16,7.15,7.15,"5,700"
"May 26, 2011",7.16,7.22,7.16,7.16,"7,752"
"May 27, 2011",7.20,7.22,7.19,7.22,"12,450"
"May 30, 2011",7.22,7.22,7.07,7.19,"36,425"
"May 31, 2011",7.20,7.22,7.13,7.22,"45,110"
"Jun 01, 2011",7.19,7.19,7.16,7.16,"6,620"
"Jun 02, 2011",7.16,7.19,7.14,7.18,"7,400"
"Jun 03, 2011",7.14,7.18,7.13,7.17,"3,470"
"Jun 06, 2011",7.18,7.19,7.11,7.16,"18,500"
"Jun 07, 2011",7.11,7.16,7.05,7.08,"22,600"
"Jun 08, 2011",7.09,7.09,6.98,6.98,"6,470"
"Jun 09, 2011",6.97,7.11,6.92,6.94,"39,699"
"Jun 10, 2011",6.98,7.07,6.95,7.03,"21,714"
"Jun 13, 2011",7.13,7.15,7.10,7.13,"9,100"
"Jun 14, 2011",7.13,7.16,7.04,7.10,"13,850"
"Jun 15, 2011",7.10,7.10,7.01,7.04,"22,580"
"Jun 16, 2011",7.04,7.04,6.92,6.98,"14,734"
"Jun 17, 2011",6.97,6.98,6.95,6.98,"6,568"
"Jun 20, 2011",7.09,7.10,7.07,7.07,"2,006"
"Jun 21, 2011",7.00,7.01,6.89,6.96,"15,050"
"Jun 22, 2011",6.95,7.07,6.92,7.04,"6,300"
"Jun 23, 2011",7.04,7.12,6.98,7.12,"15,499"
