Date,Open,High,Low,Adj. Close,Volume
"May 12, 2014",17.26,17.60,17.05,17.10,"52,552"
"May 13, 2014",17.00,17.36,17.00,17.36,"60,412"
"May 14, 2014",17.40,17.59,17.10,17.59,"66,037"
"May 15, 2014",17.50,17.50,16.60,16.99,"288,197"
"May 16, 2014",16.81,17.08,16.51,17.00,"138,158"
"May 20, 2014",17.00,17.00,16.46,16.46,"118,593"
"May 21, 2014",16.51,16.83,16.39,16.53,"206,323"
"May 22, 2014",16.58,16.78,16.51,16.55,"50,253"
"May 23, 2014",16.65,16.85,16.45,16.62,"65,542"
"May 26, 2014",16.61,17.00,16.61,16.92,"32,455"
"May 27, 2014",17.13,17.14,16.64,16.76,"95,497"
"May 28, 2014",16.70,16.85,16.32,16.50,"145,090"
"May 29, 2014",16.40,16.40,16.04,16.21,"84,091"
"May 30, 2014",16.30,16.38,15.90,15.97,"146,795"
"Jun 02, 2014",15.92,16.00,15.55,15.95,"94,107"
"Jun 03, 2014",15.80,15.84,14.89,15.32,"542,915"
"Jun 04, 2014",15.08,15.29,14.86,15.29,"249,931"
"Jun 05, 2014",15.29,15.39,15.11,15.37,"101,011"
"Jun 06, 2014",15.40,15.47,15.24,15.42,"132,658"
"Jun 09, 2014",15.00,15.92,15.00,15.90,"219,930"
"Jun 10, 2014",15.85,16.05,15.76,15.79,"139,498"
"Jun 11, 2014",15.73,15.73,15.28,15.55,"110,552"
"Jun 12, 2014",15.42,15.69,15.17,15.28,"95,225"
"Jun 13, 2014",15.20,15.43,15.06,15.34,"114,482"
"Jun 16, 2014",15.28,16.65,15.28,16.53,"279,665"
"Jun 17, 2014",16.36,16.40,15.64,15.64,"280,476"
"Jun 18, 2014",15.61,15.71,15.25,15.25,"117,827"
"Jun 19, 2014",15.25,15.31,14.79,15.01,"285,806"
"Jun 20, 2014",15.00,15.30,14.97,15.10,"281,443"
"Jun 23, 2014",15.05,15.12,14.73,15.05,"180,680"
"Jun 24, 2014",14.91,15.35,14.80,14.80,"208,853"
"Jun 25, 2014",14.70,15.01,14.57,14.98,"251,527"
"Jun 26, 2014",14.92,15.05,14.65,14.88,"168,765"
"Jun 27, 2014",14.89,14.89,14.56,14.61,"196,277"
"Jun 30, 2014",14.55,14.95,14.55,14.87,"159,127"
"Jul 02, 2014",14.87,14.92,14.73,14.78,"249,606"
"Jul 03, 2014",14.78,14.93,14.62,14.70,"157,247"
"Jul 04, 2014",14.59,14.89,14.37,14.85,"865,682"
"Jul 07, 2014",14.85,14.91,14.64,14.82,"136,325"
"Jul 08, 2014",14.70,14.70,14.37,14.58,"298,098"
"Jul 09, 2014",14.48,14.97,14.48,14.95,"102,176"
"Jul 10, 2014",14.70,14.78,14.42,14.60,"159,789"
"Jul 11, 2014",14.67,14.67,14.49,14.61,"115,822"
"Jul 14, 2014",14.72,14.75,14.55,14.63,"87,353"
"Jul 15, 2014",14.55,14.57,14.22,14.26,"215,521"
"Jul 16, 2014",14.15,14.83,14.15,14.66,"207,349"
"Jul 17, 2014",14.60,14.67,14.35,14.59,"124,466"
"Jul 18, 2014",14.49,14.68,14.40,14.65,"80,542"
"Jul 21, 2014",14.62,14.76,14.59,14.59,"60,181"
"Jul 22, 2014",14.65,14.68,14.45,14.45,"61,531"
"Jul 23, 2014",14.50,15.33,14.50,15.16,"167,531"
"Jul 24, 2014",15.12,15.20,15.01,15.05,"109,826"
"Jul 25, 2014",15.10,15.24,14.84,14.95,"236,231"
"Jul 28, 2014",14.89,15.08,14.84,14.98,"700,120"
"Jul 29, 2014",14.96,15.15,14.91,15.07,"127,101"
"Jul 30, 2014",15.01,15.23,14.90,15.18,"152,759"
"Jul 31, 2014",15.19,15.26,14.86,14.98,"169,281"
"Aug 01, 2014",14.93,15.10,14.85,15.03,"150,323"
"Aug 05, 2014",15.04,15.15,14.96,14.96,"113,833"
"Aug 06, 2014",14.97,15.17,14.97,15.05,"108,497"
"Aug 07, 2014",15.05,15.07,14.72,14.79,"154,188"
"Aug 08, 2014",14.79,14.95,14.64,14.87,"99,484"
"Aug 11, 2014",14.90,15.05,14.87,14.96,"160,780"
"Aug 12, 2014",15.00,15.00,14.50,14.52,"94,480"
"Aug 13, 2014",14.46,14.70,14.35,14.65,"312,250"
"Aug 14, 2014",14.63,14.90,14.59,14.89,"139,752"
"Aug 15, 2014",15.00,15.72,14.99,15.65,"218,139"
"Aug 18, 2014",15.78,16.26,15.70,16.09,"472,888"
"Aug 19, 2014",16.35,17.37,16.35,17.19,"1,211,700"
"Aug 20, 2014",17.10,17.10,16.89,17.10,"119,682"
"Aug 21, 2014",17.10,17.45,17.00,17.41,"163,087"
"Aug 22, 2014",17.44,17.50,16.95,17.00,"254,485"
"Aug 25, 2014",17.20,17.25,16.90,17.03,"109,575"
"Aug 26, 2014",16.99,17.25,16.93,17.09,"74,519"
"Aug 27, 2014",17.02,17.10,16.89,16.94,"64,295"
"Aug 28, 2014",16.72,16.75,16.17,16.50,"112,149"
"Aug 29, 2014",16.55,16.67,16.33,16.64,"119,407"
"Sep 02, 2014",16.51,16.62,16.20,16.46,"88,512"
"Sep 03, 2014",16.42,16.59,16.42,16.49,"65,554"
"Sep 04, 2014",16.41,16.71,16.41,16.70,"81,807"
"Sep 05, 2014",16.60,17.20,16.57,16.93,"360,526"
"Sep 08, 2014",17.07,17.08,16.65,16.75,"89,662"
"Sep 09, 2014",16.75,16.75,16.43,16.68,"89,377"
"Sep 10, 2014",16.73,16.75,16.46,16.57,"57,516"
"Sep 11, 2014",16.55,16.56,16.31,16.50,"60,632"
"Sep 12, 2014",16.41,16.85,16.40,16.67,"64,680"
"Sep 15, 2014",16.63,16.93,16.55,16.84,"109,903"
