Date,Open,High,Low,Adj. Close,Volume
"Jun 20, 2016",11.88,11.88,11.88,11.88,100
"Jun 21, 2016",11.88,11.88,11.88,11.88,0
"Jun 22, 2016",11.75,11.75,11.75,11.75,200
"Jun 23, 2016",11.75,11.75,11.75,11.75,0
"Jun 24, 2016",11.75,11.75,11.75,11.75,0
"Jun 27, 2016",11.56,11.57,11.56,11.57,"1,000"
"Jun 28, 2016",11.57,11.57,11.57,11.57,0
"Jun 29, 2016",11.61,11.61,11.61,11.61,400
"Jun 30, 2016",11.61,11.61,11.50,11.51,"6,481"
"Jul 04, 2016",11.52,11.52,11.52,11.52,600
"Jul 05, 2016",11.52,11.52,11.52,11.52,0
"Jul 06, 2016",11.34,11.34,10.86,10.99,"18,185"
"Jul 07, 2016",10.99,10.99,10.99,10.99,0
"Jul 08, 2016",11.07,11.07,11.05,11.05,"1,200"
"Jul 11, 2016",10.98,10.98,10.41,10.64,"10,800"
"Jul 12, 2016",10.74,10.88,10.74,10.88,"1,845"
"Jul 13, 2016",10.98,10.98,10.98,10.98,200
"Jul 14, 2016",10.98,10.98,10.98,10.98,0
"Jul 15, 2016",11.27,11.38,11.27,11.38,700
"Jul 18, 2016",11.30,11.30,11.19,11.19,"1,200"
"Jul 19, 2016",11.34,11.34,11.34,11.34,100
"Jul 20, 2016",11.34,11.42,11.24,11.28,"3,800"
"Jul 21, 2016",11.36,11.67,11.17,11.59,"10,425"
"Jul 22, 2016",11.49,11.57,11.33,11.51,"5,900"
"Jul 25, 2016",11.81,11.81,11.81,11.81,100
"Jul 26, 2016",11.77,11.77,11.77,11.77,100
"Jul 27, 2016",11.77,11.77,11.77,11.77,0
"Jul 28, 2016",11.54,11.54,11.54,11.54,"3,000"
"Jul 29, 2016",11.61,11.61,11.51,11.51,"5,000"
"Aug 02, 2016",11.74,11.74,11.74,11.74,100
"Aug 03, 2016",11.51,11.75,11.51,11.74,"2,400"
"Aug 04, 2016",11.69,11.70,11.69,11.70,"1,000"
"Aug 05, 2016",11.66,11.84,11.66,11.84,"8,000"
"Aug 08, 2016",11.97,12.42,11.97,12.41,"1,500"
"Aug 09, 2016",12.04,12.04,12.04,12.04,"5,592"
"Aug 10, 2016",12.29,12.29,12.29,12.29,400
"Aug 11, 2016",12.26,12.51,12.26,12.43,"3,600"
"Aug 12, 2016",12.72,12.72,12.47,12.52,400
"Aug 15, 2016",12.17,12.17,12.13,12.13,"2,100"
"Aug 16, 2016",12.32,12.56,12.13,12.22,"1,250"
"Aug 17, 2016",12.32,12.77,12.11,12.33,"10,600"
