Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",0.00,0.00,0.00,0.45,0
"Jan 03, 2001",0.00,0.00,0.00,0.45,0
"Jan 04, 2001",0.00,0.00,0.00,0.45,0
"Jan 05, 2001",0.43,0.45,0.43,0.45,100
"Jan 08, 2001",0.00,0.00,0.00,0.45,0
"Jan 09, 2001",0.00,0.00,0.00,0.45,0
"Jan 10, 2001",0.00,0.00,0.00,0.45,0
"Jan 11, 2001",0.00,0.00,0.00,0.45,0
"Jan 12, 2001",0.45,0.45,0.43,0.43,"8,000"
"Jan 15, 2001",0.00,0.00,0.00,0.43,0
"Jan 16, 2001",0.43,0.43,0.43,0.43,"5,000"
"Jan 17, 2001",0.46,0.46,0.46,0.46,"12,000"
"Jan 18, 2001",0.46,0.46,0.46,0.46,600
"Jan 19, 2001",0.46,0.46,0.45,0.45,"14,500"
"Jan 22, 2001",0.42,0.42,0.42,0.42,"5,000"
"Jan 23, 2001",0.41,0.41,0.41,0.41,"4,500"
"Jan 24, 2001",0.00,0.00,0.00,0.41,0
"Jan 25, 2001",0.00,0.00,0.00,0.41,0
"Jan 26, 2001",0.00,0.00,0.00,0.41,0
"Jan 29, 2001",0.42,0.45,0.42,0.42,"19,000"
"Jan 30, 2001",0.43,0.43,0.43,0.43,"9,000"
"Jan 31, 2001",0.00,0.00,0.00,0.43,0
"Feb 01, 2001",0.00,0.00,0.00,0.43,0
"Feb 02, 2001",0.40,0.43,0.40,0.43,200
"Feb 05, 2001",0.00,0.00,0.00,0.43,0
"Feb 06, 2001",0.43,0.43,0.41,0.41,"20,000"
"Feb 07, 2001",0.42,0.42,0.41,0.41,"20,700"
"Feb 08, 2001",0.42,0.42,0.42,0.42,"4,000"
"Feb 09, 2001",0.00,0.00,0.00,0.42,0
"Feb 12, 2001",0.42,0.42,0.42,0.42,"2,500"
"Feb 13, 2001",0.42,0.42,0.40,0.40,"5,000"
"Feb 14, 2001",0.00,0.00,0.00,0.40,0
"Feb 15, 2001",0.41,0.42,0.41,0.42,"6,900"
"Feb 16, 2001",0.00,0.00,0.00,0.42,0
"Feb 19, 2001",0.00,0.00,0.00,0.42,0
"Feb 20, 2001",0.00,0.00,0.00,0.42,0
"Feb 21, 2001",0.00,0.00,0.00,0.42,0
"Feb 22, 2001",0.00,0.00,0.00,0.42,0
"Feb 23, 2001",0.00,0.00,0.00,0.42,0
"Feb 26, 2001",0.00,0.00,0.00,0.42,0
"Feb 27, 2001",0.00,0.00,0.00,0.42,0
"Feb 28, 2001",0.00,0.00,0.00,0.42,0
"Mar 01, 2001",0.40,0.40,0.40,0.40,"4,000"
"Mar 02, 2001",0.00,0.00,0.00,0.40,0
"Mar 05, 2001",0.33,0.40,0.33,0.40,100
"Mar 06, 2001",0.35,0.35,0.34,0.34,"8,500"
"Mar 07, 2001",0.34,0.35,0.32,0.35,"5,500"
"Mar 08, 2001",0.35,0.35,0.33,0.34,"87,500"
"Mar 09, 2001",0.34,0.35,0.34,0.35,"5,700"
"Mar 12, 2001",0.00,0.00,0.00,0.35,0
"Mar 13, 2001",0.00,0.00,0.00,0.35,0
"Mar 14, 2001",0.00,0.00,0.00,0.35,0
"Mar 15, 2001",0.00,0.00,0.00,0.35,0
"Mar 16, 2001",0.35,0.35,0.35,0.35,"40,000"
"Mar 19, 2001",0.37,0.40,0.37,0.40,"11,000"
"Mar 20, 2001",0.00,0.00,0.00,0.40,0
"Mar 21, 2001",0.37,0.37,0.37,0.37,"1,800"
"Mar 22, 2001",0.37,0.37,0.37,0.37,"3,200"
"Mar 23, 2001",0.00,0.00,0.00,0.37,0
"Mar 26, 2001",0.40,0.40,0.40,0.40,"1,000"
"Mar 27, 2001",0.00,0.00,0.00,0.40,0
"Mar 28, 2001",0.40,0.40,0.37,0.37,"40,000"
"Mar 29, 2001",0.37,0.37,0.37,0.37,"30,000"
"Mar 30, 2001",0.00,0.00,0.00,0.37,0
"Apr 02, 2001",0.00,0.00,0.00,0.37,0
"Apr 03, 2001",0.36,0.36,0.36,0.36,"20,000"
"Apr 04, 2001",0.00,0.00,0.00,0.36,0
"Apr 05, 2001",0.00,0.00,0.00,0.36,0
"Apr 06, 2001",0.00,0.00,0.00,0.36,0
"Apr 09, 2001",0.00,0.00,0.00,0.36,0
"Apr 10, 2001",0.00,0.00,0.00,0.36,0
"Apr 11, 2001",0.00,0.00,0.00,0.36,0
"Apr 12, 2001",0.00,0.00,0.00,0.36,0
"Apr 16, 2001",0.00,0.00,0.00,0.36,0
"Apr 17, 2001",0.00,0.00,0.00,0.36,0
"Apr 18, 2001",0.00,0.00,0.00,0.36,0
"Apr 19, 2001",0.00,0.00,0.00,0.36,0
"Apr 20, 2001",0.00,0.00,0.00,0.36,0
"Apr 23, 2001",0.35,0.36,0.35,0.36,300
"Apr 24, 2001",0.00,0.00,0.00,0.36,0
"Apr 25, 2001",0.00,0.00,0.00,0.36,0
"Apr 26, 2001",0.38,0.38,0.37,0.37,"18,000"
"Apr 27, 2001",0.38,0.38,0.38,0.38,"5,000"
"Apr 30, 2001",0.00,0.00,0.00,0.38,0
"May 01, 2001",0.00,0.00,0.00,0.38,0
"May 02, 2001",0.00,0.00,0.00,0.38,0
"May 03, 2001",0.00,0.00,0.00,0.38,0
"May 04, 2001",0.39,0.39,0.39,0.39,"1,900"
"May 07, 2001",0.00,0.00,0.00,0.39,0
"May 08, 2001",0.38,0.39,0.38,0.39,200
"May 09, 2001",0.40,0.40,0.40,0.40,"3,000"
"May 10, 2001",0.00,0.00,0.00,0.40,0
"May 11, 2001",0.38,0.38,0.38,0.38,"9,000"
"May 14, 2001",0.00,0.00,0.00,0.38,0
"May 15, 2001",0.00,0.00,0.00,0.38,0
"May 16, 2001",0.00,0.00,0.00,0.38,0
"May 17, 2001",0.00,0.00,0.00,0.38,0
"May 18, 2001",0.00,0.00,0.00,0.38,0
"May 22, 2001",0.42,0.42,0.42,0.42,"1,000"
"May 23, 2001",0.40,0.44,0.40,0.44,"1,900"
"May 24, 2001",0.44,0.45,0.43,0.43,"40,500"
"May 25, 2001",0.41,0.41,0.41,0.41,"15,000"
"May 28, 2001",0.41,0.41,0.41,0.41,"8,000"
"May 29, 2001",0.41,0.42,0.41,0.42,"40,000"
"May 30, 2001",0.43,0.44,0.43,0.44,"30,000"
"May 31, 2001",0.44,0.44,0.41,0.41,"30,000"
"Jun 01, 2001",0.00,0.00,0.00,0.41,0
"Jun 04, 2001",0.00,0.00,0.00,0.41,0
"Jun 05, 2001",0.00,0.00,0.00,0.41,0
"Jun 06, 2001",0.00,0.00,0.00,0.41,0
"Jun 07, 2001",0.44,0.44,0.44,0.44,"10,000"
"Jun 08, 2001",0.00,0.00,0.00,0.44,0
"Jun 11, 2001",0.49,0.49,0.49,0.49,"5,000"
"Jun 12, 2001",0.41,0.49,0.41,0.49,200
"Jun 13, 2001",0.43,0.43,0.43,0.43,"2,200"
"Jun 14, 2001",0.43,0.43,0.43,0.43,700
"Jun 15, 2001",0.00,0.00,0.00,0.43,0
"Jun 18, 2001",0.45,0.45,0.45,0.45,"5,000"
"Jun 19, 2001",0.00,0.00,0.00,0.45,0
"Jun 20, 2001",0.45,0.45,0.45,0.45,"10,000"
"Jun 21, 2001",0.00,0.00,0.00,0.45,0
"Jun 22, 2001",0.00,0.00,0.00,0.45,0
"Jun 25, 2001",0.44,0.44,0.44,0.44,"10,200"
"Jun 26, 2001",0.44,0.44,0.44,0.44,"15,000"
"Jun 27, 2001",0.00,0.00,0.00,0.44,0
"Jun 28, 2001",0.00,0.00,0.00,0.44,0
"Jun 29, 2001",0.00,0.00,0.00,0.44,0
"Jul 03, 2001",0.00,0.00,0.00,0.44,0
"Jul 04, 2001",0.00,0.00,0.00,0.44,0
"Jul 05, 2001",0.00,0.00,0.00,0.44,0
"Jul 06, 2001",0.00,0.00,0.00,0.44,0
"Jul 09, 2001",0.00,0.00,0.00,0.44,0
"Jul 10, 2001",0.00,0.00,0.00,0.44,0
"Jul 11, 2001",0.44,0.44,0.44,0.44,"8,000"
"Jul 12, 2001",0.44,0.44,0.44,0.44,"10,000"
"Jul 13, 2001",0.00,0.00,0.00,0.44,0
"Jul 16, 2001",0.00,0.00,0.00,0.44,0
"Jul 17, 2001",0.00,0.00,0.00,0.44,0
"Jul 18, 2001",0.44,0.44,0.42,0.42,"8,500"
"Jul 19, 2001",0.00,0.00,0.00,0.42,0
"Jul 20, 2001",0.00,0.00,0.00,0.42,0
"Jul 23, 2001",0.00,0.00,0.00,0.42,0
"Jul 24, 2001",0.00,0.00,0.00,0.42,0
"Jul 25, 2001",0.00,0.00,0.00,0.42,0
"Jul 26, 2001",0.00,0.00,0.00,0.42,0
"Jul 27, 2001",0.42,0.45,0.42,0.45,"13,500"
"Jul 30, 2001",0.00,0.00,0.00,0.45,0
"Jul 31, 2001",0.47,0.47,0.47,0.47,"3,000"
"Aug 01, 2001",0.00,0.00,0.00,0.47,0
"Aug 02, 2001",0.50,0.50,0.46,0.46,"12,000"
"Aug 03, 2001",0.00,0.00,0.00,0.46,0
"Aug 07, 2001",0.00,0.00,0.00,0.46,0
"Aug 08, 2001",0.00,0.00,0.00,0.46,0
"Aug 09, 2001",0.00,0.00,0.00,0.46,0
"Aug 10, 2001",0.00,0.00,0.00,0.46,0
"Aug 13, 2001",0.00,0.00,0.00,0.46,0
"Aug 14, 2001",0.00,0.00,0.00,0.46,0
"Aug 15, 2001",0.00,0.00,0.00,0.46,0
"Aug 16, 2001",0.47,0.47,0.44,0.44,"18,800"
"Aug 17, 2001",0.44,0.44,0.44,0.44,700
"Aug 20, 2001",0.00,0.00,0.00,0.44,0
"Aug 21, 2001",0.00,0.00,0.00,0.44,0
"Aug 22, 2001",0.00,0.00,0.00,0.44,0
"Aug 23, 2001",0.45,0.45,0.44,0.44,"12,000"
"Aug 24, 2001",0.00,0.00,0.00,0.44,0
"Aug 27, 2001",0.00,0.00,0.00,0.44,0
"Aug 28, 2001",0.00,0.00,0.00,0.44,0
"Aug 29, 2001",0.50,0.50,0.50,0.50,"2,500"
"Aug 30, 2001",0.00,0.00,0.00,0.50,0
"Aug 31, 2001",0.00,0.00,0.00,0.50,0
"Sep 04, 2001",0.50,0.50,0.45,0.50,"16,000"
"Sep 05, 2001",0.00,0.00,0.00,0.50,0
"Sep 06, 2001",0.00,0.00,0.00,0.50,0
"Sep 07, 2001",0.55,0.55,0.55,0.55,"6,500"
"Sep 10, 2001",0.00,0.00,0.00,0.55,0
"Sep 11, 2001",0.00,0.00,0.00,0.55,0
"Sep 13, 2001",0.50,0.50,0.50,0.50,"12,500"
"Sep 14, 2001",0.00,0.00,0.00,0.50,0
"Sep 17, 2001",0.44,0.44,0.40,0.40,"10,900"
"Sep 18, 2001",0.00,0.00,0.00,0.40,0
"Sep 19, 2001",0.00,0.00,0.00,0.40,0
"Sep 20, 2001",0.41,0.41,0.41,0.41,"4,000"
"Sep 21, 2001",0.41,0.41,0.39,0.39,"3,000"
"Sep 24, 2001",0.00,0.00,0.00,0.39,0
"Sep 25, 2001",0.00,0.00,0.00,0.39,0
"Sep 26, 2001",0.39,0.39,0.38,0.38,"15,000"
"Sep 27, 2001",0.35,0.35,0.35,0.35,"2,500"
"Sep 28, 2001",0.35,0.38,0.35,0.38,"15,000"
"Oct 01, 2001",0.00,0.00,0.00,0.38,0
"Oct 02, 2001",0.39,0.39,0.38,0.38,"13,500"
"Oct 03, 2001",0.00,0.00,0.00,0.38,0
"Oct 04, 2001",0.00,0.00,0.00,0.38,0
"Oct 05, 2001",0.40,0.40,0.40,0.40,"5,000"
"Oct 09, 2001",0.40,0.40,0.40,0.40,"4,000"
"Oct 10, 2001",0.00,0.00,0.00,0.40,0
"Oct 11, 2001",0.40,0.40,0.40,0.40,"1,000"
"Oct 12, 2001",0.00,0.00,0.00,0.40,0
"Oct 15, 2001",0.00,0.00,0.00,0.40,0
"Oct 16, 2001",0.00,0.00,0.00,0.40,0
"Oct 17, 2001",0.38,0.40,0.38,0.40,300
"Oct 18, 2001",0.00,0.00,0.00,0.40,0
"Oct 19, 2001",0.40,0.40,0.40,0.40,500
"Oct 22, 2001",0.00,0.00,0.00,0.40,0
"Oct 23, 2001",0.44,0.44,0.44,0.44,"5,000"
"Oct 24, 2001",0.40,0.44,0.40,0.44,300
"Oct 25, 2001",0.00,0.00,0.00,0.44,0
"Oct 26, 2001",0.42,0.42,0.42,0.42,"5,000"
"Oct 29, 2001",0.00,0.00,0.00,0.42,0
"Oct 30, 2001",0.00,0.00,0.00,0.42,0
"Oct 31, 2001",0.00,0.00,0.00,0.42,0
"Nov 01, 2001",0.00,0.00,0.00,0.42,0
"Nov 02, 2001",0.52,0.79,0.50,0.75,"206,000"
"Nov 05, 2001",0.75,0.75,0.60,0.60,"69,000"
"Nov 06, 2001",0.00,0.00,0.00,0.60,0
"Nov 07, 2001",0.51,0.51,0.50,0.50,"4,000"
"Nov 08, 2001",0.50,0.62,0.50,0.55,"11,000"
"Nov 09, 2001",0.00,0.00,0.00,0.55,0
"Nov 12, 2001",0.00,0.00,0.00,0.55,0
"Nov 13, 2001",0.50,0.50,0.50,0.50,"10,000"
"Nov 14, 2001",0.00,0.00,0.00,0.50,0
"Nov 15, 2001",0.00,0.00,0.00,0.50,0
"Nov 16, 2001",0.00,0.00,0.00,0.50,0
"Nov 19, 2001",0.50,0.50,0.50,0.50,700
"Nov 20, 2001",0.00,0.00,0.00,0.50,0
"Nov 21, 2001",0.47,0.47,0.46,0.46,"3,000"
"Nov 22, 2001",0.50,0.50,0.50,0.50,"4,000"
"Nov 23, 2001",0.50,0.50,0.50,0.50,500
"Nov 26, 2001",0.50,0.50,0.49,0.49,"10,800"
"Nov 27, 2001",0.50,0.50,0.49,0.50,"14,000"
"Nov 28, 2001",0.50,0.50,0.50,0.50,800
"Nov 29, 2001",0.00,0.00,0.00,0.50,0
"Nov 30, 2001",0.00,0.00,0.00,0.50,0
"Dec 03, 2001",0.00,0.00,0.00,0.50,0
"Dec 04, 2001",0.50,0.50,0.50,0.50,"17,500"
"Dec 05, 2001",0.50,0.50,0.50,0.50,"1,000"
"Dec 06, 2001",0.50,0.50,0.50,0.50,"171,600"
"Dec 07, 2001",0.48,0.50,0.48,0.50,300
"Dec 10, 2001",0.47,0.47,0.47,0.47,300
"Dec 11, 2001",0.50,0.50,0.48,0.48,"3,500"
"Dec 12, 2001",0.45,0.45,0.45,0.45,"1,200"
"Dec 13, 2001",0.48,0.48,0.48,0.48,"1,500"
"Dec 14, 2001",0.00,0.00,0.00,0.48,0
"Dec 17, 2001",0.50,0.60,0.46,0.58,"24,000"
"Dec 18, 2001",0.55,0.55,0.55,0.55,"2,500"
"Dec 19, 2001",0.58,0.58,0.58,0.58,200
"Dec 20, 2001",0.50,0.50,0.50,0.50,900
"Dec 21, 2001",0.00,0.00,0.00,0.50,0
"Dec 24, 2001",0.49,0.49,0.42,0.42,"16,000"
"Dec 27, 2001",0.00,0.00,0.00,0.42,0
"Dec 28, 2001",0.00,0.00,0.00,0.42,0
"Dec 31, 2001",0.50,0.50,0.50,0.50,"1,000"
"Jan 02, 2002",0.00,0.00,0.00,0.50,0
"Jan 03, 2002",0.43,0.43,0.43,0.43,"1,100"
"Jan 04, 2002",0.00,0.00,0.00,0.43,0
"Jan 07, 2002",0.00,0.00,0.00,0.43,0
"Jan 08, 2002",0.00,0.00,0.00,0.43,0
"Jan 09, 2002",0.55,0.58,0.55,0.58,"13,500"
"Jan 10, 2002",0.52,0.56,0.52,0.53,"8,300"
"Jan 11, 2002",0.55,0.55,0.54,0.54,"9,000"
"Jan 14, 2002",0.00,0.00,0.00,0.54,0
"Jan 15, 2002",0.00,0.00,0.00,0.54,0
"Jan 16, 2002",0.50,0.50,0.50,0.50,"1,700"
"Jan 17, 2002",0.51,0.51,0.51,0.51,"2,000"
"Jan 18, 2002",0.55,0.56,0.52,0.55,"39,000"
"Jan 21, 2002",0.55,0.55,0.55,0.55,"5,000"
"Jan 22, 2002",0.00,0.00,0.00,0.55,0
"Jan 23, 2002",0.55,0.60,0.55,0.58,"15,000"
"Jan 24, 2002",0.60,0.65,0.60,0.61,"22,300"
"Jan 25, 2002",0.00,0.00,0.00,0.61,0
"Jan 28, 2002",0.59,0.59,0.59,0.59,"3,500"
"Jan 29, 2002",0.00,0.00,0.00,0.59,0
"Jan 30, 2002",0.57,0.57,0.57,0.57,300
"Jan 31, 2002",0.65,0.70,0.65,0.66,"24,500"
"Feb 01, 2002",0.62,0.64,0.60,0.60,"14,500"
"Feb 04, 2002",0.60,0.60,0.60,0.60,"17,000"
"Feb 05, 2002",0.00,0.00,0.00,0.60,0
"Feb 06, 2002",0.63,0.71,0.63,0.63,"51,500"
"Feb 07, 2002",0.61,0.61,0.61,0.61,"5,000"
"Feb 08, 2002",0.00,0.00,0.00,0.61,0
"Feb 11, 2002",0.00,0.00,0.00,0.61,0
"Feb 12, 2002",0.63,0.63,0.63,0.63,"5,000"
"Feb 13, 2002",0.65,0.65,0.61,0.62,"20,000"
"Feb 14, 2002",0.60,0.60,0.60,0.60,"2,100"
"Feb 15, 2002",0.69,0.81,0.69,0.81,"90,500"
"Feb 18, 2002",0.82,0.90,0.82,0.84,"71,900"
