Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2011",6.11,6.12,6.07,6.12,"35,170"
"Mar 02, 2011",6.12,6.12,6.08,6.10,"18,979"
"Mar 03, 2011",6.10,6.12,6.07,6.09,"42,415"
"Mar 04, 2011",6.09,6.11,6.09,6.10,"10,520"
"Mar 07, 2011",6.10,6.13,6.08,6.10,"36,280"
"Mar 08, 2011",6.10,6.17,6.10,6.13,"35,385"
"Mar 09, 2011",6.13,6.16,6.10,6.15,"59,452"
"Mar 10, 2011",6.15,6.22,6.12,6.22,"39,769"
"Mar 11, 2011",6.20,6.20,6.16,6.17,"38,933"
"Mar 14, 2011",6.14,6.16,6.13,6.16,"17,675"
"Mar 15, 2011",6.13,6.16,6.10,6.13,"21,780"
"Mar 16, 2011",6.12,6.13,6.10,6.10,"13,350"
"Mar 17, 2011",6.12,6.13,6.09,6.11,"38,154"
"Mar 18, 2011",6.14,6.16,6.12,6.13,"13,805"
"Mar 21, 2011",6.19,6.19,6.11,6.15,"19,300"
"Mar 22, 2011",6.15,6.18,6.15,6.15,"3,486"
"Mar 23, 2011",6.19,6.19,6.13,6.16,"60,200"
"Mar 24, 2011",6.19,6.19,6.13,6.13,"23,500"
"Mar 25, 2011",6.15,6.19,6.15,6.18,"13,300"
"Mar 28, 2011",6.18,6.20,6.16,6.20,"11,105"
"Mar 29, 2011",6.29,6.29,6.24,6.27,"33,995"
"Mar 30, 2011",6.27,6.27,6.24,6.27,"12,250"
"Mar 31, 2011",6.25,6.32,6.24,6.27,"49,353"
"Apr 01, 2011",6.27,6.27,6.23,6.24,"10,520"
"Apr 04, 2011",6.24,6.30,6.21,6.30,"11,338"
"Apr 05, 2011",6.30,6.32,6.25,6.32,"23,900"
"Apr 06, 2011",6.29,6.32,6.27,6.27,"30,993"
"Apr 07, 2011",6.37,6.37,6.24,6.27,"45,150"
"Apr 08, 2011",6.27,6.27,6.22,6.22,"30,528"
"Apr 11, 2011",6.22,6.27,6.22,6.24,"26,935"
"Apr 12, 2011",6.25,6.27,6.25,6.25,"22,000"
"Apr 13, 2011",6.27,6.27,6.24,6.27,"6,100"
"Apr 14, 2011",6.27,6.27,6.24,6.25,"25,500"
"Apr 15, 2011",6.26,6.27,6.24,6.27,"11,998"
"Apr 18, 2011",6.24,6.27,6.24,6.27,"31,560"
"Apr 19, 2011",6.24,6.27,6.24,6.25,"17,044"
"Apr 20, 2011",6.27,6.27,6.25,6.27,"9,000"
"Apr 21, 2011",6.25,6.27,6.25,6.27,"13,950"
"Apr 25, 2011",6.25,6.26,6.24,6.26,"19,835"
"Apr 26, 2011",6.25,6.25,6.21,6.21,"42,180"
"Apr 27, 2011",6.21,6.26,6.17,6.26,"44,150"
"Apr 28, 2011",6.24,6.26,6.22,6.24,"29,840"
"Apr 29, 2011",6.24,6.25,6.23,6.23,"13,700"
"May 02, 2011",6.23,6.26,6.23,6.24,"46,580"
"May 03, 2011",6.24,6.25,6.23,6.24,"12,990"
"May 04, 2011",6.26,6.26,6.22,6.22,"17,485"
"May 05, 2011",6.26,6.27,6.21,6.21,"49,150"
"May 06, 2011",6.24,6.26,6.22,6.26,"11,250"
"May 09, 2011",6.23,6.27,6.22,6.25,"19,300"
"May 10, 2011",6.24,6.30,6.22,6.22,"58,115"
"May 11, 2011",6.23,6.27,6.22,6.27,"59,860"
"May 12, 2011",6.25,6.27,6.23,6.24,"31,333"
"May 13, 2011",6.24,6.27,6.22,6.22,"50,750"
"May 16, 2011",6.24,6.26,6.22,6.24,"23,265"
"May 17, 2011",6.23,6.26,6.23,6.25,"33,203"
"May 18, 2011",6.25,6.25,6.22,6.22,"32,635"
"May 19, 2011",6.22,6.25,6.19,6.24,"68,760"
"May 20, 2011",6.24,6.24,6.21,6.24,"27,025"
"May 24, 2011",6.24,6.24,6.23,6.24,"40,800"
"May 25, 2011",6.24,6.24,6.18,6.20,"50,968"
"May 26, 2011",6.18,6.22,6.18,6.21,"20,650"
"May 27, 2011",6.21,6.23,6.19,6.23,"17,344"
"May 30, 2011",6.21,6.22,6.18,6.22,"33,566"
"May 31, 2011",6.20,6.22,6.18,6.22,"35,745"
"Jun 01, 2011",6.23,6.23,6.21,6.21,"11,292"
"Jun 02, 2011",6.21,6.24,6.20,6.22,"38,225"
"Jun 03, 2011",6.20,6.20,6.20,6.20,"5,005"
"Jun 06, 2011",6.20,6.22,6.20,6.22,"15,034"
"Jun 07, 2011",6.20,6.22,6.17,6.22,"21,325"
"Jun 08, 2011",6.22,6.23,6.20,6.20,"23,650"
"Jun 09, 2011",6.20,6.21,6.13,6.13,"16,326"
"Jun 10, 2011",6.15,6.15,6.08,6.08,"10,080"
"Jun 13, 2011",6.12,6.18,6.07,6.08,"11,800"
"Jun 14, 2011",6.07,6.10,6.00,6.08,"23,871"
"Jun 15, 2011",6.02,6.20,6.02,6.18,"19,595"
"Jun 16, 2011",6.13,6.20,6.13,6.20,"11,000"
"Jun 17, 2011",6.20,6.20,6.18,6.18,"3,041"
"Jun 20, 2011",6.20,6.22,6.20,6.21,"44,875"
"Jun 21, 2011",6.21,6.22,6.13,6.13,"28,465"
"Jun 22, 2011",6.18,6.21,6.15,6.18,"19,888"
