Date,Open,High,Low,Adj. Close,Volume
"Jan 26, 2012",16.23,16.23,16.23,16.23,0
"Jan 27, 2012",16.24,16.24,16.24,16.24,400
"Jan 30, 2012",16.17,16.17,16.17,16.17,0
"Jan 31, 2012",16.19,16.19,16.19,16.19,0
"Feb 01, 2012",16.30,16.30,16.30,16.30,500
"Feb 02, 2012",16.30,16.30,16.30,16.30,0
"Feb 03, 2012",16.40,16.40,16.40,16.40,0
"Feb 06, 2012",16.40,16.40,16.40,16.40,0
"Feb 07, 2012",16.37,16.37,16.37,16.37,0
"Feb 08, 2012",16.45,16.45,16.45,16.45,500
"Feb 09, 2012",16.36,16.36,16.36,16.36,0
"Feb 10, 2012",16.26,16.26,16.26,16.26,0
"Feb 13, 2012",16.32,16.32,16.32,16.32,"5,000"
"Feb 14, 2012",16.27,16.27,16.27,16.27,0
"Feb 15, 2012",16.28,16.28,16.28,16.28,0
"Feb 16, 2012",16.42,16.42,16.42,16.42,0
"Feb 17, 2012",16.41,16.41,16.41,16.41,0
"Feb 21, 2012",16.59,16.59,16.59,16.59,0
"Feb 22, 2012",16.63,16.63,16.63,16.63,0
"Feb 23, 2012",16.62,16.62,16.62,16.62,75
"Feb 24, 2012",16.64,16.64,16.64,16.64,0
"Feb 27, 2012",16.63,16.63,16.63,16.63,0
"Feb 28, 2012",16.69,16.69,16.69,16.69,75
"Feb 29, 2012",16.74,16.74,16.65,16.65,"4,763"
"Mar 01, 2012",16.73,16.76,16.73,16.76,632
"Mar 02, 2012",16.67,16.67,16.67,16.67,0
"Mar 05, 2012",16.68,16.68,16.68,16.68,500
"Mar 06, 2012",16.30,16.30,16.30,16.30,8
"Mar 07, 2012",16.33,16.33,16.33,16.33,0
"Mar 08, 2012",16.50,16.50,16.50,16.50,8
"Mar 09, 2012",16.57,16.57,16.57,16.57,0
"Mar 12, 2012",16.52,16.52,16.52,16.52,0
"Mar 13, 2012",16.75,16.75,16.75,16.75,0
"Mar 14, 2012",16.68,16.68,16.68,16.68,8
"Mar 15, 2012",16.81,16.81,16.81,16.81,8
"Mar 16, 2012",16.93,16.97,16.93,16.97,"1,800"
"Mar 19, 2012",16.86,16.86,16.86,16.86,0
"Mar 20, 2012",16.78,16.78,16.78,16.78,0
"Mar 21, 2012",16.81,16.81,16.81,16.81,"3,500"
"Mar 22, 2012",16.73,16.73,16.73,16.73,0
"Mar 23, 2012",16.83,16.83,16.83,16.83,0
"Mar 26, 2012",16.94,16.94,16.94,16.94,"2,560"
"Mar 27, 2012",16.91,16.91,16.91,16.91,0
"Mar 28, 2012",16.81,16.81,16.81,16.81,0
"Mar 29, 2012",16.66,16.66,16.66,16.66,"15,952"
"Mar 30, 2012",16.75,16.75,16.75,16.75,"8,020"
"Apr 02, 2012",16.87,16.88,16.87,16.88,"133,500"
"Apr 03, 2012",16.75,16.75,16.75,16.75,"19,000"
"Apr 04, 2012",16.49,16.49,16.49,16.49,"1,650"
"Apr 05, 2012",16.40,16.40,16.40,16.40,"6,300"
"Apr 09, 2012",16.33,16.33,16.33,16.33,530
"Apr 10, 2012",16.26,16.26,16.26,16.26,"44,430"
"Apr 11, 2012",16.20,16.20,16.19,16.19,"14,800"
"Apr 12, 2012",16.29,16.32,16.29,16.32,"13,820"
"Apr 13, 2012",16.24,16.24,16.24,16.24,0
"Apr 16, 2012",16.29,16.29,16.29,16.29,0
"Apr 17, 2012",16.39,16.39,16.39,16.39,752
"Apr 18, 2012",16.40,16.48,16.40,16.45,"6,972"
"Apr 19, 2012",16.50,16.50,16.50,16.50,755
"Apr 20, 2012",16.47,16.47,16.47,16.47,0
"Apr 23, 2012",16.24,16.34,16.24,16.34,"16,900"
"Apr 24, 2012",16.37,16.37,16.37,16.37,"1,268"
"Apr 25, 2012",16.46,16.46,16.46,16.46,0
"Apr 26, 2012",16.53,16.53,16.53,16.53,0
"Apr 27, 2012",16.67,16.67,16.67,16.67,0
"Apr 30, 2012",16.63,16.63,16.63,16.63,"13,281"
"May 01, 2012",16.85,16.85,16.85,16.85,"3,372"
"May 02, 2012",16.65,16.65,16.65,16.65,0
"May 03, 2012",16.62,16.62,16.62,16.62,"13,600"
"May 04, 2012",16.14,16.14,16.14,16.14,24
"May 07, 2012",16.11,16.11,16.11,16.11,"2,600"
"May 08, 2012",15.88,15.88,15.88,15.88,320
"May 09, 2012",15.91,15.91,15.91,15.91,50
"May 10, 2012",16.00,16.00,16.00,16.00,46
"May 11, 2012",15.96,15.96,15.96,15.96,70
"May 14, 2012",15.72,15.72,15.72,15.72,0
"May 15, 2012",15.70,15.70,15.70,15.70,"9,035"
"May 16, 2012",15.49,15.49,15.49,15.49,0
"May 17, 2012",15.39,15.39,15.39,15.39,51
"May 18, 2012",15.46,15.46,15.46,15.46,"41,700"
"May 22, 2012",15.62,15.62,15.62,15.62,"10,600"
"May 23, 2012",15.67,15.67,15.67,15.67,0
"May 24, 2012",15.72,15.72,15.72,15.72,"1,300"
