Date,Open,High,Low,Adj. Close,Volume
"Jan 15, 2014",15.46,15.46,15.46,15.46,0
"Jan 16, 2014",15.37,15.37,15.37,15.37,0
"Jan 17, 2014",15.43,15.43,15.43,15.43,200
"Jan 20, 2014",15.50,15.50,15.50,15.50,360
"Jan 21, 2014",15.48,15.48,15.48,15.48,"1,000"
"Jan 22, 2014",15.46,15.46,15.45,15.45,"1,200"
"Jan 23, 2014",15.38,15.38,15.37,15.37,990
"Jan 24, 2014",15.10,15.10,15.10,15.10,575
"Jan 27, 2014",15.06,15.06,15.06,15.06,0
"Jan 28, 2014",15.21,15.21,15.21,15.21,0
"Jan 29, 2014",14.93,14.93,14.93,14.93,0
"Jan 30, 2014",15.10,15.10,15.10,15.10,60
"Jan 31, 2014",14.69,14.69,14.69,14.69,150
"Feb 03, 2014",14.76,14.76,14.76,14.76,"2,500"
"Feb 04, 2014",14.88,14.88,14.88,14.88,"10,000"
"Feb 05, 2014",14.76,14.79,14.76,14.79,"331,460"
"Feb 06, 2014",14.88,14.88,14.88,14.88,955
"Feb 07, 2014",15.15,15.15,15.15,15.15,0
"Feb 10, 2014",15.06,15.06,15.06,15.06,701
"Feb 11, 2014",15.34,15.34,15.34,15.34,0
"Feb 12, 2014",15.35,15.35,15.35,15.35,0
"Feb 13, 2014",15.43,15.43,15.43,15.43,0
"Feb 14, 2014",15.37,15.37,15.37,15.37,123
"Feb 18, 2014",15.57,15.57,15.57,15.57,0
"Feb 19, 2014",15.41,15.41,15.41,15.41,0
"Feb 20, 2014",15.66,15.66,15.66,15.66,90
"Feb 21, 2014",15.60,15.60,15.60,15.60,0
"Feb 24, 2014",15.78,15.78,15.78,15.78,35
"Feb 25, 2014",15.82,15.82,15.82,15.82,961
"Feb 26, 2014",15.72,15.72,15.72,15.72,469
"Feb 27, 2014",15.70,15.70,15.70,15.70,105
"Feb 28, 2014",15.80,15.80,15.80,15.80,"5,000"
"Mar 03, 2014",15.43,15.43,15.43,15.43,40
"Mar 04, 2014",15.82,15.82,15.82,15.82,90
"Mar 05, 2014",15.68,15.68,15.68,15.68,170
"Mar 06, 2014",15.90,15.90,15.90,15.90,35
"Mar 07, 2014",15.79,15.79,15.79,15.79,0
"Mar 10, 2014",15.71,15.71,15.71,15.71,0
"Mar 11, 2014",15.63,15.63,15.63,15.63,55
"Mar 12, 2014",15.60,15.60,15.60,15.60,"10,000"
"Mar 13, 2014",15.33,15.33,15.33,15.33,0
"Mar 14, 2014",15.25,15.25,15.25,15.25,0
"Mar 17, 2014",15.48,15.48,15.48,15.48,"10,000"
"Mar 18, 2014",15.66,15.66,15.66,15.66,29
"Mar 19, 2014",15.55,15.55,15.55,15.55,180
"Mar 20, 2014",15.50,15.50,15.50,15.50,60
"Mar 21, 2014",15.43,15.43,15.43,15.43,45
"Mar 24, 2014",15.60,15.60,15.60,15.60,500
"Mar 25, 2014",15.72,15.76,15.72,15.76,"3,380"
"Mar 26, 2014",15.62,15.62,15.62,15.62,45
"Mar 27, 2014",15.72,15.72,15.72,15.72,115
"Mar 28, 2014",15.90,15.90,15.90,15.90,0
"Mar 31, 2014",15.97,15.97,15.97,15.97,350
"Apr 01, 2014",15.97,15.97,15.97,15.97,15
"Apr 02, 2014",16.07,16.07,16.07,16.07,0
"Apr 03, 2014",16.07,16.07,16.07,16.07,"1,698"
"Apr 04, 2014",15.83,15.83,15.83,15.83,0
"Apr 07, 2014",15.81,15.81,15.81,15.81,0
"Apr 08, 2014",15.87,15.87,15.87,15.87,0
"Apr 09, 2014",16.20,16.20,16.20,16.20,50
"Apr 10, 2014",16.17,16.17,16.17,16.17,160
"Apr 11, 2014",15.82,15.82,15.82,15.82,76
