Date,Open,High,Low,Adj. Close,Volume
"Jan 15, 2014",16.51,16.51,16.51,16.51,"1,000"
"Jan 16, 2014",16.48,16.48,16.48,16.48,850
"Jan 17, 2014",16.71,16.71,16.71,16.71,100
"Jan 20, 2014",16.48,16.48,16.48,16.48,55
"Jan 21, 2014",16.55,16.55,16.55,16.55,"1,192"
"Jan 22, 2014",16.51,16.51,16.51,16.51,196
"Jan 23, 2014",16.43,16.43,16.43,16.43,0
"Jan 24, 2014",16.38,16.38,16.32,16.32,760
"Jan 27, 2014",16.17,16.17,16.17,16.17,90
"Jan 28, 2014",16.25,16.25,16.24,16.24,"2,500"
"Jan 29, 2014",16.10,16.10,16.10,16.10,30
"Jan 30, 2014",16.27,16.27,16.27,16.27,50
"Jan 31, 2014",16.21,16.21,16.21,16.21,0
"Feb 03, 2014",15.84,15.84,15.84,15.84,35
"Feb 04, 2014",15.91,15.91,15.91,15.91,150
"Feb 05, 2014",15.85,15.85,15.85,15.85,0
"Feb 06, 2014",16.02,16.02,16.02,16.02,"26,030"
"Feb 07, 2014",16.15,16.15,16.15,16.15,30
"Feb 10, 2014",16.35,16.35,16.35,16.35,674
"Feb 11, 2014",16.36,16.36,16.36,16.36,"10,155"
"Feb 12, 2014",16.31,16.31,16.31,16.31,80
"Feb 13, 2014",16.42,16.42,16.42,16.42,0
"Feb 14, 2014",16.51,16.51,16.51,16.51,75
"Feb 18, 2014",16.39,16.39,16.39,16.39,500
"Feb 19, 2014",16.47,16.47,16.47,16.47,0
"Feb 20, 2014",16.62,16.62,16.62,16.62,0
"Feb 21, 2014",16.58,16.58,16.58,16.58,0
"Feb 24, 2014",16.71,16.71,16.71,16.71,800
"Feb 25, 2014",16.62,16.62,16.62,16.62,0
"Feb 26, 2014",16.64,16.64,16.64,16.64,198
"Feb 27, 2014",16.70,16.70,16.70,16.70,41
"Feb 28, 2014",16.75,16.75,16.75,16.75,0
"Mar 03, 2014",16.68,16.68,16.68,16.68,65
"Mar 04, 2014",16.94,16.94,16.94,16.94,0
"Mar 05, 2014",17.05,17.05,17.05,17.05,463
"Mar 06, 2014",16.86,16.86,16.86,16.86,80
"Mar 07, 2014",17.10,17.10,17.10,17.10,270
"Mar 10, 2014",16.80,16.80,16.80,16.80,104
"Mar 11, 2014",16.72,16.72,16.72,16.72,53
"Mar 12, 2014",16.78,16.78,16.78,16.78,0
"Mar 13, 2014",16.69,16.69,16.69,16.69,0
"Mar 14, 2014",16.74,16.74,16.74,16.74,35
"Mar 17, 2014",16.84,16.84,16.84,16.84,0
"Mar 18, 2014",16.94,16.94,16.94,16.94,100
"Mar 19, 2014",16.78,16.78,16.78,16.78,51
"Mar 20, 2014",16.85,16.85,16.85,16.85,0
"Mar 21, 2014",16.88,16.88,16.88,16.88,50
"Mar 24, 2014",16.81,16.81,16.81,16.81,42
"Mar 25, 2014",16.92,16.92,16.92,16.92,0
"Mar 26, 2014",16.84,16.84,16.84,16.84,0
"Mar 27, 2014",16.84,16.84,16.84,16.84,115
"Mar 28, 2014",16.93,16.93,16.93,16.93,0
"Mar 31, 2014",17.09,17.09,17.09,17.09,61
"Apr 01, 2014",17.16,17.16,17.16,17.16,0
"Apr 02, 2014",17.22,17.22,17.22,17.22,0
"Apr 03, 2014",17.22,17.22,17.22,17.22,0
"Apr 04, 2014",17.11,17.11,17.11,17.11,0
"Apr 07, 2014",17.01,17.01,17.01,17.01,0
"Apr 08, 2014",17.13,17.13,17.13,17.13,15
"Apr 09, 2014",17.13,17.13,17.13,17.13,"2,600"
"Apr 10, 2014",16.96,16.96,16.96,16.96,43
"Apr 11, 2014",16.85,16.85,16.85,16.85,92
"Apr 14, 2014",16.98,16.98,16.98,16.98,50
"Apr 15, 2014",17.01,17.01,17.01,17.01,"18,122"
