Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2011",14.93,14.98,14.92,14.92,"6,812"
"Mar 02, 2011",14.92,14.97,14.82,14.84,"35,603"
"Mar 03, 2011",14.89,14.89,14.74,14.74,"7,800"
"Mar 04, 2011",14.76,14.77,14.70,14.74,"6,157"
"Mar 07, 2011",14.80,14.80,14.76,14.76,"3,255"
"Mar 08, 2011",14.79,14.82,14.68,14.70,"10,049"
"Mar 09, 2011",14.71,14.76,14.71,14.71,"26,815"
"Mar 10, 2011",14.71,14.72,14.68,14.69,"6,807"
"Mar 11, 2011",14.72,14.72,14.65,14.65,"9,675"
"Mar 14, 2011",14.74,14.78,14.63,14.63,"8,488"
"Mar 15, 2011",14.58,14.58,14.40,14.45,"17,400"
"Mar 16, 2011",14.36,14.49,14.36,14.46,"12,043"
"Mar 17, 2011",14.49,14.50,14.45,14.50,"4,000"
"Mar 18, 2011",14.50,14.59,14.50,14.59,"14,310"
"Mar 21, 2011",14.53,14.59,14.53,14.59,"8,323"
"Mar 22, 2011",14.56,14.59,14.53,14.55,"10,460"
"Mar 23, 2011",14.57,14.59,14.52,14.55,"4,772"
"Mar 24, 2011",14.55,14.56,14.47,14.47,"6,937"
"Mar 25, 2011",14.56,14.59,14.52,14.54,"7,765"
"Mar 28, 2011",14.53,14.59,14.51,14.56,"16,536"
"Mar 29, 2011",14.50,14.57,14.50,14.57,"5,800"
"Mar 30, 2011",14.52,14.57,14.45,14.52,"28,496"
"Mar 31, 2011",14.45,14.59,14.45,14.53,"7,030"
"Apr 01, 2011",14.61,14.61,14.56,14.56,"3,190"
"Apr 04, 2011",14.56,14.70,14.56,14.65,"11,211"
"Apr 05, 2011",14.58,14.64,14.56,14.57,"2,624"
"Apr 06, 2011",14.61,14.62,14.54,14.58,"3,398"
"Apr 07, 2011",14.53,14.58,14.53,14.57,"2,129"
"Apr 08, 2011",14.55,14.57,14.49,14.55,"2,472"
"Apr 11, 2011",14.45,14.53,14.45,14.46,"11,176"
"Apr 12, 2011",14.44,14.49,14.35,14.35,"9,757"
"Apr 13, 2011",14.45,14.45,14.33,14.34,"7,643"
