Date,Open,High,Low,Adj. Close,Volume
"Nov 03, 2017",17.72,17.72,17.72,17.72,"1,155,103"
"Nov 06, 2017",17.76,18.13,17.53,18.00,"143,512"
"Nov 07, 2017",18.07,18.18,17.82,18.05,"89,708"
"Nov 08, 2017",17.98,18.22,17.91,18.06,"48,940"
"Nov 09, 2017",18.06,18.06,17.88,17.95,"63,795"
"Nov 10, 2017",17.80,17.97,17.76,17.82,"111,368"
"Nov 13, 2017",17.97,17.99,17.77,17.94,"42,056"
"Nov 14, 2017",18.03,18.03,16.93,17.07,"51,041"
"Nov 15, 2017",17.35,17.35,16.35,16.60,"865,328"
"Nov 16, 2017",16.70,17.39,16.61,16.69,"128,387"
"Nov 17, 2017",16.72,17.29,16.53,16.80,"91,925"
"Nov 20, 2017",16.71,17.30,16.71,16.76,"19,237"
"Nov 21, 2017",17.01,17.01,16.75,16.80,"48,387"
"Nov 22, 2017",16.88,18.17,16.88,17.40,"21,858"
"Nov 23, 2017",17.52,17.64,17.52,17.64,"3,508"
"Nov 24, 2017",17.65,17.65,17.36,17.53,"11,983"
"Nov 27, 2017",17.23,17.53,17.21,17.26,"50,200"
"Nov 28, 2017",17.52,17.87,17.40,17.43,"84,904"
"Nov 29, 2017",17.56,17.87,17.40,17.68,"13,517"
"Nov 30, 2017",17.87,18.08,17.53,17.79,"25,246"
"Dec 01, 2017",17.70,18.00,17.54,17.81,"31,608"
"Dec 04, 2017",18.00,18.09,17.27,17.67,"89,536"
"Dec 05, 2017",17.67,17.70,17.57,17.60,"19,498"
"Dec 06, 2017",17.71,18.20,17.68,18.00,"121,660"
"Dec 07, 2017",17.98,18.46,17.87,18.37,"42,650"
"Dec 08, 2017",18.46,19.15,18.46,18.76,"99,046"
"Dec 11, 2017",18.95,19.79,18.51,19.42,"70,789"
"Dec 12, 2017",19.65,19.77,19.54,19.77,"6,095"
"Dec 13, 2017",20.30,20.54,20.30,20.49,"36,080"
"Dec 14, 2017",20.71,20.76,20.17,20.30,"16,572"
"Dec 15, 2017",20.39,20.88,20.08,20.86,"34,442"
"Dec 18, 2017",20.95,21.77,20.53,21.47,"32,667"
"Dec 19, 2017",21.63,21.99,20.59,21.17,"46,247"
"Dec 20, 2017",21.31,22.78,20.63,21.15,"67,241"
"Dec 21, 2017",21.49,21.49,20.31,20.99,"25,035"
"Dec 22, 2017",20.87,20.87,20.24,20.35,"20,404"
"Dec 27, 2017",20.38,20.38,19.87,20.15,"9,250"
"Dec 28, 2017",20.23,21.72,20.23,21.22,"20,478"
"Dec 29, 2017",21.31,21.40,20.59,21.12,"10,513"
"Jan 02, 2018",21.15,21.99,21.14,21.56,"25,385"
"Jan 03, 2018",21.59,22.13,21.15,21.58,"11,714"
"Jan 04, 2018",21.38,21.50,20.82,21.33,"8,050"
"Jan 05, 2018",21.43,21.44,20.40,21.07,"14,931"
"Jan 08, 2018",21.07,21.17,19.85,20.66,"45,134"
"Jan 09, 2018",20.51,20.72,20.03,20.53,"23,695"
"Jan 10, 2018",20.44,20.51,20.13,20.32,"4,310"
"Jan 11, 2018",20.18,20.76,20.14,20.59,"15,299"
"Jan 12, 2018",20.76,20.99,20.54,20.72,"58,563"
"Jan 15, 2018",20.85,21.22,20.85,20.99,"30,810"
"Jan 16, 2018",21.01,21.10,20.68,20.95,"11,031"
"Jan 17, 2018",21.22,21.86,20.59,21.70,"40,991"
"Jan 18, 2018",22.02,22.51,21.43,21.49,"23,528"
"Jan 19, 2018",21.58,22.10,21.58,22.10,"55,167"
"Jan 22, 2018",22.10,23.30,21.94,22.85,"60,158"
"Jan 23, 2018",23.06,23.25,22.61,22.87,"10,844"
"Jan 24, 2018",22.98,23.06,22.16,22.16,"9,936"
"Jan 25, 2018",22.15,23.78,22.15,23.25,"85,354"
"Jan 26, 2018",23.96,24.91,23.68,23.70,"28,999"
"Jan 29, 2018",23.98,24.26,23.36,23.36,"7,606"
"Jan 30, 2018",22.77,23.52,21.93,22.79,"45,545"
"Jan 31, 2018",22.97,23.15,21.79,22.24,"49,969"
"Feb 01, 2018",22.44,23.04,22.16,23.02,"31,552"
"Feb 02, 2018",23.21,23.21,22.21,22.21,"16,960"
"Feb 05, 2018",21.95,22.18,21.60,21.89,"21,317"
"Feb 06, 2018",21.56,21.93,21.32,21.77,"49,990"
"Feb 07, 2018",21.70,22.87,21.70,22.43,"10,150"
"Feb 08, 2018",22.35,22.37,21.78,21.78,"39,192"
"Feb 09, 2018",21.60,22.62,21.60,21.96,"18,332"
"Feb 12, 2018",22.14,22.70,22.14,22.56,"20,104"
"Feb 13, 2018",22.78,22.88,22.33,22.38,"15,731"
"Feb 14, 2018",22.30,22.92,22.16,22.55,"33,986"
"Feb 15, 2018",22.97,23.12,22.34,22.47,"45,517"
"Feb 16, 2018",22.15,23.35,21.79,22.33,"99,272"
"Feb 20, 2018",22.83,24.21,22.83,23.42,"34,403"
"Feb 21, 2018",23.62,23.71,23.07,23.07,"49,793"
"Feb 22, 2018",23.72,24.22,22.39,23.02,"88,678"
"Feb 23, 2018",23.07,23.11,22.15,22.85,"50,776"
"Feb 26, 2018",23.07,23.80,22.83,23.25,"74,836"
"Feb 27, 2018",23.24,23.51,22.99,23.07,"14,681"
"Feb 28, 2018",22.98,23.96,22.98,23.61,"93,508"
"Mar 01, 2018",23.70,23.70,21.87,22.11,"108,640"
"Mar 02, 2018",21.50,22.27,21.46,22.16,"57,809"
"Mar 05, 2018",22.15,22.79,21.83,22.39,"25,543"
"Mar 06, 2018",22.52,22.52,21.31,21.97,"49,997"
"Mar 07, 2018",21.80,22.88,21.80,22.82,"28,512"
"Mar 08, 2018",23.81,24.99,23.52,24.45,"135,046"
"Mar 09, 2018",25.07,25.95,24.52,24.82,"68,544"
"Mar 12, 2018",24.82,24.87,23.55,24.28,"32,521"
"Mar 13, 2018",24.28,24.28,23.59,24.01,"50,693"
"Mar 14, 2018",24.34,24.34,23.36,23.87,"37,356"
"Mar 15, 2018",23.92,23.92,23.22,23.50,"28,170"
"Mar 16, 2018",23.45,23.47,22.61,22.99,"45,864"
"Mar 19, 2018",22.82,23.63,22.34,23.63,"59,654"
"Mar 20, 2018",23.45,23.52,22.80,23.17,"51,575"
"Mar 21, 2018",23.04,23.34,22.90,22.92,"22,224"
"Mar 22, 2018",22.66,22.79,21.60,22.14,"27,405"
"Mar 23, 2018",22.01,22.05,21.51,21.61,"29,681"
"Mar 26, 2018",21.92,22.19,21.90,22.19,"47,105"
"Mar 27, 2018",22.19,22.19,21.42,21.58,"39,783"
"Mar 28, 2018",21.61,22.51,20.41,21.11,"142,409"
"Mar 29, 2018",20.09,20.27,19.99,20.20,"578,465"
"Apr 02, 2018",20.19,20.19,19.19,19.58,"186,339"
"Apr 03, 2018",19.77,20.20,19.77,20.15,"215,686"
"Apr 04, 2018",20.09,20.15,19.90,20.02,"131,769"
"Apr 05, 2018",20.03,20.08,19.64,19.94,"141,972"
"Apr 06, 2018",19.84,20.09,19.71,19.74,"256,116"
"Apr 09, 2018",19.64,19.92,19.62,19.62,"63,779"
"Apr 10, 2018",19.84,20.15,19.75,19.90,"226,971"
"Apr 11, 2018",19.97,20.02,19.46,19.52,"131,128"
"Apr 12, 2018",19.84,20.10,19.66,20.01,"131,265"
"Apr 13, 2018",20.02,20.02,19.76,19.79,"35,875"
"Apr 16, 2018",19.96,19.99,19.50,19.92,"71,898"
"Apr 17, 2018",20.01,21.33,19.78,20.85,"485,403"
"Apr 18, 2018",20.95,21.88,20.93,21.76,"223,900"
"Apr 19, 2018",21.76,21.83,21.24,21.77,"116,893"
"Apr 20, 2018",21.77,22.24,21.01,21.93,"62,908"
"Apr 23, 2018",22.43,23.03,21.58,22.30,"256,404"
"Apr 24, 2018",22.55,22.99,22.17,22.42,"79,584"
"Apr 25, 2018",22.45,23.39,22.38,22.49,"103,620"
"Apr 26, 2018",22.65,23.44,22.29,22.34,"59,035"
"Apr 27, 2018",22.14,22.43,22.08,22.23,"15,036"
"Apr 30, 2018",22.21,22.55,21.55,21.84,"95,684"
"May 01, 2018",21.85,22.08,21.52,21.85,"91,583"
"May 02, 2018",21.82,22.31,21.82,22.05,"107,555"
"May 03, 2018",22.58,23.05,22.15,23.05,"86,712"
"May 04, 2018",23.16,23.76,23.08,23.59,"156,862"
"May 07, 2018",23.80,24.08,23.65,23.86,"75,417"
"May 08, 2018",24.10,24.45,23.77,24.32,"101,228"
"May 09, 2018",24.39,24.44,23.80,24.22,"59,079"
"May 10, 2018",24.34,24.53,23.96,24.24,"58,844"
"May 11, 2018",24.22,24.22,23.78,23.78,"70,581"
"May 14, 2018",24.02,24.52,23.86,24.19,"44,972"
"May 15, 2018",24.29,24.92,24.24,24.92,"102,504"
"May 16, 2018",24.82,25.15,24.75,24.83,"61,554"
"May 17, 2018",24.86,25.06,24.66,24.91,"64,013"
"May 18, 2018",24.97,25.11,24.75,24.82,"61,564"
"May 22, 2018",25.47,25.56,24.80,24.97,"114,012"
"May 23, 2018",24.82,25.21,24.57,24.94,"104,033"
"May 24, 2018",24.97,24.97,24.26,24.42,"22,338"
"May 25, 2018",24.34,24.34,23.87,23.91,"40,835"
"May 28, 2018",23.95,24.01,23.51,23.57,"18,319"
"May 29, 2018",23.57,23.62,23.06,23.14,"104,538"
"May 30, 2018",23.12,23.49,23.12,23.14,"86,736"
"May 31, 2018",23.15,23.30,22.10,22.33,"663,192"
"Jun 01, 2018",22.33,22.75,22.31,22.53,"90,643"
"Jun 04, 2018",22.51,23.11,22.51,23.09,"126,565"
