Date,Open,High,Low,Adj. Close,Volume
"Dec 16, 2014",20.74,20.74,20.64,20.69,"749,016"
"Dec 17, 2014",20.70,20.70,20.63,20.64,"140,075"
"Dec 18, 2014",20.64,20.64,20.59,20.63,"141,790"
"Dec 19, 2014",20.59,20.68,20.59,20.63,"140,825"
"Dec 22, 2014",20.67,20.75,20.64,20.75,"115,130"
"Dec 23, 2014",20.74,20.76,20.69,20.72,"110,049"
"Dec 24, 2014",20.72,20.80,20.72,20.78,"63,650"
"Dec 29, 2014",20.78,20.79,20.76,20.76,"59,200"
"Dec 30, 2014",20.76,20.79,20.74,20.74,"79,440"
"Dec 31, 2014",20.78,20.79,20.75,20.79,"32,025"
"Jan 02, 2015",20.76,20.80,20.75,20.79,"22,840"
"Jan 05, 2015",20.79,20.80,20.77,20.79,"116,740"
"Jan 06, 2015",20.79,20.85,20.78,20.83,"171,110"
"Jan 07, 2015",20.84,20.86,20.80,20.84,"272,890"
"Jan 08, 2015",20.84,20.86,20.83,20.83,"102,836"
"Jan 09, 2015",20.84,20.86,20.84,20.86,"139,810"
"Jan 12, 2015",20.85,20.88,20.84,20.86,"75,186"
"Jan 13, 2015",20.85,20.88,20.84,20.84,"21,155"
"Jan 14, 2015",20.84,20.87,20.84,20.86,"107,610"
"Jan 15, 2015",20.88,20.88,20.85,20.87,"113,328"
"Jan 16, 2015",20.89,20.97,20.89,20.93,"177,723"
"Jan 19, 2015",20.93,20.95,20.93,20.95,"5,330"
"Jan 20, 2015",20.93,20.94,20.91,20.94,"63,169"
"Jan 21, 2015",20.94,20.94,20.90,20.94,"25,407"
"Jan 22, 2015",20.89,20.94,20.89,20.94,"10,345"
"Jan 23, 2015",20.94,20.98,20.92,20.97,"56,796"
"Jan 26, 2015",20.95,20.97,20.80,20.81,"101,135"
"Jan 27, 2015",20.80,20.87,20.72,20.72,"70,655"
"Jan 28, 2015",20.72,20.84,20.72,20.78,"15,793"
"Jan 29, 2015",20.76,20.78,20.43,20.47,"15,310"
"Jan 30, 2015",20.56,20.56,20.06,20.37,"39,485"
"Feb 02, 2015",20.42,20.52,20.32,20.39,"4,508"
"Feb 03, 2015",20.41,20.70,20.39,20.47,"9,670"
"Feb 04, 2015",20.51,20.64,20.48,20.48,"10,800"
"Feb 05, 2015",20.39,20.59,20.39,20.51,"8,455"
"Feb 06, 2015",20.59,20.70,20.56,20.70,"3,948"
"Feb 09, 2015",20.68,20.68,20.54,20.57,"31,500"
"Feb 10, 2015",20.61,20.70,20.60,20.65,"100,115"
"Feb 11, 2015",20.54,20.66,20.51,20.59,"10,033"
