Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",82.80,82.80,77.10,78.00,"14,433"
"Jan 03, 2001",77.70,78.00,75.30,77.10,"65,450"
"Jan 04, 2001",76.80,78.60,75.60,78.60,"62,967"
"Jan 05, 2001",78.60,79.20,75.30,76.50,"125,983"
"Jan 08, 2001",77.70,78.30,77.70,78.00,"46,117"
"Jan 09, 2001",78.00,78.30,77.10,77.40,"82,567"
"Jan 10, 2001",77.40,78.00,76.80,77.40,"44,167"
"Jan 11, 2001",78.00,78.00,75.60,76.20,"35,250"
"Jan 12, 2001",76.80,76.80,74.10,74.40,"122,233"
"Jan 15, 2001",75.00,76.20,74.40,76.20,"27,000"
"Jan 16, 2001",75.60,75.60,74.40,74.70,"63,317"
"Jan 17, 2001",74.40,75.60,74.40,75.00,"16,433"
"Jan 18, 2001",75.30,75.60,73.20,73.20,"262,383"
"Jan 19, 2001",74.40,74.40,70.50,70.80,"224,017"
"Jan 22, 2001",72.00,72.00,67.50,67.80,"59,733"
"Jan 23, 2001",69.00,69.30,66.00,67.80,"203,250"
"Jan 24, 2001",68.40,70.50,67.50,69.90,"164,350"
"Jan 25, 2001",70.20,70.80,69.30,69.60,"93,500"
"Jan 26, 2001",71.40,71.40,70.50,71.10,"98,100"
"Jan 29, 2001",72.30,73.32,71.70,72.30,"63,450"
"Jan 30, 2001",72.60,72.90,71.76,72.60,"50,550"
"Jan 31, 2001",72.00,72.90,71.10,71.70,"71,417"
"Feb 01, 2001",72.00,72.00,69.90,70.20,"51,867"
"Feb 02, 2001",71.40,71.70,71.22,71.28,"156,150"
"Feb 05, 2001",72.60,73.20,72.06,72.60,"94,917"
"Feb 06, 2001",73.02,73.50,72.60,73.50,"62,867"
"Feb 07, 2001",72.60,74.94,72.60,73.80,"491,700"
"Feb 08, 2001",73.80,74.40,72.12,72.12,"203,533"
"Feb 09, 2001",73.50,74.64,72.12,74.34,"104,250"
"Feb 12, 2001",74.64,75.30,73.62,75.06,"52,350"
"Feb 13, 2001",75.06,75.60,74.16,75.30,"79,017"
"Feb 14, 2001",75.60,76.80,75.00,76.50,"42,683"
"Feb 15, 2001",76.74,76.80,74.40,74.40,"29,383"
"Feb 16, 2001",75.00,76.86,74.40,74.52,"61,517"
"Feb 19, 2001",74.52,75.90,74.52,75.90,"26,400"
"Feb 20, 2001",75.90,76.50,74.40,75.00,"144,083"
"Feb 21, 2001",74.40,75.84,72.90,73.20,"44,000"
"Feb 22, 2001",72.60,75.60,72.60,75.60,"436,250"
"Feb 23, 2001",74.10,75.60,74.10,75.42,"52,800"
"Feb 26, 2001",75.42,75.60,74.40,75.06,"20,267"
"Feb 27, 2001",75.60,77.04,75.12,76.50,"45,467"
"Feb 28, 2001",77.10,81.00,74.04,81.00,"98,550"
"Mar 01, 2001",80.40,81.00,78.00,79.26,"44,833"
"Mar 02, 2001",80.10,80.10,78.30,78.30,"31,950"
"Mar 05, 2001",78.60,81.54,78.60,80.40,"61,467"
"Mar 06, 2001",81.00,83.40,81.00,82.50,"51,767"
"Mar 07, 2001",83.10,84.90,83.10,84.60,"170,383"
"Mar 08, 2001",85.50,87.90,84.60,87.00,"119,383"
"Mar 09, 2001",86.40,87.30,85.56,86.10,"75,683"
"Mar 12, 2001",85.80,86.04,84.60,85.80,"41,600"
"Mar 13, 2001",84.60,85.20,82.20,84.30,"87,633"
"Mar 14, 2001",81.66,84.00,81.00,83.52,"45,500"
"Mar 15, 2001",82.02,83.40,82.02,83.40,"39,217"
"Mar 16, 2001",82.80,83.40,81.60,82.32,"68,133"
"Mar 19, 2001",82.50,84.00,82.50,84.00,"17,867"
"Mar 20, 2001",84.60,88.80,84.60,86.76,"179,217"
"Mar 21, 2001",85.80,88.50,85.80,87.30,"56,000"
"Mar 22, 2001",86.40,86.70,84.60,86.40,"66,500"
"Mar 23, 2001",85.80,86.40,84.06,84.90,"113,233"
"Mar 26, 2001",84.00,86.10,83.70,85.50,"33,533"
"Mar 27, 2001",85.50,87.90,85.20,85.50,"45,317"
"Mar 28, 2001",85.50,86.10,84.90,84.90,"19,050"
"Mar 29, 2001",84.60,86.40,82.20,83.40,"92,683"
"Mar 30, 2001",83.40,86.40,82.80,86.40,"30,483"
"Apr 02, 2001",86.40,89.40,85.86,88.80,"45,500"
"Apr 03, 2001",88.50,88.50,85.56,86.10,"30,633"
"Apr 04, 2001",86.10,86.70,84.06,84.90,"20,783"
"Apr 05, 2001",84.90,86.40,84.30,84.30,"39,850"
"Apr 06, 2001",85.20,86.40,84.30,85.80,"38,183"
"Apr 09, 2001",85.20,87.60,85.20,87.30,"17,217"
"Apr 10, 2001",86.70,90.30,86.70,89.58,"51,900"
"Apr 11, 2001",90.60,90.60,88.50,88.74,"53,633"
"Apr 12, 2001",87.90,88.80,87.18,88.50,"38,000"
"Apr 16, 2001",88.50,90.60,87.90,90.60,"31,733"
"Apr 17, 2001",90.30,92.94,90.30,92.94,"70,050"
"Apr 18, 2001",93.00,94.20,92.40,93.60,"52,983"
"Apr 19, 2001",94.50,95.40,93.00,94.86,"91,600"
"Apr 20, 2001",93.00,93.00,88.80,92.10,"128,417"
"Apr 23, 2001",91.80,91.80,88.50,89.40,"36,417"
"Apr 24, 2001",89.40,89.40,84.78,87.90,"161,250"
"Apr 25, 2001",86.70,92.40,86.70,91.50,"116,733"
"Apr 26, 2001",90.90,92.40,90.90,92.40,"35,750"
"Apr 27, 2001",91.80,92.10,91.20,91.80,"56,950"
"Apr 30, 2001",92.46,92.70,90.00,91.50,"252,550"
"May 01, 2001",91.50,94.68,91.50,94.20,"190,083"
"May 02, 2001",94.80,96.90,94.80,96.60,"343,867"
"May 03, 2001",95.40,96.90,94.80,96.00,"106,367"
"May 04, 2001",95.70,96.00,93.60,94.50,"98,533"
"May 07, 2001",93.30,96.30,93.00,95.70,"82,817"
"May 08, 2001",95.70,98.76,94.50,95.58,"153,500"
"May 09, 2001",95.52,95.52,93.84,94.50,"219,750"
"May 10, 2001",94.20,97.20,93.30,96.00,"167,717"
"May 11, 2001",96.60,96.60,94.20,94.80,"57,383"
"May 14, 2001",94.20,94.80,93.60,93.90,"136,767"
"May 15, 2001",93.78,94.50,91.50,92.10,"82,533"
"May 16, 2001",91.80,95.94,91.80,95.70,"68,517"
"May 17, 2001",95.70,96.54,94.44,95.10,"38,900"
"May 18, 2001",93.90,94.80,92.34,93.18,"24,333"
"May 22, 2001",92.76,93.90,92.10,92.70,"129,817"
"May 23, 2001",92.70,93.72,92.40,93.00,"43,167"
"May 24, 2001",92.40,92.40,90.00,90.60,"68,567"
"May 25, 2001",90.00,90.00,88.50,89.10,"242,183"
"May 28, 2001",88.80,89.10,88.50,88.80,"9,633"
"May 29, 2001",88.50,89.70,88.50,88.80,"44,800"
"May 30, 2001",89.10,90.60,88.80,90.24,"109,417"
"May 31, 2001",90.30,92.40,89.40,90.60,"48,400"
"Jun 01, 2001",90.30,92.10,90.30,90.90,"21,500"
"Jun 04, 2001",90.90,94.80,90.90,94.50,"287,367"
"Jun 05, 2001",95.10,96.54,93.06,93.06,"160,533"
"Jun 06, 2001",94.50,95.82,91.98,95.34,"223,767"
"Jun 07, 2001",95.40,97.50,94.50,96.30,"157,400"
"Jun 08, 2001",96.30,97.20,94.86,95.70,"109,283"
"Jun 11, 2001",94.80,96.00,94.32,96.00,"25,200"
"Jun 12, 2001",94.14,94.50,92.10,93.66,"31,617"
"Jun 13, 2001",94.20,94.20,92.16,92.16,"13,283"
"Jun 14, 2001",93.00,93.30,90.30,90.78,"21,383"
"Jun 15, 2001",91.50,91.50,89.70,90.60,"116,467"
"Jun 18, 2001",90.60,90.60,89.58,90.30,"93,650"
"Jun 19, 2001",89.70,90.90,85.80,85.80,"108,683"
"Jun 20, 2001",84.72,86.40,84.30,84.30,"109,517"
"Jun 21, 2001",84.90,84.90,79.80,80.40,"95,267"
"Jun 22, 2001",79.50,82.44,79.20,81.18,"58,383"
"Jun 25, 2001",81.90,81.90,79.50,79.56,"33,567"
"Jun 26, 2001",79.50,79.80,77.70,79.20,"85,733"
"Jun 27, 2001",79.50,82.32,79.20,81.06,"108,833"
"Jun 28, 2001",81.60,82.20,80.76,82.20,"43,150"
"Jun 29, 2001",82.50,85.14,82.50,84.06,"44,317"
"Jul 03, 2001",85.20,85.20,81.60,84.30,"50,867"
"Jul 04, 2001",84.60,84.72,84.00,84.72,"16,483"
"Jul 05, 2001",84.54,85.20,81.78,82.20,"24,883"
"Jul 06, 2001",82.20,83.10,79.50,80.70,"28,683"
"Jul 09, 2001",81.00,81.60,79.80,80.70,"30,300"
"Jul 10, 2001",81.60,82.98,81.00,81.36,"39,117"
"Jul 11, 2001",81.00,82.86,80.70,82.50,"30,817"
"Jul 12, 2001",82.80,83.76,82.20,82.20,"25,433"
"Jul 13, 2001",82.80,87.60,82.80,87.60,"99,983"
"Jul 16, 2001",87.60,88.20,85.20,85.50,"44,400"
"Jul 17, 2001",84.00,89.10,84.00,88.20,"65,067"
"Jul 18, 2001",87.00,87.60,84.00,86.28,"72,717"
"Jul 19, 2001",86.40,87.30,85.98,86.10,"7,550"
"Jul 20, 2001",87.30,87.54,86.22,87.30,"13,133"
"Jul 23, 2001",87.60,91.80,87.30,88.68,"35,150"
"Jul 24, 2001",88.80,90.60,88.80,89.52,"76,133"
"Jul 25, 2001",88.80,89.40,87.30,88.80,"62,150"
"Jul 26, 2001",88.80,89.70,88.20,88.50,"17,950"
"Jul 27, 2001",88.50,89.70,87.90,88.80,"18,483"
"Jul 30, 2001",89.70,90.30,88.80,90.18,"25,717"
"Jul 31, 2001",89.70,90.60,89.40,90.24,"31,050"
"Aug 01, 2001",89.70,91.20,89.58,89.76,"62,883"
"Aug 02, 2001",90.30,91.08,89.40,89.40,"43,950"
"Aug 03, 2001",88.80,90.00,85.50,86.40,"33,500"
"Aug 07, 2001",86.10,86.16,84.30,85.56,"26,417"
"Aug 08, 2001",85.20,86.10,84.60,85.08,"15,400"
"Aug 09, 2001",84.60,85.50,84.60,85.50,"14,800"
"Aug 10, 2001",85.20,86.10,84.60,84.60,"19,467"
"Aug 13, 2001",84.60,85.80,84.30,85.20,"38,767"
"Aug 14, 2001",84.60,87.42,84.60,86.70,"18,817"
"Aug 15, 2001",86.70,87.60,86.10,86.10,"176,133"
"Aug 16, 2001",87.00,87.00,85.50,86.34,"16,850"
"Aug 17, 2001",86.40,86.82,85.50,86.58,"13,300"
