Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",1.50,1.50,1.50,1.50,"10,000"
"Jan 03, 2001",1.45,1.45,1.25,1.35,"12,400"
"Jan 04, 2001",1.30,1.30,1.25,1.25,"3,000"
"Jan 05, 2001",1.25,1.35,1.25,1.35,"4,300"
"Jan 08, 2001",0.00,0.00,0.00,1.35,0
"Jan 09, 2001",1.25,1.25,1.15,1.15,"14,900"
"Jan 10, 2001",1.10,1.40,1.10,1.40,"10,000"
"Jan 11, 2001",1.25,1.25,1.25,1.25,"7,400"
"Jan 12, 2001",1.29,1.30,1.20,1.20,"3,700"
"Jan 15, 2001",1.15,1.35,1.15,1.15,"1,000"
"Jan 16, 2001",1.40,1.40,1.30,1.30,"23,000"
"Jan 17, 2001",1.30,1.30,1.30,1.30,"3,400"
"Jan 18, 2001",1.53,1.55,1.50,1.54,"205,200"
"Jan 19, 2001",1.49,1.50,1.45,1.45,"86,600"
"Jan 22, 2001",1.30,1.50,1.30,1.30,"3,500"
"Jan 23, 2001",1.40,1.40,1.40,1.40,"2,000"
"Jan 24, 2001",1.30,1.30,1.30,1.30,"1,000"
"Jan 25, 2001",1.50,1.50,1.50,1.50,"10,000"
"Jan 26, 2001",1.44,1.44,1.44,1.44,300
"Jan 29, 2001",1.30,1.40,1.30,1.40,"61,500"
"Jan 30, 2001",1.44,1.44,1.44,1.44,"1,200"
"Jan 31, 2001",1.44,1.45,1.35,1.45,"50,500"
"Feb 01, 2001",1.44,1.45,1.44,1.45,"25,000"
"Feb 02, 2001",0.00,0.00,0.00,1.45,0
"Feb 05, 2001",1.30,1.30,1.30,1.30,"2,500"
"Feb 06, 2001",1.35,1.35,1.35,1.35,"2,300"
"Feb 07, 2001",1.30,1.30,1.25,1.25,"18,000"
"Feb 08, 2001",1.16,1.20,1.16,1.20,"3,300"
"Feb 09, 2001",1.20,1.20,1.20,1.20,"4,000"
"Feb 12, 2001",1.26,1.26,1.26,1.26,"2,000"
"Feb 13, 2001",1.35,1.35,1.35,1.35,"3,800"
"Feb 14, 2001",1.35,1.35,1.30,1.35,"7,200"
"Feb 15, 2001",1.30,1.30,1.30,1.30,"6,000"
"Feb 16, 2001",1.40,1.40,1.40,1.40,"2,000"
"Feb 19, 2001",0.00,0.00,0.00,1.40,0
"Feb 20, 2001",1.40,1.40,1.40,1.40,"5,500"
"Feb 21, 2001",1.30,1.30,1.00,1.07,"131,500"
"Feb 22, 2001",1.12,1.12,1.05,1.07,"68,300"
"Feb 23, 2001",1.06,1.07,1.00,1.05,"9,000"
"Feb 26, 2001",1.05,1.05,1.00,1.00,"44,000"
"Feb 27, 2001",1.00,1.05,1.00,1.05,"16,100"
"Feb 28, 2001",0.00,0.00,0.00,1.05,0
"Mar 01, 2001",1.05,1.25,1.05,1.25,"6,500"
"Mar 02, 2001",1.20,1.45,1.20,1.45,"123,000"
"Mar 05, 2001",1.57,1.60,1.45,1.45,"47,600"
