Date,Open,High,Low,Adj. Close,Volume
"Nov 20, 2012",12.80,12.80,12.80,12.80,10
"Nov 21, 2012",12.80,12.80,12.80,12.80,0
"Nov 22, 2012",12.90,12.90,12.90,12.90,95
"Nov 23, 2012",13.01,13.01,13.01,13.01,"3,260"
"Nov 26, 2012",12.97,12.97,12.94,12.94,"2,796"
"Nov 27, 2012",13.06,13.06,13.03,13.03,"1,226"
"Nov 28, 2012",13.00,13.00,13.00,13.00,20
"Nov 29, 2012",13.11,13.11,13.11,13.11,50
"Nov 30, 2012",13.13,13.21,13.13,13.21,"3,807"
"Dec 03, 2012",13.25,13.25,13.17,13.17,"2,250"
"Dec 04, 2012",13.12,13.14,13.12,13.14,"1,175"
"Dec 05, 2012",13.19,13.19,13.19,13.19,0
"Dec 06, 2012",13.25,13.25,13.25,13.25,360
"Dec 07, 2012",13.29,13.29,13.26,13.26,"1,440"
"Dec 10, 2012",13.31,13.31,13.31,13.31,105
"Dec 11, 2012",13.42,13.42,13.42,13.42,76
"Dec 12, 2012",13.51,13.51,13.51,13.51,21
"Dec 13, 2012",13.49,13.49,13.49,13.49,50
"Dec 14, 2012",13.51,13.51,13.51,13.51,240
"Dec 17, 2012",13.50,13.50,13.42,13.45,"1,075"
"Dec 18, 2012",13.43,13.56,13.43,13.56,"3,950"
"Dec 19, 2012",13.59,13.59,13.59,13.59,60
"Dec 20, 2012",13.68,13.68,13.68,13.68,90
"Dec 21, 2012",13.62,13.62,13.62,13.62,0
"Dec 24, 2012",13.64,13.64,13.64,13.64,0
"Dec 27, 2012",13.67,13.67,13.67,13.67,0
"Dec 28, 2012",13.55,13.55,13.55,13.55,0
"Dec 31, 2012",13.65,13.65,13.65,13.65,0
"Jan 02, 2013",13.85,13.92,13.85,13.92,"1,150"
"Jan 03, 2013",13.99,13.99,13.99,13.99,0
"Jan 04, 2013",14.04,14.05,14.04,14.05,978
"Jan 07, 2013",14.12,14.17,14.12,14.17,550
"Jan 08, 2013",14.17,14.18,14.12,14.18,"1,023"
"Jan 09, 2013",14.17,14.28,14.17,14.23,"4,437"
"Jan 10, 2013",14.27,14.33,14.27,14.31,"3,715"
"Jan 11, 2013",14.32,14.32,14.32,14.32,75
"Jan 14, 2013",14.33,14.33,14.33,14.33,528
"Jan 15, 2013",14.34,14.35,14.34,14.35,970
"Jan 16, 2013",14.39,14.39,14.35,14.35,"2,500"
"Jan 17, 2013",14.62,14.62,14.62,14.62,760
"Jan 18, 2013",14.64,14.67,14.64,14.67,"1,287"
"Jan 21, 2013",14.73,14.73,14.73,14.73,"1,900"
"Jan 22, 2013",14.69,14.69,14.69,14.69,400
"Jan 23, 2013",14.61,14.63,14.61,14.63,"1,300"
"Jan 24, 2013",14.64,14.64,14.64,14.64,150
"Jan 25, 2013",14.71,14.71,14.67,14.67,"3,690"
"Jan 28, 2013",14.68,14.68,14.66,14.66,"1,322"
"Jan 29, 2013",14.70,14.70,14.70,14.70,0
"Jan 30, 2013",14.71,14.71,14.60,14.60,"2,150"
"Jan 31, 2013",14.55,14.60,14.55,14.60,600
"Feb 01, 2013",14.68,14.68,14.68,14.68,18
"Feb 04, 2013",14.67,14.67,14.57,14.57,949
"Feb 05, 2013",14.66,14.67,14.66,14.67,"2,210"
"Feb 06, 2013",14.68,14.68,14.68,14.68,150
"Feb 07, 2013",14.78,14.78,14.78,14.78,200
"Feb 08, 2013",14.83,14.83,14.83,14.83,30
"Feb 11, 2013",14.87,14.87,14.85,14.85,442
"Feb 12, 2013",15.01,15.01,15.01,15.01,340
"Feb 13, 2013",15.01,15.01,15.01,15.01,"1,000"
"Feb 14, 2013",14.96,14.96,14.96,14.96,625
"Feb 15, 2013",14.93,14.99,14.93,14.99,810
"Feb 19, 2013",15.01,15.01,15.01,15.01,"1,150"
"Feb 20, 2013",15.06,15.06,15.06,15.06,485
"Feb 21, 2013",15.02,15.02,15.02,15.02,430
"Feb 22, 2013",14.90,14.90,14.90,14.90,96
"Feb 25, 2013",14.95,14.98,14.89,14.89,"1,389"
"Feb 26, 2013",14.84,14.84,14.84,14.84,150
"Feb 27, 2013",14.86,14.86,14.86,14.86,0
"Feb 28, 2013",14.96,14.96,14.96,14.96,0
"Mar 01, 2013",14.97,14.97,14.97,14.97,0
"Mar 04, 2013",14.96,14.96,14.96,14.96,50
"Mar 05, 2013",14.95,14.95,14.95,14.95,0
"Mar 06, 2013",15.01,15.07,15.01,15.07,965
"Mar 07, 2013",15.08,15.09,15.06,15.07,800
"Mar 08, 2013",15.06,15.07,14.97,14.97,"6,463"
"Mar 11, 2013",14.99,15.03,14.99,15.00,"7,580"
"Mar 12, 2013",15.00,15.00,15.00,15.00,195
"Mar 13, 2013",15.01,15.01,15.01,15.01,0
"Mar 14, 2013",15.00,15.00,15.00,15.00,0
"Mar 15, 2013",15.09,15.09,15.09,15.09,580
"Mar 18, 2013",15.12,15.12,15.12,15.12,375
"Mar 19, 2013",15.05,15.05,15.05,15.05,0
"Mar 20, 2013",15.18,15.18,15.18,15.18,0
"Mar 21, 2013",15.07,15.07,15.07,15.07,0
"Mar 22, 2013",15.00,15.00,15.00,15.00,50
"Mar 25, 2013",14.92,14.92,14.92,14.92,0
"Mar 26, 2013",14.94,14.94,14.94,14.94,772
"Mar 27, 2013",15.00,15.00,15.00,15.00,95
"Mar 28, 2013",15.04,15.04,15.04,15.04,550
"Apr 01, 2013",15.02,15.04,15.02,15.04,210
"Apr 02, 2013",15.01,15.01,14.95,14.95,"1,635"
"Apr 03, 2013",14.96,14.96,14.81,14.81,856
"Apr 04, 2013",14.80,14.80,14.71,14.71,382
"Apr 05, 2013",14.65,14.65,14.65,14.65,705
"Apr 08, 2013",14.76,14.76,14.76,14.76,70
"Apr 09, 2013",14.88,14.88,14.88,14.88,22
"Apr 10, 2013",14.99,14.99,14.99,14.99,75
"Apr 11, 2013",15.02,15.02,15.02,15.02,0
"Apr 12, 2013",14.98,14.98,14.98,14.98,0
"Apr 15, 2013",14.97,14.97,14.97,14.97,285
"Apr 16, 2013",14.75,14.87,14.75,14.87,530
"Apr 17, 2013",14.82,14.82,14.62,14.62,"1,992"
"Apr 18, 2013",14.67,14.70,14.67,14.70,"179,970"
"Apr 19, 2013",14.67,14.67,14.67,14.67,850
"Apr 22, 2013",14.61,14.61,14.61,14.61,65
"Apr 23, 2013",14.65,14.66,14.65,14.66,444
"Apr 24, 2013",14.78,14.78,14.78,14.78,300
"Apr 25, 2013",14.86,14.86,14.86,14.86,300
"Apr 26, 2013",14.84,14.84,14.84,14.84,"1,500"
"Apr 29, 2013",14.88,14.88,14.88,14.88,0
"Apr 30, 2013",14.95,14.95,14.95,14.95,900
"May 01, 2013",14.84,14.84,14.84,14.84,30
"May 02, 2013",14.95,14.95,14.95,14.95,100
"May 03, 2013",15.03,15.03,15.03,15.03,920
"May 06, 2013",14.96,14.96,14.96,14.96,0
"May 07, 2013",14.87,14.89,14.87,14.89,"8,600"
"May 08, 2013",14.92,14.92,14.92,14.92,"3,328"
"May 09, 2013",14.98,15.00,14.98,15.00,"1,215"
"May 10, 2013",14.94,15.00,14.94,15.00,950
"May 13, 2013",14.88,14.88,14.88,14.88,"38,000"
"May 14, 2013",14.86,14.88,14.86,14.88,"18,389"
"May 15, 2013",14.98,14.98,14.98,14.98,"2,655"
"May 16, 2013",15.13,15.13,15.13,15.13,0
"May 17, 2013",15.22,15.22,15.22,15.22,460
"May 21, 2013",15.21,15.28,15.21,15.28,"1,090"
"May 22, 2013",15.36,15.48,15.36,15.45,"1,305"
"May 23, 2013",15.14,15.15,15.10,15.15,"1,839"
"May 24, 2013",15.22,15.22,15.22,15.22,19
