Date,Open,High,Low,Adj. Close,Volume
"Dec 11, 2012",98.35,98.49,97.75,97.80,"1,894,000"
"Dec 12, 2012",98.00,99.00,97.90,99.00,"335,000"
"Dec 13, 2012",98.10,98.10,97.00,97.50,"1,201,000"
"Dec 14, 2012",97.80,99.00,97.75,99.00,"427,000"
"Dec 17, 2012",99.00,99.25,99.00,99.00,"193,000"
"Dec 18, 2012",99.00,99.40,99.00,99.40,"465,000"
"Dec 19, 2012",99.40,99.70,99.30,99.70,"348,000"
"Dec 20, 2012",99.70,99.95,99.34,99.34,"479,000"
"Dec 21, 2012",99.90,100.00,99.90,100.00,"138,000"
"Dec 24, 2012",100.00,100.20,99.50,99.50,"112,000"
"Dec 27, 2012",99.72,99.72,99.72,99.72,"1,000"
"Dec 28, 2012",99.93,99.93,99.93,99.93,"1,000"
"Dec 31, 2012",99.98,100.00,99.98,100.00,"106,000"
"Jan 02, 2013",100.00,100.40,100.00,100.40,"278,000"
"Jan 03, 2013",100.40,101.00,100.40,101.00,"143,000"
"Jan 04, 2013",101.00,101.00,100.40,100.40,"189,000"
"Jan 07, 2013",100.40,100.40,100.00,100.40,"145,000"
"Jan 08, 2013",100.40,101.00,100.40,101.00,"254,000"
"Jan 09, 2013",100.70,101.00,100.01,100.50,"416,000"
"Jan 10, 2013",101.00,102.00,100.75,101.00,"242,000"
"Jan 11, 2013",101.01,102.00,101.00,101.30,"234,000"
"Jan 14, 2013",102.00,107.00,101.32,101.68,"284,000"
"Jan 15, 2013",101.63,102.00,101.40,101.50,"278,000"
"Jan 16, 2013",101.40,101.40,101.02,101.02,"160,000"
"Jan 17, 2013",101.51,101.79,101.11,101.79,"58,000"
"Jan 18, 2013",101.75,102.00,101.75,102.00,"111,000"
"Jan 21, 2013",101.85,102.50,101.85,102.10,"24,000"
"Jan 22, 2013",101.98,102.65,101.98,102.45,"252,000"
"Jan 23, 2013",102.49,103.00,102.49,102.85,"90,000"
"Jan 24, 2013",102.00,102.25,101.61,101.70,"473,000"
"Jan 25, 2013",101.41,101.88,101.41,101.50,"109,000"
"Jan 28, 2013",102.00,102.25,101.50,101.62,"76,000"
"Jan 29, 2013",101.76,101.76,101.48,101.66,"51,000"
"Jan 30, 2013",101.70,102.00,101.20,101.20,"173,000"
"Jan 31, 2013",101.20,101.20,100.50,100.50,"140,000"
"Feb 01, 2013",100.26,100.50,100.05,100.20,"109,000"
"Feb 04, 2013",100.20,100.20,99.40,99.40,"71,000"
"Feb 05, 2013",100.99,100.99,100.06,100.06,"84,000"
"Feb 06, 2013",100.99,101.95,100.50,101.49,"219,000"
"Feb 07, 2013",101.39,101.39,101.39,101.39,"5,000"
"Feb 08, 2013",100.95,100.95,100.60,100.60,"58,000"
"Feb 11, 2013",100.25,100.25,99.80,99.97,"104,000"
"Feb 12, 2013",99.80,100.60,99.80,100.60,"26,000"
"Feb 13, 2013",99.99,100.00,99.95,99.95,"103,000"
"Feb 14, 2013",99.81,99.81,99.20,99.20,"119,000"
"Feb 15, 2013",98.60,99.47,98.30,99.40,"57,000"
"Feb 19, 2013",98.40,98.40,98.40,98.40,0
"Feb 20, 2013",98.10,98.70,98.10,98.70,"87,000"
"Feb 21, 2013",98.25,98.25,98.00,98.00,"19,000"
"Feb 22, 2013",97.76,97.76,97.76,97.76,"11,000"
"Feb 25, 2013",97.50,97.86,95.21,95.21,"170,000"
"Feb 26, 2013",96.00,96.00,93.93,94.55,"201,000"
"Feb 27, 2013",93.55,94.99,93.50,94.99,"109,000"
"Feb 28, 2013",94.49,94.58,93.34,93.34,"99,000"
"Mar 01, 2013",92.50,92.50,85.14,86.65,"570,000"
"Mar 04, 2013",86.50,86.50,80.00,80.00,"687,000"
"Mar 05, 2013",82.00,82.00,75.02,76.50,"529,000"
"Mar 06, 2013",76.00,77.15,75.00,76.50,"671,000"
"Mar 07, 2013",76.50,77.00,76.50,76.70,"343,000"
"Mar 08, 2013",76.71,77.39,76.70,77.00,"311,000"
"Mar 11, 2013",77.79,80.63,76.70,79.35,"355,000"
"Mar 12, 2013",82.00,83.00,79.68,82.50,"204,000"
"Mar 13, 2013",82.01,83.40,81.50,83.40,"96,000"
"Mar 14, 2013",83.00,83.85,82.65,83.85,"119,000"
"Mar 15, 2013",83.50,84.00,83.50,84.00,"76,000"
"Mar 18, 2013",84.00,86.50,84.00,86.00,"74,000"
"Mar 19, 2013",86.50,91.80,86.00,87.30,"276,000"
"Mar 20, 2013",86.31,88.50,86.31,87.00,"116,000"
"Mar 21, 2013",86.50,87.10,86.00,87.10,"30,000"
"Mar 22, 2013",87.05,87.05,86.90,86.90,"30,000"
"Mar 25, 2013",86.00,86.00,86.00,86.00,"36,000"
"Mar 26, 2013",86.00,86.00,84.42,84.42,"11,000"
"Mar 27, 2013",85.00,85.00,84.65,85.00,"238,000"
"Mar 28, 2013",86.00,87.71,86.00,87.50,"268,000"
"Apr 01, 2013",86.00,86.00,86.00,86.00,"3,000"
"Apr 02, 2013",86.00,86.00,85.15,85.15,"24,000"
"Apr 03, 2013",86.00,86.00,85.50,85.50,"30,000"
"Apr 04, 2013",86.35,86.90,86.35,86.90,"50,000"
"Apr 05, 2013",86.10,86.25,86.10,86.24,"10,000"
"Apr 08, 2013",86.16,86.30,86.00,86.30,"5,000"
"Apr 09, 2013",86.90,87.00,85.75,86.40,"192,000"
"Apr 10, 2013",86.88,87.35,86.65,87.26,"88,000"
"Apr 11, 2013",87.50,87.50,86.25,86.50,"191,000"
"Apr 12, 2013",87.00,87.00,86.93,87.00,"12,000"
"Apr 15, 2013",87.05,87.05,86.65,86.65,"95,000"
"Apr 16, 2013",86.65,88.12,86.50,88.12,"60,000"
"Apr 17, 2013",88.05,90.00,88.05,89.90,"166,000"
"Apr 18, 2013",89.98,90.00,89.85,89.85,"130,000"
"Apr 19, 2013",90.20,90.60,90.20,90.60,"16,000"
"Apr 22, 2013",90.10,90.14,90.10,90.14,"10,000"
"Apr 23, 2013",90.17,90.90,90.17,90.90,"23,000"
"Apr 24, 2013",90.27,90.34,90.17,90.17,"56,000"
"Apr 25, 2013",90.00,90.30,88.00,90.00,"115,000"
"Apr 26, 2013",89.00,90.00,89.00,90.00,"45,000"
"Apr 29, 2013",90.01,90.03,89.00,89.00,"55,000"
"Apr 30, 2013",89.00,89.00,89.00,89.00,"74,000"
"May 01, 2013",88.00,88.00,85.10,85.10,"35,000"
"May 02, 2013",86.00,86.00,85.00,85.30,"169,000"
"May 03, 2013",86.02,86.02,86.00,86.00,"35,000"
"May 06, 2013",85.90,85.90,85.90,85.90,"19,000"
"May 07, 2013",86.40,86.40,86.40,86.40,"8,000"
"May 08, 2013",86.61,86.61,86.61,86.61,"25,000"
"May 09, 2013",86.35,90.20,86.11,90.00,"138,000"
"May 10, 2013",88.00,89.89,88.00,89.89,"102,000"
"May 13, 2013",88.00,88.00,88.00,88.00,0
"May 14, 2013",88.21,89.89,88.00,88.00,"90,000"
"May 15, 2013",87.00,87.00,86.00,86.00,"30,000"
"May 16, 2013",84.00,84.00,84.00,84.00,0
"May 17, 2013",84.05,87.50,84.05,87.50,"27,000"
"May 21, 2013",87.00,87.00,84.26,84.26,"165,000"
"May 22, 2013",85.89,85.89,85.00,85.00,"80,000"
"May 23, 2013",84.50,86.59,84.50,85.00,"84,000"
"May 24, 2013",85.00,86.55,85.00,85.50,"45,000"
"May 27, 2013",87.00,87.00,87.00,87.00,"10,000"
"May 28, 2013",86.96,87.00,86.96,87.00,"23,000"
"May 29, 2013",87.00,87.00,87.00,87.00,"26,000"
"May 30, 2013",86.00,86.00,86.00,86.00,"34,000"
"May 31, 2013",85.70,85.70,85.50,85.50,"3,000"
"Jun 03, 2013",85.50,85.50,85.01,85.01,"24,000"
"Jun 04, 2013",85.01,85.01,85.01,85.01,"14,000"
"Jun 05, 2013",85.50,85.50,85.50,85.50,"15,000"
"Jun 06, 2013",85.01,85.01,85.00,85.00,"40,000"
"Jun 07, 2013",85.50,85.52,85.13,85.52,"42,000"
"Jun 10, 2013",85.05,85.05,85.05,85.05,"143,000"
"Jun 11, 2013",84.80,84.80,83.07,83.07,"40,000"
"Jun 12, 2013",84.60,84.69,84.60,84.69,"42,000"
"Jun 13, 2013",84.51,84.51,84.51,84.51,0
"Jun 14, 2013",84.95,84.95,84.95,84.95,"1,000"
"Jun 17, 2013",84.00,84.24,84.00,84.24,"46,000"
"Jun 18, 2013",83.59,83.74,83.46,83.46,"4,000"
"Jun 19, 2013",83.87,83.87,83.87,83.87,"8,000"
"Jun 20, 2013",82.90,82.90,78.90,78.90,"195,000"
"Jun 21, 2013",78.50,78.50,77.50,77.50,"69,000"
"Jun 24, 2013",75.00,75.00,74.00,74.00,"72,000"
"Jun 25, 2013",74.00,74.00,70.01,73.00,"47,000"
"Jun 26, 2013",72.50,73.42,72.50,73.42,"59,000"
"Jun 27, 2013",72.81,72.81,72.81,72.51,"1,000"
"Jun 28, 2013",72.45,72.51,72.02,72.51,"4,000"
"Jul 02, 2013",72.50,73.90,72.50,72.50,"17,000"
"Jul 03, 2013",72.00,72.54,71.75,72.54,"258,000"
"Jul 04, 2013",72.20,72.20,68.00,68.01,"386,000"
"Jul 05, 2013",70.50,70.50,69.25,69.45,"234,000"
"Jul 08, 2013",69.15,69.71,67.75,67.75,"239,000"
"Jul 09, 2013",68.50,69.25,68.50,68.50,"57,000"
"Jul 10, 2013",69.00,69.00,68.50,68.61,"10,000"
"Jul 11, 2013",69.00,70.00,68.11,69.10,"260,000"
"Jul 12, 2013",69.00,69.43,69.00,69.35,"131,000"
"Jul 15, 2013",69.35,69.50,69.00,69.48,"96,000"
"Jul 16, 2013",69.30,69.30,65.95,68.39,"176,000"
"Jul 17, 2013",68.97,71.50,68.97,71.00,"202,000"
"Jul 18, 2013",71.00,71.00,70.00,70.50,"186,000"
"Jul 19, 2013",70.50,70.70,70.50,70.70,"55,000"
"Jul 22, 2013",70.90,70.90,70.26,70.26,"71,000"
"Jul 23, 2013",71.00,71.00,71.00,71.00,"19,000"
"Jul 24, 2013",71.00,71.00,70.85,70.85,"149,000"
"Jul 25, 2013",70.85,71.00,70.56,71.00,"169,000"
"Jul 26, 2013",70.70,70.70,70.00,70.40,"60,000"
"Jul 29, 2013",69.99,69.99,68.76,68.76,"33,000"
"Jul 30, 2013",68.76,68.86,68.25,68.25,"133,000"
"Jul 31, 2013",68.25,68.30,67.60,67.60,"191,000"
"Aug 01, 2013",68.01,68.01,68.00,68.00,"7,000"
"Aug 02, 2013",68.30,68.30,68.30,68.30,"9,000"
"Aug 06, 2013",68.71,68.71,67.75,67.75,"19,000"
"Aug 07, 2013",67.70,68.09,67.70,67.75,"73,000"
"Aug 08, 2013",67.75,68.00,67.50,67.50,"389,000"
"Aug 09, 2013",67.50,68.44,67.50,68.00,"77,000"
"Aug 12, 2013",68.00,68.00,68.00,68.00,"1,000"
"Aug 13, 2013",68.23,68.34,67.77,67.77,"23,000"
"Aug 14, 2013",68.00,68.00,68.00,68.00,"16,000"
"Aug 15, 2013",68.00,68.00,68.00,68.00,"24,000"
"Aug 16, 2013",67.75,67.75,67.75,67.75,"63,000"
"Aug 19, 2013",67.75,68.00,67.49,67.75,"345,000"
"Aug 20, 2013",68.00,68.25,68.00,68.00,"87,000"
"Aug 21, 2013",68.15,68.15,68.15,68.15,"5,000"
"Aug 22, 2013",67.70,67.70,67.41,67.41,"6,000"
"Aug 23, 2013",67.07,67.37,66.96,67.00,"22,000"
"Aug 26, 2013",66.15,66.51,65.81,66.30,"87,000"
"Aug 27, 2013",66.00,66.21,66.00,66.17,"56,000"
"Aug 28, 2013",65.78,65.78,65.78,65.78,"23,000"
"Aug 29, 2013",65.77,65.77,65.00,65.00,"75,000"
"Aug 30, 2013",65.39,65.39,65.39,65.39,"12,000"
"Sep 03, 2013",64.45,64.45,63.68,63.68,"17,000"
"Sep 04, 2013",63.23,63.23,62.99,63.10,"192,000"
"Sep 05, 2013",63.23,63.23,63.01,63.01,"16,000"
"Sep 06, 2013",63.00,63.00,63.00,63.00,0
"Sep 09, 2013",63.23,63.23,63.23,63.23,"91,000"
"Sep 10, 2013",63.24,63.24,63.19,63.23,"210,000"
"Sep 11, 2013",63.50,63.50,63.50,63.50,"5,000"
"Sep 12, 2013",63.25,63.25,63.25,63.25,0
"Sep 13, 2013",63.59,63.59,63.25,63.25,"94,000"
"Sep 16, 2013",63.64,63.64,63.26,63.26,"25,000"
"Sep 17, 2013",63.26,63.26,63.25,63.25,"444,000"
"Sep 18, 2013",63.01,63.01,62.50,62.50,"73,000"
"Sep 19, 2013",62.75,62.75,62.75,62.75,"28,000"
"Sep 20, 2013",62.75,64.00,62.75,64.00,"65,000"
"Sep 23, 2013",64.00,64.00,64.00,64.00,"13,000"
"Sep 24, 2013",64.45,66.74,64.45,66.59,"136,000"
"Sep 25, 2013",66.80,66.80,66.50,66.50,"48,000"
"Sep 26, 2013",66.52,66.56,66.52,66.56,"46,000"
"Sep 27, 2013",67.00,68.00,67.00,68.00,"580,000"
"Sep 30, 2013",68.00,69.00,67.75,68.00,"64,000"
"Oct 01, 2013",69.45,69.50,69.45,69.50,"31,000"
"Oct 02, 2013",70.11,73.50,70.11,73.50,"14,000"
"Oct 03, 2013",74.64,74.64,73.50,74.30,"8,000"
"Oct 04, 2013",73.50,73.80,73.50,73.80,"98,000"
"Oct 07, 2013",71.50,71.50,71.50,71.50,0
"Oct 08, 2013",73.22,73.22,73.01,73.01,"9,000"
"Oct 09, 2013",72.91,72.99,72.80,72.99,"17,000"
"Oct 10, 2013",73.27,74.00,73.27,74.00,"27,000"
"Oct 11, 2013",74.08,74.08,73.36,73.71,"85,000"
"Oct 15, 2013",73.50,73.50,73.50,73.50,0
"Oct 16, 2013",74.95,74.95,73.50,73.62,"41,000"
"Oct 17, 2013",74.60,75.00,74.50,74.50,"21,000"
"Oct 18, 2013",74.51,74.51,73.00,74.40,"64,000"
"Oct 21, 2013",73.62,73.62,73.62,73.62,"4,000"
"Oct 22, 2013",73.62,73.62,73.00,73.00,"34,000"
"Oct 23, 2013",74.70,74.70,74.00,74.00,"227,000"
"Oct 24, 2013",73.32,74.25,73.32,74.06,"9,000"
"Oct 25, 2013",74.49,74.75,74.40,74.75,"57,000"
"Oct 28, 2013",74.75,74.75,73.25,73.25,"190,000"
"Oct 29, 2013",73.00,73.00,71.53,71.53,"54,000"
"Oct 30, 2013",71.70,71.70,71.50,71.50,"99,000"
"Oct 31, 2013",70.10,70.22,70.00,70.22,"57,000"
"Nov 01, 2013",69.96,69.96,69.92,69.92,"3,000"
"Nov 04, 2013",69.90,70.70,69.90,70.06,"33,000"
"Nov 05, 2013",70.77,70.77,70.10,70.21,"20,000"
"Nov 06, 2013",70.15,70.49,70.03,70.49,"29,000"
"Nov 07, 2013",70.75,71.00,70.52,70.52,"34,000"
"Nov 08, 2013",70.51,70.51,68.01,68.01,"9,000"
"Nov 11, 2013",67.85,67.98,67.00,67.00,"13,000"
"Nov 12, 2013",66.51,66.51,63.00,63.45,"109,000"
"Nov 13, 2013",63.69,64.48,63.69,64.48,"17,000"
"Nov 14, 2013",64.48,64.48,64.15,64.15,"23,000"
"Nov 15, 2013",64.00,64.00,63.78,63.78,"6,000"
"Nov 18, 2013",63.50,63.51,63.00,63.16,"48,000"
"Nov 19, 2013",63.01,63.01,59.00,59.00,"165,000"
"Nov 20, 2013",59.00,61.98,59.00,61.25,"213,000"
"Nov 21, 2013",61.99,62.00,61.01,61.75,"127,000"
"Nov 22, 2013",61.70,61.70,60.02,60.02,"119,000"
"Nov 25, 2013",60.20,60.20,59.75,59.75,"260,000"
"Nov 26, 2013",59.77,59.80,59.00,59.03,"219,000"
"Nov 27, 2013",59.51,59.75,59.51,59.51,"17,000"
"Nov 28, 2013",59.95,59.95,59.51,59.83,"12,000"
"Nov 29, 2013",59.76,59.76,59.09,59.09,"54,000"
"Dec 02, 2013",59.06,59.06,58.50,58.51,"122,000"
"Dec 03, 2013",58.51,58.51,55.50,56.35,"317,000"
"Dec 04, 2013",56.00,56.00,53.02,54.50,"276,000"
"Dec 05, 2013",54.50,54.83,53.45,54.83,"137,000"
"Dec 06, 2013",54.80,54.80,53.36,53.81,"69,000"
"Dec 09, 2013",53.83,54.25,53.51,53.51,"230,000"
"Dec 10, 2013",53.51,53.65,53.46,53.46,"290,000"
"Dec 11, 2013",53.56,53.90,53.56,53.56,"275,000"
"Dec 12, 2013",53.90,53.90,52.85,52.85,"1,161,000"
"Dec 13, 2013",53.00,56.25,53.00,56.25,"270,000"
"Dec 16, 2013",56.25,56.25,54.01,54.50,"139,000"
"Dec 17, 2013",54.38,54.50,54.01,54.33,"315,000"
"Dec 18, 2013",53.06,53.73,53.01,53.73,"73,000"
"Dec 19, 2013",53.01,53.55,53.01,53.25,"46,000"
"Dec 20, 2013",53.00,53.00,50.00,51.20,"425,000"
"Dec 23, 2013",51.03,52.50,50.45,51.00,"652,000"
"Dec 24, 2013",52.50,52.50,51.05,51.05,"36,000"
"Dec 27, 2013",51.60,51.60,51.60,51.60,0
"Dec 30, 2013",53.01,56.00,53.01,55.01,"83,000"
"Dec 31, 2013",55.00,55.00,53.50,54.01,"40,000"
"Jan 02, 2014",54.22,54.22,54.00,54.00,"15,000"
"Jan 03, 2014",54.25,54.75,54.25,54.75,"126,000"
"Jan 06, 2014",54.75,54.75,54.00,54.00,"16,000"
"Jan 07, 2014",54.50,54.50,54.50,54.50,"1,000"
"Jan 08, 2014",56.00,56.00,55.80,56.00,"19,000"
"Jan 09, 2014",56.91,56.91,56.20,56.20,"9,000"
"Jan 10, 2014",57.50,57.50,57.50,57.50,"4,000"
"Jan 13, 2014",58.00,59.90,57.50,57.50,"78,000"
"Jan 14, 2014",58.00,59.65,57.45,59.00,"267,000"
"Jan 15, 2014",59.50,59.50,58.86,59.12,"34,000"
"Jan 16, 2014",58.79,59.00,57.51,58.25,"274,000"
"Jan 17, 2014",58.00,58.25,57.51,58.25,"88,000"
"Jan 20, 2014",58.11,58.11,57.51,57.64,"58,000"
"Jan 21, 2014",58.00,58.67,58.00,58.67,"5,000"
"Jan 22, 2014",58.28,58.50,58.25,58.25,"94,000"
"Jan 23, 2014",58.75,59.00,58.75,59.00,"50,000"
"Jan 24, 2014",58.95,58.95,58.26,58.30,"153,000"
"Jan 27, 2014",58.49,58.49,58.49,58.49,0
"Jan 28, 2014",59.50,59.50,58.75,58.75,"70,000"
"Jan 29, 2014",58.49,58.49,58.49,58.49,0
"Jan 30, 2014",59.25,60.00,59.25,60.00,"53,000"
"Jan 31, 2014",60.75,60.75,59.00,59.00,"151,000"
