Date,Open,High,Low,Adj. Close,Volume
"Jan 31, 2018",23.48,23.51,23.43,23.50,"419,647"
"Feb 01, 2018",23.49,23.52,23.47,23.51,"119,360"
"Feb 02, 2018",23.52,23.60,23.52,23.56,"76,240"
"Feb 05, 2018",23.57,23.57,23.51,23.53,"42,670"
"Feb 06, 2018",23.52,23.52,23.43,23.51,"36,475"
"Feb 07, 2018",23.49,23.56,23.47,23.52,"20,545"
"Feb 08, 2018",23.53,23.57,23.52,23.56,"23,718"
"Feb 09, 2018",23.57,23.57,23.46,23.46,"82,540"
"Feb 12, 2018",23.52,23.57,23.52,23.57,"19,350"
"Feb 13, 2018",23.57,23.61,23.55,23.57,"19,700"
"Feb 14, 2018",23.59,23.59,23.54,23.55,"71,314"
"Feb 15, 2018",23.56,23.59,23.54,23.54,"8,935"
"Feb 16, 2018",23.59,23.59,23.54,23.59,"9,418"
"Feb 20, 2018",23.59,23.60,23.55,23.57,"15,978"
"Feb 21, 2018",23.57,23.57,23.51,23.51,"21,970"
"Feb 22, 2018",23.52,23.60,23.52,23.59,"5,848"
"Feb 23, 2018",23.61,23.62,23.57,23.59,"17,185"
"Feb 26, 2018",23.63,23.66,23.57,23.62,"10,000"
"Feb 27, 2018",23.58,23.62,23.52,23.58,"53,158"
"Feb 28, 2018",23.58,23.62,23.58,23.62,"15,005"
"Mar 01, 2018",23.59,23.60,23.53,23.58,"4,200"
"Mar 02, 2018",23.60,23.60,23.55,23.60,"5,797"
"Mar 05, 2018",23.60,23.60,23.59,23.59,"4,000"
"Mar 06, 2018",23.53,23.60,23.53,23.60,"8,900"
"Mar 07, 2018",23.60,23.60,23.54,23.54,"11,000"
"Mar 08, 2018",23.57,23.60,23.57,23.60,"9,000"
"Mar 09, 2018",23.62,23.65,23.56,23.64,"8,340"
"Mar 12, 2018",23.64,23.64,23.59,23.62,"8,150"
"Mar 13, 2018",23.62,23.65,23.61,23.64,"18,900"
"Mar 14, 2018",23.66,23.66,23.66,23.66,"2,800"
"Mar 15, 2018",23.68,23.68,23.66,23.67,"3,500"
"Mar 16, 2018",23.67,23.68,23.64,23.68,"6,650"
"Mar 19, 2018",23.70,23.71,23.62,23.66,"5,450"
"Mar 20, 2018",23.67,23.67,23.63,23.66,"2,100"
"Mar 21, 2018",23.63,23.70,23.60,23.70,"9,920"
"Mar 22, 2018",23.64,23.76,23.62,23.68,"14,769"
"Mar 23, 2018",23.70,23.71,23.67,23.71,"13,900"
"Mar 26, 2018",23.68,23.68,23.68,23.68,"1,100"
"Mar 27, 2018",23.68,23.71,23.68,23.71,"8,775"
"Mar 28, 2018",23.70,23.73,23.67,23.69,"15,920"
"Mar 29, 2018",23.71,23.71,23.62,23.69,"13,300"
"Apr 02, 2018",23.71,23.71,23.64,23.67,"5,900"
"Apr 03, 2018",23.69,23.76,23.67,23.74,"3,238"
"Apr 04, 2018",23.68,23.76,23.68,23.71,"13,500"
"Apr 05, 2018",23.75,23.75,23.69,23.73,"1,600"
"Apr 06, 2018",23.71,23.76,23.71,23.76,"1,100"
"Apr 09, 2018",23.75,23.86,23.75,23.86,"10,585"
"Apr 10, 2018",23.83,24.13,23.79,23.94,"9,485"
"Apr 11, 2018",23.97,23.99,23.96,23.99,"6,773"
"Apr 12, 2018",23.98,24.04,23.96,24.04,"3,285"
"Apr 13, 2018",24.03,24.06,23.99,23.99,"12,051"
"Apr 16, 2018",24.03,24.07,23.96,24.07,"13,923"
"Apr 17, 2018",24.06,24.13,24.01,24.13,"10,185"
"Apr 18, 2018",24.12,24.18,24.04,24.18,"6,084"
"Apr 19, 2018",24.20,24.23,23.95,24.09,"11,184"
"Apr 20, 2018",24.10,24.14,23.95,24.06,"135,741"
"Apr 23, 2018",23.99,24.04,23.99,24.04,200
"Apr 24, 2018",24.03,24.03,23.76,23.96,"4,050"
"Apr 25, 2018",23.86,23.90,23.81,23.81,"6,380"
"Apr 26, 2018",23.89,23.94,23.85,23.85,"2,500"
"Apr 27, 2018",24.11,24.29,23.99,24.08,"2,490"
"Apr 30, 2018",24.12,24.16,24.06,24.16,"5,250"
"May 01, 2018",24.26,24.26,24.20,24.20,500
"May 02, 2018",24.29,24.40,24.29,24.35,"4,225"
"May 03, 2018",24.26,24.35,24.07,24.07,"3,910"
"May 04, 2018",24.12,24.16,24.12,24.16,"1,400"
"May 07, 2018",24.26,24.26,24.11,24.21,"2,502"
"May 08, 2018",24.21,24.21,24.21,24.21,"2,100"
"May 09, 2018",24.39,24.39,24.08,24.35,"9,700"
"May 10, 2018",24.16,24.38,24.16,24.33,"4,000"
"May 11, 2018",24.33,24.40,24.33,24.33,"3,600"
"May 14, 2018",24.35,24.38,24.35,24.38,"3,900"
"May 15, 2018",24.42,24.42,24.27,24.35,"4,900"
"May 16, 2018",24.34,24.35,24.28,24.33,"10,390"
"May 17, 2018",24.32,24.44,24.14,24.18,"6,350"
"May 18, 2018",24.19,24.21,24.08,24.08,"4,200"
"May 22, 2018",24.26,24.26,24.11,24.14,"2,600"
"May 23, 2018",24.24,24.24,24.14,24.16,"2,120"
"May 24, 2018",24.16,24.16,24.16,24.16,"2,400"
"May 25, 2018",24.10,24.11,24.10,24.11,600
"May 28, 2018",24.20,24.21,24.12,24.13,500
"May 29, 2018",24.12,24.14,24.08,24.08,"15,100"
"May 30, 2018",24.09,24.16,24.04,24.16,"5,600"
"May 31, 2018",24.16,24.20,24.12,24.12,"12,800"
"Jun 01, 2018",24.20,24.20,24.14,24.16,"5,000"
"Jun 04, 2018",24.16,24.21,24.16,24.21,"1,825"
"Jun 05, 2018",24.21,24.21,24.09,24.20,"7,000"
"Jun 06, 2018",24.13,24.26,24.12,24.25,"8,630"
"Jun 07, 2018",24.14,24.14,24.12,24.12,"4,320"
"Jun 08, 2018",24.14,24.14,24.14,24.14,100
"Jun 11, 2018",24.14,24.20,24.14,24.19,"4,104"
"Jun 12, 2018",24.14,24.22,24.14,24.14,"1,400"
"Jun 13, 2018",24.20,24.21,24.07,24.10,"8,100"
"Jun 14, 2018",24.19,24.20,23.94,24.16,"3,100"
"Jun 15, 2018",24.20,24.21,24.02,24.02,"1,570"
"Jun 18, 2018",24.02,24.16,24.01,24.02,"3,800"
"Jun 19, 2018",24.14,24.14,23.97,24.02,"2,540"
"Jun 20, 2018",24.03,24.03,24.02,24.02,400
"Jun 21, 2018",24.12,24.16,24.09,24.14,"18,660"
"Jun 22, 2018",24.42,24.42,24.35,24.35,"4,600"
"Jun 25, 2018",24.35,24.40,24.35,24.40,"4,400"
"Jun 26, 2018",24.32,24.40,24.31,24.34,"3,841"
"Jun 27, 2018",24.39,24.40,24.27,24.36,"4,400"
"Jun 28, 2018",24.36,24.36,24.11,24.25,"12,087"
"Jun 29, 2018",24.26,24.32,24.26,24.29,"2,720"
"Jul 03, 2018",24.36,24.36,24.19,24.22,"6,637"
