Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",5.50,5.50,5.25,5.25,"6,300"
"Jan 03, 2001",5.40,5.40,5.40,5.40,"2,000"
"Jan 04, 2001",5.30,5.30,5.10,5.15,"82,300"
"Jan 05, 2001",5.20,5.20,5.15,5.15,"15,000"
"Jan 08, 2001",5.10,5.10,5.05,5.05,"45,600"
"Jan 09, 2001",5.20,5.20,5.20,5.20,"5,000"
"Jan 10, 2001",5.20,5.20,5.20,5.20,300
"Jan 11, 2001",5.20,5.20,5.20,5.20,"4,800"
"Jan 12, 2001",5.30,5.40,5.30,5.40,"3,900"
"Jan 15, 2001",0.00,0.00,0.00,5.40,0
"Jan 16, 2001",5.40,5.40,5.40,5.40,500
"Jan 17, 2001",5.40,5.40,5.40,5.40,"8,000"
"Jan 18, 2001",5.40,5.40,5.40,5.40,"1,300"
"Jan 19, 2001",0.00,0.00,0.00,5.40,0
"Jan 22, 2001",5.40,5.40,5.40,5.40,"3,000"
"Jan 23, 2001",5.40,5.50,5.40,5.50,"34,400"
"Jan 24, 2001",5.40,5.40,5.40,5.40,"10,000"
"Jan 25, 2001",5.40,5.55,5.40,5.40,"10,300"
"Jan 26, 2001",5.40,5.40,5.40,5.40,"4,300"
"Jan 29, 2001",5.40,5.50,5.40,5.50,"16,300"
"Jan 30, 2001",5.50,5.50,5.50,5.50,"1,500"
"Jan 31, 2001",0.00,0.00,0.00,5.50,0
"Feb 01, 2001",5.70,6.00,5.70,5.71,"6,500"
"Feb 02, 2001",5.62,5.62,5.60,5.60,"1,500"
"Feb 05, 2001",5.60,5.65,5.60,5.60,"3,500"
"Feb 06, 2001",5.60,5.60,5.50,5.60,"2,500"
"Feb 07, 2001",5.75,5.75,5.50,5.70,"3,500"
"Feb 08, 2001",5.70,5.70,5.70,5.70,"2,800"
"Feb 09, 2001",0.00,0.00,0.00,5.70,0
"Feb 12, 2001",5.70,5.75,5.60,5.75,"6,000"
"Feb 13, 2001",5.60,5.75,5.60,5.75,"1,100"
"Feb 14, 2001",5.65,5.65,5.65,5.65,"3,300"
"Feb 15, 2001",5.75,5.75,5.75,5.75,"7,300"
"Feb 16, 2001",5.78,5.78,5.65,5.78,"6,100"
"Feb 19, 2001",5.90,6.00,5.85,6.00,"23,900"
"Feb 20, 2001",6.00,6.00,6.00,6.00,"5,700"
"Feb 21, 2001",5.92,5.92,5.92,5.92,500
"Feb 22, 2001",5.86,5.86,5.85,5.85,800
"Feb 23, 2001",5.85,5.90,5.65,5.90,"6,000"
"Feb 26, 2001",5.90,5.90,5.90,5.90,"3,000"
"Feb 27, 2001",5.85,5.85,5.85,5.85,200
"Feb 28, 2001",5.85,5.85,5.85,5.85,"3,000"
"Mar 01, 2001",5.85,5.85,5.52,5.52,"2,000"
"Mar 02, 2001",5.85,5.85,5.85,5.85,100
"Mar 05, 2001",5.85,5.95,5.85,5.95,"9,800"
"Mar 06, 2001",5.85,5.95,5.85,5.85,"3,100"
"Mar 07, 2001",5.80,5.80,5.75,5.75,"20,000"
"Mar 08, 2001",5.75,5.90,5.65,5.75,"7,100"
"Mar 09, 2001",5.65,5.75,5.65,5.75,"2,400"
"Mar 12, 2001",5.95,5.95,5.95,5.95,200
"Mar 13, 2001",5.70,5.90,5.70,5.85,"8,900"
"Mar 14, 2001",0.00,0.00,0.00,5.85,0
"Mar 15, 2001",5.90,5.90,5.90,5.90,"2,900"
"Mar 16, 2001",5.90,6.00,5.75,5.75,"4,000"
"Mar 19, 2001",5.88,5.88,5.75,5.75,"3,900"
"Mar 20, 2001",5.70,5.99,5.70,5.99,"10,600"
"Mar 21, 2001",5.99,5.99,5.99,5.99,"1,000"
"Mar 22, 2001",5.85,5.90,5.85,5.90,"2,000"
"Mar 23, 2001",0.00,0.00,0.00,5.90,0
"Mar 26, 2001",5.85,5.85,5.85,5.85,500
"Mar 27, 2001",0.00,0.00,0.00,5.85,0
"Mar 28, 2001",5.85,5.85,5.80,5.80,"2,600"
"Mar 29, 2001",5.71,5.95,5.70,5.95,"12,100"
"Mar 30, 2001",5.95,5.95,5.95,5.95,"1,000"
"Apr 02, 2001",5.90,6.00,5.90,5.90,"1,100"
"Apr 03, 2001",5.90,5.90,5.90,5.90,500
"Apr 04, 2001",5.90,5.90,5.90,5.90,200
"Apr 05, 2001",5.99,5.99,5.90,5.90,400
"Apr 06, 2001",5.90,5.90,5.90,5.90,"2,000"
"Apr 09, 2001",5.95,5.95,5.95,5.95,200
"Apr 10, 2001",5.90,5.99,5.85,5.99,"17,000"
"Apr 11, 2001",5.91,5.91,5.91,5.91,400
"Apr 12, 2001",5.95,6.05,5.95,6.05,"7,600"
"Apr 16, 2001",6.05,6.05,6.05,6.05,100
"Apr 17, 2001",6.06,6.15,6.06,6.15,"4,300"
"Apr 18, 2001",6.07,6.15,6.07,6.15,"4,800"
"Apr 19, 2001",6.18,6.20,6.15,6.15,"5,900"
"Apr 20, 2001",6.25,6.25,6.20,6.25,"3,000"
"Apr 23, 2001",6.30,6.75,6.30,6.50,"8,000"
"Apr 24, 2001",6.60,7.00,6.60,7.00,"5,400"
"Apr 25, 2001",0.00,0.00,0.00,7.00,0
"Apr 26, 2001",7.00,7.00,6.85,7.00,"23,900"
"Apr 27, 2001",7.10,7.25,7.10,7.10,"43,700"
"Apr 30, 2001",7.25,7.35,7.25,7.35,"47,400"
"May 01, 2001",7.45,7.45,7.30,7.35,"26,900"
"May 02, 2001",7.35,7.45,7.35,7.45,"2,000"
"May 03, 2001",7.45,7.45,7.25,7.35,"77,100"
"May 04, 2001",0.00,0.00,0.00,7.35,0
"May 07, 2001",7.30,7.50,7.30,7.40,"12,500"
"May 08, 2001",7.35,7.35,7.25,7.25,"27,200"
"May 09, 2001",7.25,7.30,7.05,7.05,"20,900"
