Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2015",16.71,16.71,16.71,16.71,243
"Jan 05, 2015",16.68,16.69,16.64,16.69,"1,296"
"Jan 06, 2015",16.60,16.60,16.56,16.58,"14,366"
"Jan 07, 2015",16.60,16.63,16.58,16.63,"5,857"
"Jan 08, 2015",16.62,16.63,16.62,16.63,987
"Jan 09, 2015",16.66,16.66,16.62,16.66,"5,278"
"Jan 12, 2015",16.64,16.65,16.64,16.65,"1,206"
"Jan 13, 2015",16.65,16.65,16.64,16.65,"21,650"
"Jan 14, 2015",16.65,16.66,16.65,16.66,773
"Jan 15, 2015",16.63,16.63,16.61,16.61,"2,227"
"Jan 16, 2015",16.60,16.66,16.60,16.66,787
"Jan 19, 2015",16.62,16.65,16.61,16.61,"2,814"
"Jan 20, 2015",16.67,16.67,16.64,16.66,"8,466"
"Jan 21, 2015",16.67,16.68,16.66,16.68,"4,421"
"Jan 22, 2015",16.69,16.71,16.69,16.71,"1,697"
"Jan 23, 2015",16.72,16.76,16.72,16.74,"3,376"
"Jan 26, 2015",16.76,16.76,16.76,16.76,"1,143"
"Jan 27, 2015",16.70,16.75,16.70,16.74,"2,816"
"Jan 28, 2015",16.73,16.76,16.72,16.75,"4,328"
"Jan 29, 2015",16.71,16.74,16.71,16.74,"7,222"
"Jan 30, 2015",16.73,16.73,16.73,16.73,"1,664"
"Feb 02, 2015",16.73,16.74,16.72,16.74,"2,782"
"Feb 03, 2015",16.75,16.75,16.75,16.75,459
"Feb 04, 2015",16.77,16.78,16.76,16.76,"7,341"
"Feb 05, 2015",16.76,16.81,16.76,16.78,"1,524"
"Feb 06, 2015",16.80,16.80,16.75,16.75,"1,333"
"Feb 09, 2015",16.77,16.81,16.77,16.80,"2,939"
"Feb 10, 2015",16.78,16.79,16.77,16.79,"1,527"
"Feb 11, 2015",16.77,16.79,16.77,16.79,"7,204"
"Feb 12, 2015",16.83,16.83,16.83,16.83,"1,053"
"Feb 13, 2015",16.83,16.83,16.80,16.80,464
"Feb 17, 2015",16.85,16.87,16.85,16.86,"9,426"
"Feb 18, 2015",16.93,16.93,16.85,16.86,"11,796"
"Feb 19, 2015",16.88,16.88,16.86,16.88,"2,699"
"Feb 20, 2015",17.00,17.06,17.00,17.04,"3,400"
"Feb 23, 2015",17.11,17.11,17.04,17.04,880
"Feb 24, 2015",17.06,17.08,17.06,17.08,"1,666"
"Feb 25, 2015",17.07,17.07,17.04,17.04,"5,973"
"Feb 26, 2015",17.08,17.08,17.06,17.07,"3,650"
"Feb 27, 2015",17.09,17.11,17.07,17.09,"5,095"
"Mar 02, 2015",17.08,17.09,17.07,17.08,"2,768"
"Mar 03, 2015",17.04,17.07,17.04,17.04,"4,132"
"Mar 04, 2015",17.03,17.03,17.01,17.02,"3,657"
"Mar 05, 2015",17.04,17.05,17.03,17.03,"3,132"
"Mar 06, 2015",17.09,17.09,17.01,17.03,"7,769"
"Mar 09, 2015",17.03,17.05,17.03,17.04,"5,088"
"Mar 10, 2015",16.99,17.04,16.99,17.04,"2,251"
"Mar 11, 2015",17.03,17.03,17.03,17.03,"1,035"
"Mar 12, 2015",17.04,17.07,17.04,17.05,"13,874"
"Mar 13, 2015",17.04,17.04,17.04,17.04,444
"Mar 16, 2015",17.02,17.02,17.02,17.02,"1,134"
"Mar 17, 2015",16.95,16.99,16.95,16.99,"2,647"
"Mar 18, 2015",16.99,17.00,16.99,17.00,725
"Mar 19, 2015",17.02,17.02,16.99,16.99,"1,999"
"Mar 20, 2015",17.00,17.00,16.99,17.00,"1,748"
"Mar 23, 2015",17.00,17.00,17.00,17.00,"1,731"
"Mar 24, 2015",17.00,17.01,17.00,17.00,"1,319"
"Mar 25, 2015",17.02,17.04,17.02,17.04,"4,678"
"Mar 26, 2015",17.01,17.01,17.01,17.01,145
"Mar 27, 2015",17.03,17.04,17.02,17.03,"4,064"
"Mar 30, 2015",17.06,17.06,17.04,17.04,777
"Mar 31, 2015",17.08,17.08,17.08,17.08,704
"Apr 01, 2015",17.10,17.12,17.10,17.12,"5,295"
"Apr 02, 2015",17.11,17.11,17.11,17.11,"3,022"
"Apr 06, 2015",17.14,17.14,17.13,17.13,"1,560"
"Apr 07, 2015",17.15,17.15,17.13,17.13,"6,451"
"Apr 08, 2015",17.15,17.15,17.15,17.15,125
"Apr 09, 2015",17.19,17.19,17.16,17.16,240
"Apr 10, 2015",17.19,17.19,17.19,17.19,"2,202"
"Apr 13, 2015",17.16,17.19,17.16,17.18,"2,649"
"Apr 14, 2015",17.19,17.19,17.18,17.18,"1,500"
"Apr 15, 2015",17.18,17.18,17.18,17.18,218
"Apr 16, 2015",17.16,17.19,17.16,17.19,"2,770"
"Apr 17, 2015",17.18,17.18,17.16,17.16,"2,390"
"Apr 20, 2015",17.16,17.16,17.13,17.13,"3,436"
"Apr 21, 2015",17.13,17.16,17.13,17.13,"2,126"
"Apr 22, 2015",17.13,17.16,17.13,17.16,"1,007"
"Apr 23, 2015",17.15,17.15,17.15,17.15,279
"Apr 24, 2015",17.14,17.16,17.14,17.15,"2,399"
"Apr 27, 2015",17.17,17.17,17.16,17.16,"1,647"
"Apr 28, 2015",17.16,17.17,17.16,17.17,944
"Apr 29, 2015",17.16,17.16,17.16,17.16,"3,900"
"Apr 30, 2015",17.19,17.19,17.17,17.17,"2,037"
"May 01, 2015",17.18,17.20,17.17,17.19,"2,978"
"May 04, 2015",17.20,17.21,17.20,17.21,"3,073"
"May 05, 2015",17.09,17.09,17.09,17.09,101
"May 06, 2015",17.10,17.13,17.10,17.13,"1,354"
"May 07, 2015",17.12,17.18,17.12,17.18,"6,578"
"May 08, 2015",17.18,17.18,17.18,17.18,596
"May 11, 2015",17.19,17.19,17.19,17.19,"1,710"
"May 12, 2015",17.19,17.19,17.19,17.19,"1,238"
"May 13, 2015",17.17,17.17,17.17,17.17,328
"May 14, 2015",17.20,17.20,17.20,17.20,555
"May 15, 2015",17.16,17.17,17.16,17.17,704
"May 19, 2015",17.15,17.15,17.15,17.15,196
"May 20, 2015",17.17,17.17,17.15,17.15,"2,366"
"May 21, 2015",17.18,17.18,17.18,17.18,563
"May 22, 2015",17.18,17.20,17.17,17.20,"1,942"
"May 25, 2015",17.20,17.32,17.20,17.21,"1,908"
"May 26, 2015",17.19,17.19,17.17,17.18,"5,088"
"May 27, 2015",17.18,17.19,17.18,17.19,"4,802"
"May 28, 2015",17.14,17.14,17.14,17.14,84
"May 29, 2015",17.16,17.16,17.16,17.16,75
"Jun 01, 2015",17.20,17.20,17.17,17.18,"12,199"
"Jun 02, 2015",17.17,17.20,17.17,17.17,"5,968"
"Jun 03, 2015",17.14,17.17,17.14,17.17,"7,566"
"Jun 04, 2015",17.14,17.14,17.13,17.13,"1,871"
"Jun 05, 2015",17.09,17.09,17.08,17.09,"3,545"
"Jun 08, 2015",17.08,17.09,17.08,17.09,"1,703"
"Jun 09, 2015",17.08,17.08,17.08,17.08,416
"Jun 10, 2015",17.09,17.09,17.08,17.08,"6,074"
"Jun 11, 2015",17.08,17.08,17.08,17.08,230
"Jun 12, 2015",17.08,17.08,17.05,17.07,"6,996"
"Jun 15, 2015",17.00,17.00,17.00,17.00,79
"Jun 16, 2015",17.04,17.05,17.02,17.02,"5,545"
"Jun 17, 2015",16.99,16.99,16.99,16.99,4
"Jun 18, 2015",17.02,17.02,17.01,17.01,"2,743"
"Jun 19, 2015",17.02,17.02,17.00,17.02,"1,336"
"Jun 22, 2015",17.02,17.02,17.02,17.02,526
"Jun 23, 2015",17.04,17.04,17.03,17.03,708
"Jun 24, 2015",17.04,17.04,17.02,17.02,"1,426"
"Jun 25, 2015",17.02,17.02,17.01,17.02,"2,094"
"Jun 26, 2015",17.04,17.04,17.02,17.02,492
"Jun 29, 2015",16.98,16.98,16.98,16.98,305
"Jun 30, 2015",17.00,17.00,16.99,16.99,286
"Jul 02, 2015",17.01,17.01,17.00,17.00,"3,028"
"Jul 03, 2015",16.94,16.94,16.94,16.94,38
"Jul 06, 2015",17.02,17.03,17.01,17.01,987
"Jul 07, 2015",17.03,17.06,17.03,17.06,"1,091"
"Jul 08, 2015",17.05,17.05,17.03,17.05,"1,087"
"Jul 09, 2015",17.03,17.03,17.03,17.03,"2,539"
"Jul 10, 2015",17.06,17.06,17.05,17.05,"6,000"
"Jul 13, 2015",17.09,17.09,17.09,17.09,600
"Jul 14, 2015",17.12,17.12,17.12,17.12,775
"Jul 15, 2015",17.06,17.06,17.06,17.06,33
"Jul 16, 2015",17.10,17.10,17.09,17.09,"3,790"
"Jul 17, 2015",17.11,17.12,17.11,17.11,"5,590"
"Jul 20, 2015",17.10,17.10,17.10,17.10,0
"Jul 21, 2015",17.12,17.12,17.09,17.09,339
"Jul 22, 2015",17.07,17.07,17.07,17.07,192
"Jul 23, 2015",17.02,17.02,17.00,17.00,"1,206"
"Jul 24, 2015",16.98,16.98,16.96,16.96,"1,357"
"Jul 27, 2015",16.94,16.97,16.94,16.94,"3,475"
"Jul 28, 2015",16.92,16.94,16.92,16.94,"2,198"
"Jul 29, 2015",16.97,16.97,16.97,16.97,100
"Jul 30, 2015",16.97,16.97,16.97,16.97,617
"Jul 31, 2015",16.96,16.99,16.96,16.97,"4,379"
"Aug 04, 2015",16.95,16.95,16.95,16.95,"1,500"
"Aug 05, 2015",16.92,16.92,16.92,16.92,772
"Aug 06, 2015",16.90,16.90,16.90,16.90,258
"Aug 07, 2015",16.90,16.90,16.88,16.89,"13,550"
"Aug 10, 2015",16.85,16.88,16.85,16.88,"10,404"
"Aug 11, 2015",16.87,16.87,16.86,16.86,"8,107"
"Aug 12, 2015",16.82,16.82,16.82,16.82,"1,882"
"Aug 13, 2015",16.84,16.84,16.80,16.80,"4,208"
"Aug 14, 2015",16.79,16.83,16.79,16.83,400
"Aug 17, 2015",16.81,16.85,16.81,16.85,"1,500"
"Aug 18, 2015",16.87,16.87,16.85,16.85,"1,270"
"Aug 19, 2015",16.82,16.84,16.82,16.84,"1,224"
"Aug 20, 2015",16.80,16.81,16.80,16.81,"2,686"
"Aug 21, 2015",16.75,16.75,16.75,16.75,238
