Date,Open,High,Low,Adj. Close,Volume
"Mar 11, 2015",21.24,21.27,21.19,21.19,"898,300"
"Mar 12, 2015",21.19,21.20,21.15,21.15,"236,325"
"Mar 13, 2015",21.15,21.18,21.03,21.03,"140,573"
"Mar 16, 2015",21.11,21.17,21.03,21.15,"85,660"
"Mar 17, 2015",21.15,21.15,21.09,21.11,"20,295"
"Mar 18, 2015",21.15,21.24,21.11,21.23,"70,920"
"Mar 19, 2015",21.23,21.23,21.15,21.22,"57,872"
"Mar 20, 2015",21.19,21.28,21.18,21.26,"102,874"
"Mar 23, 2015",21.26,21.26,21.19,21.25,"52,560"
"Mar 24, 2015",21.28,21.29,21.24,21.29,"44,930"
"Mar 25, 2015",21.23,21.30,21.22,21.28,"74,225"
"Mar 26, 2015",21.28,21.32,21.21,21.30,"49,450"
"Mar 27, 2015",21.30,21.30,21.23,21.28,"32,775"
"Mar 30, 2015",21.28,21.30,21.22,21.24,"101,360"
"Mar 31, 2015",21.30,21.30,21.24,21.26,"95,811"
"Apr 01, 2015",21.28,21.31,21.26,21.30,"84,625"
"Apr 02, 2015",21.31,21.34,21.30,21.34,"38,400"
"Apr 06, 2015",21.34,21.36,21.33,21.35,"60,910"
"Apr 07, 2015",21.35,21.36,21.33,21.35,"64,400"
"Apr 08, 2015",21.36,21.36,21.35,21.35,"248,320"
"Apr 09, 2015",21.36,21.36,21.32,21.36,"27,830"
"Apr 10, 2015",21.36,21.40,21.30,21.40,"38,395"
"Apr 13, 2015",21.38,21.38,21.35,21.36,"10,780"
"Apr 14, 2015",21.36,21.36,21.31,21.36,"40,493"
"Apr 15, 2015",21.35,21.35,21.06,21.20,"121,083"
"Apr 16, 2015",21.25,21.34,21.04,21.06,"65,900"
"Apr 17, 2015",21.18,21.28,21.15,21.28,"100,045"
"Apr 20, 2015",21.28,21.32,21.12,21.32,"79,409"
"Apr 21, 2015",21.24,21.31,21.11,21.12,"38,798"
"Apr 22, 2015",21.28,21.30,21.11,21.14,"19,938"
"Apr 23, 2015",21.25,21.32,21.09,21.09,"10,111"
"Apr 24, 2015",21.26,21.36,21.19,21.19,"7,165"
"Apr 27, 2015",21.36,21.36,21.21,21.21,"3,710"
"Apr 28, 2015",21.32,21.34,21.21,21.21,"50,510"
"Apr 29, 2015",21.28,21.41,21.28,21.28,"92,970"
"Apr 30, 2015",21.35,21.39,21.24,21.36,"20,811"
"May 01, 2015",21.36,21.36,21.32,21.36,"31,700"
"May 04, 2015",21.34,21.36,21.24,21.28,"31,504"
"May 05, 2015",21.24,21.33,21.08,21.11,"46,260"
"May 06, 2015",21.26,21.27,21.24,21.26,"46,600"
"May 07, 2015",21.24,21.34,21.24,21.32,"3,800"
"May 08, 2015",21.28,21.36,21.08,21.36,"23,680"
"May 11, 2015",21.30,21.35,21.24,21.28,"24,175"
"May 12, 2015",21.31,21.40,21.22,21.40,"115,410"
"May 13, 2015",21.39,21.39,21.24,21.24,"6,384"
"May 14, 2015",21.36,21.36,21.36,21.36,"1,900"
"May 15, 2015",21.36,21.41,21.24,21.32,"135,310"
"May 19, 2015",21.32,21.40,21.29,21.40,"15,600"
"May 20, 2015",21.39,21.43,21.35,21.37,"222,139"
"May 21, 2015",21.38,21.40,21.37,21.37,"20,365"
"May 22, 2015",21.37,21.40,21.36,21.36,"52,190"
"May 25, 2015",21.35,21.36,21.28,21.36,"6,200"
"May 26, 2015",21.33,21.38,21.32,21.36,"6,565"
"May 27, 2015",21.28,21.36,21.20,21.20,"7,600"
"May 28, 2015",21.20,21.27,21.15,21.27,"12,400"
"May 29, 2015",21.19,21.24,21.15,21.16,"12,075"
"Jun 01, 2015",21.23,21.32,21.15,21.32,"10,934"
"Jun 02, 2015",21.24,21.24,21.24,21.24,"2,000"
"Jun 03, 2015",21.19,21.29,21.19,21.27,"87,491"
"Jun 04, 2015",21.19,21.36,21.18,21.36,"16,200"
"Jun 05, 2015",21.21,21.35,21.21,21.35,"4,700"
"Jun 08, 2015",21.28,21.29,21.24,21.28,"3,550"
"Jun 09, 2015",21.29,21.29,21.24,21.25,"3,000"
"Jun 10, 2015",21.36,21.37,21.28,21.28,"15,160"
"Jun 11, 2015",21.29,21.29,21.24,21.24,"5,900"
"Jun 12, 2015",21.28,21.36,21.25,21.28,"8,180"
"Jun 15, 2015",21.28,21.28,21.14,21.14,"7,700"
"Jun 16, 2015",21.14,21.34,21.13,21.22,"8,784"
"Jun 17, 2015",21.31,21.32,21.20,21.31,"4,960"
"Jun 18, 2015",21.31,21.31,21.21,21.30,"48,900"
"Jun 19, 2015",21.24,21.32,21.19,21.32,"3,700"
"Jun 22, 2015",21.32,21.36,21.23,21.23,"9,800"
"Jun 23, 2015",21.23,21.32,21.23,21.28,"2,329"
"Jun 24, 2015",21.30,21.30,21.15,21.19,"8,200"
"Jun 25, 2015",21.50,21.50,21.34,21.37,"9,200"
"Jun 26, 2015",21.38,21.54,21.31,21.51,"21,885"
"Jun 29, 2015",21.41,21.51,21.37,21.42,"18,700"
"Jun 30, 2015",21.37,21.51,21.37,21.39,"10,910"
"Jul 02, 2015",21.53,21.53,21.38,21.39,"5,820"
"Jul 03, 2015",21.37,21.37,21.37,21.37,"3,900"
"Jul 06, 2015",21.41,21.41,21.35,21.41,"9,334"
"Jul 07, 2015",21.41,21.50,21.41,21.42,"40,836"
"Jul 08, 2015",21.43,21.47,21.41,21.41,"15,147"
"Jul 09, 2015",21.50,21.50,20.70,21.15,"5,200"
"Jul 10, 2015",21.24,21.53,21.24,21.51,"4,700"
"Jul 13, 2015",21.47,21.47,21.29,21.29,"9,875"
"Jul 14, 2015",21.25,21.25,20.99,21.24,"7,356"
