Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",2.00,2.10,2.00,2.10,"3,200"
"Jan 03, 2001",2.10,2.15,2.05,2.06,"8,400"
"Jan 04, 2001",2.06,2.10,1.90,1.95,"94,600"
"Jan 05, 2001",1.97,2.06,1.97,2.06,"46,000"
"Jan 08, 2001",2.05,2.10,2.05,2.06,"22,500"
"Jan 09, 2001",2.05,2.06,2.02,2.06,"19,000"
"Jan 10, 2001",2.04,2.10,2.04,2.05,"30,500"
"Jan 11, 2001",2.05,2.10,2.05,2.07,"52,000"
"Jan 12, 2001",2.06,2.06,2.05,2.05,"16,600"
"Jan 15, 2001",2.10,2.10,2.04,2.10,"12,600"
"Jan 16, 2001",2.02,2.02,1.95,2.00,"36,600"
"Jan 17, 2001",1.95,2.00,1.95,2.00,"8,000"
"Jan 18, 2001",2.00,2.02,1.98,1.98,"5,100"
"Jan 19, 2001",2.00,2.00,1.95,2.00,"11,700"
"Jan 22, 2001",2.05,2.05,2.00,2.00,"7,500"
"Jan 23, 2001",2.05,2.05,2.00,2.02,"25,700"
"Jan 24, 2001",2.05,2.05,2.02,2.02,"15,900"
"Jan 25, 2001",2.01,2.05,2.00,2.02,"11,300"
"Jan 26, 2001",2.01,2.01,1.96,2.00,"8,600"
"Jan 29, 2001",1.90,1.90,1.80,1.85,"43,000"
"Jan 30, 2001",1.85,1.85,1.80,1.80,"16,800"
"Jan 31, 2001",1.80,1.84,1.76,1.77,"36,400"
"Feb 01, 2001",1.77,1.77,1.73,1.75,"26,000"
"Feb 02, 2001",1.77,1.77,1.75,1.77,"9,400"
"Feb 05, 2001",1.77,1.77,1.74,1.77,"68,900"
"Feb 06, 2001",1.77,1.77,1.76,1.76,"10,400"
"Feb 07, 2001",1.77,1.77,1.72,1.77,"6,800"
"Feb 08, 2001",1.75,1.77,1.75,1.75,"4,600"
"Feb 09, 2001",1.75,1.77,1.73,1.75,"21,100"
"Feb 12, 2001",1.73,1.77,1.61,1.70,"36,500"
"Feb 13, 2001",1.70,1.72,1.70,1.72,"3,800"
"Feb 14, 2001",1.70,1.72,1.61,1.61,"25,100"
"Feb 15, 2001",1.61,1.70,1.61,1.70,"14,800"
"Feb 16, 2001",1.65,1.65,1.65,1.65,"6,900"
"Feb 19, 2001",1.65,1.70,1.60,1.70,"24,800"
"Feb 20, 2001",1.70,1.70,1.51,1.61,"21,000"
"Feb 21, 2001",1.62,1.70,1.60,1.60,"5,900"
"Feb 22, 2001",1.70,1.70,1.60,1.60,"24,700"
"Feb 23, 2001",1.60,1.65,1.60,1.61,"19,900"
"Feb 26, 2001",1.64,1.70,1.61,1.61,"12,100"
"Feb 27, 2001",1.70,1.70,1.55,1.55,"7,700"
"Feb 28, 2001",1.60,1.60,1.60,1.60,"2,100"
"Mar 01, 2001",1.60,1.60,1.55,1.60,"11,900"
"Mar 02, 2001",1.55,1.60,1.50,1.51,"15,400"
"Mar 05, 2001",1.41,1.60,1.41,1.55,"25,800"
"Mar 06, 2001",1.51,1.51,1.51,1.51,"4,600"
"Mar 07, 2001",1.50,1.65,1.50,1.60,"48,200"
"Mar 08, 2001",1.65,1.65,1.61,1.61,"8,300"
"Mar 09, 2001",1.60,1.60,1.50,1.60,"39,400"
"Mar 12, 2001",1.65,1.65,1.57,1.57,"8,500"
"Mar 13, 2001",1.60,1.65,1.57,1.65,"46,000"
"Mar 14, 2001",1.56,1.60,1.55,1.55,"569,600"
"Mar 15, 2001",1.55,1.60,1.51,1.60,"18,900"
"Mar 16, 2001",1.59,1.64,1.59,1.60,"11,000"
"Mar 19, 2001",1.59,1.65,1.57,1.65,"14,500"
"Mar 20, 2001",1.57,1.60,1.57,1.57,"10,900"
"Mar 21, 2001",1.60,1.60,1.57,1.57,"5,700"
"Mar 22, 2001",0.00,0.00,0.00,1.57,0
"Mar 23, 2001",1.58,1.63,1.58,1.60,"14,000"
"Mar 26, 2001",1.65,1.65,1.50,1.52,"8,200"
"Mar 27, 2001",1.51,1.62,1.51,1.62,"5,900"
"Mar 28, 2001",1.60,1.60,1.56,1.56,"8,400"
"Mar 29, 2001",1.63,1.65,1.56,1.65,"26,800"
"Mar 30, 2001",1.70,1.72,1.70,1.72,"14,200"
