Date,Open,High,Low,Adj. Close,Volume
"Jul 14, 2016",19.34,19.34,19.34,19.34,280
"Jul 15, 2016",19.24,19.24,19.24,19.24,200
"Jul 18, 2016",19.24,19.24,19.24,19.24,0
"Jul 19, 2016",19.34,19.37,19.34,19.36,"4,230"
"Jul 20, 2016",19.36,19.36,19.36,19.36,138
"Jul 21, 2016",19.43,19.43,19.43,19.43,"3,800"
"Jul 22, 2016",19.43,19.43,19.43,19.43,0
"Jul 25, 2016",19.43,19.43,19.43,19.43,0
"Jul 26, 2016",19.43,19.43,19.43,19.43,90
"Jul 27, 2016",19.43,19.43,19.43,19.43,0
"Jul 28, 2016",19.43,19.43,19.43,19.43,0
"Jul 29, 2016",19.70,19.70,19.70,19.70,"8,500"
"Aug 02, 2016",19.70,19.70,19.70,19.70,0
"Aug 03, 2016",19.70,19.70,19.70,19.70,94
"Aug 04, 2016",19.70,19.70,19.70,19.70,0
"Aug 05, 2016",19.70,19.70,19.70,19.70,341
"Aug 08, 2016",19.51,19.51,19.51,19.51,"2,000"
"Aug 09, 2016",19.51,19.51,19.51,19.51,184
"Aug 10, 2016",19.51,19.51,19.51,19.51,135
"Aug 11, 2016",19.80,19.80,19.78,19.78,435
"Aug 12, 2016",19.78,19.78,19.78,19.78,0
"Aug 15, 2016",19.78,19.78,19.78,19.78,0
"Aug 16, 2016",19.64,19.64,19.64,19.64,500
"Aug 17, 2016",19.50,19.51,19.50,19.51,"3,091"
"Aug 18, 2016",19.51,19.51,19.51,19.51,47
"Aug 19, 2016",19.51,19.51,19.51,19.51,168
"Aug 22, 2016",19.51,19.51,19.51,19.51,0
"Aug 23, 2016",19.51,19.51,19.51,19.51,0
"Aug 24, 2016",19.56,19.57,19.54,19.54,"3,700"
"Aug 25, 2016",19.54,19.54,19.54,19.54,0
"Aug 26, 2016",19.54,19.54,19.54,19.54,0
"Aug 29, 2016",19.54,19.54,19.54,19.54,211
"Aug 30, 2016",19.54,19.54,19.54,19.54,39
"Aug 31, 2016",19.54,19.54,19.54,19.54,93
"Sep 01, 2016",19.46,19.46,19.46,19.46,100
"Sep 02, 2016",19.65,19.65,19.65,19.65,"12,000"
"Sep 06, 2016",19.65,19.65,19.65,19.65,0
"Sep 07, 2016",19.65,19.65,19.65,19.65,27
"Sep 08, 2016",19.65,19.65,19.65,19.65,0
"Sep 09, 2016",19.65,19.65,19.65,19.65,0
"Sep 12, 2016",19.65,19.65,19.65,19.65,0
"Sep 13, 2016",19.65,19.65,19.65,19.65,0
"Sep 14, 2016",19.65,19.65,19.65,19.65,0
"Sep 15, 2016",19.65,19.65,19.65,19.65,0
"Sep 16, 2016",19.65,19.65,19.65,19.65,84
"Sep 19, 2016",19.65,19.65,19.65,19.65,10
"Sep 20, 2016",19.65,19.65,19.65,19.65,0
"Sep 21, 2016",19.65,19.65,19.65,19.65,0
"Sep 22, 2016",19.65,19.65,19.65,19.65,0
"Sep 23, 2016",19.83,19.83,19.75,19.75,"4,346"
"Sep 26, 2016",19.78,19.78,19.78,19.78,0
"Sep 27, 2016",19.78,19.78,19.78,19.78,0
"Sep 28, 2016",19.78,19.78,19.78,19.78,88
"Sep 29, 2016",19.78,19.78,19.78,19.78,265
"Sep 30, 2016",19.78,19.78,19.78,19.78,0
"Oct 03, 2016",19.78,19.78,19.78,19.78,69
"Oct 04, 2016",19.68,19.68,19.68,19.68,400
"Oct 05, 2016",19.68,19.68,19.68,19.68,0
"Oct 06, 2016",19.54,19.54,19.54,19.54,"4,500"
"Oct 07, 2016",19.41,19.41,19.41,19.41,100
"Oct 11, 2016",19.37,19.39,19.37,19.39,300
"Oct 12, 2016",19.39,19.39,19.39,19.39,0
"Oct 13, 2016",19.15,19.28,19.14,19.28,"2,521"
"Oct 14, 2016",19.28,19.28,19.28,19.28,0
"Oct 17, 2016",19.09,19.09,19.09,19.09,800
"Oct 18, 2016",19.09,19.09,19.09,19.09,0
"Oct 19, 2016",19.09,19.09,19.09,19.09,0
"Oct 20, 2016",19.09,19.09,19.09,19.09,0
"Oct 21, 2016",19.09,19.09,19.09,19.09,0
"Oct 24, 2016",19.09,19.09,19.09,19.09,0
"Oct 25, 2016",19.25,19.25,19.25,19.25,"1,598"
"Oct 26, 2016",19.18,19.18,19.18,19.18,"2,049"
"Oct 27, 2016",19.17,19.25,19.17,19.24,"1,700"
"Oct 28, 2016",19.11,19.12,19.11,19.12,"1,590"
"Oct 31, 2016",19.12,19.12,19.12,19.12,63
"Nov 01, 2016",19.12,19.12,19.12,19.12,0
"Nov 02, 2016",18.83,18.84,18.83,18.84,"1,090"
"Nov 03, 2016",18.79,18.80,18.79,18.79,400
"Nov 04, 2016",18.54,18.54,18.54,18.54,"2,200"
"Nov 07, 2016",18.54,18.54,18.54,18.54,0
"Nov 08, 2016",18.54,18.54,18.54,18.54,91
"Nov 09, 2016",18.83,19.07,18.83,19.07,"3,636"
"Nov 10, 2016",19.07,19.07,19.07,19.07,0
"Nov 11, 2016",19.07,19.07,19.07,19.07,0
"Nov 14, 2016",18.67,18.69,18.67,18.69,"3,676"
"Nov 15, 2016",18.69,18.69,18.69,18.69,86
"Nov 16, 2016",18.69,18.69,18.69,18.69,0
"Nov 17, 2016",18.69,18.69,18.69,18.69,0
"Nov 18, 2016",18.76,18.76,18.76,18.76,"2,000"
"Nov 21, 2016",18.72,18.72,18.70,18.70,"40,686"
"Nov 22, 2016",18.70,18.70,18.70,18.70,79
"Nov 23, 2016",18.70,18.70,18.70,18.70,0
"Nov 24, 2016",18.70,18.70,18.70,18.70,15
"Nov 25, 2016",18.70,18.70,18.70,18.70,0
"Nov 28, 2016",18.83,18.83,18.83,18.83,100
"Nov 29, 2016",18.83,18.83,18.83,18.83,0
"Nov 30, 2016",18.83,18.83,18.83,18.83,0
"Dec 01, 2016",18.83,18.83,18.83,18.83,23
"Dec 02, 2016",18.83,18.83,18.83,18.83,0
"Dec 05, 2016",18.69,18.72,18.69,18.72,200
"Dec 06, 2016",18.40,18.69,18.40,18.69,"2,800"
"Dec 07, 2016",18.77,18.91,18.77,18.90,"2,950"
"Dec 08, 2016",18.81,18.81,18.81,18.81,160
"Dec 09, 2016",18.92,19.00,18.91,19.00,"7,100"
"Dec 12, 2016",18.92,18.92,18.84,18.84,"2,800"
"Dec 13, 2016",19.05,19.06,19.04,19.06,"5,237"
"Dec 14, 2016",19.06,19.06,19.06,19.06,0
"Dec 15, 2016",19.06,19.06,19.06,19.06,0
"Dec 16, 2016",19.18,19.18,19.18,19.18,"4,000"
"Dec 19, 2016",19.18,19.18,19.18,19.18,0
"Dec 20, 2016",19.18,19.18,19.18,19.18,0
"Dec 21, 2016",19.20,19.23,19.20,19.23,"5,924"
"Dec 22, 2016",19.23,19.25,19.23,19.25,"1,400"
"Dec 23, 2016",19.25,19.25,19.25,19.25,0
"Dec 28, 2016",19.61,19.61,19.35,19.35,"4,400"
"Dec 29, 2016",19.35,19.35,19.35,19.35,0
"Dec 30, 2016",19.32,19.32,19.31,19.31,"2,700"
"Jan 03, 2017",19.60,19.60,19.42,19.43,450
"Jan 04, 2017",19.47,19.47,19.47,19.47,500
"Jan 05, 2017",19.59,19.60,19.59,19.60,300
"Jan 06, 2017",19.46,19.49,19.46,19.49,300
"Jan 09, 2017",19.57,19.57,19.57,19.57,200
"Jan 10, 2017",19.60,19.61,19.59,19.59,"1,425"
"Jan 11, 2017",19.59,19.59,19.59,19.59,50
"Jan 12, 2017",19.59,19.59,19.59,19.59,0
"Jan 13, 2017",19.59,19.59,19.59,19.59,0
"Jan 16, 2017",19.73,19.73,19.73,19.73,"1,500"
"Jan 17, 2017",19.73,19.73,19.73,19.73,0
"Jan 18, 2017",19.73,19.73,19.73,19.73,0
"Jan 19, 2017",19.73,19.73,19.73,19.73,0
"Jan 20, 2017",19.62,19.62,19.62,19.62,200
"Jan 23, 2017",19.62,19.62,19.62,19.62,0
"Jan 24, 2017",19.55,19.55,19.55,19.55,"2,500"
"Jan 25, 2017",19.55,19.55,19.55,19.55,0
"Jan 26, 2017",19.55,19.55,19.55,19.55,0
"Jan 27, 2017",19.55,19.55,19.55,19.55,75
"Jan 30, 2017",19.55,19.55,19.53,19.54,910
"Jan 31, 2017",19.54,19.54,19.54,19.54,0
"Feb 01, 2017",19.54,19.54,19.54,19.54,0
"Feb 02, 2017",19.54,19.54,19.54,19.54,0
"Feb 03, 2017",19.54,19.54,19.54,19.54,0
"Feb 06, 2017",19.56,19.56,19.56,19.56,600
"Feb 07, 2017",19.73,19.73,19.65,19.65,400
"Feb 08, 2017",19.65,19.65,19.65,19.65,0
"Feb 09, 2017",19.92,19.94,19.92,19.94,"1,057"
"Feb 10, 2017",19.95,20.00,19.95,20.00,"4,550"
"Feb 13, 2017",20.00,20.00,20.00,20.00,0
