Date,Open,High,Low,Adj. Close,Volume
"Dec 11, 2017",23.33,23.36,23.21,23.23,"694,690"
"Dec 12, 2017",23.28,23.28,23.01,23.24,"298,014"
"Dec 13, 2017",23.24,23.24,23.17,23.23,"149,824"
"Dec 14, 2017",23.24,23.24,23.03,23.22,"120,270"
"Dec 15, 2017",23.24,23.24,23.19,23.21,"138,198"
"Dec 18, 2017",23.24,23.35,23.24,23.25,"179,292"
"Dec 19, 2017",23.32,23.33,23.24,23.33,"93,602"
"Dec 20, 2017",23.33,23.43,23.31,23.43,"104,365"
"Dec 21, 2017",23.43,23.47,23.40,23.47,"250,260"
"Dec 22, 2017",23.47,23.47,23.32,23.38,"56,064"
"Dec 27, 2017",23.47,23.50,23.38,23.49,"33,480"
"Dec 28, 2017",23.47,23.47,23.45,23.47,"26,945"
"Dec 29, 2017",23.47,23.47,23.40,23.43,"22,380"
"Jan 02, 2018",23.47,23.51,23.47,23.47,"158,590"
"Jan 03, 2018",23.51,23.60,23.50,23.56,"156,307"
"Jan 04, 2018",23.54,23.65,23.54,23.64,"164,212"
"Jan 05, 2018",23.62,23.70,23.62,23.70,"86,282"
"Jan 08, 2018",23.70,23.80,23.70,23.78,"241,700"
"Jan 09, 2018",23.72,23.83,23.72,23.83,"247,500"
"Jan 10, 2018",23.79,24.01,23.79,23.94,"349,000"
"Jan 11, 2018",23.93,23.94,23.58,23.81,"57,635"
"Jan 12, 2018",23.67,23.87,23.67,23.78,"20,185"
"Jan 15, 2018",23.76,23.85,23.67,23.84,"30,200"
"Jan 16, 2018",23.69,23.80,23.64,23.66,"46,540"
"Jan 17, 2018",23.65,23.84,23.63,23.84,"42,582"
"Jan 18, 2018",23.76,23.85,23.71,23.76,"52,940"
"Jan 19, 2018",23.71,23.93,23.68,23.83,"389,637"
"Jan 22, 2018",23.71,23.80,23.66,23.71,"50,080"
"Jan 23, 2018",23.75,23.76,23.66,23.75,"45,400"
"Jan 24, 2018",23.67,23.75,23.67,23.75,"96,895"
"Jan 25, 2018",23.75,23.80,23.75,23.79,"20,545"
"Jan 26, 2018",23.76,23.81,23.75,23.81,"47,241"
"Jan 29, 2018",23.79,23.79,23.62,23.66,"11,727"
"Jan 30, 2018",23.65,23.71,23.64,23.71,"30,734"
"Jan 31, 2018",23.78,23.78,23.63,23.70,"16,355"
"Feb 01, 2018",23.70,23.80,23.67,23.80,"7,120"
"Feb 02, 2018",23.80,23.80,23.68,23.76,"11,436"
"Feb 05, 2018",23.70,23.72,23.62,23.62,"19,300"
