Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",5.44,5.56,5.44,5.50,"1,432,800"
"Jan 03, 2001",5.45,5.54,5.24,5.46,"1,292,800"
"Jan 04, 2001",5.43,5.46,5.07,5.14,"1,767,200"
"Jan 05, 2001",5.07,5.09,5.01,5.02,"1,848,800"
"Jan 08, 2001",5.02,5.07,4.98,5.03,"1,023,200"
"Jan 09, 2001",5.04,5.06,4.88,4.94,"1,642,400"
"Jan 10, 2001",4.93,4.94,4.85,4.87,"3,202,400"
"Jan 11, 2001",4.81,4.88,4.73,4.85,"2,023,200"
"Jan 12, 2001",4.81,4.81,4.68,4.68,"1,267,200"
"Jan 15, 2001",4.79,4.81,4.74,4.81,"812,000"
"Jan 16, 2001",4.81,4.83,4.73,4.74,"1,043,200"
"Jan 17, 2001",4.75,4.75,4.67,4.67,"3,604,000"
"Jan 18, 2001",4.68,4.68,4.42,4.43,"3,501,600"
"Jan 19, 2001",4.61,4.62,4.41,4.60,"4,252,800"
"Jan 22, 2001",4.67,4.73,4.62,4.66,"2,276,800"
"Jan 23, 2001",4.68,4.81,4.68,4.80,"2,464,800"
"Jan 24, 2001",4.87,4.97,4.85,4.93,"8,975,200"
"Jan 25, 2001",4.94,4.96,4.88,4.92,"1,745,600"
"Jan 26, 2001",4.92,4.95,4.88,4.94,"2,601,600"
"Jan 29, 2001",5.05,5.05,4.85,4.85,"1,800,800"
"Jan 30, 2001",4.88,4.88,4.72,4.79,"1,176,800"
"Jan 31, 2001",4.87,4.87,4.75,4.75,"2,448,800"
"Feb 01, 2001",4.75,4.86,4.75,4.80,"2,557,600"
"Feb 02, 2001",4.84,4.98,4.81,4.94,"3,204,000"
"Feb 05, 2001",4.94,5.12,4.94,5.07,"2,528,000"
"Feb 06, 2001",5.17,5.19,5.11,5.13,"1,038,400"
"Feb 07, 2001",5.13,5.13,5.03,5.05,"1,113,600"
"Feb 08, 2001",5.03,5.06,4.95,4.98,"702,400"
"Feb 09, 2001",4.98,5.01,4.96,5.00,"1,208,800"
"Feb 12, 2001",5.01,5.04,4.99,5.01,"1,532,000"
"Feb 13, 2001",5.05,5.05,4.97,4.99,"2,746,400"
"Feb 14, 2001",5.01,5.04,4.95,4.98,"2,056,800"
"Feb 15, 2001",5.01,5.01,4.94,4.94,"700,000"
"Feb 16, 2001",4.98,5.01,4.94,4.99,"1,527,200"
"Feb 19, 2001",5.00,5.01,4.99,5.01,"1,206,400"
"Feb 20, 2001",5.00,5.01,4.96,4.97,"3,286,400"
"Feb 21, 2001",4.97,5.00,4.94,4.98,"18,726,400"
"Feb 22, 2001",4.98,5.20,4.94,5.15,"10,511,200"
"Feb 23, 2001",5.07,5.16,5.07,5.16,"2,680,000"
"Feb 26, 2001",5.09,5.19,5.09,5.17,"1,866,400"
"Feb 27, 2001",5.17,5.22,5.16,5.17,"1,768,800"
"Feb 28, 2001",5.17,5.27,5.17,5.27,"1,972,800"
"Mar 01, 2001",5.30,5.40,5.24,5.32,"2,910,400"
"Mar 02, 2001",5.29,5.40,5.29,5.37,"2,125,600"
"Mar 05, 2001",5.38,5.59,5.37,5.59,"6,859,200"
"Mar 06, 2001",5.48,5.59,5.46,5.53,"1,418,400"
"Mar 07, 2001",5.46,5.50,5.41,5.42,"3,462,400"
"Mar 08, 2001",5.42,5.44,5.25,5.34,"3,739,200"
"Mar 09, 2001",5.29,5.33,5.24,5.32,"1,372,800"
"Mar 12, 2001",5.31,5.32,5.20,5.23,"1,028,800"
"Mar 13, 2001",5.20,5.25,5.19,5.24,"1,266,400"
"Mar 14, 2001",5.23,5.23,5.16,5.18,"1,110,400"
"Mar 15, 2001",5.15,5.20,5.08,5.20,"1,907,200"
"Mar 16, 2001",5.44,5.46,5.19,5.40,"4,001,600"
"Mar 19, 2001",5.37,5.46,5.34,5.38,"1,740,800"
"Mar 20, 2001",5.40,5.44,5.37,5.40,"2,240,800"
"Mar 21, 2001",5.37,5.39,5.27,5.37,"2,107,200"
"Mar 22, 2001",5.14,5.36,5.14,5.35,"2,503,200"
"Mar 23, 2001",5.35,5.43,5.34,5.43,"2,670,400"
"Mar 26, 2001",5.43,5.43,5.30,5.30,"1,587,200"
"Mar 27, 2001",5.28,5.43,5.28,5.33,"986,400"
"Mar 28, 2001",5.33,5.33,5.11,5.29,"1,346,400"
"Mar 29, 2001",5.31,5.40,5.31,5.40,"1,858,400"
"Mar 30, 2001",5.33,5.51,5.33,5.51,"2,806,400"
"Apr 02, 2001",5.51,5.51,5.34,5.50,"958,400"
"Apr 03, 2001",5.50,5.53,5.41,5.52,"1,715,200"
"Apr 04, 2001",5.53,5.53,5.37,5.42,"725,600"
"Apr 05, 2001",5.40,5.50,5.40,5.50,"1,685,600"
"Apr 06, 2001",5.51,5.51,5.44,5.46,"1,281,600"
"Apr 09, 2001",5.46,5.46,5.43,5.46,"1,681,600"
"Apr 10, 2001",5.45,5.47,5.43,5.44,"1,068,000"
"Apr 11, 2001",5.44,5.44,5.20,5.20,"5,669,600"
"Apr 12, 2001",5.29,5.29,5.11,5.18,"1,205,600"
"Apr 16, 2001",5.11,5.15,5.02,5.08,"1,011,200"
"Apr 17, 2001",5.02,5.08,4.95,5.05,"1,084,800"
"Apr 18, 2001",5.09,5.09,4.87,5.00,"2,088,000"
"Apr 19, 2001",4.92,5.04,4.91,4.92,"1,604,800"
"Apr 20, 2001",4.98,4.98,4.83,4.89,"1,772,800"
"Apr 23, 2001",4.88,4.98,4.88,4.98,"3,331,200"
"Apr 24, 2001",5.00,5.07,4.93,4.93,"1,568,000"
"Apr 25, 2001",4.96,5.07,4.96,5.06,"2,916,000"
"Apr 26, 2001",5.07,5.09,5.04,5.07,"2,857,600"
"Apr 27, 2001",5.07,5.07,4.85,4.94,"1,521,600"
"Apr 30, 2001",4.94,4.98,4.92,4.93,"2,777,600"
"May 01, 2001",4.97,4.97,4.89,4.92,"3,468,800"
"May 02, 2001",4.92,4.94,4.72,4.76,"5,099,200"
"May 03, 2001",4.77,4.77,4.65,4.67,"2,206,400"
"May 04, 2001",4.68,4.68,4.63,4.66,"1,731,200"
"May 07, 2001",4.68,4.72,4.66,4.70,"5,492,000"
"May 08, 2001",4.75,4.75,4.64,4.67,"2,616,000"
"May 09, 2001",4.71,4.76,4.66,4.71,"3,737,600"
"May 10, 2001",4.72,4.77,4.70,4.71,"2,608,000"
"May 11, 2001",4.76,4.78,4.72,4.78,"4,035,200"
"May 14, 2001",4.80,4.91,4.80,4.90,"3,748,000"
"May 15, 2001",4.92,5.04,4.85,4.94,"3,535,200"
"May 16, 2001",4.95,5.02,4.95,4.99,"4,016,800"
"May 17, 2001",5.02,5.05,4.88,5.00,"4,740,000"
"May 18, 2001",4.99,5.01,4.91,4.92,"2,334,400"
"May 22, 2001",4.94,5.00,4.92,4.98,"3,744,800"
"May 23, 2001",4.98,5.00,4.95,4.99,"3,203,200"
"May 24, 2001",5.00,5.06,4.98,5.06,"1,522,400"
"May 25, 2001",5.00,5.02,4.97,4.99,"3,541,600"
"May 28, 2001",5.03,5.04,4.99,5.03,"363,200"
"May 29, 2001",5.05,5.05,4.98,5.04,"1,880,800"
"May 30, 2001",5.07,5.17,5.05,5.14,"2,219,200"
"May 31, 2001",5.17,5.25,5.09,5.20,"2,328,800"
