Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",0.00,0.00,0.00,1.85,0
"Jan 03, 2001",1.63,1.83,1.63,1.83,492
"Jan 04, 2001",0.00,0.00,0.00,1.83,0
"Jan 05, 2001",1.68,1.68,1.68,1.68,"3,250"
"Jan 08, 2001",1.83,1.85,1.83,1.85,689
"Jan 09, 2001",0.00,0.00,0.00,1.85,0
"Jan 10, 2001",0.00,0.00,0.00,1.85,0
"Jan 11, 2001",0.00,0.00,0.00,1.85,0
"Jan 12, 2001",0.00,0.00,0.00,1.85,0
"Jan 15, 2001",1.85,1.85,1.85,1.85,197
"Jan 16, 2001",1.68,1.85,1.66,1.85,"1,970"
"Jan 17, 2001",0.00,0.00,0.00,1.85,0
"Jan 18, 2001",0.00,0.00,0.00,1.85,0
"Jan 19, 2001",0.00,0.00,0.00,1.85,0
"Jan 22, 2001",0.00,0.00,0.00,1.85,0
"Jan 23, 2001",0.00,0.00,0.00,1.85,0
"Jan 24, 2001",0.00,0.00,0.00,1.85,0
"Jan 25, 2001",0.00,0.00,0.00,1.85,0
"Jan 26, 2001",0.00,0.00,0.00,1.85,0
"Jan 29, 2001",0.00,0.00,0.00,1.85,0
"Jan 30, 2001",1.78,1.78,1.78,1.78,295
"Jan 31, 2001",1.66,1.83,1.65,1.83,"11,917"
"Feb 01, 2001",0.00,0.00,0.00,1.83,0
"Feb 02, 2001",1.63,1.63,1.63,1.63,0
"Feb 05, 2001",0.00,0.00,0.00,1.63,0
"Feb 06, 2001",1.63,1.63,1.63,1.63,788
"Feb 07, 2001",1.73,1.73,1.73,1.73,197
"Feb 08, 2001",1.73,1.73,1.73,1.73,98
"Feb 09, 2001",0.00,0.00,0.00,1.73,0
"Feb 12, 2001",0.00,0.00,0.00,1.73,0
"Feb 13, 2001",0.00,0.00,0.00,1.73,0
"Feb 14, 2001",1.73,1.73,1.73,1.73,394
"Feb 15, 2001",0.00,0.00,0.00,1.73,0
"Feb 16, 2001",1.73,1.73,1.73,1.73,788
"Feb 19, 2001",1.78,1.78,1.78,1.78,689
"Feb 20, 2001",0.00,0.00,0.00,1.78,0
"Feb 21, 2001",1.78,1.78,1.78,1.78,295
"Feb 22, 2001",0.00,0.00,0.00,1.78,0
"Feb 23, 2001",0.00,0.00,0.00,1.78,0
"Feb 26, 2001",0.00,0.00,0.00,1.78,0
"Feb 27, 2001",0.00,0.00,0.00,1.78,0
"Feb 28, 2001",0.00,0.00,0.00,1.78,0
"Mar 01, 2001",0.00,0.00,0.00,1.78,0
"Mar 02, 2001",1.78,1.78,1.78,1.78,98
"Mar 05, 2001",1.68,1.68,1.68,1.68,689
"Mar 06, 2001",1.68,1.68,1.68,1.68,985
"Mar 07, 2001",1.68,1.68,1.68,1.68,295
"Mar 08, 2001",1.68,1.68,1.68,1.68,295
"Mar 09, 2001",0.00,0.00,0.00,1.68,0
"Mar 12, 2001",0.00,0.00,0.00,1.68,0
"Mar 13, 2001",0.00,0.00,0.00,1.68,0
"Mar 14, 2001",0.00,0.00,0.00,1.68,0
"Mar 15, 2001",0.00,0.00,0.00,1.68,0
"Mar 16, 2001",0.00,0.00,0.00,1.68,0
"Mar 19, 2001",0.00,0.00,0.00,1.68,0
"Mar 20, 2001",0.00,0.00,0.00,1.68,0
"Mar 21, 2001",0.00,0.00,0.00,1.68,0
