Date,Open,High,Low,Adj. Close,Volume
"Jul 24, 2015",7.52,7.63,7.52,7.62,"179,436"
"Jul 27, 2015",7.45,7.60,7.45,7.60,"20,755"
"Jul 28, 2015",7.60,7.64,7.60,7.60,"16,416"
"Jul 29, 2015",7.60,7.68,7.60,7.64,"41,770"
"Jul 30, 2015",7.64,7.72,7.64,7.68,"25,500"
"Jul 31, 2015",7.68,7.76,7.68,7.76,"24,229"
"Aug 04, 2015",7.72,7.75,7.72,7.75,"10,600"
"Aug 05, 2015",7.74,7.75,7.68,7.68,"8,365"
"Aug 06, 2015",7.69,7.74,7.68,7.74,"2,760"
"Aug 07, 2015",7.72,7.72,7.69,7.69,500
"Aug 10, 2015",7.71,7.79,7.71,7.79,"28,727"
"Aug 11, 2015",7.76,7.76,7.76,7.76,"3,000"
"Aug 12, 2015",7.68,7.68,7.68,7.68,0
"Aug 13, 2015",7.74,7.76,7.69,7.75,"10,900"
"Aug 14, 2015",7.75,7.75,7.68,7.68,"9,000"
"Aug 17, 2015",7.74,7.76,7.69,7.76,"4,800"
"Aug 18, 2015",7.70,7.70,7.70,7.70,"3,000"
"Aug 19, 2015",7.72,7.72,7.72,7.72,"1,100"
"Aug 20, 2015",7.72,7.76,7.72,7.76,"28,900"
"Aug 21, 2015",7.72,7.76,7.68,7.68,"29,740"
"Aug 24, 2015",7.48,7.65,7.48,7.65,"41,533"
"Aug 25, 2015",7.53,7.53,7.32,7.32,"20,857"
"Aug 26, 2015",7.59,7.59,7.18,7.34,"12,700"
"Aug 27, 2015",7.52,7.52,7.02,7.39,"16,587"
"Aug 28, 2015",7.36,7.37,7.25,7.36,"8,200"
"Aug 31, 2015",7.30,7.59,7.25,7.59,"9,662"
"Sep 01, 2015",7.58,7.59,7.58,7.59,"2,000"
"Sep 02, 2015",7.29,7.29,7.29,7.29,50
"Sep 03, 2015",7.38,7.38,7.38,7.38,0
"Sep 04, 2015",7.58,7.69,7.58,7.62,"4,100"
"Sep 08, 2015",7.48,7.49,7.44,7.44,"6,800"
"Sep 09, 2015",7.56,7.69,7.56,7.68,"6,564"
"Sep 10, 2015",7.62,7.62,7.60,7.60,"3,552"
"Sep 11, 2015",7.60,7.63,7.56,7.56,"4,410"
"Sep 14, 2015",7.69,7.70,7.69,7.70,"1,386"
"Sep 15, 2015",7.60,7.60,7.52,7.57,"4,600"
"Sep 16, 2015",7.55,7.55,7.54,7.54,"2,500"
"Sep 17, 2015",7.65,7.66,7.34,7.58,"13,599"
"Sep 18, 2015",7.41,7.58,7.41,7.56,"8,421"
"Sep 21, 2015",7.55,7.59,7.55,7.59,"4,100"
"Sep 22, 2015",7.55,7.55,7.52,7.55,"2,000"
"Sep 23, 2015",7.53,7.53,7.49,7.50,"4,000"
"Sep 24, 2015",7.49,7.49,7.41,7.41,"2,629"
"Sep 25, 2015",7.37,7.37,7.27,7.30,"11,800"
"Sep 28, 2015",7.34,7.34,7.30,7.34,"7,400"
"Sep 29, 2015",7.32,7.52,7.32,7.52,"7,905"
"Sep 30, 2015",7.56,7.58,7.48,7.52,"9,500"
"Oct 01, 2015",7.52,7.52,7.45,7.52,"6,755"
"Oct 02, 2015",7.52,7.55,7.32,7.55,"13,450"
"Oct 05, 2015",7.48,7.52,7.45,7.52,"1,653"
"Oct 06, 2015",7.55,7.55,7.49,7.49,"4,950"
"Oct 07, 2015",7.56,7.81,7.55,7.59,"20,877"
"Oct 08, 2015",7.62,7.92,7.58,7.65,"8,557"
"Oct 09, 2015",7.65,7.66,7.41,7.59,"22,439"
"Oct 13, 2015",7.41,7.41,7.29,7.38,"21,400"
"Oct 14, 2015",7.37,7.37,7.33,7.33,"3,332"
"Oct 15, 2015",7.33,7.36,7.28,7.36,"4,600"
"Oct 16, 2015",7.29,7.29,7.06,7.27,"14,300"
"Oct 19, 2015",7.06,7.16,7.05,7.16,"3,389"
"Oct 20, 2015",7.10,7.17,7.08,7.17,"15,600"
"Oct 21, 2015",7.07,7.35,7.07,7.21,"1,000"
"Oct 22, 2015",7.23,7.25,7.09,7.25,"14,500"
