Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2011",18.05,18.30,18.05,18.30,"4,241"
"Mar 02, 2011",18.22,18.22,18.05,18.08,"13,000"
"Mar 03, 2011",18.09,18.17,18.05,18.05,"7,300"
"Mar 04, 2011",18.19,18.19,18.05,18.05,"31,090"
"Mar 07, 2011",18.08,18.19,18.05,18.05,"5,501"
"Mar 08, 2011",18.05,18.19,18.05,18.19,"20,936"
"Mar 09, 2011",18.05,18.19,17.97,18.10,"15,715"
"Mar 10, 2011",18.05,18.05,17.97,17.97,"8,500"
"Mar 11, 2011",18.02,18.08,18.01,18.08,"1,055"
"Mar 14, 2011",17.97,18.05,17.86,18.05,"10,500"
"Mar 15, 2011",18.05,18.05,17.86,17.97,"9,490"
"Mar 16, 2011",17.97,18.11,17.97,17.97,"6,400"
"Mar 17, 2011",17.97,18.10,17.90,17.90,"8,750"
"Mar 18, 2011",17.91,18.05,17.90,18.05,"5,750"
"Mar 21, 2011",18.05,18.05,17.91,17.91,"7,003"
"Mar 22, 2011",17.93,17.97,17.90,17.97,"14,550"
"Mar 23, 2011",17.97,18.05,17.90,17.90,"3,802"
"Mar 24, 2011",17.90,17.97,17.90,17.97,"3,404"
"Mar 25, 2011",17.97,17.97,17.90,17.91,"22,945"
"Mar 28, 2011",17.99,18.08,17.94,18.08,"2,621"
"Mar 29, 2011",18.13,18.13,18.05,18.12,"10,458"
"Mar 30, 2011",18.13,18.24,17.94,18.22,"4,006"
"Mar 31, 2011",18.05,18.15,18.05,18.15,"2,900"
"Apr 01, 2011",18.08,18.17,18.08,18.17,"1,803"
"Apr 04, 2011",18.06,18.08,18.05,18.08,"3,721"
"Apr 05, 2011",18.05,18.09,18.05,18.08,"11,000"
"Apr 06, 2011",18.08,18.14,18.05,18.08,"9,675"
"Apr 07, 2011",18.13,18.13,18.05,18.05,"4,200"
"Apr 08, 2011",18.12,18.12,18.05,18.05,"1,500"
"Apr 11, 2011",18.08,18.11,18.05,18.11,"80,501"
"Apr 12, 2011",18.09,18.16,18.09,18.12,"5,270"
"Apr 13, 2011",18.09,18.12,18.05,18.05,"55,593"
"Apr 14, 2011",18.13,18.13,18.05,18.05,"1,110"
"Apr 15, 2011",18.19,18.19,18.04,18.11,"8,842"
"Apr 18, 2011",18.05,18.06,18.04,18.05,"2,901"
"Apr 19, 2011",18.05,18.13,17.99,18.12,"4,777"
"Apr 20, 2011",18.12,18.14,18.05,18.05,"3,100"
"Apr 21, 2011",18.12,18.12,18.05,18.12,"3,730"
"Apr 25, 2011",18.16,18.16,18.07,18.07,"2,536"
"Apr 26, 2011",18.08,18.16,18.05,18.05,"28,400"
"Apr 27, 2011",18.05,18.17,18.05,18.17,"3,000"
"Apr 28, 2011",18.12,18.12,18.05,18.11,"10,809"
"Apr 29, 2011",18.16,18.25,18.16,18.25,"2,124"
"May 02, 2011",18.25,18.30,18.19,18.27,"4,500"
"May 03, 2011",18.25,18.30,18.08,18.27,"5,358"
"May 04, 2011",18.27,18.27,18.15,18.15,"19,124"
"May 05, 2011",18.15,18.30,18.08,18.30,"12,300"
"May 06, 2011",18.32,18.38,18.13,18.19,"10,108"
"May 09, 2011",18.19,18.22,18.12,18.12,"60,500"
"May 10, 2011",18.17,18.30,18.17,18.28,"27,315"
"May 11, 2011",18.33,18.34,18.19,18.33,"6,735"
"May 12, 2011",18.18,18.30,18.17,18.23,"7,280"
"May 13, 2011",18.30,18.30,18.27,18.27,"2,129"
"May 16, 2011",18.27,18.34,18.27,18.28,"3,320"
"May 17, 2011",18.27,18.29,18.27,18.28,"13,300"
"May 18, 2011",18.33,18.34,18.19,18.19,"64,427"
"May 19, 2011",18.23,18.27,18.14,18.20,"25,586"
"May 20, 2011",18.23,18.30,18.23,18.30,"5,815"
"May 24, 2011",18.23,18.30,18.21,18.21,"228,820"
"May 25, 2011",18.21,18.25,18.19,18.25,"5,397"
"May 26, 2011",18.24,18.27,18.21,18.27,"10,077"
"May 27, 2011",18.22,18.30,18.20,18.26,"7,500"
"May 30, 2011",18.19,18.34,18.11,18.34,"10,573"
"May 31, 2011",18.44,18.54,18.31,18.40,"11,379"
"Jun 01, 2011",18.44,18.47,18.43,18.44,"8,181"
"Jun 02, 2011",18.36,18.41,18.29,18.41,"9,441"
"Jun 03, 2011",18.36,18.47,18.36,18.44,"4,224"
"Jun 06, 2011",18.43,18.47,18.43,18.44,"10,867"
"Jun 07, 2011",18.47,18.47,18.36,18.44,"8,919"
"Jun 08, 2011",18.47,18.47,18.44,18.44,"12,960"
"Jun 09, 2011",18.47,18.47,18.36,18.36,"21,533"
"Jun 10, 2011",18.43,18.47,18.43,18.44,"6,307"
"Jun 13, 2011",18.46,18.47,18.27,18.27,"3,871"
"Jun 14, 2011",18.40,18.45,18.40,18.45,"2,934"
"Jun 15, 2011",18.45,18.56,18.42,18.55,"8,234"
"Jun 16, 2011",18.55,18.55,18.47,18.47,"8,359"
"Jun 17, 2011",18.47,18.47,18.44,18.45,"2,948"
"Jun 20, 2011",18.44,18.44,18.35,18.35,"7,034"
"Jun 21, 2011",18.21,18.37,18.21,18.37,"5,251"
"Jun 22, 2011",18.35,18.40,18.14,18.18,"52,534"
"Jun 23, 2011",18.18,18.27,18.14,18.18,"7,011"
"Jun 24, 2011",18.30,18.30,18.23,18.23,501
"Jun 27, 2011",18.38,18.40,18.25,18.38,"13,616"
"Jun 28, 2011",18.32,18.40,18.28,18.36,"5,330"
"Jun 29, 2011",18.38,18.38,18.07,18.14,"9,100"
"Jun 30, 2011",18.15,18.25,18.11,18.21,"9,550"
"Jul 04, 2011",18.28,18.39,18.18,18.39,"16,500"
"Jul 05, 2011",18.39,18.40,18.21,18.40,"7,612"
"Jul 06, 2011",18.35,18.39,18.21,18.32,"7,526"
"Jul 07, 2011",18.32,18.47,18.32,18.47,"4,450"
"Jul 08, 2011",18.47,18.47,18.40,18.47,"6,490"
"Jul 11, 2011",18.47,18.47,18.32,18.32,"13,700"
"Jul 12, 2011",18.44,18.44,18.21,18.32,"6,870"
"Jul 13, 2011",18.40,18.45,18.32,18.45,"2,750"
"Jul 14, 2011",18.47,18.47,18.44,18.47,"4,473"
"Jul 15, 2011",18.44,18.47,18.40,18.47,"12,029"
"Jul 18, 2011",18.50,18.54,18.40,18.50,"7,495"
"Jul 19, 2011",18.40,18.50,18.40,18.50,"1,401"
"Jul 20, 2011",18.44,18.53,18.44,18.47,"4,825"
"Jul 21, 2011",18.51,18.58,18.51,18.58,"4,520"
"Jul 22, 2011",18.58,18.58,18.55,18.58,"3,700"
"Jul 25, 2011",18.58,18.58,18.50,18.58,"7,100"
