Date,Open,High,Low,Adj. Close,Volume
"Jun 21, 2018",0.00,0.00,0.00,0.00,0
"Jun 22, 2018",0.00,0.00,0.00,0.00,0
"Jun 25, 2018",0.00,0.00,0.00,0.00,0
"Jun 26, 2018",0.00,0.00,0.00,0.00,0
"Jun 27, 2018",19.67,19.67,19.67,19.67,"2,000"
"Jun 28, 2018",19.64,19.64,19.64,19.64,500
"Jun 29, 2018",19.64,19.64,19.64,19.64,0
"Jul 03, 2018",19.64,19.64,19.64,19.64,0
"Jul 04, 2018",19.64,19.64,19.64,19.64,0
"Jul 05, 2018",19.64,19.64,19.64,19.64,0
"Jul 06, 2018",19.64,19.64,19.64,19.64,0
"Jul 09, 2018",19.64,19.64,19.64,19.64,0
"Jul 10, 2018",19.66,19.66,19.66,19.66,"1,200"
"Jul 11, 2018",19.66,19.68,19.66,19.68,500
"Jul 12, 2018",19.68,19.68,19.68,19.68,0
"Jul 13, 2018",19.68,19.68,19.68,19.68,0
"Jul 16, 2018",19.68,19.68,19.68,19.68,0
"Jul 17, 2018",19.70,19.70,19.70,19.70,"3,200"
"Jul 18, 2018",19.69,19.69,19.69,19.69,300
"Jul 19, 2018",19.69,19.69,19.69,19.69,"2,600"
"Jul 20, 2018",19.69,19.69,19.69,19.69,"1,300"
"Jul 23, 2018",19.69,19.69,19.69,19.69,0
"Jul 24, 2018",19.69,19.69,19.69,19.69,0
"Jul 25, 2018",19.69,19.69,19.69,19.69,0
"Jul 26, 2018",19.74,19.74,19.74,19.74,0
"Jul 27, 2018",19.74,19.74,19.74,19.74,0
"Jul 30, 2018",19.74,19.74,19.74,19.74,0
"Jul 31, 2018",19.66,19.66,19.66,19.66,200
"Aug 01, 2018",19.66,19.66,19.66,19.66,0
"Aug 02, 2018",19.66,19.66,19.66,19.66,0
"Aug 03, 2018",19.66,19.66,19.66,19.66,400
"Aug 07, 2018",19.69,19.69,19.69,19.69,230
"Aug 08, 2018",19.67,19.67,19.67,19.67,"5,200"
"Aug 09, 2018",19.67,19.67,19.67,19.67,0
"Aug 10, 2018",19.67,19.67,19.67,19.67,0
"Aug 13, 2018",19.69,19.69,19.69,19.69,"46,900"
"Aug 14, 2018",19.70,19.70,19.70,19.70,130
"Aug 15, 2018",19.70,19.70,19.70,19.70,0
"Aug 16, 2018",19.70,19.70,19.70,19.70,0
