Date,Open,High,Low,Adj. Close,Volume
"Apr 18, 2005",18.67,18.86,18.67,18.86,"28,553"
"Apr 19, 2005",18.80,19.12,18.74,18.93,"27,942"
"Apr 20, 2005",19.05,19.05,18.80,18.99,"23,438"
"Apr 21, 2005",18.99,19.05,18.93,18.99,"18,323"
"Apr 22, 2005",18.99,19.03,18.93,18.99,"25,041"
"Apr 25, 2005",18.99,19.06,18.95,19.06,"15,727"
"Apr 26, 2005",18.99,19.19,18.99,19.12,"26,186"
"Apr 27, 2005",18.99,19.32,18.99,19.12,"25,499"
"Apr 28, 2005",19.12,19.19,19.02,19.12,"23,972"
"Apr 29, 2005",19.12,19.64,19.12,19.39,"20,842"
"May 02, 2005",19.39,20.89,19.39,20.89,"10,230"
"May 03, 2005",20.30,20.30,19.98,20.11,"21,147"
"May 04, 2005",20.29,20.30,20.11,20.17,"31,912"
"May 05, 2005",20.17,20.30,20.11,20.17,"16,490"
"May 06, 2005",20.17,20.17,20.04,20.11,"27,179"
"May 09, 2005",20.04,20.04,19.78,19.84,"25,117"
"May 10, 2005",19.71,19.78,19.66,19.71,"30,767"
"May 11, 2005",19.71,19.98,19.65,19.71,"10,383"
"May 12, 2005",19.66,20.04,19.66,19.98,"23,743"
"May 13, 2005",19.98,20.17,19.84,20.04,"15,422"
"May 16, 2005",20.11,20.29,20.04,20.29,"21,071"
"May 17, 2005",20.22,20.24,20.04,20.24,"22,140"
"May 18, 2005",20.24,20.24,20.04,20.11,"15,116"
"May 19, 2005",20.11,20.17,19.98,19.98,"16,796"
"May 20, 2005",20.04,20.11,19.65,19.65,"23,285"
"May 24, 2005",19.98,20.04,19.71,19.91,"22,216"
"May 25, 2005",19.91,20.29,19.91,20.24,"18,552"
"May 26, 2005",20.11,20.30,19.91,19.92,"24,965"
"May 27, 2005",19.84,20.30,19.84,20.30,"16,796"
"May 30, 2005",20.30,20.76,20.30,20.32,"17,177"
"May 31, 2005",20.63,20.96,20.43,20.70,"17,788"
"Jun 01, 2005",20.50,20.63,20.43,20.43,"12,902"
"Jun 02, 2005",20.50,20.83,20.50,20.70,"14,276"
"Jun 03, 2005",20.83,20.96,20.70,20.76,"9,543"
"Jun 06, 2005",20.83,20.89,20.70,20.70,"9,772"
"Jun 07, 2005",20.88,20.89,20.76,20.83,"9,085"
"Jun 08, 2005",20.83,20.95,20.63,20.80,"15,574"
"Jun 09, 2005",20.83,20.83,20.76,20.83,"7,253"
"Jun 10, 2005",20.83,20.95,20.63,20.64,"17,941"
"Jun 13, 2005",20.77,20.77,20.30,20.50,"19,620"
"Jun 14, 2005",20.60,20.63,20.30,20.57,"9,619"
"Jun 15, 2005",20.50,20.57,20.30,20.30,"14,505"
"Jun 16, 2005",20.50,20.62,20.43,20.45,"11,833"
"Jun 17, 2005",20.45,20.50,20.45,20.50,"9,009"
"Jun 20, 2005",20.43,20.50,20.11,20.17,"15,574"
"Jun 21, 2005",20.37,20.47,20.30,20.47,"7,405"
"Jun 22, 2005",20.30,20.63,20.17,20.63,"35,576"
"Jun 23, 2005",20.63,20.76,20.53,20.70,"18,399"
"Jun 24, 2005",20.76,20.83,20.63,20.83,"8,780"
"Jun 27, 2005",20.96,20.96,20.70,20.83,"29,927"
"Jun 28, 2005",20.83,21.61,20.50,20.50,"30,003"
"Jun 29, 2005",20.57,20.96,20.50,20.63,"14,200"
"Jun 30, 2005",20.62,20.63,20.43,20.63,"16,948"
"Jul 04, 2005",20.43,20.70,20.43,20.50,"6,642"
"Jul 05, 2005",20.50,20.89,20.46,20.50,"11,223"
"Jul 06, 2005",20.57,20.63,20.30,20.55,"15,422"
"Jul 07, 2005",20.43,20.50,20.11,20.30,"28,629"
"Jul 08, 2005",20.30,20.63,20.30,20.57,"8,780"
"Jul 11, 2005",20.57,20.63,20.43,20.63,"11,604"
"Jul 12, 2005",20.89,20.89,20.50,20.80,"11,452"
"Jul 13, 2005",20.76,20.83,20.63,20.83,"14,887"
"Jul 14, 2005",20.83,21.48,20.76,21.29,"23,285"
"Jul 15, 2005",21.35,22.27,21.35,21.48,"15,651"
"Jul 18, 2005",21.55,21.55,20.96,21.29,"18,094"
"Jul 19, 2005",21.48,21.88,21.42,21.81,"16,490"
"Jul 20, 2005",21.94,21.94,21.61,21.74,"11,910"
"Jul 21, 2005",21.74,22.07,21.48,21.48,"15,803"
"Jul 22, 2005",21.61,22.27,21.61,21.61,"27,484"
"Jul 25, 2005",21.61,21.94,21.48,21.61,"11,146"
"Jul 26, 2005",21.61,23.25,21.48,22.27,"7,176"
"Jul 27, 2005",22.27,22.27,21.74,22.27,"23,590"
"Jul 28, 2005",22.27,22.79,22.27,22.27,"29,087"
"Jul 29, 2005",22.40,22.73,22.27,22.60,"14,963"
"Aug 02, 2005",22.86,22.86,22.33,22.33,"19,697"
"Aug 03, 2005",22.48,22.53,22.27,22.27,"11,681"
"Aug 04, 2005",22.27,22.53,22.27,22.53,"7,482"
"Aug 05, 2005",22.53,22.53,21.94,22.20,"29,011"
"Aug 08, 2005",22.27,22.53,21.94,22.27,"31,912"
"Aug 09, 2005",21.94,22.20,21.42,21.94,"15,803"
"Aug 10, 2005",21.94,21.94,21.48,21.48,"4,962"
"Aug 11, 2005",21.50,21.94,21.50,21.94,"14,047"
"Aug 12, 2005",21.74,21.74,21.42,21.48,"16,185"
"Aug 15, 2005",21.93,21.94,21.88,21.94,"5,115"
"Aug 16, 2005",21.81,22.20,21.48,21.50,"11,070"
"Aug 17, 2005",22.19,22.19,21.88,22.19,"9,467"
"Aug 18, 2005",21.94,21.94,21.48,21.48,"8,474"
"Aug 19, 2005",21.94,22.07,21.81,22.07,"9,390"
"Aug 22, 2005",22.14,22.14,21.63,21.84,"15,574"
"Aug 23, 2005",21.88,22.07,21.65,21.68,"19,468"
"Aug 24, 2005",21.74,21.86,21.65,21.86,"12,597"
"Aug 25, 2005",21.65,21.88,21.61,21.88,"13,818"
"Aug 26, 2005",21.86,22.27,21.63,21.85,"22,063"
"Aug 29, 2005",21.94,22.01,21.68,21.68,"9,467"
"Aug 30, 2005",21.68,21.88,21.55,21.85,"4,810"
"Aug 31, 2005",21.48,21.99,20.96,20.97,"18,017"
"Sep 01, 2005",20.98,21.57,20.96,21.32,"5,191"
"Sep 02, 2005",21.35,21.94,21.35,21.61,"10,230"
"Sep 06, 2005",21.90,21.90,21.43,21.43,"2,367"
"Sep 07, 2005",21.55,21.82,21.36,21.61,"3,665"
"Sep 08, 2005",21.88,21.88,21.61,21.86,"4,428"
"Sep 09, 2005",21.86,21.88,21.48,21.48,"8,627"
"Sep 12, 2005",21.35,21.42,20.70,20.71,"13,131"
"Sep 13, 2005",21.15,21.55,21.09,21.55,"9,543"
"Sep 14, 2005",21.55,21.68,21.42,21.42,"9,314"
"Sep 15, 2005",21.61,21.74,21.29,21.74,"11,528"
"Sep 16, 2005",21.74,21.74,20.96,21.55,"18,246"
"Sep 19, 2005",21.22,21.55,20.96,21.29,"7,634"
"Sep 20, 2005",21.09,21.61,20.96,20.96,"12,902"
"Sep 21, 2005",21.15,21.15,20.30,20.89,"8,398"
"Sep 22, 2005",20.89,20.89,20.17,20.50,"6,337"
"Sep 23, 2005",20.37,20.63,20.37,20.37,"16,567"
"Sep 26, 2005",20.37,20.70,20.04,20.17,"3,206"
"Sep 27, 2005",20.30,20.76,20.04,20.70,"8,551"
"Sep 28, 2005",20.75,20.76,20.24,20.76,"9,009"
"Sep 29, 2005",20.37,20.76,20.04,20.17,"13,208"
"Sep 30, 2005",20.17,20.43,19.71,20.30,"7,940"
"Oct 03, 2005",20.30,20.57,19.98,20.57,"6,337"
"Oct 04, 2005",20.63,20.63,20.02,20.11,"13,666"
"Oct 05, 2005",19.98,20.30,19.84,19.91,"13,742"
"Oct 06, 2005",19.65,20.24,19.52,20.24,"10,077"
"Oct 07, 2005",20.04,20.30,19.78,19.78,"3,359"
"Oct 11, 2005",19.91,20.89,19.84,19.84,"6,718"
"Oct 12, 2005",20.50,20.50,19.78,19.91,"6,566"
"Oct 13, 2005",20.04,20.04,19.98,20.04,"3,359"
"Oct 14, 2005",19.91,20.17,19.91,19.98,"5,268"
"Oct 17, 2005",19.91,19.91,19.65,19.65,"8,551"
"Oct 18, 2005",19.52,20.17,19.39,19.52,"17,559"
"Oct 19, 2005",19.52,19.71,18.40,18.69,"9,772"
"Oct 20, 2005",19.19,19.19,18.47,18.80,"15,651"
"Oct 21, 2005",19.12,19.12,18.53,18.68,"8,169"
"Oct 24, 2005",18.67,19.19,18.67,18.73,"7,024"
"Oct 25, 2005",19.12,19.65,19.12,19.32,"12,902"
"Oct 26, 2005",19.65,19.65,19.39,19.65,"1,909"
"Oct 27, 2005",19.45,19.65,19.45,19.58,"5,726"
"Oct 28, 2005",19.52,19.78,19.52,19.65,"4,199"
"Oct 31, 2005",19.73,20.43,19.73,20.43,"3,665"
"Nov 01, 2005",20.43,20.43,19.65,19.65,"12,520"
"Nov 02, 2005",19.98,20.11,19.65,20.04,"9,543"
"Nov 03, 2005",19.91,20.04,19.74,19.78,"4,504"
"Nov 04, 2005",19.98,20.17,19.78,20.11,"6,413"
