Date,Open,High,Low,Adj. Close,Volume
"Jun 07, 2017",118.00,118.00,101.11,102.00,"98,000"
"Jun 08, 2017",102.00,102.00,100.00,100.00,"91,000"
"Jun 09, 2017",100.00,100.25,99.99,100.00,"56,000"
"Jun 12, 2017",100.49,101.00,100.01,101.00,"34,000"
"Jun 13, 2017",100.50,100.50,98.75,98.75,"16,000"
"Jun 14, 2017",99.00,99.00,98.25,98.25,"9,000"
"Jun 15, 2017",98.25,98.25,97.00,97.00,"30,000"
"Jun 16, 2017",98.00,98.00,97.55,97.55,"9,000"
"Jun 19, 2017",99.00,99.00,99.00,99.00,"20,000"
"Jun 20, 2017",98.00,98.00,98.00,98.00,"5,000"
"Jun 21, 2017",98.00,98.00,97.00,97.00,"69,000"
"Jun 22, 2017",97.00,97.00,97.00,97.00,0
"Jun 23, 2017",98.00,98.00,97.00,97.00,"63,000"
"Jun 26, 2017",97.25,97.25,97.00,97.00,"13,000"
"Jun 27, 2017",97.50,97.50,97.00,97.00,"5,000"
"Jun 28, 2017",98.00,100.00,97.00,100.00,"166,000"
"Jun 29, 2017",100.00,100.00,100.00,100.00,0
"Jun 30, 2017",100.00,100.00,100.00,100.00,"25,000"
"Jul 04, 2017",99.51,99.51,99.50,99.50,"19,000"
"Jul 05, 2017",99.75,99.99,99.60,99.60,"39,000"
"Jul 06, 2017",99.61,100.00,99.61,100.00,"38,000"
"Jul 07, 2017",100.00,100.00,100.00,100.00,"19,000"
"Jul 10, 2017",100.00,100.00,100.00,100.00,"54,000"
"Jul 11, 2017",101.00,101.00,101.00,101.00,"57,000"
"Jul 12, 2017",100.00,100.00,100.00,100.00,"13,000"
"Jul 13, 2017",100.00,100.00,100.00,100.00,"4,000"
"Jul 14, 2017",100.00,100.00,100.00,100.00,"13,000"
"Jul 17, 2017",100.11,100.11,100.11,100.11,"4,000"
"Jul 18, 2017",100.11,100.11,100.11,100.11,"10,000"
"Jul 19, 2017",100.11,100.11,100.11,100.11,0
"Jul 20, 2017",99.00,100.00,99.00,100.00,"21,000"
"Jul 21, 2017",99.50,100.00,99.50,100.00,"13,000"
"Jul 24, 2017",100.00,100.00,100.00,100.00,"4,000"
"Jul 25, 2017",100.51,100.51,100.00,100.50,"56,000"
"Jul 26, 2017",100.01,100.25,100.00,100.00,"13,000"
"Jul 27, 2017",100.00,100.00,100.00,100.00,"4,000"
"Jul 28, 2017",100.00,100.00,100.00,100.00,"8,000"
"Jul 31, 2017",100.01,100.01,100.00,100.00,"5,000"
"Aug 01, 2017",101.00,101.00,101.00,101.00,"10,000"
"Aug 02, 2017",101.00,101.00,101.00,101.00,0
"Aug 03, 2017",101.00,101.00,101.00,101.00,"20,000"
"Aug 04, 2017",101.00,101.00,101.00,101.00,0
"Aug 08, 2017",100.00,100.00,100.00,100.00,"5,000"
"Aug 09, 2017",100.01,100.01,100.00,100.00,"10,000"
"Aug 10, 2017",100.01,100.01,100.00,100.00,"5,000"
"Aug 11, 2017",100.51,100.51,100.00,100.00,"30,000"
"Aug 14, 2017",100.00,100.00,100.00,100.00,0
"Aug 15, 2017",99.90,99.90,99.90,99.90,"1,000"
"Aug 16, 2017",100.00,100.00,97.51,97.51,"7,000"
"Aug 17, 2017",99.99,100.01,98.01,98.01,"32,000"
"Aug 18, 2017",98.02,98.02,97.50,97.50,"91,000"
"Aug 21, 2017",97.50,97.50,97.50,97.50,0
"Aug 22, 2017",97.50,97.50,97.50,97.50,0
"Aug 23, 2017",97.50,97.50,97.50,97.50,0
"Aug 24, 2017",98.00,98.00,97.99,98.00,"21,000"
"Aug 25, 2017",98.00,98.00,98.00,98.00,0
"Aug 28, 2017",98.00,98.00,98.00,98.00,0
"Aug 29, 2017",99.26,99.26,99.00,99.00,"57,000"
"Aug 30, 2017",99.00,99.00,99.00,99.00,0
"Aug 31, 2017",99.00,99.00,99.00,99.00,0
"Sep 01, 2017",99.00,99.00,99.00,99.00,0
"Sep 05, 2017",99.00,99.00,99.00,99.00,"10,000"
"Sep 06, 2017",99.00,99.00,99.00,99.00,0
"Sep 07, 2017",99.00,99.00,99.00,99.00,0
"Sep 08, 2017",98.50,98.50,98.50,98.50,"24,000"
"Sep 11, 2017",98.50,98.50,98.50,98.50,0
"Sep 12, 2017",98.50,98.50,98.50,98.50,0
"Sep 13, 2017",98.50,98.50,98.50,98.50,0
"Sep 14, 2017",98.50,98.50,98.50,98.50,0
"Sep 15, 2017",98.50,98.50,98.50,98.50,0
"Sep 18, 2017",98.50,98.50,98.50,98.50,0
"Sep 19, 2017",98.50,98.50,98.50,98.50,0
"Sep 20, 2017",98.50,98.50,98.50,98.50,0
"Sep 21, 2017",99.00,99.00,99.00,99.00,"24,000"
"Sep 22, 2017",99.00,99.00,99.00,99.00,0
"Sep 25, 2017",99.00,99.00,99.00,99.00,0
"Sep 26, 2017",99.00,99.00,99.00,99.00,0
"Sep 27, 2017",99.00,99.00,99.00,99.00,"1,000"
"Sep 28, 2017",99.00,99.00,99.00,99.00,0
"Sep 29, 2017",99.00,99.00,99.00,99.00,"5,000"
"Oct 02, 2017",99.00,99.00,99.00,99.00,"12,000"
"Oct 03, 2017",99.00,99.00,99.00,99.00,0
"Oct 04, 2017",99.00,99.00,99.00,99.00,"8,000"
"Oct 05, 2017",99.00,99.00,99.00,99.00,0
"Oct 06, 2017",100.00,100.00,100.00,100.00,"5,000"
"Oct 10, 2017",100.00,100.00,100.00,100.00,"12,000"
"Oct 11, 2017",101.50,101.50,100.50,100.50,"37,000"
"Oct 12, 2017",100.75,100.75,100.75,100.75,"26,000"
"Oct 13, 2017",100.75,100.75,100.75,100.75,0
"Oct 16, 2017",100.75,100.75,100.75,100.75,0
"Oct 17, 2017",100.75,100.75,100.75,100.75,0
"Oct 18, 2017",100.75,100.75,100.75,100.75,0
"Oct 19, 2017",100.75,100.75,100.75,100.75,0
"Oct 20, 2017",100.75,100.75,100.75,100.75,0
"Oct 23, 2017",100.75,100.75,100.75,100.75,0
"Oct 24, 2017",100.75,100.75,100.75,100.75,0
"Oct 25, 2017",100.75,100.75,100.75,100.75,0
"Oct 26, 2017",100.75,100.75,100.75,100.75,0
"Oct 27, 2017",100.75,100.75,100.75,100.75,0
"Oct 30, 2017",100.74,100.75,100.74,100.75,"50,000"
"Oct 31, 2017",115.00,130.00,115.00,121.00,"236,000"
"Nov 01, 2017",120.00,120.00,120.00,120.00,"27,000"
"Nov 02, 2017",120.00,120.00,120.00,120.00,0
"Nov 03, 2017",115.00,117.00,115.00,117.00,"9,000"
"Nov 06, 2017",118.51,118.51,118.50,118.50,"26,000"
"Nov 07, 2017",118.50,118.50,118.50,118.50,0
"Nov 08, 2017",118.50,118.51,118.50,118.51,"6,000"
"Nov 09, 2017",124.00,124.00,124.00,124.00,"50,000"
"Nov 10, 2017",124.00,125.00,124.00,125.00,"33,000"
"Nov 13, 2017",125.00,125.00,125.00,125.00,0
"Nov 14, 2017",120.00,120.00,120.00,120.00,"52,000"
"Nov 15, 2017",122.99,125.00,122.99,125.00,"5,000"
"Nov 16, 2017",125.01,125.01,125.00,125.00,"7,000"
"Nov 17, 2017",134.99,134.99,134.99,134.99,"8,000"
"Nov 20, 2017",134.98,134.98,134.97,134.97,"18,000"
"Nov 21, 2017",130.00,145.00,130.00,145.00,"319,000"
"Nov 22, 2017",144.99,144.99,135.00,138.00,"46,000"
"Nov 23, 2017",138.00,138.00,138.00,138.00,0
"Nov 24, 2017",138.00,138.00,138.00,138.00,0
"Nov 27, 2017",120.00,120.00,120.00,120.00,"9,000"
"Nov 28, 2017",141.99,160.00,141.99,160.00,"23,000"
"Nov 29, 2017",160.00,168.00,150.00,150.00,"29,000"
"Nov 30, 2017",150.00,150.00,148.00,148.00,"85,000"
"Dec 01, 2017",149.00,150.00,145.00,145.00,"44,000"
"Dec 04, 2017",145.00,145.00,145.00,145.00,0
"Dec 05, 2017",150.00,150.00,150.00,150.00,"47,000"
"Dec 06, 2017",150.00,165.00,150.00,165.00,"181,000"
"Dec 07, 2017",160.00,163.00,158.00,158.00,"196,000"
"Dec 08, 2017",138.01,138.01,137.03,137.03,"12,000"
"Dec 11, 2017",143.99,154.00,143.99,152.00,"31,000"
"Dec 12, 2017",158.00,158.00,158.00,158.00,"25,000"
"Dec 13, 2017",158.00,158.00,158.00,158.00,0
"Dec 14, 2017",158.00,158.00,158.00,158.00,0
"Dec 15, 2017",158.00,158.00,158.00,158.00,0
"Dec 18, 2017",158.00,158.00,158.00,158.00,0
"Dec 19, 2017",137.03,137.03,136.10,136.10,"6,000"
"Dec 20, 2017",136.10,136.10,136.10,136.10,0
"Dec 21, 2017",136.10,136.10,136.10,136.10,0
"Dec 22, 2017",130.00,130.00,130.00,130.00,"1,000"
"Dec 27, 2017",130.00,130.00,130.00,130.00,0
"Dec 28, 2017",132.00,132.00,132.00,132.00,"1,000"
"Dec 29, 2017",123.00,123.00,120.00,120.11,"47,000"
"Jan 02, 2018",123.00,123.00,123.00,123.00,"12,000"
"Jan 03, 2018",123.00,123.00,123.00,123.00,0
"Jan 04, 2018",130.00,130.00,130.00,130.00,"70,000"
"Jan 05, 2018",130.00,130.00,130.00,130.00,0
"Jan 08, 2018",130.00,130.00,130.00,130.00,0
"Jan 09, 2018",130.00,130.00,130.00,130.00,"75,000"
"Jan 10, 2018",130.00,130.00,130.00,130.00,0
"Jan 11, 2018",130.00,130.00,130.00,130.00,0
