Date,Open,High,Low,Adj. Close,Volume
"Sep 07, 2016",0.00,0.00,0.00,0.00,0
"Sep 08, 2016",19.56,19.60,19.55,19.60,"7,452"
"Sep 09, 2016",19.44,19.44,19.39,19.39,850
"Sep 12, 2016",19.39,19.39,19.39,19.39,0
"Sep 13, 2016",19.39,19.39,19.39,19.39,0
"Sep 14, 2016",19.33,19.33,19.33,19.33,"2,260"
"Sep 15, 2016",19.41,19.42,19.40,19.40,774
"Sep 16, 2016",19.38,19.38,19.38,19.38,140
"Sep 19, 2016",19.48,19.50,19.48,19.48,736
"Sep 20, 2016",19.54,19.54,19.54,19.54,600
"Sep 21, 2016",19.66,19.66,19.64,19.64,425
"Sep 22, 2016",19.71,19.74,19.70,19.74,"6,382"
"Sep 23, 2016",19.83,19.83,19.83,19.83,800
"Sep 26, 2016",19.76,19.79,19.76,19.79,"1,912"
"Sep 27, 2016",19.84,19.84,19.84,19.84,"1,293"
"Sep 28, 2016",19.85,19.85,19.77,19.77,"3,222"
"Sep 29, 2016",19.70,19.73,19.68,19.68,"5,107"
"Sep 30, 2016",19.68,19.68,19.68,19.68,896
"Oct 03, 2016",19.65,19.66,19.63,19.63,"3,443"
"Oct 04, 2016",19.56,19.56,19.56,19.56,464
"Oct 05, 2016",19.56,19.56,19.56,19.56,0
"Oct 06, 2016",19.62,19.62,19.49,19.53,"7,595"
"Oct 07, 2016",19.49,19.49,19.49,19.49,400
"Oct 11, 2016",19.49,19.49,19.49,19.49,0
"Oct 12, 2016",19.29,19.29,19.29,19.29,151
"Oct 13, 2016",19.17,19.21,19.17,19.21,"1,558"
"Oct 14, 2016",19.13,19.13,19.07,19.07,"1,235"
"Oct 17, 2016",19.00,19.00,19.00,19.00,"3,303"
"Oct 18, 2016",19.22,19.26,19.22,19.26,"3,855"
"Oct 19, 2016",19.22,19.22,19.22,19.22,400
"Oct 20, 2016",19.34,19.40,19.34,19.39,"3,057"
"Oct 21, 2016",19.49,19.52,19.49,19.52,"1,916"
"Oct 24, 2016",19.70,19.70,19.57,19.67,"5,600"
"Oct 25, 2016",19.72,19.72,19.56,19.60,"10,803"
"Oct 26, 2016",19.56,19.56,19.56,19.56,"1,206"
"Oct 27, 2016",19.53,19.53,19.43,19.43,"1,088"
"Oct 28, 2016",19.45,19.52,19.44,19.44,"1,744"
"Oct 31, 2016",19.58,19.58,19.42,19.43,"3,844"
"Nov 01, 2016",19.40,19.42,19.35,19.40,"5,252"
"Nov 02, 2016",19.31,19.31,19.28,19.28,861
"Nov 03, 2016",19.22,19.22,19.22,19.22,114
"Nov 04, 2016",19.16,19.16,19.12,19.12,"2,271"
"Nov 07, 2016",19.36,19.43,19.36,19.43,"5,735"
"Nov 08, 2016",19.32,19.32,19.09,19.09,"2,232"
"Nov 09, 2016",19.42,19.42,19.42,19.42,260
"Nov 10, 2016",19.51,19.51,19.49,19.49,"2,556"
"Nov 11, 2016",19.44,19.51,19.43,19.51,"3,991"
"Nov 14, 2016",19.44,19.44,19.44,19.44,125
"Nov 15, 2016",19.41,19.41,19.41,19.41,924
"Nov 16, 2016",19.36,19.38,19.36,19.38,"1,935"
"Nov 17, 2016",19.51,19.51,19.51,19.51,359
"Nov 18, 2016",19.44,19.44,19.44,19.44,400
"Nov 21, 2016",19.41,19.41,19.41,19.41,180
"Nov 22, 2016",19.46,19.54,19.46,19.53,"8,780"
"Nov 23, 2016",19.50,19.50,19.50,19.50,400
"Nov 24, 2016",19.47,19.50,19.47,19.50,"2,200"
"Nov 25, 2016",19.50,19.50,19.50,19.50,0
"Nov 28, 2016",19.55,19.55,19.44,19.52,"8,190"
"Nov 29, 2016",19.60,19.60,19.50,19.50,"1,425"
"Nov 30, 2016",19.46,19.46,19.35,19.38,"3,041"
"Dec 01, 2016",19.18,19.20,19.12,19.20,"8,133"
"Dec 02, 2016",19.06,19.15,19.06,19.15,"5,093"
"Dec 05, 2016",19.10,19.16,19.10,19.16,"1,350"
"Dec 06, 2016",19.20,19.21,19.18,19.21,"2,013"
"Dec 07, 2016",19.21,19.34,19.18,19.34,"11,974"
"Dec 08, 2016",19.27,19.27,19.26,19.26,"3,616"
"Dec 09, 2016",19.30,19.32,19.30,19.31,"1,548"
"Dec 12, 2016",19.26,19.33,19.26,19.33,"2,600"
"Dec 13, 2016",19.47,19.51,19.47,19.51,"7,406"
"Dec 14, 2016",19.36,19.36,19.35,19.36,"1,800"
"Dec 15, 2016",19.49,19.49,19.45,19.45,"1,100"
"Dec 16, 2016",19.44,19.57,19.42,19.57,"7,176"
"Dec 19, 2016",19.59,19.66,19.59,19.66,"6,191"
"Dec 20, 2016",19.56,19.57,19.56,19.57,200
"Dec 21, 2016",19.57,19.57,19.57,19.57,88
"Dec 22, 2016",19.59,19.59,19.59,19.59,100
"Dec 23, 2016",19.59,19.59,19.59,19.59,0
"Dec 28, 2016",19.72,19.72,19.72,19.72,"2,582"
"Dec 29, 2016",19.72,19.72,19.72,19.72,"2,513"
"Dec 30, 2016",19.62,19.62,19.58,19.58,"2,732"
"Jan 03, 2017",19.58,19.58,19.58,19.58,0
"Jan 04, 2017",19.73,19.73,19.73,19.73,801
"Jan 05, 2017",19.77,19.82,19.59,19.69,"2,230"
"Jan 06, 2017",19.69,19.70,19.67,19.69,"4,655"
"Jan 09, 2017",19.65,19.72,19.65,19.72,"3,720"
"Jan 10, 2017",19.71,19.72,19.71,19.72,300
"Jan 11, 2017",19.58,19.58,19.58,19.58,200
"Jan 12, 2017",19.54,19.54,19.47,19.47,"3,000"
"Jan 13, 2017",19.46,19.61,19.46,19.61,600
"Jan 16, 2017",19.61,19.61,19.61,19.61,0
"Jan 17, 2017",19.61,19.61,19.61,19.61,0
"Jan 18, 2017",19.61,19.61,19.61,19.61,0
"Jan 19, 2017",19.61,19.61,19.61,19.61,0
"Jan 20, 2017",19.67,19.83,19.67,19.83,"2,900"
"Jan 23, 2017",19.74,19.74,19.74,19.74,"2,378"
"Jan 24, 2017",19.67,19.68,19.66,19.68,"1,856"
"Jan 25, 2017",19.66,19.66,19.66,19.66,"3,012"
"Jan 26, 2017",19.66,19.66,19.66,19.66,"1,200"
"Jan 27, 2017",19.66,19.66,19.66,19.66,18
"Jan 30, 2017",19.66,19.66,19.66,19.66,0
"Jan 31, 2017",19.66,19.66,19.66,19.66,0
"Feb 01, 2017",19.66,19.66,19.66,19.66,30
"Feb 02, 2017",19.66,19.66,19.66,19.66,34
"Feb 03, 2017",19.64,19.66,19.64,19.66,"2,400"
"Feb 06, 2017",19.66,19.66,19.66,19.66,71
"Feb 07, 2017",19.80,19.81,19.78,19.81,"3,336"
"Feb 08, 2017",19.81,19.81,19.81,19.81,0
"Feb 09, 2017",19.97,19.97,19.96,19.96,500
"Feb 10, 2017",19.92,19.92,19.86,19.86,"4,821"
"Feb 13, 2017",19.98,19.98,19.98,19.98,"1,050"
"Feb 14, 2017",19.93,19.97,19.93,19.97,750
"Feb 15, 2017",19.97,19.97,19.97,19.97,0
"Feb 16, 2017",19.97,19.97,19.97,19.97,0
"Feb 17, 2017",20.12,20.12,20.12,20.12,862
"Feb 21, 2017",20.12,20.23,20.12,20.22,"6,233"
"Feb 22, 2017",20.22,20.22,20.22,20.22,18
"Feb 23, 2017",20.18,20.19,20.18,20.19,837
"Feb 24, 2017",20.19,20.19,20.19,20.19,0
"Feb 27, 2017",20.15,20.17,20.15,20.17,"5,223"
"Feb 28, 2017",20.29,20.32,20.29,20.32,"3,433"
"Mar 01, 2017",20.56,20.56,20.56,20.56,428
"Mar 02, 2017",20.46,20.56,20.46,20.56,799
"Mar 03, 2017",20.53,20.53,20.52,20.52,"1,451"
"Mar 06, 2017",20.39,20.46,20.39,20.45,"22,806"
"Mar 07, 2017",20.40,20.40,20.40,20.40,345
"Mar 08, 2017",20.40,20.40,20.40,20.40,92
"Mar 09, 2017",20.40,20.40,20.40,20.40,19
"Mar 10, 2017",20.49,20.49,20.44,20.44,"3,747"
"Mar 13, 2017",20.55,20.61,20.55,20.61,"4,700"
"Mar 14, 2017",20.50,20.50,20.50,20.50,475
"Mar 15, 2017",20.51,20.51,20.47,20.47,"2,048"
"Mar 16, 2017",20.47,20.47,20.47,20.47,0
"Mar 17, 2017",20.54,20.54,20.54,20.54,"1,100"
"Mar 20, 2017",20.54,20.56,20.49,20.49,"3,145"
"Mar 21, 2017",20.30,20.30,20.30,20.30,230
"Mar 22, 2017",20.30,20.30,20.30,20.30,0
"Mar 23, 2017",20.30,20.30,20.30,20.30,0
"Mar 24, 2017",20.30,20.30,20.30,20.30,0
"Mar 27, 2017",20.48,20.50,20.48,20.50,694
"Mar 28, 2017",20.62,20.63,20.62,20.63,"5,400"
"Mar 29, 2017",20.60,20.60,20.60,20.60,"2,582"
"Mar 30, 2017",20.53,20.54,20.53,20.54,"3,500"
"Mar 31, 2017",20.51,20.51,20.51,20.51,100
"Apr 03, 2017",20.51,20.51,20.51,20.51,0
"Apr 04, 2017",20.64,20.64,20.63,20.64,"6,000"
"Apr 05, 2017",20.68,20.68,20.68,20.68,"1,000"
"Apr 06, 2017",20.54,20.62,20.54,20.61,"16,462"
"Apr 07, 2017",20.56,20.60,20.56,20.60,"4,875"
"Apr 10, 2017",20.51,20.51,20.51,20.51,"2,596"
"Apr 11, 2017",20.44,20.60,20.44,20.53,"18,225"
"Apr 12, 2017",20.40,20.47,20.40,20.43,"13,540"
"Apr 13, 2017",20.37,20.46,20.37,20.43,"4,339"
"Apr 17, 2017",20.39,20.53,20.39,20.53,"14,935"
"Apr 18, 2017",20.52,20.58,20.52,20.56,"4,709"
"Apr 19, 2017",20.71,20.71,20.71,20.71,"8,136"
"Apr 20, 2017",20.71,20.71,20.71,20.71,0
"Apr 21, 2017",20.89,20.89,20.89,20.89,380
"Apr 24, 2017",20.92,21.09,20.92,21.09,"10,933"
"Apr 25, 2017",21.09,21.09,21.09,21.09,0
"Apr 26, 2017",21.31,21.31,21.31,21.31,807
"Apr 27, 2017",21.31,21.31,21.31,21.31,31
"Apr 28, 2017",21.31,21.31,21.31,21.31,0
"May 01, 2017",21.41,21.48,21.41,21.48,"6,300"
"May 02, 2017",21.48,21.48,21.48,21.48,85
"May 03, 2017",21.48,21.48,21.48,21.48,50
"May 04, 2017",21.56,21.56,21.56,21.56,500
"May 05, 2017",21.52,21.58,21.52,21.58,"6,650"
"May 08, 2017",21.60,21.60,21.60,21.60,"1,100"
"May 09, 2017",21.63,21.63,21.59,21.60,"6,658"
"May 10, 2017",21.60,21.60,21.60,21.60,"1,052"
"May 11, 2017",21.55,21.55,21.55,21.55,"2,222"
"May 12, 2017",21.59,21.61,21.58,21.61,"3,833"
"May 15, 2017",21.59,21.65,21.59,21.65,"17,120"
"May 16, 2017",21.61,21.66,21.52,21.54,"6,800"
"May 17, 2017",21.56,21.62,21.38,21.44,"5,509"
"May 18, 2017",21.39,21.42,21.36,21.39,"5,470"
"May 19, 2017",21.36,21.36,21.36,21.36,500
"May 23, 2017",21.39,21.47,21.36,21.36,"2,200"
"May 24, 2017",21.42,21.42,21.32,21.32,"1,226"
"May 25, 2017",21.32,21.32,21.32,21.32,0
"May 26, 2017",21.48,21.48,21.46,21.46,"5,200"
"May 29, 2017",21.52,21.52,21.52,21.52,"3,890"
"May 30, 2017",21.48,21.48,21.48,21.48,530
"May 31, 2017",21.55,21.58,21.55,21.58,"1,091"
"Jun 01, 2017",21.79,21.79,21.79,21.79,551
"Jun 02, 2017",21.85,21.88,21.85,21.88,"3,335"
"Jun 05, 2017",21.83,21.83,21.83,21.83,562
"Jun 06, 2017",21.76,21.76,21.69,21.69,"5,100"
"Jun 07, 2017",21.81,21.81,21.81,21.81,"1,300"
"Jun 08, 2017",21.78,21.84,21.78,21.78,"4,600"
"Jun 09, 2017",21.67,21.67,21.66,21.66,"1,800"
"Jun 12, 2017",21.57,21.57,21.57,21.57,"2,546"
"Jun 13, 2017",21.40,21.41,21.40,21.41,"2,575"
"Jun 14, 2017",21.42,21.42,21.41,21.41,"2,225"
"Jun 15, 2017",21.31,21.35,21.31,21.35,"5,300"
"Jun 16, 2017",21.22,21.24,21.22,21.24,"1,040"
"Jun 19, 2017",21.39,21.39,21.34,21.37,"7,672"
"Jun 20, 2017",21.40,21.40,21.40,21.40,"1,700"
"Jun 21, 2017",21.44,21.44,21.44,21.44,770
"Jun 22, 2017",21.38,21.38,21.34,21.34,"1,550"
"Jun 23, 2017",21.40,21.41,21.40,21.41,"5,820"
"Jun 26, 2017",21.31,21.31,21.31,21.31,"1,750"
"Jun 27, 2017",21.33,21.33,21.33,21.33,452
"Jun 28, 2017",21.02,21.05,21.02,21.02,"6,366"
"Jun 29, 2017",20.78,20.78,20.78,20.78,555
"Jun 30, 2017",20.78,20.78,20.78,20.78,0
"Jul 04, 2017",20.67,20.72,20.66,20.72,"1,874"
"Jul 05, 2017",20.72,20.72,20.72,20.72,0
"Jul 06, 2017",20.51,20.51,20.51,20.51,"2,577"
"Jul 07, 2017",20.42,20.45,20.42,20.45,"2,607"
"Jul 10, 2017",20.56,20.56,20.56,20.56,240
"Jul 11, 2017",20.56,20.56,20.56,20.56,50
"Jul 12, 2017",20.40,20.40,20.39,20.39,"1,400"
"Jul 13, 2017",20.42,20.42,20.41,20.41,"1,800"
"Jul 14, 2017",20.41,20.41,20.41,20.41,105
"Jul 17, 2017",20.46,20.47,20.46,20.47,"2,289"
"Jul 18, 2017",20.46,20.46,20.40,20.40,"1,270"
"Jul 19, 2017",20.50,20.50,20.50,20.50,688
"Jul 20, 2017",20.50,20.50,20.50,20.50,149
"Jul 21, 2017",20.47,20.47,20.47,20.47,"2,930"
"Jul 24, 2017",20.38,20.39,20.38,20.39,400
"Jul 25, 2017",20.44,20.44,20.40,20.40,600
"Jul 26, 2017",20.37,20.37,20.37,20.37,"1,264"
"Jul 27, 2017",20.41,20.41,20.41,20.41,"29,779"
"Jul 28, 2017",20.26,20.26,20.26,20.26,"2,300"
"Jul 31, 2017",20.38,20.38,20.30,20.30,"2,800"
"Aug 01, 2017",20.50,20.50,20.50,20.50,484
"Aug 02, 2017",20.54,20.54,20.54,20.54,225
"Aug 03, 2017",20.53,20.53,20.53,20.53,500
"Aug 04, 2017",20.59,20.64,20.59,20.64,"2,136"
"Aug 08, 2017",20.74,20.74,20.58,20.58,"5,197"
"Aug 09, 2017",20.60,20.60,20.60,20.60,285
"Aug 10, 2017",20.60,20.60,20.60,20.60,"1,437"
"Aug 11, 2017",20.43,20.43,20.43,20.43,"1,600"
"Aug 14, 2017",20.43,20.43,20.43,20.43,0
"Aug 15, 2017",20.43,20.43,20.43,20.43,113
"Aug 16, 2017",20.63,20.63,20.52,20.52,390
"Aug 17, 2017",20.52,20.52,20.52,20.52,0
"Aug 18, 2017",20.52,20.52,20.52,20.52,74
"Aug 21, 2017",20.52,20.52,20.52,20.52,79
"Aug 22, 2017",20.33,20.34,20.33,20.34,487
"Aug 23, 2017",20.30,20.30,20.30,20.30,"2,804"
"Aug 24, 2017",20.30,20.30,20.30,20.30,0
"Aug 25, 2017",20.21,20.21,20.21,20.21,200
"Aug 28, 2017",20.22,20.22,20.22,20.22,900
"Aug 29, 2017",20.30,20.30,20.30,20.30,"1,895"
"Aug 30, 2017",20.50,20.50,20.50,20.50,"1,500"
"Aug 31, 2017",20.43,20.43,20.43,20.43,700
"Sep 01, 2017",20.40,20.40,20.31,20.38,"7,900"
"Sep 05, 2017",20.38,20.38,20.38,20.38,0
"Sep 06, 2017",20.03,20.03,19.95,20.01,"5,200"
"Sep 07, 2017",19.92,19.92,19.92,19.92,236
"Sep 08, 2017",19.89,19.89,19.89,19.89,130
"Sep 11, 2017",19.91,20.07,19.91,20.03,"3,901"
"Sep 12, 2017",20.17,20.19,20.17,20.19,"3,100"
"Sep 13, 2017",20.17,20.17,20.17,20.17,"2,100"
"Sep 14, 2017",20.18,20.18,20.18,20.18,"1,694"
"Sep 15, 2017",20.18,20.18,20.18,20.18,0
"Sep 18, 2017",20.24,20.24,20.24,20.24,0
"Sep 19, 2017",20.35,20.35,20.33,20.34,"3,700"
"Sep 20, 2017",20.35,20.35,20.35,20.35,158
"Sep 21, 2017",20.36,20.36,20.36,20.36,"1,300"
"Sep 22, 2017",20.36,20.36,20.36,20.36,115
"Sep 25, 2017",20.36,20.36,20.36,20.36,777
"Sep 26, 2017",20.36,20.36,20.36,20.36,0
"Sep 27, 2017",20.37,20.59,20.37,20.59,"1,500"
"Sep 28, 2017",20.54,20.54,20.54,20.54,"3,500"
"Sep 29, 2017",20.54,20.54,20.54,20.54,0
"Oct 02, 2017",20.78,20.82,20.78,20.82,"2,500"
"Oct 03, 2017",20.83,20.84,20.83,20.84,"1,200"
"Oct 04, 2017",20.84,20.84,20.84,20.84,0
"Oct 05, 2017",20.84,20.84,20.84,20.84,0
"Oct 06, 2017",20.84,20.84,20.84,20.84,0
"Oct 10, 2017",21.07,21.07,20.98,20.99,"2,100"
"Oct 11, 2017",21.02,21.02,20.95,20.95,"29,652"
"Oct 12, 2017",21.01,21.01,20.98,20.98,"1,800"
"Oct 13, 2017",21.13,21.13,21.13,21.13,"1,836"
"Oct 16, 2017",21.12,21.14,21.11,21.11,"123,100"
"Oct 17, 2017",21.10,21.10,21.06,21.07,"6,000"
"Oct 18, 2017",21.06,21.08,21.06,21.08,"2,300"
"Oct 19, 2017",21.08,21.08,21.08,21.08,49
"Oct 20, 2017",21.22,21.26,21.22,21.26,"1,800"
"Oct 23, 2017",21.34,21.34,21.34,21.34,"2,639"
"Oct 24, 2017",21.17,21.34,21.17,21.34,"5,200"
"Oct 25, 2017",21.23,21.23,21.23,21.23,"2,500"
"Oct 26, 2017",21.45,21.46,21.45,21.46,"2,576"
"Oct 27, 2017",21.59,21.59,21.59,21.59,"1,311"
"Oct 30, 2017",21.59,21.59,21.59,21.59,800
"Oct 31, 2017",21.68,21.78,21.68,21.78,"8,924"
"Nov 01, 2017",21.75,21.75,21.70,21.70,"3,200"
"Nov 02, 2017",21.61,21.61,21.61,21.61,"1,100"
"Nov 03, 2017",21.56,21.56,21.56,21.56,700
"Nov 06, 2017",21.62,21.62,21.53,21.53,"2,292"
"Nov 07, 2017",21.72,21.72,21.65,21.65,"3,957"
"Nov 08, 2017",21.59,21.59,21.59,21.59,"1,000"
"Nov 09, 2017",21.59,21.59,21.59,21.59,0
"Nov 10, 2017",21.59,21.59,21.59,21.59,0
"Nov 13, 2017",21.59,21.59,21.59,21.59,0
"Nov 14, 2017",21.45,21.50,21.45,21.50,"1,600"
"Nov 15, 2017",21.50,21.50,21.50,21.50,0
"Nov 16, 2017",21.55,21.55,21.55,21.55,130
"Nov 17, 2017",21.55,21.55,21.55,21.55,0
"Nov 20, 2017",21.76,21.76,21.71,21.71,"6,379"
"Nov 21, 2017",21.83,21.85,21.83,21.85,"2,233"
"Nov 22, 2017",21.70,21.78,21.70,21.78,"7,743"
"Nov 23, 2017",21.82,21.89,21.82,21.89,"2,200"
"Nov 24, 2017",21.86,21.86,21.85,21.85,"2,800"
"Nov 27, 2017",21.85,21.85,21.85,21.85,193
"Nov 28, 2017",21.85,21.85,21.85,21.85,0
"Nov 29, 2017",22.09,22.09,22.09,22.09,919
"Nov 30, 2017",22.43,22.45,22.37,22.37,"3,276"
"Dec 01, 2017",22.26,22.26,21.85,21.85,"5,100"
"Dec 04, 2017",21.85,21.85,21.85,21.85,27
"Dec 05, 2017",21.89,21.89,21.89,21.89,"2,381"
"Dec 06, 2017",22.06,22.06,22.06,22.06,"1,500"
"Dec 07, 2017",22.06,22.06,22.06,22.06,0
"Dec 08, 2017",22.06,22.06,22.06,22.06,0
"Dec 11, 2017",22.41,22.41,22.41,22.41,830
"Dec 12, 2017",22.41,22.41,22.41,22.41,0
"Dec 13, 2017",22.41,22.41,22.41,22.41,0
"Dec 14, 2017",22.17,22.17,22.17,22.17,976
"Dec 15, 2017",22.17,22.17,22.17,22.17,175
"Dec 18, 2017",22.68,22.68,22.68,22.68,"3,105"
"Dec 19, 2017",22.68,22.68,22.68,22.68,260
"Dec 20, 2017",22.42,22.42,22.42,22.42,730
"Dec 21, 2017",22.42,22.42,22.42,22.42,"2,600"
"Dec 22, 2017",22.42,22.42,22.42,22.42,0
"Dec 27, 2017",22.39,22.39,22.35,22.35,970
"Dec 28, 2017",22.35,22.35,22.24,22.24,"8,700"
"Dec 29, 2017",22.22,22.22,22.22,22.22,698
"Jan 02, 2018",22.27,22.28,22.27,22.28,"1,260"
"Jan 03, 2018",22.15,22.50,22.15,22.50,"8,026"
"Jan 04, 2018",22.57,22.57,22.44,22.49,"3,576"
"Jan 05, 2018",22.34,22.34,22.34,22.34,400
"Jan 08, 2018",22.45,22.45,22.45,22.45,"1,100"
"Jan 09, 2018",22.45,22.45,22.45,22.45,0
"Jan 10, 2018",22.45,22.45,22.45,22.45,0
"Jan 11, 2018",22.82,22.83,22.82,22.83,"1,735"
"Jan 12, 2018",22.87,22.90,22.87,22.90,"1,000"
"Jan 15, 2018",22.84,22.84,22.84,22.84,"2,700"
"Jan 16, 2018",22.91,22.91,22.91,22.91,550
"Jan 17, 2018",22.84,22.86,22.82,22.86,"1,620"
"Jan 18, 2018",22.88,22.88,22.77,22.77,"3,580"
"Jan 19, 2018",23.07,23.15,23.07,23.15,900
"Jan 22, 2018",23.15,23.15,23.15,23.15,64
"Jan 23, 2018",23.23,23.37,23.21,23.37,"8,841"
"Jan 24, 2018",23.37,23.37,23.37,23.37,85
