Date,Open,High,Low,Adj. Close,Volume
"Jun 13, 2016",22.01,22.36,21.98,22.33,"1,508,057"
"Jun 14, 2016",22.33,22.34,22.22,22.22,"156,503"
"Jun 15, 2016",22.25,22.25,22.20,22.20,"79,035"
"Jun 16, 2016",22.18,22.23,22.12,22.18,"145,728"
"Jun 17, 2016",22.21,22.21,22.17,22.17,"55,001"
"Jun 20, 2016",22.19,22.23,22.18,22.20,"350,040"
"Jun 21, 2016",22.21,22.29,22.21,22.26,"56,903"
"Jun 22, 2016",22.27,22.35,22.25,22.35,"139,496"
"Jun 23, 2016",22.35,22.39,22.35,22.39,"28,076"
"Jun 24, 2016",22.28,22.41,22.28,22.37,"134,570"
"Jun 27, 2016",22.37,22.39,22.32,22.35,"65,236"
"Jun 28, 2016",22.36,22.37,22.35,22.36,"36,935"
"Jun 29, 2016",22.35,22.37,22.34,22.36,"60,027"
"Jun 30, 2016",22.37,22.44,22.35,22.40,"59,639"
"Jul 04, 2016",22.42,23.44,22.42,22.66,"74,665"
"Jul 05, 2016",22.59,22.60,22.57,22.58,"150,317"
"Jul 06, 2016",22.62,22.66,22.58,22.61,"107,191"
"Jul 07, 2016",22.64,22.78,22.59,22.78,"224,181"
"Jul 08, 2016",22.78,22.78,22.70,22.75,"103,921"
"Jul 11, 2016",22.84,22.84,22.75,22.80,"20,728"
"Jul 12, 2016",22.84,22.88,22.83,22.85,"84,000"
"Jul 13, 2016",22.85,22.87,22.84,22.85,"14,365"
"Jul 14, 2016",22.86,22.86,22.84,22.84,"20,377"
"Jul 15, 2016",22.84,22.85,22.72,22.84,"213,280"
"Jul 18, 2016",22.79,22.79,22.71,22.71,"29,892"
"Jul 19, 2016",22.74,22.78,22.69,22.77,"152,277"
"Jul 20, 2016",22.79,22.82,22.78,22.79,"8,647"
"Jul 21, 2016",22.82,22.84,22.80,22.84,"11,745"
"Jul 22, 2016",22.85,22.88,22.84,22.85,"65,811"
"Jul 25, 2016",22.85,22.88,22.83,22.84,"94,134"
"Jul 26, 2016",22.85,22.86,22.79,22.86,"33,050"
"Jul 27, 2016",22.84,22.89,22.84,22.89,"5,000"
"Jul 28, 2016",22.89,22.96,22.85,22.96,"10,934"
"Jul 29, 2016",22.92,23.05,22.90,22.92,"4,800"
"Aug 02, 2016",22.96,23.05,22.96,23.05,"7,354"
"Aug 03, 2016",23.01,23.01,22.98,23.01,"5,350"
"Aug 04, 2016",23.01,23.06,22.99,23.06,"8,746"
"Aug 05, 2016",23.05,23.11,23.05,23.11,"55,190"
"Aug 08, 2016",23.10,23.27,23.10,23.27,"4,232"
