Date,Open,High,Low,Adj. Close,Volume
"Jan 02, 2001",3.95,3.95,3.85,3.85,"2,800"
"Jan 03, 2001",4.40,4.40,3.90,3.95,"2,200"
"Jan 04, 2001",3.95,4.15,3.95,4.00,"5,000"
"Jan 05, 2001",4.05,4.35,4.05,4.35,"3,900"
"Jan 08, 2001",4.34,4.35,4.25,4.35,"12,400"
"Jan 09, 2001",4.40,4.45,4.35,4.35,"18,600"
"Jan 10, 2001",4.45,4.45,4.25,4.25,"3,200"
"Jan 11, 2001",4.40,4.40,4.26,4.39,"15,300"
"Jan 12, 2001",4.25,4.50,4.25,4.40,"8,200"
"Jan 15, 2001",4.35,4.50,4.35,4.50,"12,900"
"Jan 16, 2001",4.50,4.50,4.40,4.40,"25,500"
"Jan 17, 2001",4.50,4.60,4.48,4.59,"60,600"
"Jan 18, 2001",4.60,4.90,4.60,4.70,"82,200"
"Jan 19, 2001",4.80,4.85,4.66,4.66,"15,700"
"Jan 22, 2001",4.75,5.00,4.75,4.90,"40,000"
"Jan 23, 2001",5.25,5.25,4.85,4.90,"24,700"
"Jan 24, 2001",4.90,4.90,4.75,4.80,"22,200"
"Jan 25, 2001",4.75,4.85,4.75,4.80,"10,700"
"Jan 26, 2001",4.76,4.80,4.75,4.75,"13,200"
"Jan 29, 2001",4.70,5.00,4.50,5.00,"21,000"
"Jan 30, 2001",4.80,5.00,4.52,4.76,"317,900"
"Jan 31, 2001",4.70,4.70,4.70,4.70,"2,500"
"Feb 01, 2001",4.70,4.80,4.36,4.45,"23,700"
"Feb 02, 2001",4.49,4.62,4.49,4.62,"3,700"
"Feb 05, 2001",4.51,4.51,4.10,4.36,"16,800"
"Feb 06, 2001",4.25,4.30,4.10,4.25,"10,200"
"Feb 07, 2001",4.25,4.25,4.25,4.25,300
"Feb 08, 2001",4.25,4.43,4.25,4.43,"2,500"
"Feb 09, 2001",4.40,4.40,4.35,4.35,"2,000"
"Feb 12, 2001",4.30,4.50,4.30,4.40,"16,600"
"Feb 13, 2001",4.50,4.50,4.40,4.40,"9,000"
"Feb 14, 2001",4.35,4.35,4.25,4.30,"8,800"
"Feb 15, 2001",4.35,4.35,4.05,4.21,"12,000"
"Feb 16, 2001",4.17,4.33,4.17,4.33,"2,900"
"Feb 19, 2001",4.33,4.33,4.33,4.33,"4,300"
"Feb 20, 2001",4.30,4.50,4.30,4.50,"1,900"
"Feb 21, 2001",4.32,4.45,4.32,4.32,"22,400"
"Feb 22, 2001",4.30,4.40,4.30,4.40,"4,700"
"Feb 23, 2001",4.60,4.60,4.35,4.45,"3,800"
"Feb 26, 2001",4.50,4.80,4.50,4.60,"12,100"
"Feb 27, 2001",5.00,5.00,4.65,4.75,"10,800"
"Feb 28, 2001",4.70,4.80,4.70,4.80,"6,400"
"Mar 01, 2001",4.95,5.00,4.81,4.81,"9,000"
"Mar 02, 2001",4.90,5.00,4.70,4.70,"15,000"
"Mar 05, 2001",4.95,4.95,4.65,4.76,"7,400"
"Mar 06, 2001",4.85,4.85,4.65,4.65,"15,500"
"Mar 07, 2001",4.56,4.65,4.50,4.53,"15,700"
"Mar 08, 2001",4.75,4.75,4.45,4.65,"15,100"
"Mar 09, 2001",4.75,5.00,4.70,4.75,"34,300"
"Mar 12, 2001",4.75,4.75,4.60,4.65,"14,800"
"Mar 13, 2001",4.65,4.66,4.51,4.66,"6,400"
"Mar 14, 2001",5.00,5.00,4.50,4.65,"9,300"
"Mar 15, 2001",4.50,4.55,4.45,4.50,"20,200"
"Mar 16, 2001",4.65,4.65,4.35,4.36,"38,100"
"Mar 19, 2001",4.37,4.57,4.26,4.38,"22,000"
"Mar 20, 2001",4.40,4.50,4.26,4.26,"3,200"
"Mar 21, 2001",4.50,4.50,4.10,4.34,"19,800"
"Mar 22, 2001",4.40,4.40,4.05,4.05,"7,700"
"Mar 23, 2001",4.05,4.12,4.05,4.12,"2,200"
"Mar 26, 2001",4.33,4.33,4.10,4.33,"2,600"
"Mar 27, 2001",4.55,4.55,4.10,4.13,"17,800"
"Mar 28, 2001",4.13,4.13,4.00,4.00,"11,600"
"Mar 29, 2001",3.82,4.25,3.82,4.25,"10,000"
"Mar 30, 2001",3.85,4.10,3.85,4.05,"8,100"
"Apr 02, 2001",3.95,4.05,3.90,4.00,"20,200"
"Apr 03, 2001",4.00,4.10,3.90,4.10,"20,400"
"Apr 04, 2001",4.10,4.19,3.90,4.10,"23,100"
"Apr 05, 2001",3.91,4.20,3.90,3.90,"13,700"
"Apr 06, 2001",3.91,4.20,3.91,4.00,"9,800"
"Apr 09, 2001",4.39,4.39,4.00,4.00,"2,300"
"Apr 10, 2001",4.00,4.10,4.00,4.05,"2,200"
"Apr 11, 2001",4.00,4.05,4.00,4.00,"3,500"
"Apr 12, 2001",4.01,4.01,3.91,3.91,"6,700"
"Apr 16, 2001",3.95,4.34,3.95,4.27,"9,600"
"Apr 17, 2001",4.35,4.35,4.05,4.05,"9,600"
"Apr 18, 2001",4.24,4.24,4.06,4.06,"5,700"
"Apr 19, 2001",4.06,4.25,4.05,4.25,"12,200"
"Apr 20, 2001",4.42,4.42,4.10,4.27,"9,000"
"Apr 23, 2001",4.27,4.27,4.05,4.05,"5,100"
"Apr 24, 2001",4.20,4.26,4.20,4.20,"12,600"
"Apr 25, 2001",4.34,4.40,4.25,4.25,"13,200"
"Apr 26, 2001",4.25,4.25,4.15,4.20,"3,200"
"Apr 27, 2001",4.25,4.47,4.25,4.25,"32,100"
"Apr 30, 2001",4.40,4.40,4.23,4.25,"17,000"
"May 01, 2001",4.06,4.50,4.06,4.20,"12,800"
"May 02, 2001",4.25,4.27,4.25,4.25,"30,300"
"May 03, 2001",4.25,4.25,4.15,4.25,"92,000"
"May 04, 2001",4.25,4.25,4.25,4.25,"3,000"
"May 07, 2001",4.25,4.25,4.25,4.25,"10,400"
"May 08, 2001",4.25,4.25,4.25,4.25,"35,700"
"May 09, 2001",4.50,4.60,4.25,4.55,"162,300"
"May 10, 2001",4.60,4.84,4.55,4.60,"35,800"
"May 11, 2001",4.65,4.65,4.55,4.55,"17,100"
"May 14, 2001",4.55,4.65,4.50,4.50,"76,000"
"May 15, 2001",4.40,4.66,4.40,4.66,"55,200"
"May 16, 2001",4.66,4.95,4.66,4.90,"62,800"
"May 17, 2001",5.10,5.25,4.85,5.25,"46,600"
"May 18, 2001",5.50,5.75,5.00,5.75,"98,900"
"May 22, 2001",5.75,5.75,5.08,5.22,"93,500"
"May 23, 2001",5.29,5.29,5.08,5.27,"26,200"
