Date,Open,High,Low,Adj. Close,Volume
"Jan 24, 2018",0.00,0.00,0.00,0.00,0
"Jan 25, 2018",96.49,96.49,96.47,96.47,"5,000"
"Jan 26, 2018",96.47,96.47,96.47,96.47,0
"Jan 29, 2018",96.47,96.47,96.47,96.47,20
"Jan 30, 2018",96.47,96.47,96.47,96.47,0
"Jan 31, 2018",95.13,95.13,95.13,95.13,"5,000"
"Feb 01, 2018",95.05,95.13,95.05,95.05,0
"Feb 02, 2018",94.13,94.13,93.23,93.23,"5,000"
"Feb 05, 2018",91.81,91.81,91.37,91.71,"35,000"
"Feb 06, 2018",91.71,91.71,91.71,91.71,0
"Feb 07, 2018",91.65,91.66,91.65,91.66,"4,400"
"Feb 08, 2018",91.01,91.01,89.68,89.68,"13,000"
"Feb 09, 2018",89.68,89.68,89.68,89.68,30
"Feb 12, 2018",90.89,90.89,90.69,90.69,"6,800"
"Feb 13, 2018",90.69,90.69,90.69,90.69,0
"Feb 14, 2018",91.42,91.42,91.42,91.42,"2,300"
"Feb 15, 2018",91.42,91.42,91.42,91.42,0
"Feb 16, 2018",91.42,91.42,91.42,91.42,0
"Feb 20, 2018",92.02,92.02,91.85,91.85,"5,100"
"Feb 21, 2018",93.02,93.04,93.02,93.02,"3,600"
"Feb 22, 2018",92.62,92.62,92.60,92.60,"5,000"
"Feb 23, 2018",92.88,92.88,92.60,92.88,0
"Feb 26, 2018",93.83,93.83,93.83,93.83,"2,400"
"Feb 27, 2018",93.61,93.83,93.61,93.61,0
"Feb 28, 2018",93.83,93.83,93.83,93.83,0
"Mar 01, 2018",92.50,92.50,91.74,91.75,700
"Mar 02, 2018",91.75,91.75,91.75,91.75,0
"Mar 05, 2018",92.61,92.78,92.61,92.77,"7,100"
"Mar 06, 2018",92.77,92.77,92.77,92.77,0
"Mar 07, 2018",92.77,92.77,92.77,92.77,0
"Mar 08, 2018",92.77,92.77,92.77,92.77,0
"Mar 09, 2018",93.08,93.08,93.08,93.08,"2,500"
"Mar 12, 2018",93.08,93.08,93.08,93.08,0
"Mar 13, 2018",93.08,93.08,93.08,93.08,0
"Mar 14, 2018",93.08,93.08,93.08,93.08,0
"Mar 15, 2018",93.08,93.08,93.08,93.08,0
"Mar 16, 2018",93.08,93.08,93.08,93.08,0
"Mar 19, 2018",93.28,93.28,93.28,93.28,0
"Mar 20, 2018",93.28,93.28,93.28,93.28,0
