Date,Open,High,Low,Adj. Close,Volume
"Jun 03, 2015",7.04,7.04,6.69,6.71,"8,466,920"
"Jun 04, 2015",6.76,6.90,6.72,6.83,"1,817,898"
"Jun 05, 2015",6.86,7.48,6.86,7.48,"1,004,974"
"Jun 08, 2015",7.78,7.94,7.52,7.64,"369,333"
"Jun 09, 2015",7.64,7.75,7.18,7.55,"481,352"
"Jun 10, 2015",7.41,7.51,7.37,7.48,"97,240"
"Jun 11, 2015",7.51,7.60,7.42,7.45,"222,130"
"Jun 12, 2015",7.41,7.63,7.35,7.63,"429,692"
"Jun 15, 2015",7.55,7.56,7.41,7.55,"171,148"
"Jun 16, 2015",7.50,7.50,7.31,7.44,"547,050"
"Jun 17, 2015",7.45,7.45,7.13,7.22,"946,980"
"Jun 18, 2015",7.31,7.31,6.95,7.08,"276,343"
"Jun 19, 2015",7.19,7.19,6.93,6.99,"34,967"
"Jun 22, 2015",6.99,7.11,6.94,6.99,"102,423"
"Jun 23, 2015",6.99,6.99,6.93,6.99,"55,400"
"Jun 24, 2015",6.99,6.99,6.71,6.71,"37,855"
"Jun 25, 2015",6.72,6.81,6.55,6.67,"44,079"
"Jun 26, 2015",6.67,6.71,6.67,6.69,"26,050"
"Jun 29, 2015",6.75,6.76,6.64,6.71,"476,357"
"Jun 30, 2015",6.70,6.75,6.59,6.71,"33,490"
"Jul 02, 2015",6.57,6.73,6.57,6.71,"42,724"
"Jul 03, 2015",6.67,6.81,6.67,6.81,"32,550"
"Jul 06, 2015",6.75,6.82,6.69,6.70,"62,106"
"Jul 07, 2015",6.68,6.68,6.57,6.57,"104,009"
"Jul 08, 2015",6.67,6.67,6.06,6.21,"204,889"
"Jul 09, 2015",6.21,6.42,6.21,6.30,"207,854"
"Jul 10, 2015",6.33,6.44,6.33,6.44,"36,250"
"Jul 13, 2015",6.47,6.50,6.42,6.48,"292,473"
"Jul 14, 2015",6.56,6.71,6.53,6.62,"201,480"
"Jul 15, 2015",6.61,6.64,6.58,6.64,"114,662"
"Jul 16, 2015",6.63,6.68,6.63,6.66,"17,067"
"Jul 17, 2015",6.59,6.64,6.58,6.58,"3,200"
"Jul 20, 2015",6.57,6.61,6.49,6.49,"23,191"
"Jul 21, 2015",6.48,6.53,6.48,6.51,"100,937"
"Jul 22, 2015",6.48,6.53,6.48,6.51,"74,600"
"Jul 23, 2015",6.53,6.85,6.53,6.84,"77,722"
"Jul 24, 2015",6.89,6.94,6.76,6.81,"442,330"
"Jul 27, 2015",6.81,6.81,6.68,6.76,"112,066"
"Jul 28, 2015",6.76,6.79,6.75,6.75,"16,815"
"Jul 29, 2015",6.71,6.76,6.69,6.76,"9,300"
"Jul 30, 2015",6.76,6.76,6.74,6.76,"2,800"
"Jul 31, 2015",6.76,6.76,6.71,6.72,"8,300"
"Aug 04, 2015",6.71,6.73,6.48,6.60,"108,797"
"Aug 05, 2015",6.62,6.66,6.59,6.66,"180,770"
"Aug 06, 2015",6.66,6.66,6.56,6.62,"12,520"
"Aug 07, 2015",6.56,6.56,6.35,6.44,"25,675"
"Aug 10, 2015",6.54,6.54,6.44,6.48,"404,894"
"Aug 11, 2015",6.46,6.60,6.45,6.48,"17,645"
"Aug 12, 2015",6.57,6.57,6.40,6.40,"37,230"
"Aug 13, 2015",6.40,6.44,6.40,6.43,"8,110"
"Aug 14, 2015",6.44,6.48,6.39,6.44,"97,650"
"Aug 17, 2015",6.39,6.48,6.32,6.34,"33,452"
"Aug 18, 2015",6.40,6.71,6.40,6.61,"288,275"
"Aug 19, 2015",6.64,6.76,6.59,6.75,"92,299"
"Aug 20, 2015",6.75,6.75,6.62,6.62,"18,350"
"Aug 21, 2015",6.53,6.68,6.53,6.53,"22,394"
"Aug 24, 2015",6.48,6.48,5.79,6.27,"74,211"
"Aug 25, 2015",6.27,6.65,6.27,6.49,"16,331"
"Aug 26, 2015",6.63,6.69,6.53,6.66,"185,800"
"Aug 27, 2015",6.69,6.76,6.64,6.65,"32,645"
"Aug 28, 2015",6.73,6.74,6.67,6.69,"13,002"
"Aug 31, 2015",6.83,6.84,6.72,6.79,"24,269"
"Sep 01, 2015",6.69,6.76,6.55,6.59,"12,460"
"Sep 02, 2015",6.73,6.73,6.54,6.62,"2,400"
"Sep 03, 2015",6.65,6.65,6.60,6.64,"1,500"
"Sep 04, 2015",6.54,6.59,6.54,6.57,"1,700"
"Sep 08, 2015",6.73,6.73,6.55,6.55,"1,117"
"Sep 09, 2015",6.62,6.63,6.55,6.55,"114,950"
"Sep 10, 2015",6.55,6.55,6.40,6.40,"5,550"
"Sep 11, 2015",6.49,6.49,6.44,6.47,"2,334"
"Sep 14, 2015",6.43,6.49,6.35,6.49,"6,288"
"Sep 15, 2015",6.44,6.67,6.44,6.60,"7,404"
"Sep 16, 2015",6.56,6.74,6.55,6.73,"14,317"
"Sep 17, 2015",6.53,6.83,6.53,6.82,"14,410"
"Sep 18, 2015",6.82,6.82,6.55,6.55,"20,790"
"Sep 21, 2015",6.69,6.69,6.55,6.60,"152,707"
"Sep 22, 2015",6.63,7.01,6.59,7.01,"55,600"
"Sep 23, 2015",6.95,6.97,6.71,6.88,"9,590"
"Sep 24, 2015",6.81,6.92,6.53,6.79,"37,300"
"Sep 25, 2015",6.79,6.90,6.63,6.76,"6,900"
"Sep 28, 2015",6.66,6.78,6.51,6.62,"5,344"
"Sep 29, 2015",6.69,6.71,6.46,6.62,"50,860"
"Sep 30, 2015",6.69,6.69,6.46,6.52,"158,465"
"Oct 01, 2015",6.61,6.61,6.37,6.50,"9,410"
"Oct 02, 2015",6.45,6.62,6.42,6.61,"6,000"
"Oct 05, 2015",6.59,6.63,6.51,6.51,"22,557"
"Oct 06, 2015",6.44,6.45,6.28,6.38,"273,740"
"Oct 07, 2015",6.43,6.46,6.23,6.32,"41,483"
"Oct 08, 2015",6.24,6.42,6.23,6.38,"296,110"
"Oct 09, 2015",6.43,6.54,6.42,6.46,"75,400"
"Oct 13, 2015",6.42,6.59,6.39,6.49,"8,816"
"Oct 14, 2015",6.46,6.52,6.42,6.46,"17,700"
"Oct 15, 2015",6.50,6.55,6.50,6.51,"3,200"
"Oct 16, 2015",6.55,6.57,6.46,6.51,"3,945"
"Oct 19, 2015",6.51,6.55,6.47,6.55,"21,900"
"Oct 20, 2015",6.52,6.52,6.47,6.50,"6,100"
"Oct 21, 2015",6.55,6.62,6.55,6.59,"1,400"
"Oct 22, 2015",6.59,6.70,6.59,6.70,"2,970"
"Oct 23, 2015",6.71,6.71,6.60,6.62,"6,006"
"Oct 26, 2015",6.69,6.69,6.59,6.65,"4,507"
"Oct 27, 2015",6.55,6.59,6.51,6.59,"41,400"
"Oct 28, 2015",6.51,6.69,6.51,6.69,"22,700"
"Oct 29, 2015",6.49,6.60,6.49,6.59,"11,493"
"Oct 30, 2015",6.55,6.60,6.25,6.53,"1,700"
"Nov 02, 2015",6.53,6.68,6.42,6.42,"3,268"
"Nov 03, 2015",6.53,6.53,6.38,6.40,356
"Nov 04, 2015",6.67,6.73,6.50,6.73,"8,815"
"Nov 05, 2015",6.62,6.74,6.62,6.72,"19,100"
"Nov 06, 2015",6.58,6.76,6.58,6.74,"1,700"
"Nov 09, 2015",6.66,6.79,6.60,6.79,"18,048"
"Nov 10, 2015",6.67,6.82,6.67,6.82,"2,508"
"Nov 11, 2015",6.79,7.02,6.78,7.02,"12,739"
"Nov 12, 2015",7.25,7.30,6.66,6.69,"331,604"
"Nov 13, 2015",6.74,6.93,6.72,6.73,"5,765"
"Nov 16, 2015",6.79,6.79,6.46,6.73,"4,815"
"Nov 17, 2015",6.73,6.73,6.22,6.22,"2,150"
"Nov 18, 2015",6.37,6.61,6.37,6.50,"18,865"
"Nov 19, 2015",6.57,6.57,6.51,6.55,800
