Date,Open,High,Low,Adj. Close,Volume
"Jun 03, 2015",7.18,7.18,6.81,6.93,"670,125"
"Jun 04, 2015",6.93,6.95,6.81,6.94,"159,825"
"Jun 05, 2015",7.04,7.58,7.04,7.58,"22,799"
"Jun 08, 2015",7.85,7.95,7.58,7.74,"33,000"
"Jun 09, 2015",7.74,7.75,7.32,7.42,"9,151"
"Jun 10, 2015",7.53,7.57,7.50,7.50,"2,408"
"Jun 11, 2015",7.59,7.59,7.59,7.59,"2,000"
"Jun 12, 2015",7.46,7.50,7.46,7.50,"28,220"
"Jun 15, 2015",6.48,6.48,6.48,6.48,0
"Jun 16, 2015",7.40,7.40,7.30,7.30,900
"Jun 17, 2015",7.41,7.41,7.38,7.38,500
"Jun 18, 2015",7.17,7.25,7.02,7.25,"5,469"
"Jun 19, 2015",6.48,6.48,6.48,6.48,0
"Jun 22, 2015",7.19,7.19,6.98,6.98,"1,403"
"Jun 23, 2015",6.48,6.48,6.48,6.48,0
"Jun 24, 2015",6.94,6.95,6.80,6.80,"1,500"
"Jun 25, 2015",6.84,6.84,6.84,6.84,200
"Jun 26, 2015",6.59,6.59,6.59,6.59,0
"Jun 29, 2015",6.84,6.84,6.58,6.58,"2,469"
"Jun 30, 2015",6.57,6.57,6.57,6.57,0
"Jul 02, 2015",6.56,6.67,6.56,6.67,"1,200"
"Jul 03, 2015",6.64,6.64,6.64,6.64,0
"Jul 06, 2015",6.66,6.71,6.66,6.71,"20,200"
"Jul 07, 2015",6.58,6.58,6.58,6.58,0
"Jul 08, 2015",6.58,6.58,6.12,6.13,"2,900"
"Jul 09, 2015",6.30,6.34,6.29,6.34,"50,400"
"Jul 10, 2015",6.44,6.44,6.44,6.44,500
"Jul 13, 2015",6.48,6.48,6.48,6.48,100
"Jul 14, 2015",6.62,6.62,6.62,6.62,200
"Jul 15, 2015",6.55,6.55,6.55,6.55,20
"Jul 16, 2015",6.60,6.60,6.60,6.60,0
"Jul 17, 2015",6.57,6.57,6.57,6.57,0
"Jul 20, 2015",6.57,6.57,6.51,6.51,"3,200"
"Jul 21, 2015",6.45,6.45,6.45,6.45,0
"Jul 22, 2015",6.48,6.48,6.48,6.48,0
"Jul 23, 2015",6.54,6.67,6.53,6.67,"3,193"
"Jul 24, 2015",6.81,6.95,6.81,6.95,"1,900"
"Jul 27, 2015",6.66,6.66,6.66,6.66,0
