Date,Open,High,Low,Adj. Close,Volume
"Mar 13, 2015",21.02,21.02,20.24,20.74,"196,652"
"Mar 16, 2015",20.66,20.69,20.66,20.66,"65,251"
"Mar 17, 2015",20.66,20.75,20.66,20.66,"42,770"
"Mar 18, 2015",20.67,20.84,20.66,20.79,"315,655"
"Mar 19, 2015",20.79,20.95,20.78,20.92,"483,371"
"Mar 20, 2015",20.90,21.00,20.88,21.00,"276,913"
"Mar 23, 2015",21.01,21.01,20.96,20.98,"300,440"
"Mar 24, 2015",20.98,21.02,20.95,21.02,"115,625"
"Mar 25, 2015",21.04,21.08,20.95,21.03,"208,600"
"Mar 26, 2015",21.07,21.08,21.05,21.05,"11,405"
"Mar 27, 2015",21.05,21.05,21.01,21.04,"11,843"
"Mar 30, 2015",20.96,21.04,20.96,21.04,"63,388"
"Mar 31, 2015",21.00,21.04,20.97,21.00,"24,200"
"Apr 01, 2015",21.01,21.01,20.98,20.98,"20,235"
"Apr 02, 2015",20.93,21.00,20.92,20.99,"25,620"
"Apr 06, 2015",20.99,21.01,20.97,21.01,"262,500"
"Apr 07, 2015",21.02,21.07,21.00,21.01,"117,000"
"Apr 08, 2015",21.03,21.08,21.01,21.03,"19,200"
"Apr 09, 2015",21.01,21.01,21.01,21.01,"14,500"
"Apr 10, 2015",21.04,21.05,21.01,21.01,"46,815"
"Apr 13, 2015",21.05,21.05,20.99,21.04,"14,091"
"Apr 14, 2015",21.01,21.04,21.01,21.04,"28,530"
"Apr 15, 2015",21.04,21.04,20.84,20.84,"20,750"
"Apr 16, 2015",20.95,21.05,20.92,20.95,"24,900"
"Apr 17, 2015",21.01,21.01,20.89,20.98,"69,450"
"Apr 20, 2015",20.85,21.01,20.82,20.96,"61,537"
"Apr 21, 2015",20.96,20.97,20.96,20.96,"30,000"
"Apr 22, 2015",20.89,21.05,20.88,20.89,"33,500"
"Apr 23, 2015",20.88,21.05,20.88,20.98,"21,069"
"Apr 24, 2015",21.06,21.07,20.99,20.99,"3,100"
