Date,Open,High,Low,Adj. Close,Volume
"Dec 16, 2015",21.18,21.45,21.15,21.29,"1,558,368"
"Dec 17, 2015",21.36,21.42,21.32,21.32,"297,994"
"Dec 18, 2015",21.39,21.53,21.36,21.53,"356,269"
"Dec 21, 2015",21.59,21.86,21.53,21.69,"205,155"
"Dec 22, 2015",21.74,21.82,21.66,21.75,"131,502"
"Dec 23, 2015",21.75,21.95,21.75,21.81,"79,291"
"Dec 24, 2015",21.87,21.93,21.83,21.92,"26,664"
"Dec 29, 2015",21.93,21.94,21.78,21.79,"25,850"
"Dec 30, 2015",21.87,21.89,21.81,21.83,"35,037"
"Dec 31, 2015",21.83,21.88,21.75,21.87,"9,415"
"Jan 04, 2016",21.85,21.87,21.75,21.75,"190,141"
"Jan 05, 2016",21.68,21.83,21.29,21.83,"647,883"
"Jan 06, 2016",21.82,21.82,21.70,21.77,"99,011"
"Jan 07, 2016",21.72,21.92,21.68,21.81,"162,764"
"Jan 08, 2016",21.87,21.87,21.75,21.79,"84,345"
"Jan 11, 2016",21.75,21.79,21.75,21.75,"46,196"
"Jan 12, 2016",21.79,21.79,21.53,21.66,"219,115"
"Jan 13, 2016",21.49,21.62,21.49,21.53,"412,059"
"Jan 14, 2016",21.54,21.66,21.52,21.54,"402,847"
"Jan 15, 2016",21.60,21.60,21.33,21.34,"327,782"
"Jan 18, 2016",21.42,21.51,21.34,21.43,"127,975"
"Jan 19, 2016",21.45,21.58,21.42,21.52,"126,716"
"Jan 20, 2016",21.53,21.53,21.35,21.35,"98,273"
"Jan 21, 2016",21.44,21.59,21.41,21.45,"93,630"
"Jan 22, 2016",21.47,21.60,21.47,21.50,"38,232"
"Jan 25, 2016",21.53,21.60,21.48,21.53,"82,192"
"Jan 26, 2016",21.59,21.64,21.50,21.64,"76,204"
"Jan 27, 2016",21.59,21.64,21.58,21.62,"45,574"
"Jan 28, 2016",21.59,21.65,21.57,21.62,"65,236"
"Jan 29, 2016",21.60,21.81,21.60,21.78,"50,272"
"Feb 01, 2016",21.79,21.85,21.75,21.79,"65,296"
"Feb 02, 2016",21.79,21.79,21.70,21.78,"110,167"
