Date,Open,High,Low,Adj. Close,Volume
"Jun 08, 2017",18.87,18.87,18.87,18.87,"6,088"
"Jun 09, 2017",18.87,18.87,18.87,18.87,0
"Jun 12, 2017",18.87,18.87,18.87,18.87,0
"Jun 13, 2017",18.87,18.87,18.87,18.87,20
"Jun 14, 2017",18.87,18.87,18.87,18.87,20
"Jun 15, 2017",18.87,18.87,18.87,18.87,0
"Jun 16, 2017",18.87,18.87,18.87,18.87,0
"Jun 19, 2017",18.87,18.87,18.87,18.87,0
"Jun 20, 2017",18.87,18.87,18.87,18.87,20
"Jun 21, 2017",18.87,18.87,18.87,18.87,0
"Jun 22, 2017",18.81,18.81,18.81,18.81,"2,500"
"Jun 23, 2017",18.81,18.81,18.81,18.81,20
"Jun 26, 2017",18.84,18.84,18.84,18.84,830
"Jun 27, 2017",18.84,18.84,18.84,18.84,0
"Jun 28, 2017",18.88,18.88,18.88,18.88,20
"Jun 29, 2017",18.88,18.88,18.88,18.88,0
"Jun 30, 2017",18.88,18.88,18.88,18.88,0
"Jul 04, 2017",18.88,18.88,18.88,18.88,0
"Jul 05, 2017",18.88,18.88,18.88,18.88,0
"Jul 06, 2017",18.88,18.88,18.88,18.88,0
"Jul 07, 2017",18.88,18.88,18.88,18.88,0
"Jul 10, 2017",18.88,18.88,18.88,18.88,0
"Jul 11, 2017",18.88,18.88,18.88,18.88,0
"Jul 12, 2017",18.88,18.88,18.88,18.88,0
"Jul 13, 2017",18.88,18.88,18.88,18.88,0
"Jul 14, 2017",18.88,18.88,18.88,18.88,0
"Jul 17, 2017",18.88,18.88,18.88,18.88,0
"Jul 18, 2017",18.88,18.88,18.88,18.88,15
"Jul 19, 2017",18.88,18.88,18.88,18.88,0
"Jul 20, 2017",18.88,18.88,18.88,18.88,50
"Jul 21, 2017",18.88,18.88,18.88,18.88,0
"Jul 24, 2017",18.88,18.88,18.88,18.88,0
"Jul 25, 2017",18.88,18.88,18.88,18.88,0
"Jul 26, 2017",18.88,18.88,18.88,18.88,10
"Jul 27, 2017",18.92,18.92,18.92,18.92,0
"Jul 28, 2017",18.92,18.92,18.92,18.92,0
"Jul 31, 2017",18.92,18.92,18.92,18.92,0
"Aug 01, 2017",18.92,18.92,18.92,18.92,0
"Aug 02, 2017",18.92,18.92,18.92,18.92,0
"Aug 03, 2017",18.92,18.92,18.92,18.92,0
"Aug 04, 2017",18.92,18.92,18.92,18.92,0
"Aug 08, 2017",18.75,18.75,18.75,18.75,"1,000"
