Date,Open,High,Low,Adj. Close,Volume
"Sep 27, 2017",3.51,3.55,3.45,3.55,"11,200"
"Sep 28, 2017",3.50,3.70,3.50,3.70,"11,190"
"Sep 29, 2017",3.61,3.61,3.49,3.54,"66,553"
"Oct 02, 2017",3.56,3.60,3.50,3.52,"7,705"
"Oct 03, 2017",3.50,3.56,3.50,3.53,"61,440"
"Oct 04, 2017",3.50,3.56,3.50,3.50,"13,700"
"Oct 05, 2017",3.50,3.53,3.50,3.53,"3,100"
"Oct 06, 2017",3.50,3.50,3.35,3.35,"17,500"
"Oct 10, 2017",3.40,3.41,3.30,3.30,"40,303"
"Oct 11, 2017",3.26,3.37,3.26,3.29,"40,260"
"Oct 12, 2017",3.21,3.32,3.21,3.30,"22,015"
"Oct 13, 2017",3.28,3.30,3.21,3.24,"36,500"
"Oct 16, 2017",3.20,3.20,3.19,3.20,"4,273"
"Oct 17, 2017",3.20,3.36,3.20,3.36,"5,300"
"Oct 18, 2017",3.30,3.47,3.27,3.34,"5,700"
"Oct 19, 2017",3.37,3.41,3.35,3.40,"7,300"
"Oct 20, 2017",3.35,3.35,3.30,3.35,"8,800"
"Oct 23, 2017",3.35,3.41,3.35,3.38,"6,600"
"Oct 24, 2017",3.50,3.50,3.42,3.45,"15,100"
"Oct 25, 2017",3.26,3.45,3.14,3.30,"31,634"
"Oct 26, 2017",3.32,3.32,3.15,3.30,"9,300"
"Oct 27, 2017",3.25,3.35,3.25,3.31,"30,007"
"Oct 30, 2017",3.28,3.33,3.15,3.28,"42,870"
"Oct 31, 2017",3.32,3.40,3.28,3.40,"21,790"
"Nov 01, 2017",3.36,3.48,3.35,3.45,"81,588"
"Nov 02, 2017",3.46,3.46,3.45,3.45,"1,011"
"Nov 03, 2017",3.51,3.51,3.45,3.45,"3,300"
"Nov 06, 2017",3.45,3.67,3.45,3.67,"46,440"
"Nov 07, 2017",3.65,3.76,3.64,3.68,"61,146"
"Nov 08, 2017",3.67,3.70,3.63,3.67,"18,200"
"Nov 09, 2017",3.67,3.71,3.67,3.69,"34,900"
"Nov 10, 2017",3.67,3.67,3.52,3.60,"90,800"
"Nov 13, 2017",3.63,3.63,3.57,3.60,"10,050"
"Nov 14, 2017",3.59,3.60,3.47,3.60,"46,463"
"Nov 15, 2017",3.50,3.50,3.15,3.40,"552,600"
"Nov 16, 2017",3.41,3.41,3.14,3.30,"410,589"
"Nov 17, 2017",3.32,3.40,3.30,3.35,"74,392"
"Nov 20, 2017",3.40,3.40,3.30,3.32,"13,857"
"Nov 21, 2017",3.36,3.36,3.16,3.30,"209,319"
"Nov 22, 2017",3.32,3.35,3.14,3.24,"289,161"
"Nov 23, 2017",3.23,3.23,3.12,3.15,"24,826"
"Nov 24, 2017",3.14,3.20,3.14,3.20,"10,557"
"Nov 27, 2017",3.16,3.16,2.90,2.98,"21,200"
"Nov 28, 2017",3.01,3.05,2.82,2.94,"16,750"
"Nov 29, 2017",2.90,2.90,2.46,2.74,"46,830"
"Nov 30, 2017",2.74,2.92,2.65,2.78,"137,222"
"Dec 01, 2017",2.73,2.89,2.73,2.84,"14,447"
"Dec 04, 2017",2.85,2.92,2.81,2.88,"291,145"
"Dec 05, 2017",2.75,2.87,2.75,2.81,"9,501"
"Dec 06, 2017",2.76,2.87,2.75,2.85,"92,446"
"Dec 07, 2017",2.78,2.80,2.48,2.75,"1,077,729"
"Dec 08, 2017",2.70,2.73,2.64,2.73,"48,800"
"Dec 11, 2017",2.73,2.73,2.67,2.70,"4,748"
"Dec 12, 2017",2.64,2.69,2.57,2.68,"68,549"
"Dec 13, 2017",2.65,2.67,2.60,2.63,"17,023"
"Dec 14, 2017",2.61,2.65,2.55,2.62,"19,863"
"Dec 15, 2017",2.60,2.63,2.50,2.55,"50,754"
"Dec 18, 2017",2.41,2.54,2.41,2.47,"61,646"
"Dec 19, 2017",2.49,2.60,2.47,2.60,"86,100"
"Dec 20, 2017",2.48,2.67,2.48,2.64,"16,834"
"Dec 21, 2017",2.64,2.76,2.64,2.74,"90,322"
"Dec 22, 2017",2.73,2.73,2.56,2.58,"40,180"
"Dec 27, 2017",2.59,2.59,2.52,2.55,"101,939"
"Dec 28, 2017",2.55,2.62,2.50,2.62,"195,961"
"Dec 29, 2017",2.65,2.75,2.65,2.70,"109,539"
"Jan 02, 2018",2.75,2.86,2.73,2.86,"85,514"
"Jan 03, 2018",2.81,2.81,2.75,2.80,"12,742"
"Jan 04, 2018",2.76,2.77,2.75,2.75,"20,216"
"Jan 05, 2018",2.77,2.80,2.75,2.75,"45,300"
"Jan 08, 2018",2.63,2.70,2.63,2.70,"33,957"
"Jan 09, 2018",2.71,2.71,2.62,2.62,"210,166"
"Jan 10, 2018",2.64,2.72,2.57,2.58,"10,186"
"Jan 11, 2018",2.61,2.67,2.59,2.59,"95,219"
"Jan 12, 2018",2.60,2.70,2.56,2.58,"25,584"
"Jan 15, 2018",2.55,2.55,2.49,2.52,"130,770"
"Jan 16, 2018",2.67,2.67,2.45,2.48,"477,660"
"Jan 17, 2018",2.48,2.54,2.43,2.53,"7,983"
"Jan 18, 2018",2.52,2.53,2.45,2.51,"26,800"
"Jan 19, 2018",2.49,2.61,2.48,2.55,"40,218"
"Jan 22, 2018",2.49,2.52,2.46,2.48,"16,300"
"Jan 23, 2018",2.49,2.55,2.45,2.54,"90,246"
"Jan 24, 2018",2.55,2.55,2.41,2.48,"36,079"
"Jan 25, 2018",2.51,2.51,2.36,2.36,"42,412"
"Jan 26, 2018",2.33,2.40,2.33,2.38,"10,570"
"Jan 29, 2018",2.36,2.40,2.30,2.32,"5,800"
"Jan 30, 2018",2.30,2.30,2.10,2.22,"89,675"
"Jan 31, 2018",2.20,2.20,2.16,2.16,"8,800"
"Feb 01, 2018",2.16,2.30,1.98,2.25,"312,916"
"Feb 02, 2018",2.25,2.31,2.11,2.20,"62,698"
"Feb 05, 2018",2.25,2.25,2.00,2.25,"73,500"
"Feb 06, 2018",2.00,2.33,2.00,2.33,"17,400"
"Feb 07, 2018",2.32,2.33,2.26,2.29,"52,300"
"Feb 08, 2018",2.29,2.29,2.16,2.23,"29,933"
"Feb 09, 2018",2.22,2.22,2.05,2.12,"15,100"
"Feb 12, 2018",2.14,2.15,2.12,2.12,"10,000"
"Feb 13, 2018",2.10,2.11,2.02,2.05,"42,022"
"Feb 14, 2018",2.01,2.13,2.00,2.13,"13,900"
"Feb 15, 2018",2.12,2.12,2.05,2.08,"4,800"
"Feb 16, 2018",2.04,2.15,2.00,2.15,"3,500"
"Feb 20, 2018",2.10,2.12,2.07,2.09,"14,600"
"Feb 21, 2018",2.17,2.17,2.07,2.10,"4,592"
"Feb 22, 2018",2.08,2.10,2.04,2.05,"11,301"
"Feb 23, 2018",2.05,2.05,1.89,2.01,"534,700"
"Feb 26, 2018",2.00,2.00,1.94,1.96,"13,960"
"Feb 27, 2018",1.96,2.05,1.96,2.02,"525,579"
"Feb 28, 2018",2.03,2.03,1.75,1.99,"65,500"
"Mar 01, 2018",1.99,1.99,1.76,1.87,"193,500"
"Mar 02, 2018",1.87,1.97,1.87,1.88,"313,450"
"Mar 05, 2018",1.91,2.07,1.90,2.01,"69,165"
"Mar 06, 2018",2.00,2.10,2.00,2.10,"7,906"
"Mar 07, 2018",2.07,2.07,1.95,2.00,"37,700"
"Mar 08, 2018",2.01,2.04,1.90,1.93,"31,109"
"Mar 09, 2018",1.91,2.00,1.91,2.00,"7,400"
"Mar 12, 2018",2.05,2.05,1.96,2.00,"7,500"
"Mar 13, 2018",2.03,2.03,1.95,1.96,"23,500"
"Mar 14, 2018",1.95,1.99,1.95,1.98,"859,500"
"Mar 15, 2018",1.98,1.99,1.95,1.99,"5,716"
"Mar 16, 2018",1.98,2.05,1.95,1.98,"145,801"
"Mar 19, 2018",1.98,1.98,1.98,1.98,"27,299"
"Mar 20, 2018",1.98,1.98,1.90,1.97,"500,500"
"Mar 21, 2018",2.00,2.01,1.98,2.00,"13,400"
"Mar 22, 2018",2.02,2.02,2.00,2.02,"104,200"
"Mar 23, 2018",1.99,2.03,1.99,1.99,"22,000"
"Mar 26, 2018",2.00,2.08,2.00,2.08,"127,300"
"Mar 27, 2018",2.10,2.18,2.05,2.07,"19,754"
"Mar 28, 2018",2.17,2.17,1.88,1.95,"34,352"
"Mar 29, 2018",1.98,2.19,1.98,2.10,"89,965"
"Apr 02, 2018",2.14,2.14,1.99,2.10,"56,213"
"Apr 03, 2018",2.10,2.25,2.10,2.18,"43,500"
"Apr 04, 2018",2.15,2.17,2.13,2.17,"52,400"
"Apr 05, 2018",2.18,2.30,2.18,2.23,"39,700"
"Apr 06, 2018",2.28,2.28,2.17,2.17,"9,650"
"Apr 09, 2018",2.17,2.20,2.14,2.15,"3,050"
"Apr 10, 2018",2.19,2.36,2.19,2.30,"23,000"
"Apr 11, 2018",2.32,2.40,2.32,2.40,"17,130"
"Apr 12, 2018",2.42,2.42,2.25,2.39,"118,050"
"Apr 13, 2018",2.47,2.55,2.43,2.49,"42,700"
"Apr 16, 2018",2.45,2.54,2.45,2.49,"14,173"
"Apr 17, 2018",2.50,2.50,2.38,2.38,"79,600"
"Apr 18, 2018",2.41,2.47,2.38,2.42,"24,400"
"Apr 19, 2018",2.44,2.55,2.44,2.55,"23,155"
