Date,Open,High,Low,Adj. Close,Volume
"Jul 05, 2016",6.75,6.87,6.71,6.84,"12,930"
"Jul 06, 2016",6.95,7.14,6.76,6.98,"38,469"
"Jul 07, 2016",7.07,7.18,7.03,7.08,"31,326"
"Jul 08, 2016",7.07,7.08,6.87,6.88,"82,583"
"Jul 11, 2016",6.87,6.95,6.79,6.84,"138,129"
"Jul 12, 2016",6.84,6.86,6.70,6.80,"132,323"
"Jul 13, 2016",6.79,6.87,6.79,6.82,"73,494"
"Jul 14, 2016",6.81,6.87,6.79,6.83,"89,184"
"Jul 15, 2016",6.83,6.83,6.74,6.79,"90,721"
"Jul 18, 2016",6.79,6.85,6.75,6.85,"59,725"
"Jul 19, 2016",6.83,6.88,6.80,6.82,"57,749"
"Jul 20, 2016",6.84,6.84,6.79,6.81,"69,881"
"Jul 21, 2016",6.82,6.82,6.79,6.82,"60,440"
"Jul 22, 2016",6.82,6.84,6.79,6.84,"60,978"
"Jul 25, 2016",6.80,6.85,6.79,6.82,"49,254"
"Jul 26, 2016",6.83,6.84,6.79,6.83,"81,641"
"Jul 27, 2016",6.84,6.88,6.81,6.83,"51,781"
"Jul 28, 2016",6.81,6.82,6.51,6.67,"150,827"
"Jul 29, 2016",6.68,6.83,6.68,6.78,"93,186"
"Aug 02, 2016",6.83,6.87,6.79,6.83,"54,503"
"Aug 03, 2016",6.87,6.88,6.80,6.86,"61,045"
"Aug 04, 2016",6.87,6.90,6.81,6.86,"76,818"
"Aug 05, 2016",6.90,6.99,6.88,6.96,"85,163"
"Aug 08, 2016",6.96,7.02,6.96,6.96,"38,515"
"Aug 09, 2016",6.92,6.94,6.89,6.92,"60,414"
"Aug 10, 2016",6.90,6.94,6.88,6.88,"43,376"
"Aug 11, 2016",6.88,6.99,6.88,6.88,"51,028"
"Aug 12, 2016",6.88,6.95,6.88,6.89,"50,812"
"Aug 15, 2016",6.89,6.91,6.88,6.88,"94,441"
"Aug 16, 2016",6.91,6.91,6.83,6.87,"70,865"
"Aug 17, 2016",6.83,6.88,6.81,6.86,"80,585"
"Aug 18, 2016",6.86,6.86,6.83,6.86,"25,292"
"Aug 19, 2016",6.86,6.87,6.79,6.82,"50,774"
"Aug 22, 2016",6.82,6.85,6.79,6.83,"20,917"
"Aug 23, 2016",6.83,6.83,6.75,6.79,"73,014"
"Aug 24, 2016",6.80,6.83,6.79,6.80,"40,649"
"Aug 25, 2016",6.83,6.83,6.78,6.83,"43,469"
"Aug 26, 2016",6.83,6.83,6.78,6.79,"40,757"
"Aug 29, 2016",6.83,6.84,6.80,6.83,"33,432"
"Aug 30, 2016",6.78,6.84,6.71,6.74,"78,901"
"Aug 31, 2016",6.79,6.80,6.68,6.69,"71,477"
"Sep 01, 2016",6.71,6.74,6.69,6.72,"39,564"
"Sep 02, 2016",6.73,6.82,6.72,6.73,"42,854"
"Sep 06, 2016",6.72,6.76,6.71,6.75,"43,749"
"Sep 07, 2016",6.73,6.84,6.72,6.81,"56,394"
"Sep 08, 2016",6.78,6.86,6.78,6.81,"42,921"
"Sep 09, 2016",6.81,6.85,6.71,6.83,"51,256"
"Sep 12, 2016",6.80,6.83,6.77,6.81,"43,281"
"Sep 13, 2016",6.80,6.80,6.68,6.76,"58,468"
"Sep 14, 2016",6.72,6.81,6.70,6.78,"92,809"
"Sep 15, 2016",6.81,6.85,6.76,6.76,"89,346"
"Sep 16, 2016",6.76,6.80,6.70,6.70,"88,122"
"Sep 19, 2016",6.71,6.83,6.71,6.76,"66,041"
"Sep 20, 2016",6.82,6.82,6.76,6.79,"31,104"
"Sep 21, 2016",6.84,6.84,6.74,6.77,"78,884"
"Sep 22, 2016",6.78,6.79,6.73,6.75,"61,260"
"Sep 23, 2016",6.77,6.77,6.76,6.76,"48,485"
"Sep 26, 2016",6.80,6.85,6.77,6.80,"42,139"
"Sep 27, 2016",6.80,6.82,6.76,6.78,"48,568"
"Sep 28, 2016",6.80,6.86,6.75,6.76,"72,560"
"Sep 29, 2016",6.75,6.85,6.73,6.85,"183,514"
"Sep 30, 2016",6.80,6.82,6.76,6.80,"164,320"
"Oct 03, 2016",6.81,6.81,6.75,6.78,"55,004"
"Oct 04, 2016",6.79,6.79,6.72,6.75,"51,910"
"Oct 05, 2016",6.76,6.77,6.72,6.76,"81,308"
"Oct 06, 2016",6.77,6.85,6.77,6.82,"162,442"
"Oct 07, 2016",6.83,6.84,6.75,6.78,"87,823"
"Oct 11, 2016",6.75,6.85,6.73,6.79,"58,493"
"Oct 12, 2016",6.75,6.86,6.73,6.85,"56,320"
"Oct 13, 2016",6.83,6.95,6.80,6.90,"103,739"
"Oct 14, 2016",6.90,6.96,6.86,6.93,"87,133"
"Oct 17, 2016",6.93,6.98,6.85,6.85,"125,200"
"Oct 18, 2016",6.87,6.92,6.80,6.85,"97,392"
"Oct 19, 2016",6.85,6.94,6.85,6.93,"60,357"
"Oct 20, 2016",6.93,6.95,6.85,6.89,"67,159"
"Oct 21, 2016",6.89,6.89,6.85,6.86,"55,438"
"Oct 24, 2016",6.88,6.96,6.86,6.93,"101,847"
"Oct 25, 2016",6.93,6.97,6.90,6.97,"168,655"
"Oct 26, 2016",6.96,6.96,6.85,6.89,"176,522"
"Oct 27, 2016",6.91,6.97,6.82,6.87,"110,827"
"Oct 28, 2016",6.86,6.98,6.85,6.95,"103,233"
"Oct 31, 2016",6.97,7.00,6.90,6.93,"60,390"
"Nov 01, 2016",6.89,6.93,6.85,6.86,"53,164"
"Nov 02, 2016",6.86,6.94,6.85,6.88,"63,569"
"Nov 03, 2016",6.87,6.95,6.82,6.83,"108,411"
"Nov 04, 2016",6.83,6.92,6.83,6.89,"67,185"
"Nov 07, 2016",6.89,6.94,6.89,6.92,"49,194"
"Nov 08, 2016",6.90,6.93,6.86,6.93,"42,422"
"Nov 09, 2016",6.85,6.99,6.85,6.93,"110,982"
"Nov 10, 2016",6.94,6.98,6.91,6.93,"76,076"
"Nov 11, 2016",6.95,6.98,6.93,6.96,"34,520"
"Nov 14, 2016",6.96,7.02,6.92,6.98,"118,712"
"Nov 15, 2016",6.98,7.18,6.98,7.09,"185,480"
"Nov 16, 2016",7.09,7.16,7.02,7.16,"160,928"
"Nov 17, 2016",7.12,7.26,7.11,7.17,"202,324"
"Nov 18, 2016",7.21,7.27,7.21,7.26,"166,398"
"Nov 21, 2016",7.26,7.33,7.23,7.33,"185,156"
"Nov 22, 2016",7.32,7.39,7.29,7.36,"161,401"
"Nov 23, 2016",7.33,7.44,7.31,7.35,"124,858"
"Nov 24, 2016",7.34,7.43,7.34,7.43,"67,471"
"Nov 25, 2016",7.44,7.47,7.42,7.44,"116,079"
"Nov 28, 2016",7.46,7.49,7.40,7.49,"107,466"
"Nov 29, 2016",7.49,7.59,7.44,7.59,"179,215"
"Nov 30, 2016",7.54,7.64,7.53,7.63,"969,690"
"Dec 01, 2016",7.65,7.65,7.45,7.46,"84,063"
"Dec 02, 2016",7.47,7.52,7.44,7.51,"57,432"
"Dec 05, 2016",7.51,7.51,7.43,7.48,"71,729"
"Dec 06, 2016",7.47,7.48,7.32,7.42,"114,050"
"Dec 07, 2016",7.39,7.51,7.39,7.51,"101,530"
"Dec 08, 2016",7.51,7.51,7.46,7.50,"80,845"
"Dec 09, 2016",7.45,7.48,7.39,7.45,"91,142"
"Dec 12, 2016",7.51,7.51,7.43,7.47,"76,098"
"Dec 13, 2016",7.47,7.50,7.45,7.48,"41,938"
"Dec 14, 2016",7.45,7.50,7.42,7.48,"92,290"
"Dec 15, 2016",7.45,7.53,7.44,7.47,"111,521"
"Dec 16, 2016",7.45,7.52,7.45,7.48,"86,038"
"Dec 19, 2016",7.43,7.48,7.41,7.41,"69,628"
"Dec 20, 2016",7.45,7.46,7.42,7.45,"56,924"
"Dec 21, 2016",7.46,7.47,7.42,7.45,"64,773"
"Dec 22, 2016",7.44,7.46,7.36,7.45,"85,427"
"Dec 23, 2016",7.42,7.47,7.39,7.45,"80,517"
"Dec 28, 2016",7.48,7.51,7.43,7.50,"41,871"
"Dec 29, 2016",7.46,7.50,7.42,7.45,"44,559"
"Dec 30, 2016",7.45,7.51,7.44,7.47,"17,217"
"Jan 03, 2017",7.51,7.51,7.37,7.40,"80,897"
"Jan 04, 2017",7.42,7.51,7.42,7.50,"38,425"
"Jan 05, 2017",7.51,7.51,7.41,7.50,"54,020"
"Jan 06, 2017",7.50,7.50,7.42,7.44,"57,311"
"Jan 09, 2017",7.41,7.51,7.40,7.49,"46,750"
"Jan 10, 2017",7.49,7.53,7.47,7.50,"18,516"
"Jan 11, 2017",7.51,7.52,7.47,7.51,"45,280"
"Jan 12, 2017",7.52,7.54,7.47,7.51,"39,063"
"Jan 13, 2017",7.54,7.56,7.48,7.54,"108,285"
"Jan 16, 2017",7.53,7.55,7.52,7.53,"37,352"
"Jan 17, 2017",7.54,7.56,7.46,7.50,"102,482"
"Jan 18, 2017",7.50,7.52,7.46,7.50,"64,343"
"Jan 19, 2017",7.57,7.64,7.52,7.63,"132,075"
"Jan 20, 2017",7.64,7.67,7.63,7.64,"100,583"
"Jan 23, 2017",7.63,7.67,7.63,7.65,"62,989"
"Jan 24, 2017",7.63,7.71,7.63,7.70,"127,959"
"Jan 25, 2017",7.70,7.76,7.67,7.76,"193,512"
"Jan 26, 2017",7.76,7.76,7.68,7.70,"63,377"
"Jan 27, 2017",7.74,7.81,7.72,7.79,"87,491"
"Jan 30, 2017",7.79,7.85,7.72,7.82,"122,979"
"Jan 31, 2017",7.82,7.88,7.80,7.88,"111,140"
"Feb 01, 2017",7.85,7.88,7.78,7.85,"78,566"
"Feb 02, 2017",7.75,7.87,7.74,7.85,"111,584"
"Feb 03, 2017",7.87,7.87,7.80,7.81,"45,688"
"Feb 06, 2017",7.81,7.87,7.80,7.87,"70,520"
"Feb 07, 2017",7.89,7.93,7.87,7.93,"181,015"
"Feb 08, 2017",7.96,7.96,7.89,7.94,"90,228"
"Feb 09, 2017",7.96,8.00,7.93,7.95,"144,956"
"Feb 10, 2017",7.98,8.05,7.97,8.02,"157,509"
"Feb 13, 2017",8.03,8.06,8.02,8.06,"95,709"
"Feb 14, 2017",8.06,8.15,8.06,8.14,"179,084"
"Feb 15, 2017",8.15,8.15,8.02,8.03,"131,328"
"Feb 16, 2017",8.05,8.13,8.05,8.09,"87,214"
"Feb 17, 2017",8.10,8.13,8.06,8.10,"62,661"
"Feb 21, 2017",8.12,8.12,8.05,8.07,"58,063"
"Feb 22, 2017",8.10,8.15,8.06,8.07,"128,141"
"Feb 23, 2017",8.10,8.14,8.09,8.13,"114,962"
"Feb 24, 2017",8.16,8.16,8.08,8.10,"57,155"
"Feb 27, 2017",8.16,8.17,8.09,8.12,"85,731"
"Feb 28, 2017",8.10,8.16,8.08,8.12,"46,719"
"Mar 01, 2017",8.14,8.17,8.10,8.16,"125,495"
"Mar 02, 2017",8.11,8.11,7.88,8.02,"175,571"
"Mar 03, 2017",8.02,8.05,7.89,7.92,"116,223"
"Mar 06, 2017",7.94,7.97,7.85,7.93,"71,610"
"Mar 07, 2017",7.91,7.99,7.91,7.98,"105,775"
"Mar 08, 2017",7.99,8.00,7.90,7.94,"129,829"
"Mar 09, 2017",7.97,7.97,7.91,7.97,"39,704"
"Mar 10, 2017",7.96,7.99,7.91,7.97,"98,957"
"Mar 13, 2017",7.97,8.03,7.97,8.00,"72,170"
"Mar 14, 2017",8.03,8.03,7.97,7.99,"52,026"
