Date,Open,High,Low,Adj. Close,Volume
"Feb 01, 2016",0.00,0.00,0.00,0.00,0
"Feb 02, 2016",0.00,0.00,0.00,0.00,0
"Feb 03, 2016",9.56,9.56,9.56,9.56,"1,200"
"Feb 04, 2016",9.78,9.78,9.78,9.78,334
"Feb 05, 2016",9.92,10.21,9.91,10.21,397
"Feb 08, 2016",9.83,10.04,9.83,9.98,"1,800"
"Feb 09, 2016",9.98,9.98,9.98,9.98,0
"Feb 10, 2016",10.22,10.22,10.22,10.22,700
"Feb 11, 2016",10.22,10.22,10.22,10.22,0
"Feb 12, 2016",10.22,10.22,10.22,10.22,0
"Feb 16, 2016",10.19,10.22,10.19,10.22,715
"Feb 17, 2016",10.22,10.22,10.22,10.22,0
"Feb 18, 2016",10.22,10.22,10.22,10.22,0
"Feb 19, 2016",10.01,10.01,10.00,10.00,300
"Feb 22, 2016",10.00,10.00,10.00,10.00,0
"Feb 23, 2016",10.00,10.00,10.00,10.00,204
"Feb 24, 2016",10.00,10.00,10.00,10.00,0
"Feb 25, 2016",9.99,10.00,9.99,10.00,271
"Feb 26, 2016",9.56,9.56,8.51,8.51,"3,926"
"Feb 29, 2016",8.89,8.98,8.89,8.98,"1,833"
"Mar 01, 2016",9.12,9.33,9.11,9.16,"1,444"
"Mar 02, 2016",9.13,9.13,9.11,9.11,"1,500"
"Mar 03, 2016",8.49,9.13,8.49,9.11,"5,300"
"Mar 04, 2016",10.62,10.66,10.62,10.66,"1,319"
"Mar 07, 2016",10.66,10.66,10.66,10.66,0
"Mar 08, 2016",10.66,10.66,10.66,10.66,0
"Mar 09, 2016",10.66,10.66,10.66,10.66,0
"Mar 10, 2016",9.71,9.71,9.69,9.69,740
"Mar 11, 2016",9.70,9.70,9.69,9.69,700
"Mar 14, 2016",8.93,8.93,8.93,8.93,200
"Mar 15, 2016",8.93,8.93,8.93,8.93,0
"Mar 16, 2016",8.99,8.99,8.99,8.99,100
"Mar 17, 2016",10.28,10.28,10.28,10.28,251
"Mar 18, 2016",8.94,8.94,8.94,8.94,"1,000"
"Mar 21, 2016",8.94,8.94,8.94,8.94,74
"Mar 22, 2016",9.08,9.08,9.05,9.05,566
"Mar 23, 2016",10.35,10.36,10.26,10.26,448
"Mar 24, 2016",9.59,10.49,9.56,10.41,"1,040"
