Date,Open,High,Low,Adj. Close,Volume
"Dec 08, 2015",23.26,23.32,23.26,23.32,458
"Dec 09, 2015",23.43,23.43,23.43,23.43,"4,690"
"Dec 10, 2015",23.32,23.39,23.32,23.33,"3,281"
"Dec 11, 2015",23.08,23.17,23.08,23.17,300
"Dec 14, 2015",23.08,23.08,23.08,23.08,510
"Dec 15, 2015",23.23,23.32,23.23,23.25,"2,199"
"Dec 16, 2015",23.62,24.19,23.62,24.19,"10,749"
"Dec 17, 2015",23.91,23.93,23.83,23.83,"4,957"
"Dec 18, 2015",23.79,23.79,23.62,23.62,"15,845"
"Dec 21, 2015",23.79,23.79,23.79,23.79,"1,000"
"Dec 22, 2015",23.67,23.82,23.67,23.82,"5,840"
"Dec 23, 2015",23.98,24.02,23.97,24.02,"72,620"
"Dec 24, 2015",24.74,24.74,24.74,24.74,605
"Dec 29, 2015",24.91,24.91,24.27,24.27,"4,875"
"Dec 30, 2015",24.21,24.21,24.21,24.21,455
"Dec 31, 2015",24.19,24.19,23.73,23.73,"8,310"
"Jan 04, 2016",23.75,23.75,23.30,23.43,"5,720"
"Jan 05, 2016",23.43,23.55,23.43,23.51,"4,379"
"Jan 06, 2016",23.32,23.32,23.18,23.28,"9,477"
"Jan 07, 2016",23.15,23.15,22.92,22.92,"7,415"
"Jan 08, 2016",24.36,24.36,22.76,22.76,"4,788"
"Jan 11, 2016",23.00,23.02,22.96,22.96,"5,890"
"Jan 12, 2016",23.03,23.17,23.03,23.17,"4,157"
"Jan 13, 2016",23.12,23.12,22.89,22.89,"2,691"
"Jan 14, 2016",23.09,23.26,23.05,23.26,"1,828"
"Jan 15, 2016",22.49,22.69,22.41,22.66,"9,032"
"Jan 18, 2016",22.91,22.91,22.91,22.91,767
"Jan 19, 2016",23.00,23.00,22.90,22.90,"6,873"
"Jan 20, 2016",22.69,22.69,22.09,22.32,"7,447"
"Jan 21, 2016",22.03,22.12,21.89,22.06,"7,889"
"Jan 22, 2016",22.38,22.42,22.38,22.40,"1,887"
"Jan 25, 2016",21.95,22.48,21.95,22.32,"2,117"
"Jan 26, 2016",22.43,22.43,22.43,22.43,188
"Jan 27, 2016",22.39,22.58,22.39,22.41,"30,020"
"Jan 28, 2016",22.55,22.55,22.38,22.41,"2,058"
"Jan 29, 2016",22.55,22.66,22.32,22.66,"16,902"
"Feb 01, 2016",22.36,22.36,22.08,22.15,"2,805"
"Feb 02, 2016",22.12,22.34,22.12,22.21,"3,135"
"Feb 03, 2016",22.12,22.12,21.78,21.95,"18,691"
"Feb 04, 2016",21.73,21.93,21.65,21.85,"12,098"
"Feb 05, 2016",21.92,21.92,21.78,21.78,"11,352"
"Feb 08, 2016",21.75,21.75,21.40,21.40,"3,126"
"Feb 09, 2016",21.15,21.27,21.15,21.27,"3,483"
"Feb 10, 2016",21.50,21.50,21.26,21.26,"6,554"
"Feb 11, 2016",20.85,20.96,20.84,20.84,"10,065"
"Feb 12, 2016",20.92,21.06,20.92,21.05,"24,600"
"Feb 16, 2016",21.39,21.59,21.39,21.59,"7,922"
"Feb 17, 2016",21.75,21.75,21.59,21.68,"4,708"
"Feb 18, 2016",21.69,21.71,21.66,21.66,"6,378"
"Feb 19, 2016",21.82,21.85,21.66,21.68,"10,624"
"Feb 22, 2016",22.39,22.39,21.70,21.73,"7,576"
"Feb 23, 2016",21.68,21.69,21.50,21.50,"6,970"
"Feb 24, 2016",21.73,21.73,21.32,21.39,"2,247"
"Feb 25, 2016",21.36,21.39,21.31,21.39,"3,433"
"Feb 26, 2016",21.73,22.31,21.36,21.36,993
"Feb 29, 2016",21.37,21.37,21.17,21.17,"5,536"
"Mar 01, 2016",21.57,21.57,21.52,21.52,"5,572"
"Mar 02, 2016",21.54,21.69,21.43,21.69,"4,997"
"Mar 03, 2016",21.86,21.93,21.78,21.92,"4,888"
"Mar 04, 2016",21.94,22.00,21.94,21.97,"4,958"
"Mar 07, 2016",21.85,21.85,21.73,21.73,"1,758"
"Mar 08, 2016",21.87,21.87,21.67,21.80,"2,573"
"Mar 09, 2016",21.88,21.88,21.68,21.69,"3,542"
"Mar 10, 2016",21.83,21.83,21.61,21.76,"3,181"
"Mar 11, 2016",21.69,22.15,21.69,22.15,"25,630"
"Mar 14, 2016",22.19,22.27,22.19,22.24,"4,031"
"Mar 15, 2016",22.15,22.15,22.01,22.09,"9,652"
