Date,Open,High,Low,Adj. Close,Volume
"Nov 10, 2006",20.30,20.30,20.10,20.13,"3,900"
"Nov 13, 2006",20.11,20.16,20.04,20.16,"6,800"
"Nov 14, 2006",20.25,20.25,20.00,20.00,"3,300"
"Nov 15, 2006",20.05,20.27,20.05,20.26,"2,500"
"Nov 16, 2006",20.38,20.40,20.15,20.15,"4,500"
"Nov 17, 2006",20.04,20.11,19.99,20.11,800
"Nov 20, 2006",20.14,20.32,20.14,20.27,"6,900"
"Nov 21, 2006",20.45,20.62,20.40,20.62,"2,700"
"Nov 22, 2006",20.63,20.63,20.45,20.56,"8,200"
"Nov 23, 2006",20.66,20.72,20.66,20.69,"4,400"
"Nov 24, 2006",20.65,20.75,20.65,20.74,"2,300"
"Nov 27, 2006",20.80,20.80,20.50,20.52,"7,600"
"Nov 28, 2006",20.44,20.59,20.44,20.58,"1,400"
"Nov 29, 2006",20.61,20.80,20.61,20.80,"3,500"
"Nov 30, 2006",20.98,21.16,20.98,21.16,"8,700"
"Dec 01, 2006",21.12,21.12,21.00,21.00,"7,900"
"Dec 04, 2006",21.14,21.24,21.14,21.21,"1,900"
"Dec 05, 2006",21.30,21.37,21.20,21.34,"9,600"
"Dec 06, 2006",21.28,21.42,21.28,21.30,"4,100"
"Dec 07, 2006",21.28,21.31,21.15,21.26,"7,200"
"Dec 08, 2006",21.39,21.39,21.18,21.18,"5,400"
"Dec 11, 2006",21.15,21.27,21.07,21.17,"4,500"
"Dec 12, 2006",21.17,21.17,21.02,21.08,"4,300"
"Dec 13, 2006",21.15,21.28,21.15,21.28,"3,200"
"Dec 14, 2006",21.31,21.49,21.31,21.49,"5,300"
"Dec 15, 2006",21.50,21.50,21.29,21.29,"3,400"
"Dec 18, 2006",21.31,21.34,21.05,21.05,"4,400"
"Dec 19, 2006",21.00,21.11,20.89,21.11,"3,700"
"Dec 20, 2006",21.16,21.16,21.00,21.00,600
"Dec 21, 2006",20.90,20.90,20.85,20.85,"2,100"
"Dec 22, 2006",20.87,20.88,20.78,20.85,"2,000"
"Dec 27, 2006",20.85,21.14,20.85,21.14,"3,400"
"Dec 28, 2006",21.11,21.19,21.11,21.19,"1,100"
"Dec 29, 2006",21.24,21.36,21.24,21.36,"2,400"
"Jan 02, 2007",18.92,18.98,18.92,18.95,"3,300"
"Jan 03, 2007",18.88,18.88,18.43,18.43,"4,700"
"Jan 04, 2007",18.40,18.40,18.15,18.15,"2,600"
"Jan 05, 2007",18.06,18.10,18.06,18.08,"3,600"
"Jan 08, 2007",18.23,18.35,18.19,18.27,"4,500"
"Jan 09, 2007",18.15,18.15,17.98,17.98,"2,600"
"Jan 10, 2007",17.98,18.06,17.98,18.06,800
"Jan 11, 2007",18.03,18.26,18.03,18.18,"5,100"
"Jan 12, 2007",18.50,18.50,18.50,18.50,800
"Jan 15, 2007",18.52,18.60,18.52,18.59,"2,800"
"Jan 16, 2007",18.49,18.49,18.42,18.42,"2,900"
"Jan 17, 2007",18.40,18.45,18.30,18.45,"2,300"
"Jan 18, 2007",18.52,18.57,18.26,18.26,"1,900"
"Jan 19, 2007",18.41,18.47,18.41,18.47,"6,600"
"Jan 22, 2007",18.56,18.56,18.35,18.36,"4,400"
"Jan 23, 2007",18.81,18.81,18.79,18.79,"1,400"
"Jan 24, 2007",18.80,18.90,18.80,18.90,"1,700"
"Jan 25, 2007",19.11,19.11,19.02,19.02,"2,100"
"Jan 26, 2007",18.93,18.93,18.88,18.93,"2,000"
"Jan 29, 2007",18.96,18.97,18.96,18.97,"1,700"
"Jan 30, 2007",18.90,18.99,18.89,18.97,"1,900"
"Jan 31, 2007",18.93,19.13,18.93,19.12,800
"Feb 01, 2007",19.17,19.27,19.17,19.26,"31,100"
"Feb 02, 2007",0.00,0.00,0.00,19.26,0
"Feb 05, 2007",19.32,19.32,19.29,19.31,"1,100"
"Feb 06, 2007",19.28,19.32,19.28,19.32,900
"Feb 07, 2007",19.28,19.28,19.15,19.21,600
"Feb 08, 2007",19.21,19.31,19.21,19.31,"11,300"
"Feb 09, 2007",19.31,19.31,19.25,19.25,"2,600"
"Feb 12, 2007",19.16,19.16,19.01,19.01,"2,200"
"Feb 13, 2007",19.10,19.24,19.10,19.23,"2,000"
"Feb 14, 2007",19.40,19.48,19.32,19.37,"3,700"
"Feb 15, 2007",19.37,19.43,19.32,19.43,"1,100"
