Date,Open,High,Low,Adj. Close,Volume
"Mar 01, 2011",2.39,2.39,2.38,2.38,"3,250"
"Mar 02, 2011",2.40,2.40,2.38,2.40,"6,500"
"Mar 03, 2011",2.38,2.38,2.38,2.38,"1,100"
"Mar 04, 2011",2.38,2.38,2.38,2.38,"5,900"
"Mar 07, 2011",2.40,2.40,2.38,2.38,"8,100"
"Mar 08, 2011",2.38,2.38,2.38,2.38,"13,000"
"Mar 09, 2011",2.42,2.42,2.41,2.41,"10,966"
"Mar 10, 2011",2.38,2.38,2.38,2.38,0
"Mar 11, 2011",2.38,2.38,2.38,2.38,0
"Mar 14, 2011",2.38,2.38,2.38,2.38,"18,000"
"Mar 15, 2011",2.33,2.33,2.33,2.33,0
"Mar 16, 2011",2.33,2.33,2.33,2.33,0
"Mar 17, 2011",2.33,2.33,2.33,2.33,0
"Mar 18, 2011",2.33,2.33,2.33,2.33,"1,400"
"Mar 21, 2011",2.40,2.40,2.38,2.38,"3,000"
"Mar 22, 2011",2.34,2.47,2.34,2.40,"25,600"
"Mar 23, 2011",2.44,2.44,2.44,2.44,0
"Mar 24, 2011",2.43,2.43,2.43,2.43,0
"Mar 25, 2011",2.44,2.44,2.44,2.44,0
"Mar 28, 2011",2.44,2.44,2.44,2.44,0
"Mar 29, 2011",2.44,2.44,2.44,2.44,700
"Mar 30, 2011",2.44,2.44,2.44,2.44,0
"Mar 31, 2011",2.49,2.50,2.49,2.50,"3,000"
"Apr 01, 2011",2.43,2.47,2.43,2.47,"32,600"
"Apr 04, 2011",2.44,2.44,2.44,2.44,"2,000"
"Apr 05, 2011",2.43,2.43,2.43,2.43,"2,300"
"Apr 06, 2011",2.45,2.45,2.45,2.45,133
"Apr 07, 2011",2.44,2.44,2.44,2.44,"3,200"
"Apr 08, 2011",2.50,2.50,2.46,2.46,"7,000"
"Apr 11, 2011",2.46,2.46,2.46,2.46,"1,300"
"Apr 12, 2011",2.46,2.46,2.46,2.46,"1,500"
"Apr 13, 2011",2.46,2.46,2.46,2.46,0
"Apr 14, 2011",2.46,2.46,2.46,2.46,"2,900"
"Apr 15, 2011",2.46,2.46,2.46,2.46,0
"Apr 18, 2011",2.46,2.46,2.46,2.46,0
"Apr 19, 2011",2.46,2.46,2.43,2.43,"8,600"
"Apr 20, 2011",2.50,2.50,2.44,2.44,"31,500"
"Apr 21, 2011",2.45,2.45,2.45,2.45,"5,500"
"Apr 25, 2011",2.45,2.45,2.45,2.45,0
"Apr 26, 2011",2.43,2.43,2.43,2.43,"17,455"
"Apr 27, 2011",2.45,2.45,2.45,2.45,0
"Apr 28, 2011",2.46,2.46,2.46,2.46,0
"Apr 29, 2011",2.45,2.45,2.45,2.45,500
"May 02, 2011",2.45,2.45,2.43,2.43,"4,600"
"May 03, 2011",2.44,2.44,2.44,2.44,300
"May 04, 2011",2.44,2.44,2.43,2.43,"3,000"
"May 05, 2011",2.44,2.44,2.44,2.44,0
"May 06, 2011",2.43,2.43,2.43,2.43,0
"May 09, 2011",2.46,2.46,2.46,2.46,"4,000"
"May 10, 2011",2.44,2.44,2.43,2.43,"19,000"
"May 11, 2011",2.45,2.46,2.45,2.46,"3,100"
"May 12, 2011",2.43,2.43,2.43,2.43,"1,500"
"May 13, 2011",2.43,2.43,2.43,2.43,"5,000"
"May 16, 2011",2.44,2.47,2.44,2.47,"10,000"
"May 17, 2011",2.44,2.49,2.44,2.45,"29,500"
"May 18, 2011",2.45,2.49,2.45,2.49,"4,840"
"May 19, 2011",2.44,2.44,2.44,2.44,"1,500"
"May 20, 2011",2.48,2.49,2.48,2.48,"6,000"
"May 24, 2011",2.45,2.45,2.45,2.45,0
"May 25, 2011",2.44,2.44,2.44,2.44,"1,000"
"May 26, 2011",2.47,2.47,2.43,2.43,"43,400"
"May 27, 2011",2.43,2.43,2.43,2.43,"7,100"
"May 30, 2011",2.43,2.43,2.43,2.43,0
"May 31, 2011",2.43,2.43,2.43,2.43,0
"Jun 01, 2011",2.48,2.48,2.43,2.43,"6,500"
"Jun 02, 2011",2.26,2.26,2.26,2.26,0
"Jun 03, 2011",2.29,2.29,2.29,2.29,0
"Jun 06, 2011",2.25,2.25,2.25,2.25,0
"Jun 07, 2011",2.30,2.30,2.30,2.30,"1,200"
"Jun 08, 2011",2.31,2.31,2.26,2.26,"5,500"
"Jun 09, 2011",2.26,2.26,2.26,2.26,0
"Jun 10, 2011",2.21,2.25,2.21,2.23,"2,650"
"Jun 13, 2011",2.21,2.21,2.21,2.21,"5,800"
"Jun 14, 2011",2.23,2.23,2.23,2.23,"3,000"
"Jun 15, 2011",2.19,2.19,2.19,2.19,0
"Jun 16, 2011",2.21,2.21,2.21,2.21,0
"Jun 17, 2011",2.22,2.22,2.22,2.22,"1,300"
"Jun 20, 2011",2.33,2.39,2.33,2.39,"3,700"
"Jun 21, 2011",2.26,2.26,2.26,2.26,0
"Jun 22, 2011",2.30,2.30,2.29,2.29,"4,200"
"Jun 23, 2011",2.29,2.29,2.29,2.29,"3,000"
